Rank,Hotness Score,Time,Location,Away Team Rank,Away Team,Home Team Rank,Home Team,Away Team DraftKings,Away Team Covers,Home Team DraftKings,Home Team Covers,Away Team Spread,Away Team Odds,Away Team Underdog,Home Team Spread,Home Team Odds,Home Team Underdog,Away Team Team,Away Team all_games_ATS Record,Away Team all_games_Cover %,Away Team all_games_MOV,Away Team all_games_ATS +/-,Away Team is_away_ATS Record,Away Team is_away_Cover %,Away Team is_away_MOV,Away Team is_away_ATS +/-,Home Team Team,Home Team all_games_ATS Record,Home Team all_games_Cover %,Home Team all_games_MOV,Home Team all_games_ATS +/-,Home Team is_home_ATS Record,Home Team is_home_Cover %,Home Team is_home_MOV,Home Team is_home_ATS +/-,Underdog is_dog Team,Underdog is_dog Spread,Underdog is_dog Odds,Underdog is_dog ATS Record,Underdog is_dog Cover %,Underdog is_dog MOV,Underdog is_dog ATS +/-,Favorite is_fav Team,Favorite is_fav Spread,Favorite is_fav Odds,Favorite is_fav ATS Record,Favorite is_fav Cover %,Favorite is_fav MOV,Favorite is_fav ATS +/-
1,97.9,9:00 PM,State Farm Center,37,Wisconsin,12,Illinois,Wisconsin,Wisconsin,Illinois,Illinois,+6.5,−108,True,-6.5,−112,False,Wisconsin,5-5-0,50.0%,11.1,0.6,0-1-0,0.0%,-14.0,-7.5,Illinois,5-3-0,62.5%,23.8,7.1,4-1-0,80.0%,38.8,+11.8,Wisconsin,+6.5,−108,2-1-0,66.7%,2.3,6.8,Illinois,-6.5,−112,5-2-0,71.4%,29.0,8.7
2,97.3,9:00 PM,Madison Square Garden,36,Arkansas,22,Michigan,Arkansas,Arkansas,Michigan,Michigan,+4.5,−115,True,-4.5,−105,False,Arkansas,2-7-0,22.2%,15.2,1.7,0-1-0,0.0%,3.0,-1.0,Michigan,6-3-0,66.7%,16.7,5.3,3-2-0,60.0%,22.4,+4.0,Arkansas,+4.5,−115,0-2-0,0.0%,-9.0,-4.8,Michigan,-4.5,−105,5-3-0,62.5%,18.4,5.2
3,94.5,7:00 PM,Jersey Mike's Arena,25,Penn St,67,Rutgers,Penn State,Penn St.,Rutgers,Rutgers,N/A,N/A,False,N/A,N/A,False,Penn St,5-4-0,55.6%,22.3,6.3,0,0,0.0,0.0,Rutgers,3-5-1,37.5%,4.1,-3.2,1-3-0,25.0%,15.3,-3.6,Rutgers,N/A,N/A,2-1-0,66.7%,-7.7,-0.3,Penn St,N/A,N/A,5-3-0,62.5%,26.1,8.0
4,92.4,6:30 PM,Madison Square Garden,84,Miami,5,Tennessee,Miami FL,Miami-Florida,Tennessee,Tennessee,+15.5,−110,True,-15.5,−110,False,Miami,2-7-0,22.2%,6.0,-7.1,0,0,0.0,0.0,Tennessee,7-1-0,87.5%,26.8,7.1,4-1-0,80.0%,31.0,+2.5,Miami,+15.5,−110,1-2-0,33.3%,-6.7,-2.7,Tennessee,-15.5,−110,6-1-0,85.7%,27.4,4.6
5,89.6,8:30 PM,Wintrust Arena,81,Providence,79,Depaul,Providence,Providence,DePaul,DePaul,+1.5,−110,True,-1.5,−110,False,Providence,4-6-0,40.0%,6.8,-3.5,0-1-0,0.0%,-6.0,-8.5,Depaul,5-3-0,62.5%,19.0,8.6,5-2-0,71.4%,23.7,+9.9,Providence,+1.5,−110,2-1-0,66.7%,0.3,4.2,Depaul,-1.5,−110,5-2-0,71.4%,23.7,9.9
6,88.8,8:00 PM,Fertitta Center,123,Troy,4,Houston,,Troy,Houston,Houston,N/A,N/A,False,-27,−110,False,Troy,5-3-0,62.5%,3.6,-1.1,2-2-0,50.0%,-0.3,-0.5,Houston,4-4-0,50.0%,20.6,1.4,4-0-0,100.0%,41.8,+13.1,Houston,-27,−110,0,0,0.0,0.0,Troy,N/A,N/A,5-1-0,83.3%,11.0,0.3
7,80.1,7:00 PM,Michael J. Hagan Arena,146,Col Charlestn,102,St Josephs,Charleston,Charleston,Saint Josephs,Saint Joseph'S,+8.5,−110,True,-8.5,−110,False,Col Charlestn,5-2-0,71.4%,2.8,-4.6,1-1-0,50.0%,-11.5,-15.8,St Josephs,4-5-0,44.4%,5.8,-0.9,1-4-0,20.0%,5.8,-7.2,Col Charlestn,+8.5,−110,0-1-0,0.0%,-38.0,-34.5,St Josephs,-8.5,−110,2-4-0,33.3%,8.8,-4.8
8,79.7,10:00 PM,Haas Pavilion,129,Cornell,121,California,Cornell,Cornell,California,California,+9.5,−112,True,-9.5,−108,False,Cornell,4-4-0,50.0%,8.8,3.1,3-2-0,60.0%,7.2,8.1,California,4-4-1,50.0%,5.3,-0.9,2-3-1,40.0%,10.7,-2.8,Cornell,+9.5,−112,1-2-0,33.3%,-8.0,-3.3,California,-9.5,−108,2-3-1,40.0%,10.7,-2.8
9,78.0,6:30 PM,Hinkle Fieldhouse,181,N Dakota St,64,Butler,North Dakota State,North Dakota State,Butler,Butler,+13.5,−115,True,-13.5,−105,False,N Dakota St,6-3-0,66.7%,5.1,5.1,3-2-0,60.0%,-4.6,3.6,Butler,5-4-0,55.6%,8.2,2.2,3-3-0,50.0%,15.0,+1.2,N Dakota St,+13.5,−115,4-2-0,66.7%,-0.5,7.3,Butler,-13.5,−105,2-3-0,40.0%,15.8,-1.1
10,75.9,7:00 PM,Pizzitola Sports Center,89,Rhode Island,184,Brown,Rhode Island,Rhode Island,Brown,Brown,-4,−112,False,+4,−108,True,Rhode Island,4-4-0,50.0%,17.7,6.3,0,0,0.0,0.0,Brown,5-4-0,55.6%,7.1,3.0,3-2-0,60.0%,10.0,+2.5,Brown,+4,−108,2-0-0,100.0%,4.0,9.5,Rhode Island,-4,−112,3-4-0,42.9%,17.3,6.0
11,69.5,7:00 PM,WVU Coliseum,239,Nc Central,51,W Virginia,North Carolina Central,North Carolina Central,West Virginia,West Virginia,N/A,N/A,False,-26.5,−108,False,Nc Central,4-3-2,57.1%,6.8,0.4,2-2-0,50.0%,-11.5,-0.9,W Virginia,5-3-0,62.5%,9.0,7.0,3-1-0,75.0%,22.5,+10.4,W Virginia,-26.5,−108,2-2-0,50.0%,-4.5,3.6,Nc Central,N/A,N/A,0-1-0,0.0%,-6.0,-7.5
