Away Team,Home Team,Cover Team,Closing Spread,Closing Total Line,Actual Total Score,Home Cover
North Carolina,Hawaii,North Carolina,-15.5,151.5.,156,False
La Salle,Stetson,La Salle,-11.5,146.5.,169,False
Georgia,Marquette,Marquette,-6.0,151.5.,149,True
CSU Bakersfield,Florida International,Florida International,-1.0,142.,149,True
West Georgia,Georgia Southern,West Georgia,14.0,153.5.,118,False
Presbyterian,Monmouth-NJ,Presbyterian,-2.0,139.,132,False
Boston U,UMBC,Boston U,2.5,144.5.,146,False
St. Francis (PA),Georgetown,St. Francis (PA),20.5,144.5.,147,False
Marshall,Purdue,Purdue,-20.0,149.5.,125,True
Delaware,Vermont,Delaware,6.0,139.5.,146,False
LIU,Charlotte,LIU,14.0,139.,155,False
Portland St.,St. Thomas (MN),St. Thomas (MN),-2.5,152.,156,True
Brown,Canisius,Canisius,8.0,144.5.,159,True
Quinnipiac,Massachusetts Lowell,Massachusetts Lowell,-5.5,153.,150,True
Kansas City,Albany,Albany,2.0,142.5.,132,True
Illinois-Chicago,East Carolina,East Carolina,-2.0,149.5.,127,True
Northeastern,Florida Gulf Coast,Northeastern,2.5,135.,114,False
Furman,Charleston Southern,Furman,-9.0,147.5.,113,False
South Carolina State,IUPUI,South Carolina State,-5.0,142.5.,134,False
Cincinnati,Georgia Tech,Cincinnati,-7.0,150.5.,139,False
New Hampshire,Marist,New Hampshire,12.0,138.,103,False
Fairfield,Yale,Yale,11.0,139.,157,True
UAB,Illinois St.,Illinois St.,7.5,145.,167,True
Bowling Green,Bellarmine,Bellarmine,4.0,146.5.,148,True
Maryland-Eastern Shore,Illinois,Illinois,-36.0,155.,127,True
James Madison,Jacksonville St.,James Madison,-3.0,139.5.,136,False
Wofford,Milwaukee,Wofford,4.0,149.,150,False
Nebraska Omaha,Akron,Nebraska Omaha,11.5,148.,176,False
Detroit Mercy,Wake Forest,Detroit Mercy,24.0,141.,124,False
Delaware State,Mount St. Mary'S,Mount St. Mary's,-7.5,139.,142,False
Le Moyne,Texas A&M-CC,Texas A&M-CC,-11.5,151.5.,143,True
North Alabama,UL Monroe,North Alabama,-9.0,145.,136,False
Massachusetts,Temple,Temple,2.0,148.5.,167,True
Idaho,Southern Utah,Southern Utah,-3.0,145.,149,True
Northern Illinois,DePaul,DePaul,-17.5,143.,150,True
Coastal Carolina,Alabama A&M,Alabama A&M,2.5,133.5.,147,True
Fresno St.,Long Beach St.,Fresno St.,3.5,140.,141,False
UL Lafayette,George Washington,George Washington,-7.0,151.5.,157,True
UC San Diego,Toledo,UC San Diego,1.0,155.,125,False
Tulsa,Loyola-Chicago,Loyola-Chicago,-9.5,147.,142,True
South Carolina Upstate,Queens University Of Charlotte,Queens University of Charlotte,-3.0,156.5.,172,False
Alabama St.,Lamar,Alabama St.,-1.5,148.5.,152,False
Stony Brook,Columbia,Columbia,-11.0,152.5.,145,True
New Mexico St.,UNLV,New Mexico St.,12.0,140.5.,137,False
Kent St.,Cleveland St.,Kent St.,-2.5,135.,120,False
Youngstown St.,Stephen F. Austin,Stephen F. Austin,-3.5,129.,121,True
Rider,Bucknell,Rider,4.5,141.5.,110,False
Prairie View A&M,Northern Colorado,Prairie View A&M,19.5,160.,212,False
Eastern Washington,California Baptist,California Baptist,-7.0,152.,147,True
Cal Poly SLO,Saint Mary'S,Cal Poly SLO,20.5,148.5.,146,False
Mississippi Valley State,Brigham Young,Mississippi Valley State,45.0,143.5.,130,False
Stanford,Santa Clara,Stanford,1.0,148.,140,False
