Rank,Hotness Score,Matchup,Time,Location
1,95.7,#14 Marquette  vs.  #53 Georgia,11:00 AM,Imperial Arena
2,90.0,#11 Cincinnati  at  #111 GA Tech,2:00 PM,McCamish Pavilion
3,87.1,#67 Stanford  at  #108 Santa Clara,10:00 PM,Leavey Center
4,81.9,#8 N Carolina  at  #176 Hawaii,12:30 AM,SimpliFi Arena at Stan Sheriff Center
5,80.9,#123 Temple  vs.  #121 U Mass,5:00 PM,Mohegan Sun Arena
6,80.4,#180 Marshall  at  #22 Purdue,12:00 PM,Mackey Arena
7,73.3,#191 N Mex State  at  #95 UNLV,7:00 PM,Thomas & Mack Center
8,71.6,#149 Northeastrn  at  #164 Fla Gulf Cst,1:00 PM,Alico Arena
9,70.5,#212 Tulsa  at  #94 Loyola-Chi,6:00 PM,Joseph J. Gentile Arena
10,69.9,#159 Wofford  at  #172 WI-Milwkee,4:00 PM,UW-Milwaukee Panther Arena
11,64.1,#275 Cal Poly  at  #52 St Marys,8:00 PM,University Credit Union Pavilion
12,61.9,#233 Quinnipiac  at  #142 Mass Lowell,1:00 PM,Costello Athletic Center
13,61.5,#139 Kent St  at  #239 Cleveland St,7:00 PM,Wolstein Center
14,61.0,#92 Yale  vs.  #270 Fairfield,2:30 PM,Mohegan Sun Arena
15,59.5,#237 Delaware  vs.  #163 Vermont,12:00 PM,Mohegan Sun Arena
16,56.8,#185 St. Thomas  vs.  #234 Portland St,1:00 PM,UW-Milwaukee Panther Arena
17,56.3,#223 Youngs St  at  #199 Ste F Austin,7:00 PM,William R. Johnson Coliseum
18,54.6,#315 Detroit  at  #74 Wake Forest,4:00 PM,Lawrence Joel Veterans Memorial Coliseum
19,54.3,#249 E Washingtn  at  #186 Cal Baptist,8:00 PM,Dale E. and Sarah Ann Fowler Events Center
19,54.3,#189 Kansas City  vs.  #243 Albany,1:00 PM,Ruben Zayas Montanez Coliseum
21,51.8,#115 Furman  at  #307 Charl South,2:00 PM,Buccaneer Field House
22,51.7,#317 N Illinois  at  #101 DePaul,5:00 PM,Wintrust Arena
23,49.8,#353 Maryland ES  at  #32 Illinois,4:00 PM,State Farm Center
24,49.3,#297 Neb Omaha  at  #155 Akron,4:00 PM,James A. Rhodes Arena
25,47.9,#251 Rider  at  #222 Bucknell,7:00 PM,Sojka Pavilion
26,47.8,#364 Miss Val St  at  #29 BYU,9:00 PM,Marriott Center
27,46.8,#320 LIU  at  #136 Charlotte,12:30 PM,Dale F. Halton Arena
28,45.6,#224 Alabama St  vs.  #261 Lamar,6:30 PM,James A. Rhodes Arena
29,45.4,#280 Monmouth  vs.  #202 Presbyterian,12:00 PM,William R. Johnson Coliseum
30,44.9,#337 St Fran (PA)  at  #130 Georgetown,12:00 PM,Capital One Arena
31,44.3,#260 Florida Intl  vs.  #236 CS Bakersfld,11:00 AM,Alico Arena
32,43.8,#179 N Alabama  vs.  #306 UL Monroe,5:00 PM,Prather Coliseum
33,43.3,#208 S Utah  vs.  #292 Idaho,5:00 PM,Jenny Craig Pavilion
34,42.8,#319 Stony Brook  at  #173 Columbia,7:00 PM,Schiller Court in Francis S. Levien Gymnasium
35,38.9,#357 Prairie View  at  #138 N Colorado,8:00 PM,Bank of Colorado Arena
36,38.6,#316 Le Moyne  at  #210 TX A&M-CC,4:30 PM,Dugan Wellness Center
37,34.1,#271 Boston U  at  #287 Maryland BC,12:00 PM,Chesapeake Employers Insurance Arena
38,33.0,#276 Fresno St  at  #286 Lg Beach St,5:00 PM,The Walter Pyramid
39,32.1,#228 Bowling Grn  at  #335 Bellarmine,3:00 PM,Knights Hall
40,27.4,#226 Brown  at  #358 Canisius,1:00 PM,Koessler Athletic Center
41,26.1,#356 N Hampshire  at  #232 Marist,2:00 PM,McCann Arena
42,25.7,#354 W Georgia  at  #238 GA Southern,12:00 PM,Hanner Fieldhouse
43,20.5,#310 Queens  vs.  #322 SC Upstate,7:00 PM,Freedom Hall Civic Center
44,19.9,#278 S Car State  vs.  #352 IU Indy,2:00 PM,Alabama A&M Events Center
45,19.3,#285 Coastal Car  at  #348 Alab A&M,5:00 PM,Alabama A&M Events Center
46,16.8,#351 Delaware St  at  #291 Mt St Marys,4:00 PM,Knott Arena
47,--,Kentucky State  at  #200 N Kentucky,1:00 PM,Truist Arena
47,--,St. Ambrose  at  #253 SIU Edward,7:00 PM,First Community Arena at the Vadalabene Center
47,--,Ferrum  at  #85 Geo Mason,2:00 PM,EagleBank Arena
47,--,Puerto Rico-Bayamon  vs.  #263 American,4:30 PM,Ruben Zayas Montanez Coliseum
47,--,Springfield College  at  #284 Wagner,4:00 PM,Spiro Sports Center
