Rank,Hotness Score,Time,Location,Away Team Rank,Away Team,Home Team Rank,Home Team,Away Team DraftKings,Away Team Covers,Home Team DraftKings,Home Team Covers,Away Team Spread,Away Team Odds,Away Team Underdog,Home Team Spread,Home Team Odds,Home Team Underdog,Away Team Team,Away Team all_games_ATS Record,Away Team all_games_Cover %,Away Team all_games_MOV,Away Team all_games_ATS +/-,Away Team is_away_ATS Record,Away Team is_away_Cover %,Away Team is_away_MOV,Away Team is_away_ATS +/-,Home Team Team,Home Team all_games_ATS Record,Home Team all_games_Cover %,Home Team all_games_MOV,Home Team all_games_ATS +/-,Home Team is_home_ATS Record,Home Team is_home_Cover %,Home Team is_home_MOV,Home Team is_home_ATS +/-,Underdog is_dog Team,Underdog is_dog Spread,Underdog is_dog Odds,Underdog is_dog ATS Record,Underdog is_dog Cover %,Underdog is_dog MOV,Underdog is_dog ATS +/-,Favorite is_fav Team,Favorite is_fav Spread,Favorite is_fav Odds,Favorite is_fav ATS Record,Favorite is_fav Cover %,Favorite is_fav MOV,Favorite is_fav ATS +/-
1,89.7,8:00 PM,Williams Arena,86,North Texas,75,Minnesota,North Texas,North Texas,Minnesota,Minnesota,N/A,N/A,False,N/A,N/A,False,North Texas,357-335-17,51.6%,0.4,0.1,174-153-12,53.2%,-7.3,0.2,Minnesota,383-409-16,48.4%,2.0,-0.4,210-189-10,52.6%,8.4,+0.2,Minnesota,N/A,N/A,187-217-7,46.3%,-7.0,-0.2,North Texas,N/A,N/A,153-144-7,51.5%,6.6,-0.3
2,88.5,8:00 PM,Neville Arena,122,Kent St,1,Auburn,Kent State,Kent St.,Auburn,Auburn,N/A,N/A,False,N/A,N/A,False,Kent St,411-370-24,52.6%,5.1,0.6,189-159-8,54.3%,-0.7,0.6,Auburn,385-363-19,51.5%,3.3,0.3,194-163-8,54.3%,9.4,+1.4,Auburn,N/A,N/A,175-173-9,50.3%,-7.8,-0.4,Kent St,N/A,N/A,262-243-18,51.9%,7.4,0.1
3,88.4,8:00 PM,Bud Walton Arena,123,Troy,35,Arkansas,,Troy,Arkansas,Arkansas,N/A,N/A,False,N/A,N/A,False,Troy,254-264-11,49.0%,0.3,0.0,128-127-6,50.2%,-5.8,0.3,Arkansas,366-395-15,48.1%,5.0,-0.4,199-165-9,54.7%,12.6,+1.0,Arkansas,N/A,N/A,134-167-6,44.5%,-6.9,-1.0,Troy,N/A,N/A,76-101-3,42.9%,3.2,-1.9
4,83.8,6:00 PM,Nassau Veterans Memorial Coliseum,96,U Mass,120,La Tech,Massachusetts,Massachusetts,Louisiana Tech,Louisiana Tech,N/A,N/A,False,N/A,N/A,False,U Mass,371-388-12,48.9%,0.4,-0.3,160-156-4,50.6%,-4.5,-0.2,La Tech,375-336-10,52.7%,4.0,0.3,157-135-3,53.8%,11.6,+1.1,La Tech,N/A,N/A,163-145-6,52.9%,-6.9,0.2,U Mass,N/A,N/A,175-199-8,46.8%,6.0,-0.9
5,82.8,8:00 PM,United Supermarkets Arena,168,Wyoming,21,Texas Tech,Wyoming,Wyoming,Texas Tech,Texas Tech,N/A,N/A,False,N/A,N/A,False,Wyoming,352-375-17,48.4%,1.0,-0.3,141-159-6,47.0%,-6.8,-1.1,Texas Tech,371-413-8,47.3%,2.8,-0.4,200-185-4,52.0%,10.1,+0.6,Texas Tech,N/A,N/A,165-210-2,44.0%,-8.9,-1.3,Wyoming,N/A,N/A,154-170-9,47.5%,7.4,-0.3
6,81.5,10:00 PM,Lawlor Events Center,164,Weber St,47,Nevada,Weber State,Weber St.,Nevada,Nevada,N/A,N/A,False,N/A,N/A,False,Weber St,339-308-11,52.4%,4.5,0.3,158-145-3,52.2%,-2.8,0.0,Nevada,390-325-16,54.6%,3.7,0.9,179-147-7,54.9%,8.9,+0.7,Nevada,N/A,N/A,132-117-6,53.0%,-5.5,1.1,Weber St,N/A,N/A,199-183-10,52.1%,7.8,0.4
7,81.0,8:00 PM,Fertitta Center,180,Louisiana,2,Houston,Louisiana-Lafayette,Lafayette,Houston,Houston,N/A,N/A,False,N/A,N/A,False,Louisiana,352-350-23,50.1%,2.6,0.2,168-176-6,48.8%,-4.0,-0.4,Houston,400-359-15,52.7%,4.7,1.1,192-149-10,56.3%,10.9,+2.1,Houston,N/A,N/A,162-167-4,49.2%,-7.7,0.6,Louisiana,N/A,N/A,201-183-12,52.3%,7.1,0.5
8,80.1,8:00 PM,Memorial Gymnasium,137,California,105,Vanderbilt,California,California,Vanderbilt,Vanderbilt,N/A,N/A,False,N/A,N/A,False,California,405-414-17,49.5%,0.9,-0.5,153-150-4,50.5%,-5.8,-0.5,Vanderbilt,406-389-17,51.1%,2.6,0.2,198-207-7,48.9%,7.9,-0.1,Vanderbilt,N/A,N/A,210-195-10,51.9%,-6.1,0.5,California,N/A,N/A,208-205-12,50.4%,8.0,-0.3
9,79.2,8:00 PM,Nassau Veterans Memorial Coliseum,151,Hofstra,104,Seton Hall,Hofstra,Hofstra,Seton Hall,Seton Hall,N/A,N/A,False,N/A,N/A,False,Hofstra,337-314-20,51.8%,2.9,0.5,170-131-11,56.5%,-0.7,1.5,Seton Hall,386-377-12,50.6%,2.6,0.2,173-190-6,47.7%,7.6,-0.2,Seton Hall,N/A,N/A,200-168-3,54.4%,-5.5,0.9,Hofstra,N/A,N/A,180-181-4,49.9%,6.6,-0.1
10,78.3,7:00 PM,Stuart C. Siegel Center,193,Merrimack,44,Vcu,Merrimack,Merrimack,VCU,VCU,N/A,N/A,False,N/A,N/A,False,Merrimack,74-65-2,53.2%,0.9,0.3,40-32-2,55.6%,-3.7,1.3,Vcu,417-388-20,51.8%,6.0,0.7,189-194-11,49.4%,10.2,+0.3,Vcu,N/A,N/A,121-118-5,50.6%,-4.1,0.8,Merrimack,N/A,N/A,42-35-0,54.6%,5.5,0.1
