Away Team,Home Team,Cover Team,Closing Spread,Closing Total Line,Actual Total Score,Home Cover
Fresno St.,Washington St.,Fresno St.,11.5,160.5.,157,False
Eastern Kentucky,Louisiana Tech,Louisiana Tech,-7.0,141.,147,True
Detroit Mercy,Rhode Island,Detroit Mercy,19.0,146.5.,156,False
Morgan St.,UMBC,UMBC,-7.5,160.,161,True
Louisville,Indiana,Louisville,4.0,154.5.,150,False
Southeastern Louisiana,North Dakota,Southeastern Louisiana,1.0,140.,136,False
Northern Kentucky,Charleston,Charleston,-7.0,140.,143,True
Merrimack,Texas-San Antonio,Texas-San Antonio,-1.5,141.,150,True
Western Michigan,Youngstown St.,Western Michigan,9.5,141.,135,False
Stony Brook,Brown,Brown,-9.0,143.,131,True
East Tennessee St.,Charlotte,East Tennessee St.,3.0,140.5.,130,False
Presbyterian,Tennessee Tech,Tennessee Tech,2.0,135.,165,True
Bryant,Chattanooga,Chattanooga,-6.0,160.,160 pushed the pre-game total of 160.,True
New Orleans,Baylor,New Orleans,38.0,150.,151,False
Tulsa,Georgia St.,Georgia St.,5.0,147.5.,145,True
Colorado,Iowa State,Iowa State,-13.0,144.,170,True
West Virginia,Gonzaga,West Virginia,15.5,155.5.,164,False
Gardner-Webb,Bethune-Cookman,Gardner-Webb,-3.5,142.5.,143,False
West Georgia,North Dakota State,North Dakota State,-8.5,138.,134,True
Oregon,San Diego St.,Oregon,-3.5,138.5.,146,False
NJIT,Morehead St.,NJIT,8.0,130.,147,False
Sacramento State,Air Force,Sacramento State,6.5,129.,124,False
Canisius,Robert Morris,Canisius,13.0,142.,136,False
Sam Houston St.,Appalachian St.,Appalachian St.,6.0,142.,129,True
Northern Illinois,Valparaiso,Northern Illinois,9.0,142.,169,False
Massachusetts,Harvard,Massachusetts,-3.0,149.,116,False
Tenn-Martin,Tennessee,Tennessee,-37.5,144.5.,113,True
Bucknell,Maryland,Bucknell,25.5,141.,158,False
Memphis,Auburn,Auburn,-9.0,157.,166,True
Texas-Arlington,Austin Peay,Texas-Arlington,-5.0,144.,126,False
Oklahoma,Providence,Providence,3.0,136.5.,156,True
Tulane,Belmont,Belmont,2.0,154.,155,True
Virginia Tech,South Carolina,South Carolina,-6.0,139.,130,True
Richmond,Ball St.,Richmond,-4.0,134.,133,False
Incarnate Word,Western Illinois,Incarnate Word,-1.5,137.,161,False
Lindenwood,Missouri,Lindenwood,30.5,148.5.,142,False
South Dakota,Nebraska,South Dakota,22.5,157.,175,False
Texas A&M,Creighton,Texas A&M,-3.5,146.5.,150,False
Colgate,UNC Wilmington,Colgate,8.0,146.,131,False
Milwaukee,Central Florida,Milwaukee,13.0,154.5.,160,False
South Carolina State,Marshall,Marshall,-10.5,147.5.,135,True
Rider,Villanova,Villanova,-18.5,137.5.,120,True
Alabama St.,Cincinnati,Alabama St.,29.0,145.,136,False
UNC Greensboro,Texas-El Paso,Texas-El Paso,1.5,137.5.,122,True
Davidson,Arizona,Arizona,-15.5,152.5.,175,True
Utah Valley,Samford,Samford,-5.0,157.5.,160,True
Charleston Southern,Georgia Tech,Georgia Tech,-19.5,150.5.,158,True
Northern Arizona,Houston Christian,Houston Christian,4.0,137.,145,True
Massachusetts Lowell,Saint Louis,Massachusetts Lowell,10.5,164.,183,False
Maryland-Eastern Shore,Little Rock,Little Rock,-18.0,143.,137,True
Michigan,Xavier,Michigan,-2.0,153.,131,False
CSU Northridge,Montana,Montana,1.0,153.5.,158,True
Stonehill,Marquette,Marquette,-34.5,142.,153,True
Southern Methodist,Washington St.,Southern Methodist,-4.5,161.,137,False
Michigan St.,North Carolina,Michigan St.,5.5,158.,185,False
Mercyhurst,California,California,-22.5,140.,136,True
Rutgers,Alabama,Rutgers,12.5,162.5.,185,False
Long Beach St.,San Jose St.,San Jose St.,-7.0,125.5.,148,True
Arkansas-Pine Bluff,Pacific,Arkansas-Pine Bluff,17.0,158.5.,154,False
