Rank,Hotness Score,Matchup,Time,Location
1,97.6,#37 Michigan St  vs.  #13 N Carolina,9:30 PM,Lahaina Civic Center
1,97.6,#36 Memphis  vs.  #4 Auburn,5:00 PM,Lahaina Civic Center
3,96.8,#29 Michigan  vs.  #44 Xavier,8:30 PM,Suncoast Credit Union Arena
4,96.5,#10 Connecticut  vs.  #59 Dayton,11:59 PM,Lahaina Civic Center
5,96.0,#51 Louisville  vs.  #31 Indiana,12:00 PM,Imperial Arena
6,95.6,#35 Texas A&M  vs.  #48 Creighton,6:30 PM,MGM Grand Arena
7,95.3,#38 Oregon  vs.  #50 San Diego St,4:00 PM,MGM Grand Arena
8,94.7,#69 Colorado  vs.  #11 Iowa St,2:30 PM,Lahaina Civic Center
9,94.6,#70 Rutgers  vs.  #6 Alabama,10:00 PM,MGM Grand Arena
10,94.4,#66 W Virginia  vs.  #1 Gonzaga,2:30 PM,Imperial Arena
11,92.2,#46 Oklahoma  vs.  #78 Providence,5:00 PM,Imperial Arena
12,91.0,#58 S Methodist  vs.  #80 Wash State,9:30 PM,Acrisure Arena
13,90.8,#114 Davidson  vs.  #20 Arizona,7:30 PM,Imperial Arena
14,86.5,#113 VA Tech  vs.  #73 S Carolina,6:00 PM,Suncoast Credit Union Arena
15,79.8,#132 Utah Valley  at  #120 Samford,7:30 PM,Pete Hanna Center
16,77.8,#177 WI-Milwkee  at  #72 UCF,7:00 PM,Addition Financial Arena
17,75.6,#146 Mass Lowell  at  #142 Saint Louis,8:00 PM,Chaifetz Arena
18,75.3,#186 Cornell  at  #93 Syracuse,7:00 PM,JMA Wireless Dome
19,72.9,#232 Bucknell  at  #24 Maryland,4:30 PM,Xfinity Center
20,71.7,#240 Alabama St  at  #7 Cincinnati,7:00 PM,Fifth Third Arena
21,71.4,#136 NC-Grnsboro  vs.  #182 TX El Paso,7:30 PM,Dollar Loan Center
22,70.8,#236 Rider  at  #63 Villanova,7:00 PM,William B. Finneran Pavilion
23,70.2,#127 Sam Hous St  vs.  #192 App State,4:00 PM,Trask Coliseum
24,70.0,#234 South Dakota  at  #54 Nebraska,6:30 PM,Pinnacle Bank Arena
25,69.1,#211 E Kentucky  vs.  #115 LA Tech,12:00 PM,Germain Arena
26,67.0,#197 N Kentucky  at  #143 Col Charlestn,1:00 PM,TD Arena
27,65.4,#178 Tulane  vs.  #185 Belmont,6:00 PM,Hard Rock Hotel Riviera Maya
28,65.1,#199 E Tenn St  at  #161 Charlotte,2:00 PM,Dale F. Halton Arena
29,64.5,#163 Bryant  at  #201 Chattanooga,2:00 PM,McKenzie Arena
30,63.1,#263 Fresno St  vs.  #80 Wash State,12:00 AM,Acrisure Arena
31,63.0,#230 Colgate  at  #135 NC-Wilmgton,7:00 PM,Trask Coliseum
32,62.7,#215 Wyoming  vs.  #165 Loyola Mymt,8:30 PM,Hard Rock Hotel Riviera Maya
33,61.5,#155 Cal St Nrdge  at  #228 Montana,9:00 PM,Dahlberg Arena/Robin Selvig Court
34,60.2,#305 TN Martin  at  #5 Tennessee,4:00 PM,Thompson-Boling Arena at Food City Center
35,55.4,#149 U Mass  at  #271 Harvard,4:00 PM,Lavietes Pavilion
36,54.1,#167 Cal Baptist  vs.  #263 Fresno St,11:59 PM,Acrisure Arena
37,53.7,#190 Gard-Webb  vs.  #247 Beth-Cook,3:00 PM,Hard Rock Hotel Riviera Maya
38,53.3,#314 Detroit  vs.  #86 Rhode Island,12:00 PM,Florida State College at Jacksonville South Campus
38,53.3,#340 Stonehill  at  #14 Marquette,9:00 PM,Fiserv Forum
38,53.3,#212 TX-Arlington  vs.  #226 Austin Peay,5:00 PM,Florida State College at Jacksonville South Campus
41,51.6,#229 Tulsa  vs.  #225 Georgia St,2:30 PM,Florida State College at Jacksonville South Campus
42,50.8,#352 New Orleans  at  #17 Baylor,2:00 PM,Paul and Alejandra Foster Pavilion
43,50.0,#313 Charl South  at  #123 GA Tech,7:30 PM,McCamish Pavilion
44,49.8,#351 Lindenwood  at  #41 Missouri,6:30 PM,Mizzou Arena
45,48.0,#264 S Car State  at  #206 Marshall,7:00 PM,Cam Henderson Center
46,47.3,#222 Richmond  vs.  #256 Ball St,6:00 PM,Germain Arena
47,40.7,#265 North Dakota  vs.  #255 SE Louisiana,12:30 PM,Hard Rock Hotel Riviera Maya
48,40.6,#354 Mercyhurst  at  #130 California,10:00 PM,Haas Pavilion
49,38.9,#193 Presbyterian  at  #328 TN Tech,2:00 PM,Hooper Eblen Center
50,36.9,#274 Sac State  at  #268 Air Force,4:00 PM,Clune Arena
51,36.7,#250 Merrimack  vs.  #290 UTSA,1:00 PM,Trojan Arena
52,34.8,#318 W Michigan  at  #227 Youngs St,2:00 PM,Zidian Family Arena at Beeghly Center
53,33.9,#321 Stony Brook  at  #233 Brown,2:00 PM,Pizzitola Sports Center
54,33.6,#336 N Illinois  at  #216 Valparaiso,4:00 PM,Athletics-Recreation Center
55,32.0,#241 San Jose St  vs.  #323 Lg Beach St,11:00 PM,Dollar Loan Center
56,27.0,#278 Incar Word  vs.  #319 W Illinois,6:00 PM,Mitchell Center
57,26.6,#242 N Dakota St  vs.  #350 W Georgia,4:00 PM,Pete Hanna Center
58,25.2,#333 Morgan St  at  #270 Maryland BC,12:00 PM,Chesapeake Employers Insurance Arena
59,24.6,#360 Maryland ES  at  #235 AR Lit Rock,8:00 PM,Jack Stephens Center
60,23.5,#267 N Arizona  at  #347 Hsn Christian,8:00 PM,Sharp Gymnasium
61,21.9,#357 Canisius  at  #254 Rob Morris,4:00 PM,UPMC Events Center
62,15.7,#358 NJIT  vs.  #289 Morehead St,4:00 PM,Wolstein Center
63,14.0,#363 Ark Pine Bl  at  #293 Pacific,10:00 PM,Alex G. Spanos Center
64,--,Dalton St.  at  #195 N Alabama,2:00 PM,CB&S Bank Arena at Flowers Hall
64,--,Texas A&M Kingsville  at  #281 TX Southern,2:00 PM,H&PE Arena
64,--,Marian University  at  #304 San Diego,10:00 PM,Jenny Craig Pavilion
64,--,Averett  at  #138 Winthrop,6:30 PM,Winthrop Coliseum
64,--,Nazareth College  at  #126 Princeton,4:00 PM,Jadwin Gymnasium
64,--,#174 S Illinois  vs.   Florida Tech,3:00 PM,Germain Arena
64,--,Plattsburgh State  at  #172 Vermont,7:00 PM,Patrick Gymnasium
