Rank_current_season,Hotness Score_current_season,Time_current_season,Location_current_season,Away Team Rank_current_season,Away Team_current_season,Home Team Rank_current_season,Home Team_current_season,Away Team DraftKings_current_season,Away Team Covers_current_season,Home Team DraftKings_current_season,Home Team Covers_current_season,Away Team Spread_current_season,Away Team Odds_current_season,Away Team Underdog_current_season,Home Team Spread_current_season,Home Team Odds_current_season,Home Team Underdog_current_season,Away Team Team_current_season,Away Team all_games_ATS Record_current_season,Away Team all_games_Cover %_current_season,Away Team all_games_MOV_current_season,Away Team all_games_ATS +/-_current_season,Away Team is_away_ATS Record_current_season,Away Team is_away_Cover %_current_season,Away Team is_away_MOV_current_season,Away Team is_away_ATS +/-_current_season,Home Team Team_current_season,Home Team all_games_ATS Record_current_season,Home Team all_games_Cover %_current_season,Home Team all_games_MOV_current_season,Home Team all_games_ATS +/-_current_season,Home Team is_home_ATS Record_current_season,Home Team is_home_Cover %_current_season,Home Team is_home_MOV_current_season,Home Team is_home_ATS +/-_current_season,Underdog is_dog Team_current_season,Underdog is_dog Spread_current_season,Underdog is_dog Odds_current_season,Underdog is_dog ATS Record_current_season,Underdog is_dog Cover %_current_season,Underdog is_dog MOV_current_season,Underdog is_dog ATS +/-_current_season,Favorite is_fav Team_current_season,Favorite is_fav Spread_current_season,Favorite is_fav Odds_current_season,Favorite is_fav ATS Record_current_season,Favorite is_fav Cover %_current_season,Favorite is_fav MOV_current_season,Favorite is_fav ATS +/-_current_season,Rank_all_time,Hotness Score_all_time,Time_all_time,Location_all_time,Away Team Rank_all_time,Away Team_all_time,Home Team Rank_all_time,Home Team_all_time,Away Team DraftKings_all_time,Away Team Covers_all_time,Home Team DraftKings_all_time,Home Team Covers_all_time,Away Team Spread_all_time,Away Team Odds_all_time,Away Team Underdog_all_time,Home Team Spread_all_time,Home Team Odds_all_time,Home Team Underdog_all_time,Away Team Team_all_time,Away Team all_games_ATS Record_all_time,Away Team all_games_Cover %_all_time,Away Team all_games_MOV_all_time,Away Team all_games_ATS +/-_all_time,Away Team is_away_ATS Record_all_time,Away Team is_away_Cover %_all_time,Away Team is_away_MOV_all_time,Away Team is_away_ATS +/-_all_time,Home Team Team_all_time,Home Team all_games_ATS Record_all_time,Home Team all_games_Cover %_all_time,Home Team all_games_MOV_all_time,Home Team all_games_ATS +/-_all_time,Home Team is_home_ATS Record_all_time,Home Team is_home_Cover %_all_time,Home Team is_home_MOV_all_time,Home Team is_home_ATS +/-_all_time,Underdog is_dog Team_all_time,Underdog is_dog Spread_all_time,Underdog is_dog Odds_all_time,Underdog is_dog ATS Record_all_time,Underdog is_dog Cover %_all_time,Underdog is_dog MOV_all_time,Underdog is_dog ATS +/-_all_time,Favorite is_fav Team_all_time,Favorite is_fav Spread_all_time,Favorite is_fav Odds_all_time,Favorite is_fav ATS Record_all_time,Favorite is_fav Cover %_all_time,Favorite is_fav MOV_all_time,Favorite is_fav ATS +/-_all_time,Rank_last_10_seasons,Hotness Score_last_10_seasons,Time_last_10_seasons,Location_last_10_seasons,Away Team Rank_last_10_seasons,Away Team_last_10_seasons,Home Team Rank_last_10_seasons,Home Team_last_10_seasons,Away Team DraftKings_last_10_seasons,Away Team Covers_last_10_seasons,Home Team DraftKings_last_10_seasons,Home Team Covers_last_10_seasons,Away Team Spread_last_10_seasons,Away Team Odds_last_10_seasons,Away Team Underdog_last_10_seasons,Home Team Spread_last_10_seasons,Home Team Odds_last_10_seasons,Home Team Underdog_last_10_seasons,Away Team Team_last_10_seasons,Away Team all_games_ATS Record_last_10_seasons,Away Team all_games_Cover %_last_10_seasons,Away Team all_games_MOV_last_10_seasons,Away Team all_games_ATS +/-_last_10_seasons,Away Team is_away_ATS Record_last_10_seasons,Away Team is_away_Cover %_last_10_seasons,Away Team is_away_MOV_last_10_seasons,Away Team is_away_ATS +/-_last_10_seasons,Home Team Team_last_10_seasons,Home Team all_games_ATS Record_last_10_seasons,Home Team all_games_Cover %_last_10_seasons,Home Team all_games_MOV_last_10_seasons,Home Team all_games_ATS +/-_last_10_seasons,Home Team is_home_ATS Record_last_10_seasons,Home Team is_home_Cover %_last_10_seasons,Home Team is_home_MOV_last_10_seasons,Home Team is_home_ATS +/-_last_10_seasons,Underdog is_dog Team_last_10_seasons,Underdog is_dog Spread_last_10_seasons,Underdog is_dog Odds_last_10_seasons,Underdog is_dog ATS Record_last_10_seasons,Underdog is_dog Cover %_last_10_seasons,Underdog is_dog MOV_last_10_seasons,Underdog is_dog ATS +/-_last_10_seasons,Favorite is_fav Team_last_10_seasons,Favorite is_fav Spread_last_10_seasons,Favorite is_fav Odds_last_10_seasons,Favorite is_fav ATS Record_last_10_seasons,Favorite is_fav Cover %_last_10_seasons,Favorite is_fav MOV_last_10_seasons,Favorite is_fav ATS +/-_last_10_seasons
1,81.0,10:00 PM,Golden 1 Center,11,Minnesota,12,Sacramento,MIN Timberwolves,Minnesota,SAC Kings,Sacramento,-1.5,−112,False,+1.5,−108,True,Minnesota,4-8-0,33.3%,2.7,-4.5,2-4-0,33.3%,-3.5,-9.2,Sacramento,6-5-1,54.6%,4.0,-1.0,2-2-1,50.0%,8.0,0.4,Sacramento,+1.5,−108,2-2-0,50.0%,1.0,2.0,Minnesota,-1.5,−112,4-8-0,33.3%,2.7,-4.5,1,81.0,10:00 PM,Golden 1 Center,11,Minnesota,12,Sacramento,MIN Timberwolves,Minnesota,SAC Kings,Sacramento,-1.5,−112,False,+1.5,−108,True,Minnesota,803-913-27,46.8%,-1.9,-0.4,422-431-17,49.5%,-4.1,0.2,Sacramento,835-854-41,49.4%,-2.4,-0.4,393-444-21,47.0%,0.2,-0.7,Sacramento,+1.5,−108,535-518-24,50.8%,-6.1,0.3,Minnesota,-1.5,−112,316-385-11,45.1%,4.6,-1.0,1,81.0,10:00 PM,Golden 1 Center,11,Minnesota,12,Sacramento,MIN Timberwolves,Minnesota,SAC Kings,Sacramento,-1.5,−112,False,+1.5,−108,True,Minnesota,388-437-14,47.0%,-1.2,-0.1,203-209-7,49.3%,-3.1,0.4,Sacramento,402-395-24,50.4%,-2.4,-0.3,182-210-12,46.4%,-1.0,-1.2,Sacramento,+1.5,−108,261-239-16,52.2%,-5.8,0.5,Minnesota,-1.5,−112,156-190-7,45.1%,5.1,-0.8
2,78.1,10:00 PM,Chase Center,6,Memphis,4,Golden State,MEM Grizzlies,Memphis,GS Warriors,Golden State,+7.5,−112,True,-7.5,−108,False,Memphis,7-5-0,58.3%,8.2,6.6,3-3-0,50.0%,6.2,6.8,Golden State,9-2-0,81.8%,11.1,9.6,3-1-0,75.0%,7.0,3.8,Memphis,+7.5,−112,3-1-0,75.0%,3.8,8.3,Golden State,-7.5,−108,5-1-0,83.3%,16.7,10.1,2,78.1,10:00 PM,Chase Center,6,Memphis,4,Golden State,MEM Grizzlies,Memphis,GS Warriors,Golden State,+7.5,−112,True,-7.5,−108,False,Memphis,906-863-31,51.2%,-0.4,0.3,443-437-16,50.3%,-3.1,0.4,Golden State,945-880-38,51.8%,2.3,0.3,491-424-19,53.7%,5.7,0.7,Memphis,+7.5,−112,474-454-15,51.1%,-5.2,0.9,Golden State,-7.5,−108,549-521-22,51.3%,7.6,0.1,2,78.1,10:00 PM,Chase Center,6,Memphis,4,Golden State,MEM Grizzlies,Memphis,GS Warriors,Golden State,+7.5,−112,True,-7.5,−108,False,Memphis,430-417-13,50.8%,-0.6,0.3,203-216-6,48.5%,-3.2,-0.2,Golden State,472-454-21,51.0%,5.3,0.1,245-220-12,52.7%,8.1,0.5,Memphis,+7.5,−112,227-226-5,50.1%,-5.5,0.7,Golden State,-7.5,−108,358-340-19,51.3%,8.6,0.1
3,77.5,8:00 PM,Toyota Center,17,La Clippers,8,Houston,LA Clippers,L.A. Clippers,HOU Rockets,Houston,+4.5,−108,True,-4.5,−112,False,La Clippers,7-5-0,58.3%,0.7,3.1,4-1-0,80.0%,1.6,8.5,Houston,7-5-0,58.3%,5.2,2.5,5-2-0,71.4%,10.1,4.7,La Clippers,+4.5,−108,5-3-0,62.5%,-1.8,4.4,Houston,-4.5,−112,5-4-0,55.6%,7.0,1.7,3,77.5,8:00 PM,Toyota Center,17,La Clippers,8,Houston,LA Clippers,L.A. Clippers,HOU Rockets,Houston,+4.5,−108,True,-4.5,−112,False,La Clippers,880-918-20,48.9%,0.8,-0.1,438-446-12,49.6%,-1.9,0.2,Houston,889-906-26,49.5%,1.3,0.2,430-455-18,48.6%,4.1,0.0,La Clippers,+4.5,−108,371-426-7,46.6%,-6.0,-0.1,Houston,-4.5,−112,505-518-15,49.4%,6.0,-0.4,3,77.5,8:00 PM,Toyota Center,17,La Clippers,8,Houston,LA Clippers,L.A. Clippers,HOU Rockets,Houston,+4.5,−108,True,-4.5,−112,False,La Clippers,447-436-7,50.6%,2.9,0.2,226-202-5,52.8%,0.9,0.9,Houston,426-445-14,48.9%,0.3,-0.3,209-218-9,49.0%,2.8,-0.1,La Clippers,+4.5,−108,146-152-1,49.0%,-4.7,0.5,Houston,-4.5,−112,235-236-7,49.9%,6.3,-0.4
4,73.5,7:00 PM,Gainbridge Fieldhouse,18,Miami,16,Indiana,MIA Heat,Miami,IND Pacers,Indiana,+4,−108,True,-4,−112,False,Miami,4-6-0,40.0%,-1.0,-2.1,4-2-0,66.7%,1.8,1.6,Indiana,6-5-0,54.6%,-2.7,-3.2,3-1-0,75.0%,4.3,3.4,Miami,+4,−108,2-2-0,50.0%,-6.0,-1.6,Indiana,-4,−112,2-3-0,40.0%,-3.6,-9.7,4,73.5,7:00 PM,Gainbridge Fieldhouse,18,Miami,16,Indiana,MIA Heat,Miami,IND Pacers,Indiana,+4,−108,True,-4,−112,False,Miami,975-927-43,51.3%,1.8,0.1,494-440-20,52.9%,-0.9,0.3,Indiana,914-876-42,51.1%,0.6,0.3,461-420-25,52.3%,4.1,0.8,Miami,+4,−108,375-349-17,51.8%,-4.6,0.9,Indiana,-4,−112,467-447-18,51.1%,5.4,-0.2,4,73.5,7:00 PM,Gainbridge Fieldhouse,18,Miami,16,Indiana,MIA Heat,Miami,IND Pacers,Indiana,+4,−108,True,-4,−112,False,Miami,453-429-23,51.4%,0.8,0.2,234-196-8,54.4%,-1.3,0.8,Indiana,433-407-18,51.6%,0.4,0.5,214-193-12,52.6%,3.2,0.9,Miami,+4,−108,211-184-6,53.4%,-3.8,1.6,Indiana,-4,−112,209-199-9,51.2%,5.1,-0.1
5,73.4,7:30 PM,Frost Bank Center,15,La Lakers,19,San Antonio,LA Lakers,L.A. Lakers,SA Spurs,San Antonio,-3,−112,False,+3,−108,True,La Lakers,6-5-0,54.6%,0.2,-2.5,1-4-0,20.0%,-10.2,-10.9,San Antonio,6-6-0,50.0%,0.7,2.3,4-3-0,57.1%,7.0,5.6,San Antonio,+3,−108,4-4-0,50.0%,-3.9,1.3,La Lakers,-3,−112,4-3-0,57.1%,5.7,-0.5,5,73.4,7:30 PM,Frost Bank Center,15,La Lakers,19,San Antonio,LA Lakers,L.A. Lakers,SA Spurs,San Antonio,-3,−112,False,+3,−108,True,La Lakers,870-973-32,47.2%,0.3,-0.4,430-478-13,47.4%,-3.1,-0.9,San Antonio,975-893-38,52.2%,3.7,0.5,499-426-20,54.0%,7.0,0.8,San Antonio,+3,−108,290-293-8,49.7%,-5.6,0.0,La Lakers,-3,−112,462-541-19,46.1%,5.4,-1.2,5,73.4,7:30 PM,Frost Bank Center,15,La Lakers,19,San Antonio,LA Lakers,L.A. Lakers,SA Spurs,San Antonio,-3,−112,False,+3,−108,True,La Lakers,403-447-12,47.4%,-1.8,-0.3,192-218-5,46.8%,-4.9,-0.9,San Antonio,427-416-15,50.7%,1.0,0.2,215-200-3,51.8%,3.9,0.4,San Antonio,+3,−108,195-197-8,49.7%,-6.5,-0.1,La Lakers,-3,−112,165-193-6,46.1%,4.3,-1.5
6,69.3,8:00 PM,Paycom Center,13,Phoenix,1,Okla City,PHO Suns,Phoenix,OKC Thunder,Oklahoma City,+7.5,−108,True,-7.5,−112,False,Phoenix,4-8-0,33.3%,0.5,-2.0,3-3-0,50.0%,-2.0,-2.4,Okla City,8-4-0,66.7%,12.7,4.2,4-3-0,57.1%,12.0,1.9,Phoenix,+7.5,−108,2-2-0,50.0%,-4.3,-0.4,Okla City,-7.5,−112,7-4-0,63.6%,12.5,3.0,6,69.3,8:00 PM,Paycom Center,13,Phoenix,1,Okla City,PHO Suns,Phoenix,OKC Thunder,Oklahoma City,+7.5,−108,True,-7.5,−112,False,Phoenix,896-892-28,50.1%,0.5,-0.1,455-428-16,51.5%,-2.2,0.1,Okla City,947-857-31,52.5%,0.9,0.3,469-428-14,52.3%,4.1,0.4,Phoenix,+7.5,−108,397-413-13,49.0%,-5.9,0.3,Okla City,-7.5,−112,508-470-10,51.9%,6.6,0.1,6,69.3,8:00 PM,Paycom Center,13,Phoenix,1,Okla City,PHO Suns,Phoenix,OKC Thunder,Oklahoma City,+7.5,−108,True,-7.5,−112,False,Phoenix,419-434-10,49.1%,-1.3,-0.6,207-210-7,49.6%,-3.6,-0.4,Okla City,445-406-14,52.3%,1.1,0.3,220-197-8,52.8%,4.2,1.0,Phoenix,+7.5,−108,214-229-5,48.3%,-7.2,-0.4,Okla City,-7.5,−112,234-227-4,50.8%,6.9,0.3
7,67.3,8:00 PM,Smoothie King Center,9,Denver,21,New Orleans,DEN Nuggets,Denver,NO Pelicans,New Orleans,-4.5,−110,False,+4.5,−110,True,Denver,4-5-1,44.4%,2.9,-1.1,1-2-0,33.3%,1.3,-2.2,New Orleans,2-10-0,16.7%,-10.3,-8.6,2-4-0,33.3%,-4.2,-2.8,New Orleans,+4.5,−110,1-6-0,14.3%,-11.3,-5.6,Denver,-4.5,−110,2-5-1,28.6%,3.8,-2.6,7,67.3,8:00 PM,Smoothie King Center,9,Denver,21,New Orleans,DEN Nuggets,Denver,NO Pelicans,New Orleans,-4.5,−110,False,+4.5,−110,True,Denver,929-877-35,51.4%,1.9,0.2,444-440-20,50.2%,-2.0,-0.3,New Orleans,864-862-30,50.1%,-1.0,0.3,432-429-13,50.2%,1.4,-0.1,New Orleans,+4.5,−110,507-479-17,51.4%,-4.8,1.3,Denver,-4.5,−110,543-525-19,50.8%,6.2,-0.3,7,67.3,8:00 PM,Smoothie King Center,9,Denver,21,New Orleans,DEN Nuggets,Denver,NO Pelicans,New Orleans,-4.5,−110,False,+4.5,−110,True,Denver,434-437-20,49.8%,1.6,-0.1,206-212-9,49.3%,-1.7,-0.6,New Orleans,413-416-11,49.8%,-0.4,0.4,206-206-4,50.0%,1.5,0.1,New Orleans,+4.5,−110,231-225-7,50.7%,-4.3,1.3,Denver,-4.5,−110,251-270-12,48.2%,5.5,-0.8
8,66.5,7:30 PM,Madison Square Garden,27,Brooklyn,5,New York,BKN Nets,Brooklyn,NY Knicks,New York,+9.5,−110,True,-9.5,−110,False,Brooklyn,9-3-0,75.0%,-2.8,3.7,5-1-0,83.3%,-2.2,6.9,New York,5-6-0,45.5%,3.6,0.0,2-2-0,50.0%,10.0,4.4,Brooklyn,+9.5,−110,7-2-0,77.8%,-3.3,6.0,New York,-9.5,−110,5-5-0,50.0%,6.3,1.7,8,66.5,7:30 PM,Madison Square Garden,27,Brooklyn,5,New York,BKN Nets,Brooklyn,NY Knicks,New York,+9.5,−110,True,-9.5,−110,False,Brooklyn,863-894-34,49.1%,-2.1,-0.4,445-428-15,51.0%,-4.2,0.2,New York,873-849-23,50.7%,-2.1,0.1,423-439-9,49.1%,0.0,-0.4,Brooklyn,+9.5,−110,521-533-20,49.4%,-6.2,0.2,New York,-9.5,−110,321-301-5,51.6%,4.4,-0.5,8,66.5,7:30 PM,Madison Square Garden,27,Brooklyn,5,New York,BKN Nets,Brooklyn,NY Knicks,New York,+9.5,−110,True,-9.5,−110,False,Brooklyn,414-419-15,49.7%,-2.0,0.0,219-192-5,53.3%,-3.5,0.6,New York,413-407-14,50.4%,-2.4,0.4,197-213-6,48.1%,-0.7,-0.1,Brooklyn,+9.5,−110,266-245-11,52.1%,-5.9,0.6,New York,-9.5,−110,148-123-3,54.6%,5.5,0.8
9,60.1,7:00 PM,Kia Center,20,Philadelphia,10,Orlando,PHI 76ers,Philadelphia,ORL Magic,Orlando,+2.5,−110,True,-2.5,−110,False,Philadelphia,3-8-0,27.3%,-8.0,-5.5,2-3-0,40.0%,-5.6,-1.7,Orlando,6-7-0,46.2%,3.7,2.3,5-1-0,83.3%,17.0,9.2,Philadelphia,+2.5,−110,3-4-0,42.9%,-7.9,-1.7,Orlando,-2.5,−110,5-2-0,71.4%,14.1,6.6,9,60.1,7:00 PM,Kia Center,20,Philadelphia,10,Orlando,PHI 76ers,Philadelphia,ORL Magic,Orlando,+2.5,−110,True,-2.5,−110,False,Philadelphia,893-878-30,50.4%,-1.1,0.1,444-439-13,50.3%,-3.7,0.2,Orlando,866-877-37,49.7%,-1.4,-0.1,414-444-18,48.3%,1.2,-0.4,Philadelphia,+2.5,−110,487-488-14,50.0%,-6.3,0.4,Orlando,-2.5,−110,360-364-14,49.7%,5.1,-0.7,9,60.1,7:00 PM,Kia Center,20,Philadelphia,10,Orlando,PHI 76ers,Philadelphia,ORL Magic,Orlando,+2.5,−110,True,-2.5,−110,False,Philadelphia,451-412-17,52.3%,0.0,0.4,209-214-11,49.4%,-2.9,0.1,Orlando,413-405-13,50.5%,-3.6,-0.1,190-204-8,48.2%,-1.4,-0.3,Philadelphia,+2.5,−110,216-211-8,50.6%,-6.8,0.4,Orlando,-2.5,−110,116-101-3,53.5%,4.8,-0.2
10,58.8,7:00 PM,Scotiabank Arena,23,Detroit,26,Toronto,DET Pistons,Detroit,TOR Raptors,Toronto,-1.5,−108,False,+1.5,−112,True,Detroit,7-5-1,58.3%,-2.5,2.6,3-2-1,60.0%,-0.7,4.7,Toronto,8-4-0,66.7%,-8.0,1.0,4-1-0,80.0%,-5.4,2.3,Toronto,+1.5,−112,8-4-0,66.7%,-8.0,1.0,Detroit,-1.5,−108,0-2-0,0.0%,0.0,-1.5,10,58.8,7:00 PM,Scotiabank Arena,23,Detroit,26,Toronto,DET Pistons,Detroit,TOR Raptors,Toronto,-1.5,−108,False,+1.5,−112,True,Detroit,868-895-41,49.2%,-1.1,-0.2,432-443-25,49.4%,-3.8,-0.1,Toronto,893-875-34,50.5%,0.4,0.2,430-445-18,49.1%,3.0,-0.1,Toronto,+1.5,−112,442-435-22,50.4%,-4.9,0.6,Detroit,-1.5,−108,387-394-16,49.6%,5.1,-0.7,10,58.8,7:00 PM,Scotiabank Arena,23,Detroit,26,Toronto,DET Pistons,Detroit,TOR Raptors,Toronto,-1.5,−108,False,+1.5,−112,True,Detroit,389-404-22,49.1%,-3.6,-0.1,190-205-13,48.1%,-6.1,-0.3,Toronto,444-441-13,50.2%,2.3,0.2,216-219-6,49.7%,4.6,0.0,Toronto,+1.5,−112,167-162-9,50.8%,-4.2,0.7,Detroit,-1.5,−108,113-119-3,48.7%,3.9,-1.0
