Away Team,Home Team,Cover Team,Closing Spread,Closing Total Line,Actual Total Score,Home Cover
Indiana,Orlando,Orlando,-1.0,224.5.,184,True
Chicago,New York,Chicago,8.5,232.5.,247,False
Cleveland,Philadelphia,Philadelphia,11.5,218.5.,220,True
Boston,Brooklyn,Boston,-10.0,219.,253,False
New Orleans,Oklahoma City,Oklahoma City,-14.5,224.5.,194,True
L.A. Clippers,Houston,Houston,-5.0,213.5.,214,True
Washington,San Antonio,Washington,9.5,224.5.,269,False
Memphis,L.A. Lakers,Memphis,7.5,233.,251,False
Phoenix,Sacramento,Sacramento,-8.0,226.5.,231,True
Minnesota,Portland,Portland,10.0,219.5.,204,True
