Rank,Hotness Score,Matchup,Time,Location
1,86.9,#6 Memphis  at  #17 LA Lakers,10:00 PM,Crypto.com Arena
2,86.3,#12 Phoenix  at  #13 Sacramento,10:00 PM,Golden 1 Center
3,79.0,#16 LA Clippers  at  #10 Houston,8:00 PM,Toyota Center
4,77.7,#15 Indiana  at  #11 Orlando,7:00 PM,Kia Center
5,71.6,#23 Detroit  at  #14 Milwaukee,8:00 PM,Fiserv Forum
6,70.4,#2 Boston  at  #25 Brooklyn,7:30 PM,Barclays Center
7,66.7,#9 Minnesota  at  #28 Portland,10:00 PM,Moda Center
8,62.0,#26 Chicago  at  #5 New York,7:30 PM,Madison Square Garden
9,57.3,#3 Cleveland  at  #20 Philadelphia,7:30 PM,Wells Fargo Center
10,48.7,#21 New Orleans  at  #1 Okla City,7:30 PM,Paycom Center
11,38.1,#30 Washington  at  #19 San Antonio,8:00 PM,Frost Bank Center
