,Rank_current_season,Hotness Score_current_season,Time_current_season,Location_current_season,Away Team Rank_current_season,Away Team_current_season,Home Team Rank_current_season,Home Team_current_season,Away Team Covers_current_season,Home Team Covers_current_season,Away Team Spread_current_season,Away Team Implied Odds_current_season,Away Team Underdog_current_season,Home Team Spread_current_season,Home Team Implied Odds_current_season,Home Team Underdog_current_season,Away Team all_games_Sample Size_current_season,Away Team all_games_Cover %_current_season,Away Team all_games_MOV_current_season,Away Team all_games_ATS +/-_current_season,Away Team is_away_Sample Size_current_season,Away Team is_away_Cover %_current_season,Away Team is_away_MOV_current_season,Away Team is_away_ATS +/-_current_season,Home Team all_games_Sample Size_current_season,Home Team all_games_Cover %_current_season,Home Team all_games_MOV_current_season,Home Team all_games_ATS +/-_current_season,Home Team is_home_Sample Size_current_season,Home Team is_home_Cover %_current_season,Home Team is_home_MOV_current_season,Home Team is_home_ATS +/-_current_season,Underdog is_dog Team_current_season,Underdog is_dog Spread_current_season,Underdog is_dog Implied Odds_current_season,Underdog is_dog Sample Size_current_season,Underdog is_dog Cover %_current_season,Underdog is_dog MOV_current_season,Underdog is_dog ATS +/-_current_season,Favorite is_fav Team_current_season,Favorite is_fav Spread_current_season,Favorite is_fav Implied Odds_current_season,Favorite is_fav Sample Size_current_season,Favorite is_fav Cover %_current_season,Favorite is_fav MOV_current_season,Favorite is_fav ATS +/-_current_season,Away Team Covers_all_time,Home Team Covers_all_time,Away Team Spread_all_time,Home Team Spread_all_time,Away Team all_games_Sample Size_all_time,Away Team all_games_Cover %_all_time,Away Team all_games_MOV_all_time,Away Team all_games_ATS +/-_all_time,Away Team is_away_Sample Size_all_time,Away Team is_away_Cover %_all_time,Away Team is_away_MOV_all_time,Away Team is_away_ATS +/-_all_time,Home Team all_games_Sample Size_all_time,Home Team all_games_Cover %_all_time,Home Team all_games_MOV_all_time,Home Team all_games_ATS +/-_all_time,Home Team is_home_Sample Size_all_time,Home Team is_home_Cover %_all_time,Home Team is_home_MOV_all_time,Home Team is_home_ATS +/-_all_time,Underdog is_dog Spread_all_time,Underdog is_dog Sample Size_all_time,Underdog is_dog Cover %_all_time,Underdog is_dog MOV_all_time,Underdog is_dog ATS +/-_all_time,Favorite is_fav Spread_all_time,Favorite is_fav Sample Size_all_time,Favorite is_fav Cover %_all_time,Favorite is_fav MOV_all_time,Favorite is_fav ATS +/-_all_time,Away Team Covers_last_10_seasons,Home Team Covers_last_10_seasons,Away Team Spread_last_10_seasons,Home Team Spread_last_10_seasons,Away Team all_games_Sample Size_last_10_seasons,Away Team all_games_Cover %_last_10_seasons,Away Team all_games_MOV_last_10_seasons,Away Team all_games_ATS +/-_last_10_seasons,Away Team is_away_Sample Size_last_10_seasons,Away Team is_away_Cover %_last_10_seasons,Away Team is_away_MOV_last_10_seasons,Away Team is_away_ATS +/-_last_10_seasons,Home Team all_games_Sample Size_last_10_seasons,Home Team all_games_Cover %_last_10_seasons,Home Team all_games_MOV_last_10_seasons,Home Team all_games_ATS +/-_last_10_seasons,Home Team is_home_Sample Size_last_10_seasons,Home Team is_home_Cover %_last_10_seasons,Home Team is_home_MOV_last_10_seasons,Home Team is_home_ATS +/-_last_10_seasons,Underdog is_dog Spread_last_10_seasons,Underdog is_dog Sample Size_last_10_seasons,Underdog is_dog Cover %_last_10_seasons,Underdog is_dog MOV_last_10_seasons,Underdog is_dog ATS +/-_last_10_seasons,Favorite is_fav Spread_last_10_seasons,Favorite is_fav Sample Size_last_10_seasons,Favorite is_fav Cover %_last_10_seasons,Favorite is_fav MOV_last_10_seasons,Favorite is_fav ATS +/-_last_10_seasons,Away Team_current_season_map,Home Team_current_season_map,Favorite is_fav Team_current_season_map,Underdog is_dog Team_current_season_map,Away Team,Home Team,Home Cover
14,25,70.8,7:00 PM,Baha Mar Convention Center,153,Hofstra,169,Rice,Hofstra,Rice,-2.0,0.5283,False,2.0,0.5192,True,0,0.6,-1.3,1.8,0,0.333,-16.7,-2.2,6,0.667,7.0,3.0,3,0.667,8.3,-0.2,Rice,2.0,0.5192,0,1.0,7.0,13.5,Hofstra,-2.0,0.5283,0,1.0,14.0,9.5,Hofstra,Rice,-2.0,2.0,0,0.518,2.9,0.5,0,0.563,-0.8,1.4,713,0.472,-2.1,-0.3,319,0.463,3.6,-0.3,2.0,486,0.467,-9.3,-0.4,-2.0,0,0.499,6.6,-0.1,Hofstra,Rice,-2.0,2.0,0,0.534,5.5,0.6,0,0.62,2.4,2.1,292,0.482,-1.2,0.0,131,0.48,3.9,-0.1,2.0,190,0.481,-7.9,0.1,-2.0,0,0.512,7.0,-0.1,111.0,245.0,111.0,245.0,Hofstra,Rice,False
15,27,69.8,7:30 PM,ENMAX Centre,189,Kennesaw St,138,Towson,Kennesaw St.,Towson,3.0,0.5238,True,-3.0,0.5238,False,0,0.8,12.7,5.5,0,1.0,-4.0,6.5,6,0.5,3.6,-4.1,1,1.0,29.5,+2.0,Kennesaw St,3.0,0.5238,0,0.667,-6.3,4.2,Towson,-3.0,0.5238,0,0.667,4.7,-0.2,Kennesaw St.,Towson,3.0,-3.0,0,0.481,-5.9,-0.5,0,0.475,-12.3,-1.0,624,0.511,-2.5,0.1,257,0.51,2.4,-0.1,3.0,176,0.463,-13.1,-1.0,-3.0,0,0.505,5.8,-0.1,Kennesaw St.,Towson,3.0,-3.0,0,0.454,-4.2,-1.0,0,0.444,-11.9,-1.4,289,0.511,2.8,0.3,112,0.518,8.5,0.3,3.0,151,0.427,-13.6,-1.7,-3.0,0,0.497,6.2,0.0,136.0,303.0,303.0,136.0,,,
16,31,62.0,12:00 PM,Trask Coliseum,200,Colgate,184,App State,Colgate,Appalachian St.,1.0,0.5413,True,-1.0,0.505,False,0,0.5,-1.2,-1.3,0,0.4,-8.0,-2.5,5,0.4,4.5,-4.8,3,0.333,13.8,-6.2,Colgate,1.0,0.5413,0,0.667,-4.0,6.8,App State,-1.0,0.505,0,0.333,0.3,-6.2,Colgate,Appalachian St.,1.0,-1.0,0,0.553,0.2,1.4,0,0.557,-4.9,1.3,663,0.509,1.8,0.1,267,0.504,9.3,-0.1,1.0,76,0.575,-7.9,2.1,-1.0,0,0.498,5.4,-0.9,Colgate,Appalachian St.,1.0,-1.0,0,0.552,4.7,1.3,0,0.542,-0.5,0.9,296,0.504,1.7,0.1,122,0.488,10.0,0.0,1.0,59,0.561,-7.0,2.0,-1.0,0,0.452,4.5,-1.6,55.0,9.0,9.0,55.0,,,
17,35,53.5,9:00 PM,Moody Center,336,Delaware St,27,Texas,Delaware State,Texas,34.0,0.5283,True,-34.0,0.5192,False,0,0.0,6.0,-5.5,0,0.0,-21.0,-5.5,6,0.5,21.5,0.3,3,0.667,41.3,+5.5,Delaware St,34.0,0.5283,0,0.0,-21.0,-5.5,Texas,-34.0,0.5192,0,0.5,21.5,0.3,Delaware State,Texas,34.0,-34.0,0,0.451,-4.9,-1.4,0,0.413,-11.5,-2.2,848,0.489,6.7,0.0,386,0.486,13.5,0.5,34.0,192,0.476,-14.2,-0.9,-34.0,0,0.468,9.9,-0.4,Delaware State,Texas,34.0,-34.0,0,0.456,-8.5,-1.6,0,0.395,-16.2,-2.7,335,0.482,5.2,0.1,172,0.453,11.0,0.1,34.0,174,0.48,-14.6,-1.1,-34.0,0,0.442,10.0,-0.9,69.0,295.0,295.0,69.0,Delaware State,Texas,False
18,36,53.4,1:00 PM,Mullett Arena,188,Weber St,247,Bowling Grn,Weber St.,Bowling Green,-3.0,0.5122,False,3.0,0.5349,True,0,0.5,10.3,-8.6,0,0.333,-21.0,-11.8,6,0.333,5.2,4.1,3,0.333,22.0,+11.5,Bowling Grn,3.0,0.5349,0,0.333,-9.7,1.8,Weber St,-3.0,0.5122,0,0.0,0.0,0.0,Weber St.,Bowling Green,-3.0,3.0,0,0.525,4.5,0.3,0,0.521,-2.9,0.0,763,0.485,0.3,-0.5,339,0.482,5.7,-0.8,3.0,418,0.484,-6.7,-0.1,-3.0,0,0.521,7.8,0.4,Weber St.,Bowling Green,-3.0,3.0,0,0.474,5.1,-1.1,0,0.492,-2.5,-1.2,298,0.473,0.7,-1.3,135,0.431,5.0,-2.3,3.0,150,0.51,-6.2,-0.3,-3.0,0,0.465,6.1,-1.0,349.0,28.0,349.0,28.0,,,
19,38,50.8,4:00 PM,John Paul Jones Arena,316,Holy Cross,112,Virginia,Holy Cross,Virginia,15.5,0.5122,True,-15.5,0.5349,False,0,0.5,-1.0,1.4,0,0.5,-13.8,0.5,6,0.167,-0.3,-5.4,3,0.0,11.7,-7.5,Holy Cross,15.5,0.5122,0,0.6,-9.6,2.3,Virginia,-15.5,0.5349,0,0.0,11.7,-7.5,Holy Cross,Virginia,15.5,-15.5,0,0.452,-1.1,-0.7,0,0.519,-4.6,0.6,788,0.503,5.2,-0.3,373,0.523,11.3,0.5,15.5,206,0.483,-8.9,0.0,-15.5,0,0.512,9.8,0.0,Holy Cross,Virginia,15.5,-15.5,0,0.438,-5.2,-0.9,0,0.487,-8.4,0.3,334,0.529,8.8,-0.3,156,0.507,13.9,-0.2,15.5,178,0.466,-8.9,-0.3,-15.5,0,0.537,11.1,0.1,112.0,338.0,338.0,112.0,Holy Cross,Virginia,True
20,39,50.0,3:30 PM,Mullett Arena,179,N Mex State,274,Pepperdine,New Mexico St.,Pepperdine,-5.5,0.5238,False,4.5,0.5283,True,0,0.5,4.2,1.1,0,0.667,-5.3,2.7,6,0.2,-11.8,-4.3,2,0.5,2.0,-4.0,Pepperdine,4.5,0.5283,0,0.0,-18.8,-4.5,N Mex State,-5.5,0.5238,0,0.5,6.5,2.5,New Mexico St.,Pepperdine,-5.5,4.5,0,0.494,5.5,0.1,0,0.483,-1.9,-0.2,787,0.486,-1.9,-0.5,331,0.465,2.2,-1.5,4.5,442,0.499,-9.5,0.0,-5.5,0,0.512,8.6,0.1,New Mexico St.,Pepperdine,-5.5,4.5,0,0.509,7.8,0.0,0,0.475,0.5,-1.2,310,0.475,-2.7,-0.9,138,0.471,2.1,-1.3,4.5,173,0.462,-10.8,-0.9,-5.5,0,0.521,9.3,0.3,198.0,232.0,198.0,232.0,,,
21,42,44.5,12:00 PM,Conte Forum,345,Dartmouth,111,Boston Col,Dartmouth,Boston College,17.0,0.5283,True,-17.0,0.5192,False,0,0.25,6.4,-10.6,0,0.0,-20.5,-13.5,7,0.571,6.0,3.1,3,0.667,11.0,+1.8,Dartmouth,17.0,0.5283,0,0.0,-20.5,-13.5,Boston Col,-17.0,0.5192,0,0.5,15.5,4.9,Dartmouth,Boston College,17.0,-17.0,0,0.466,-4.8,-0.6,0,0.491,-9.4,0.1,772,0.504,0.0,0.0,364,0.458,3.9,-1.4,17.0,407,0.482,-9.9,-0.3,-17.0,0,0.481,6.6,-1.2,Dartmouth,Boston College,17.0,-17.0,0,0.459,-2.1,-0.5,0,0.461,-7.5,-0.5,310,0.477,-2.9,-0.1,152,0.477,1.5,-0.5,17.0,161,0.483,-8.0,0.0,-17.0,0,0.494,7.9,-1.0,65.0,26.0,26.0,65.0,Dartmouth,Boston College,False
22,46,32.1,3:00 PM,Wolstein Center,303,Morehead St,261,Cleveland St,Morehead St.,Cleveland St.,5.0,0.5283,True,-5.0,0.5192,False,0,0.4,-8.7,-7.7,0,0.333,-29.7,-9.2,7,0.571,-3.9,-3.4,3,0.333,8.3,-7.2,Morehead St,5.0,0.5283,0,0.333,-29.7,-9.2,Cleveland St,-5.0,0.5192,0,0.5,5.5,-4.0,Morehead St.,Cleveland St.,5.0,-5.0,0,0.502,1.0,0.2,0,0.497,-6.3,0.1,764,0.483,-0.5,-0.4,338,0.483,5.5,-0.4,5.0,354,0.503,-9.2,0.2,-5.0,0,0.49,5.9,-0.5,Morehead St.,Cleveland St.,5.0,-5.0,0,0.534,2.8,0.4,0,0.529,-4.7,0.5,314,0.5,-1.3,-0.1,136,0.489,5.2,0.0,5.0,148,0.539,-8.3,0.7,-5.0,0,0.453,5.7,-0.7,184.0,52.0,52.0,184.0,Morehead St.,Cleveland St.,False
23,47,30.4,11:00 AM,Mitchell Center,359,Alcorn St,199,S Alabama,Alcorn St.,South Alabama,17.5,0.5283,True,-17.5,0.5192,False,0,0.4,-27.4,-6.2,0,0.4,-27.4,-6.2,6,0.667,7.9,2.5,4,0.5,11.8,-1.0,Alcorn St,17.5,0.5283,0,0.4,-31.0,-6.2,S Alabama,-17.5,0.5192,0,0.5,6.3,-1.0,Alcorn St.,South Alabama,17.5,-17.5,0,0.476,-5.6,-1.1,0,0.48,-12.9,-1.6,728,0.516,1.3,0.0,328,0.506,7.2,-0.2,17.5,161,0.462,-17.2,-1.8,-17.5,0,0.503,5.5,-0.6,Alcorn St.,South Alabama,17.5,-17.5,0,0.5,-4.8,-0.6,0,0.512,-12.9,-0.7,299,0.556,1.0,0.6,135,0.556,7.2,1.6,17.5,126,0.492,-16.1,-1.2,-17.5,0,0.5,4.1,-1.0,7.0,250.0,250.0,7.0,Alcorn St.,South Alabama,False
