Away Team,Home Team,Cover Team,Closing Spread,Closing Total Line,Actual Total Score
Memphis,Clemson,Memphis,+5.5,145.,169,[]
Western Illinois,South Dakota,South Dakota,-9.5,153.5.,155,[]
LIU,Missouri,LIU,+27.5,147.5.,149,[]
South Carolina State,Furman,South Carolina State,+12.5,142.,132,[]
Texas A&M,Purdue,Texas A&M,+2,142.5.,136,[]
Coppin St.,Penn St.,Penn St.,-36.5,145.,150,[]
Queens University Of Charlotte,Gardner-Webb,Queens University of Charlotte,+6,155.5.,168,[]
High Point,Appalachian St.,High Point,-5,137.,124,[]
East Tennessee St.,Jacksonville,Jacksonville,+2.5,148.,112,[]
Stony Brook,Rider,Stony Brook,+6,135.,127,[]
Lamar,UL Lafayette,Lamar,+3,145.,119,[]
Auburn,Ohio St.,Auburn,-12.5,151.,144,[]
Maine,Canisius,Canisius,+8,134.5.,163,[]
Wichita St.,DePaul,DePaul,-4.5,151.5.,163,[]
Toledo,Youngstown St.,Youngstown St.,-1.5,148.5.,180,[]
Dartmouth,Massachusetts Lowell,Dartmouth,+11,155.,175,[]
South Carolina Upstate,South Carolina,South Carolina Upstate,+23.5,150.5.,126,[]
North Carolina Central,Longwood,North Carolina Central,+8.5,145.,147,[]
Tulsa,Central Florida,Central Florida,-10.5,143.5.,163,[]
Xavier,Cincinnati,Xavier,+8,146.5.,133,[]
Charlotte,Georgia St.,Charlotte,+1.5,143.5.,140,[]
Western Carolina,UNC Asheville,UNC Asheville,-7,147.,139,[]
Georgetown,Syracuse,Georgetown,-1,151.,146,[]
Wisconsin,Butler,Wisconsin,-5,147.5.,157,[]
UNC Wilmington,Howard,Howard,+4.5,146.,171,[]
Ball St.,Bellarmine,Ball St.,-3.5,143.,168,[]
UCLA,Arizona,UCLA,+4,144.5.,111,[]
UL Monroe,Texas-Arlington,UL Monroe,+13,150.,145,[]
Northwestern St.,California,California,-17,143.5.,150,[]
Seton Hall,Rutgers,Seton Hall,+10.5,134.5.,129,[]
NC State,Kansas,Kansas,-14.5,142.5.,135,[]
Florida,Arizona State,Florida,-7,156.5.,149,[]
Northern Arizona,Pepperdine,Pepperdine,-4,145.5.,162,[]
South Florida,Utah St.,Utah St.,-16.5,156.,155,[]
La Salle,North Carolina,North Carolina,-20.5,162.5.,160,[]
Florida International,Stetson,Florida International,-3.5,147.5.,153,[]
Central Arkansas,Arkansas,Central Arkansas,+27,147.,139,[]
Ohio,Marshall,Marshall,+1,155.5.,149,[]
Central Michigan,Valparaiso,Valparaiso,-1,145.,170,[]
Mississippi,Southern Miss,Mississippi,-23,146.5.,123,[]
Louisiana State,Southern Methodist,Southern Methodist,-4.5,155.,138,[]
Wagner,NJIT,Wagner,-2.5,120.5.,93,[]
Bradley,Santa Clara,Santa Clara,-3,144.5.,158,[]
Tulane,Florida State,Florida State,-10.5,147.5.,141,[]
IUPUI,Lindenwood,Lindenwood,-1,142.,144,[]
Southern Illinois,Austin Peay,Southern Illinois,-1.5,134.5.,125,[]
UC Irvine,Oregon St.,Oregon St.,-2.5,137.,122,[]
Bethune-Cookman,West Virginia,Bethune-Cookman,+23.5,137.5.,145,[]
Utah Valley,Jacksonville St.,Jacksonville St.,-2.5,141.,136,[]
UNC Greensboro,North Florida,North Florida,-1.5,149.5.,166,[]
Missouri St.,Washington St.,Washington St.,-11,141.5.,169,[]
St. Bonaventure,Providence,St. Bonaventure,+3,127.,144,[]
Louisville,Kentucky,Louisville,+9.5,160.5.,178,[]
Tennessee,Illinois,Tennessee,-1.5,148.,130,[]
Green Bay,UC Santa Barbara,UC Santa Barbara,-13.5,152.,149,[]
Towson,Duquesne,Duquesne,+2.5,128.,112,[]
McNeese St.,Mississippi State,McNeese St.,+9,144.,129,[]
St. Francis (PA),Niagara,St. Francis (PA),+4,136.5.,135,[]
Grand Canyon,Georgia,Grand Canyon,+6.5,148.,141,[]
Belmont,Richmond,Belmont,-2,149.5.,179,[]
Drexel,Albany,Drexel,+2.5,144.5.,147,[]
San Diego,Fresno St.,Fresno St.,-5,153.5.,138,[]
Loyola (MD),Mount St. Mary'S,Loyola (MD),+3,140.5.,146,[]
Detroit Mercy,Davidson,Davidson,-16,144.,137,[]
Marquette,Dayton,Dayton,-1,149.5.,134,[]
Radford,Utah,Radford,+20,146.5.,144,[]
North Carolina A&T,Liberty,North Carolina A&T,+20,142.5.,157,[]
VCU,Colorado St.,VCU,-6.5,137.,144,[]
Gonzaga,Connecticut,Connecticut,+3.5,152.5.,148,[]
Oklahoma,Oklahoma State,Oklahoma,-3.5,153.,145,[]
Eastern Illinois,Eastern Kentucky,Eastern Kentucky,-10,141.5.,147,[]
Bowling Green,Kansas City,Kansas City,-3.5,144.,162,[]
Creighton,Alabama,Creighton,+11.5,164.5.,158,[]
Saint Mary'S,Boise St.,Boise St.,+2.5,139.5.,132,[]
Prairie View A&M,Loyola Marymount,Prairie View A&M,+18,158.,151,[]
Wyoming,Brigham Young,Brigham Young,-16,144.5.,117,[]
Texas Southern,Nevada,Nevada,-21.5,141.,178,[]
Cal Poly SLO,San Jose St.,San Jose St.,-6,154.5.,207,[]
UC Davis,Sacramento State,UC Davis,-6,138.,131,[]
Pacific,UNLV,Pacific,+12.5,138.5.,137,[]
