Rank,Hotness Score,Matchup,Time,Location
1,98.9,#2 Gonzaga  vs.  #11 Connecticut,8:00 PM,Madison Square Garden
2,98.5,#5 Tennessee  at  #14 Illinois,5:30 PM,State Farm Center
2,98.5,#17 Arizona  vs.  #16 UCLA,3:00 PM,Footprint Center
4,98.1,#1 Auburn  vs.  #21 Ohio St,1:00 PM,State Farm Arena
5,98.0,#31 Texas A&M  vs.  #20 Purdue,12:00 PM,Gainbridge Fieldhouse
6,97.1,#38 Creighton  at  #7 Alabama,8:30 PM,Coleman Coliseum
7,96.7,#9 Marquette  at  #52 Dayton,7:00 PM,University of Dayton Arena
8,95.7,#47 Memphis  at  #30 Clemson,11:00 AM,Littlejohn Coliseum
9,95.6,#57 Xavier  at  #18 Cincinnati,2:00 PM,Fifth Third Arena
10,95.4,#58 Louisville  at  #8 Kentucky,5:15 PM,Rupp Arena at Central Bank Center
11,95.3,#59 Arizona St  vs.  #13 Florida,3:30 PM,State Farm Arena
12,95.1,#51 LSU  vs.  #46 S Methodist,4:00 PM,Comerica Center
13,94.6,#68 NC State  at  #10 Kansas,3:15 PM,Allen Fieldhouse
14,94.2,#44 St Marys  vs.  #60 Boise St,9:00 PM,Mountain America Center
15,93.7,#37 Wisconsin  vs.  #71 Butler,2:30 PM,Gainbridge Fieldhouse
16,91.9,#45 Oklahoma  vs.  #82 Oklahoma St,8:00 PM,Paycom Center
17,91.5,#32 Miss State  vs.  #93 McNeese St,6:00 PM,BancorpSouth Arena
18,91.0,#61 UC Irvine  at  #85 Oregon St,5:00 PM,Gill Coliseum
19,90.7,#97 Grd Canyon  vs.  #35 Georgia,6:00 PM,State Farm Arena
20,89.6,#101 Colorado St  vs.  #53 VCU,7:30 PM,Dollar Loan Center
21,89.5,#67 Bradley  vs.  #90 Santa Clara,4:30 PM,Dollar Loan Center
22,87.5,#100 St Bonavent  vs.  #78 Providence,5:00 PM,Mohegan Sun Arena
23,87.3,#94 Wichita St  at  #89 DePaul,1:00 PM,Wintrust Arena
24,86.9,#98 Georgetown  at  #91 Syracuse,2:30 PM,JMA Wireless Dome
25,85.5,#124 Seton Hall  at  #63 Rutgers,3:00 PM,Jersey Mike's Arena
