Team,all_games_Over Record,all_games_Over %,all_games_Under %,all_games_Total +/-,equal_rest_Over Record,equal_rest_Over %,equal_rest_Under %,equal_rest_Total +/-,four_plus_days_off_Over Record,four_plus_days_off_Over %,four_plus_days_off_Under %,four_plus_days_off_Total +/-,is_after_loss_Over Record,is_after_loss_Over %,is_after_loss_Under %,is_after_loss_Total +/-,is_after_win_Over Record,is_after_win_Over %,is_after_win_Under %,is_after_win_Total +/-,is_away_Over Record,is_away_Over %,is_away_Under %,is_away_Total +/-,is_dog_Over Record,is_dog_Over %,is_dog_Under %,is_dog_Total +/-,is_fav_Over Record,is_fav_Over %,is_fav_Under %,is_fav_Total +/-,is_home_Over Record,is_home_Over %,is_home_Under %,is_home_Total +/-,no_rest_Over Record,no_rest_Over %,no_rest_Under %,no_rest_Total +/-,one_day_off_Over Record,one_day_off_Over %,one_day_off_Under %,one_day_off_Total +/-,rest_advantage_Over Record,rest_advantage_Over %,rest_advantage_Under %,rest_advantage_Total +/-,rest_disadvantage_Over Record,rest_disadvantage_Over %,rest_disadvantage_Under %,rest_disadvantage_Total +/-,two_three_days_off_Over Record,two_three_days_off_Over %,two_three_days_off_Under %,two_three_days_off_Total +/-
Atlanta,16-8-0,66.7%,33.3%,2.7,8-3-0,72.7%,27.3%,6.4,1-0-0,100.0%,0.0%,12.5,9-2-0,81.8%,18.2%,6.8,6-6-0,50.0%,50.0%,-1.8,7-5-0,58.3%,41.7%,0.8,6-5-0,54.6%,45.5%,-3.9,10-3-0,76.9%,23.1%,8.3,9-3-0,75.0%,25.0%,4.6,1-4-0,20.0%,80.0%,-9.1,11-4-0,73.3%,26.7%,5.0,5-1-0,83.3%,16.7%,2.8,3-4-0,42.9%,57.1%,-3.0,3-0-0,100.0%,0.0%,8.0
Indiana,16-8-0,66.7%,33.3%,0.1,11-4-0,73.3%,26.7%,2.1,0-1-0,0.0%,100.0%,-12.0,11-3-0,78.6%,21.4%,5.6,5-4-0,55.6%,44.4%,-7.2,8-6-0,57.1%,42.9%,-3.7,7-2-0,77.8%,22.2%,8.4,9-6-0,60.0%,40.0%,-4.9,8-2-0,80.0%,20.0%,5.3,2-2-0,50.0%,50.0%,-4.8,13-4-0,76.5%,23.5%,2.9,2-1-0,66.7%,33.3%,-3.0,3-3-0,50.0%,50.0%,-3.4,1-1-0,50.0%,50.0%,-8.0
Denver,13-7-0,65.0%,35.0%,8.0,10-2-0,83.3%,16.7%,8.6,0-2-0,0.0%,100.0%,-31.0,3-5-0,37.5%,62.5%,-0.8,10-1-0,90.9%,9.1%,18.6,6-4-0,60.0%,40.0%,7.8,4-2-0,66.7%,33.3%,2.0,9-5-0,64.3%,35.7%,10.5,7-3-0,70.0%,30.0%,8.1,2-1-0,66.7%,33.3%,22.7,8-4-0,66.7%,33.3%,8.4,1-2-0,33.3%,66.7%,-1.5,2-3-0,40.0%,60.0%,12.1,3-0-0,100.0%,0.0%,17.5
Chicago,15-9-0,62.5%,37.5%,8.2,7-5-0,58.3%,41.7%,3.9,1-0-0,100.0%,0.0%,9.0,8-5-0,61.5%,38.5%,10.0,6-4-0,60.0%,40.0%,5.8,8-5-0,61.5%,38.5%,8.3,14-7-0,66.7%,33.3%,8.4,1-2-0,33.3%,66.7%,7.2,7-4-0,63.6%,36.4%,8.2,4-2-0,66.7%,33.3%,11.2,8-5-0,61.5%,38.5%,5.7,3-3-0,50.0%,50.0%,9.9,5-1-0,83.3%,16.7%,15.2,2-2-0,50.0%,50.0%,11.9
Memphis,14-9-0,60.9%,39.1%,3.1,9-6-0,60.0%,40.0%,3.5,1-0-0,100.0%,0.0%,20.5,4-4-0,50.0%,50.0%,-3.9,9-5-0,64.3%,35.7%,5.9,6-3-0,66.7%,33.3%,7.2,5-2-0,71.4%,28.6%,3.6,9-7-0,56.3%,43.8%,2.9,8-6-0,57.1%,42.9%,0.5,2-1-0,66.7%,33.3%,2.0,9-8-0,52.9%,47.1%,-0.1,1-2-0,33.3%,66.7%,4.7,4-1-0,80.0%,20.0%,1.0,2-0-0,100.0%,0.0%,23.3
Cleveland,14-9-0,60.9%,39.1%,4.6,9-5-0,64.3%,35.7%,6.4,1-0-0,100.0%,0.0%,17.0,1-2-0,33.3%,66.7%,-6.3,12-7-0,63.2%,36.8%,5.6,5-4-0,55.6%,44.4%,3.4,1-2-0,33.3%,66.7%,-3.0,13-7-0,65.0%,35.0%,5.7,9-5-0,64.3%,35.7%,5.3,2-2-0,50.0%,50.0%,3.9,10-6-0,62.5%,37.5%,3.7,3-1-0,75.0%,25.0%,7.6,2-3-0,40.0%,60.0%,-2.9,1-1-0,50.0%,50.0%,6.5
New York,13-9-0,59.1%,40.9%,5.4,12-4-0,75.0%,25.0%,9.5,1-0-0,100.0%,0.0%,19.5,4-4-0,50.0%,50.0%,3.9,8-5-0,61.5%,38.5%,5.2,8-4-0,66.7%,33.3%,8.2,2-0-0,100.0%,0.0%,24.3,11-9-0,55.0%,45.0%,3.5,5-5-0,50.0%,50.0%,2.1,2-0-0,100.0%,0.0%,11.0,10-5-0,66.7%,33.3%,7.5,0-5-0,0.0%,100.0%,-9.6,1-0-0,100.0%,0.0%,15.0,0-4-0,0.0%,100.0%,-8.6
Phoenix,12-9-0,57.1%,42.9%,0.6,6-4-0,60.0%,40.0%,0.4,1-1-0,50.0%,50.0%,-1.5,3-5-0,37.5%,62.5%,-4.1,8-4-0,66.7%,33.3%,3.4,7-2-0,77.8%,22.2%,4.6,4-4-0,50.0%,50.0%,-0.3,8-5-0,61.5%,38.5%,1.1,5-7-0,41.7%,58.3%,-2.4,2-2-0,50.0%,50.0%,2.6,8-4-0,66.7%,33.3%,2.4,1-3-0,25.0%,75.0%,-10.9,5-2-0,71.4%,28.6%,7.5,1-2-0,33.3%,66.7%,-8.0
Dallas,13-10-0,56.5%,43.5%,0.2,6-5-0,54.6%,45.5%,-1.8,1-0-0,100.0%,0.0%,2.5,3-5-0,37.5%,62.5%,-8.9,9-5-0,64.3%,35.7%,5.2,9-3-0,75.0%,25.0%,7.2,8-0-0,100.0%,0.0%,11.8,5-10-0,33.3%,66.7%,-6.1,4-7-0,36.4%,63.6%,-7.5,5-0-0,100.0%,0.0%,21.1,6-8-0,42.9%,57.1%,-4.4,0-3-0,0.0%,100.0%,-22.3,7-2-0,77.8%,22.2%,10.0,1-2-0,33.3%,66.7%,-14.2
Miami,11-9-0,55.0%,45.0%,0.2,9-5-0,64.3%,35.7%,2.8,2-0-0,100.0%,0.0%,12.5,4-6-0,40.0%,60.0%,-5.3,6-3-0,66.7%,33.3%,5.8,6-5-0,54.6%,45.5%,0.0,5-2-0,71.4%,28.6%,0.3,6-7-0,46.2%,53.9%,0.2,5-4-0,55.6%,44.4%,0.6,0-3-0,0.0%,100.0%,-22.3,8-4-0,66.7%,33.3%,4.3,2-1-0,66.7%,33.3%,7.7,0-3-0,0.0%,100.0%,-19.0,1-2-0,33.3%,66.7%,-1.7
