Away Team,Home Team,Cover Team,Closing Spread,Closing Total Line,Actual Total Score,Home Cover
Philadelphia,Orlando,Orlando,-2.5,208.5.,184,True
Miami,Indiana,Miami,4.5,228.5.,235,False
Detroit,Toronto,Detroit,-2.5,225.,194,False
L.A. Lakers,San Antonio,L.A. Lakers,-2.5,228.,235,False
Chicago,Cleveland,Cleveland,-10.0,238.,270,True
Brooklyn,New York,Brooklyn,8.5,214.,246,False
Washington,Atlanta,Atlanta,-9.0,241.5.,246,True
Phoenix,Oklahoma City,Oklahoma City,-7.5,228.,182,True
Denver,New Orleans,New Orleans,2.0,218.,195,True
L.A. Clippers,Houston,Houston,-4.5,214.5.,229,True
Minnesota,Sacramento,Minnesota,-1.5,222.,256,False
Memphis,Golden State,Memphis,7.0,236.5.,241,False
