Rank,Hotness Score,Matchup,Time,Location
1,81.0,#11 Minnesota  at  #12 Sacramento,10:00 PM,Golden 1 Center
2,78.1,#6 Memphis  at  #4 Golden State,10:00 PM,Chase Center
3,77.5,#17 LA Clippers  at  #8 Houston,8:00 PM,Toyota Center
4,73.5,#18 Miami  at  #16 Indiana,7:00 PM,Gainbridge Fieldhouse
5,73.4,#15 LA Lakers  at  #19 San Antonio,7:30 PM,Frost Bank Center
6,69.3,#13 Phoenix  at  #1 Okla City,8:00 PM,Paycom Center
7,67.3,#9 Denver  at  #21 New Orleans,8:00 PM,Smoothie King Center
8,66.5,#27 Brooklyn  at  #5 New York,7:30 PM,Madison Square Garden
9,60.1,#20 Philadelphia  at  #10 Orlando,7:00 PM,Kia Center
10,58.8,#23 Detroit  at  #26 Toronto,7:00 PM,Scotiabank Arena
11,54.2,#24 Chicago  at  #3 Cleveland,7:30 PM,Rocket Mortgage FieldHouse
12,45.0,#30 Washington  at  #22 Atlanta,7:30 PM,State Farm Arena
