Rank,Hotness Score,Time,Location,Away Team Rank,Away Team,Home Team Rank,Home Team,Away Team DraftKings,Away Team Covers,Home Team DraftKings,Home Team Covers,Away Team Spread,Away Team Odds,Away Team Underdog,Home Team Spread,Home Team Odds,Home Team Underdog,Away Team Team,Away Team all_games_ATS Record,Away Team all_games_Cover %,Away Team all_games_MOV,Away Team all_games_ATS +/-,Away Team is_away_ATS Record,Away Team is_away_Cover %,Away Team is_away_MOV,Away Team is_away_ATS +/-,Home Team Team,Home Team all_games_ATS Record,Home Team all_games_Cover %,Home Team all_games_MOV,Home Team all_games_ATS +/-,Home Team is_home_ATS Record,Home Team is_home_Cover %,Home Team is_home_MOV,Home Team is_home_ATS +/-,Underdog is_dog Team,Underdog is_dog Spread,Underdog is_dog Odds,Underdog is_dog ATS Record,Underdog is_dog Cover %,Underdog is_dog MOV,Underdog is_dog ATS +/-,Favorite is_fav Team,Favorite is_fav Spread,Favorite is_fav Odds,Favorite is_fav ATS Record,Favorite is_fav Cover %,Favorite is_fav MOV,Favorite is_fav ATS +/-
1,81.8,10:00 PM,Chase Center,10,Minnesota,8,Golden State,MIN Timberwolves,Minnesota,GS Warriors,Golden State,-1,−105,False,+1,−115,True,Minnesota,807-918-27,46.8%,-1.8,-0.4,425-432-17,49.6%,-4.1,0.3,Golden State,949-886-38,51.7%,2.3,0.3,494-426-19,53.7%,5.7,0.7,Golden State,+1,−115,396-355-16,52.7%,-5.3,0.6,Minnesota,-1,−105,319-390-11,45.0%,4.7,-0.9
2,75.6,8:00 PM,Frost Bank Center,16,Sacramento,17,San Antonio,SAC Kings,Sacramento,SA Spurs,San Antonio,-6,−108,False,+6,−112,True,Sacramento,837-863-41,49.2%,-2.4,-0.4,439-408-20,51.8%,-4.9,0.0,San Antonio,980-898-38,52.2%,3.7,0.5,502-429-20,53.9%,6.9,0.8,San Antonio,+6,−112,293-297-8,49.7%,-5.6,0.0,Sacramento,-6,−108,298-337-17,46.9%,3.8,-1.5
3,75.2,7:30 PM,TD Garden,13,Milwaukee,2,Boston,MIL Bucks,Milwaukee,BOS Celtics,Boston,+8,−108,True,-8,−112,False,Milwaukee,875-909-35,49.1%,0.2,-0.5,446-438-16,50.5%,-2.6,-0.2,Boston,995-926-38,51.8%,3.0,0.6,470-481-22,49.4%,5.2,0.1,Milwaukee,+8,−108,397-431-10,48.0%,-5.9,-0.1,Boston,-8,−112,619-612-23,50.3%,6.4,-0.1
4,71.5,7:00 PM,Wells Fargo Center,9,Orlando,19,Philadelphia,ORL Magic,Orlando,PHI 76ers,Philadelphia,-3.5,−112,False,+3.5,−108,True,Orlando,874-880-37,49.8%,-1.4,-0.1,448-428-19,51.1%,-4.0,0.1,Philadelphia,897-883-30,50.4%,-1.1,0.1,447-432-17,50.9%,1.6,-0.1,Philadelphia,+3.5,−108,488-492-14,49.8%,-6.3,0.3,Orlando,-3.5,−112,367-366-14,50.1%,5.2,-0.6
5,68.7,7:30 PM,State Farm Arena,18,La Lakers,21,Atlanta,LA Lakers,L.A. Lakers,ATL Hawks,Atlanta,+5.5,−112,True,-5.5,−108,False,La Lakers,872-982-32,47.0%,0.3,-0.5,432-483-13,47.2%,-3.1,-1.0,Atlanta,874-936-19,48.3%,-1.4,-0.4,448-455-8,49.6%,1.5,-0.4,La Lakers,+5.5,−112,401-431-13,48.2%,-6.0,0.3,Atlanta,-5.5,−108,389-404-10,49.1%,4.3,-1.1
6,59.4,8:00 PM,United Center,20,Indiana,22,Chicago,IND Pacers,Indiana,CHI Bulls,Chicago,-3.5,−108,False,+3.5,−112,True,Indiana,915-886-43,50.8%,0.6,0.3,446-454-17,49.6%,-2.8,-0.2,Chicago,889-889-24,50.0%,-0.4,0.1,430-459-10,48.4%,1.6,-0.7,Chicago,+3.5,−112,481-474-12,50.4%,-5.0,0.6,Indiana,-3.5,−108,468-454-19,50.8%,5.3,-0.3
7,41.6,10:00 PM,Moda Center,29,Utah,28,Portland,UTA Jazz,Utah,POR Trail Blazers,Portland,+2.5,−108,True,-2.5,−112,False,Utah,892-877-37,50.4%,1.0,0.1,430-452-15,48.8%,-2.9,-0.5,Portland,870-894-27,49.3%,-1.2,-0.3,435-437-13,49.9%,2.1,-0.1,Utah,+2.5,−108,395-413-16,48.9%,-5.6,0.2,Portland,-2.5,−112,411-392-12,51.2%,5.2,-0.2
