Team,all_games_ATS Record,all_games_Cover %,all_games_MOV,all_games_ATS +/-,equal_rest_ATS Record,equal_rest_Cover %,equal_rest_MOV,equal_rest_ATS +/-,four_plus_days_off_ATS Record,four_plus_days_off_Cover %,four_plus_days_off_MOV,four_plus_days_off_ATS +/-,is_after_loss_ATS Record,is_after_loss_Cover %,is_after_loss_MOV,is_after_loss_ATS +/-,is_after_win_ATS Record,is_after_win_Cover %,is_after_win_MOV,is_after_win_ATS +/-,is_away_ATS Record,is_away_Cover %,is_away_MOV,is_away_ATS +/-,is_dog_ATS Record,is_dog_Cover %,is_dog_MOV,is_dog_ATS +/-,is_fav_ATS Record,is_fav_Cover %,is_fav_MOV,is_fav_ATS +/-,is_home_ATS Record,is_home_Cover %,is_home_MOV,is_home_ATS +/-,no_rest_ATS Record,no_rest_Cover %,no_rest_MOV,no_rest_ATS +/-,one_day_off_ATS Record,one_day_off_Cover %,one_day_off_MOV,one_day_off_ATS +/-,rest_advantage_ATS Record,rest_advantage_Cover %,rest_advantage_MOV,rest_advantage_ATS +/-,rest_disadvantage_ATS Record,rest_disadvantage_Cover %,rest_disadvantage_MOV,rest_disadvantage_ATS +/-,two_three_days_off_ATS Record,two_three_days_off_Cover %,two_three_days_off_MOV,two_three_days_off_ATS +/-
Cleveland,13-4-0,76.5%,12.3,5.8,8-3-0,72.7%,14.9,6.6,1-0-0,100.0%,30.0,23.5,1-0-0,100.0%,28.0,14.0,11-4-0,73.3%,10.1,4.1,6-2-0,75.0%,9.5,5.7,3-0-0,100.0%,1.3,5.2,10-4-0,71.4%,14.6,6.0,7-2-0,77.8%,14.8,5.9,3-1-0,75.0%,13.3,4.8,9-3-0,75.0%,10.5,4.7,1-1-0,50.0%,11.0,0.5,4-0-0,100.0%,5.8,6.3,,,,
Golden State,10-4-0,71.4%,10.5,8.0,9-1-0,90.0%,14.7,12.8,1-0-0,100.0%,36.0,28.5,3-0-0,100.0%,17.3,17.7,6-4-0,60.0%,5.9,3.0,6-2-0,75.0%,11.4,10.3,4-1-0,80.0%,4.4,9.1,6-3-0,66.7%,13.9,7.3,4-2-0,66.7%,9.3,4.8,1-0-0,100.0%,15.0,12.0,7-2-0,77.8%,9.8,7.8,1-3-0,25.0%,0.0,-4.1,,,,,1-2-0,33.3%,2.7,0.2
Brooklyn,10-4-1,71.4%,-3.0,3.4,5-3-1,62.5%,-3.1,2.7,1-0-0,100.0%,-4.0,2.5,6-2-1,75.0%,-0.1,7.0,3-2-0,60.0%,-8.0,-3.0,6-1-1,85.7%,-3.1,6.0,8-2-1,80.0%,-3.8,5.5,2-2-0,50.0%,-0.8,-2.5,4-3-0,57.1%,-2.9,0.4,3-0-0,100.0%,3.3,12.8,5-4-1,55.6%,-4.7,0.0,2-1-0,66.7%,-11.3,-1.7,3-0-0,100.0%,5.7,10.5,1-0-0,100.0%,-4.0,9.5
Toronto,11-5-0,68.8%,-5.4,3.1,5-3-0,62.5%,-7.3,1.5,0-1-0,0.0%,-30.0,-23.5,8-4-0,66.7%,-4.1,4.0,3-0-0,100.0%,-2.7,8.3,5-3-0,62.5%,-9.0,1.8,11-5-0,68.8%,-5.4,3.1,,,,,6-2-0,75.0%,-1.9,4.5,3-1-0,75.0%,-7.8,5.1,6-2-0,75.0%,-3.1,4.8,2-1-0,66.7%,1.7,5.5,4-1-0,80.0%,-6.8,4.3,2-1-0,66.7%,-0.3,4.8
Houston,11-5-0,68.8%,8.4,5.7,8-3-0,72.7%,11.5,7.0,0-1-0,0.0%,-5.0,-13.0,4-1-0,80.0%,11.2,8.5,7-3-0,70.0%,8.4,6.2,4-3-0,57.1%,3.7,4.4,3-1-0,75.0%,-0.5,4.4,8-4-0,66.7%,11.4,6.1,7-2-0,77.8%,12.1,6.7,2-1-0,66.7%,3.7,0.3,8-3-0,72.7%,11.2,8.2,1-0-0,100.0%,6.0,12.5,2-2-0,50.0%,0.5,0.3,1-0-0,100.0%,6.0,12.5
Portland,9-5-1,64.3%,-7.1,0.9,4-4-0,50.0%,-10.9,-3.0,0-1-0,0.0%,-36.0,-28.5,6-2-0,75.0%,-2.9,4.2,3-2-1,60.0%,-7.8,1.3,4-2-1,66.7%,-6.9,2.2,9-5-1,64.3%,-7.1,0.9,,,,,5-3-0,62.5%,-7.3,-0.3,2-1-1,66.7%,-9.0,2.9,5-2-0,71.4%,-2.1,4.0,3-1-0,75.0%,-0.3,5.3,2-0-1,100.0%,-6.0,5.3,2-1-0,66.7%,-6.3,0.7
LA Clippers,10-6-0,62.5%,0.8,2.8,5-2-0,71.4%,1.3,4.0,1-0-0,100.0%,-3.0,2.0,3-4-0,42.9%,-3.3,-1.4,6-2-0,75.0%,4.8,6.6,4-2-0,66.7%,-2.2,4.4,7-4-0,63.6%,-1.9,3.8,3-2-0,60.0%,6.6,0.8,6-4-0,60.0%,2.5,1.9,2-2-0,50.0%,1.8,4.9,6-3-0,66.7%,0.4,2.3,3-2-0,60.0%,-0.8,-0.4,2-2-0,50.0%,1.8,4.9,1-1-0,50.0%,2.0,1.8
Memphis,10-6-0,62.5%,6.4,5.2,5-4-0,55.6%,5.8,4.1,0-1-0,0.0%,2.0,-0.5,6-1-0,85.7%,8.0,7.4,4-4-0,50.0%,5.5,4.0,4-3-0,57.1%,4.6,6.1,5-1-0,83.3%,2.7,7.7,5-5-0,50.0%,8.6,3.7,6-3-0,66.7%,7.8,4.4,3-0-0,100.0%,14.0,17.5,6-5-0,54.6%,5.7,2.6,0-2-0,0.0%,-7.5,-15.5,5-0-0,100.0%,13.0,15.4,1-0-0,100.0%,-5.0,2.0
Charlotte,9-6-0,60.0%,-4.5,1.2,7-3-0,70.0%,-5.3,1.6,1-0-0,100.0%,5.0,13.0,5-4-0,55.6%,-6.2,-1.9,3-2-0,60.0%,-3.2,4.4,4-3-0,57.1%,-9.0,-1.9,9-5-0,64.3%,-5.1,1.4,0-1-0,0.0%,5.0,-1.5,5-3-0,62.5%,-0.5,3.9,1-2-0,33.3%,-10.7,-1.8,6-3-0,66.7%,-5.1,0.8,1-1-0,50.0%,3.0,1.8,1-2-0,33.3%,-6.7,-0.5,1-1-0,50.0%,3.0,1.8
Okla City,9-7-0,56.3%,10.6,1.9,5-2-0,71.4%,11.1,3.7,1-0-0,100.0%,15.0,17.0,1-3-0,25.0%,7.3,-2.0,7-4-0,63.6%,11.5,1.9,4-2-0,66.7%,10.3,3.4,1-0-0,100.0%,15.0,17.0,8-7-0,53.3%,10.3,0.9,5-5-0,50.0%,10.8,1.0,2-2-0,50.0%,13.3,4.4,6-4-0,60.0%,9.0,-0.4,2-2-0,50.0%,11.3,0.6,2-3-0,40.0%,9.4,0.3,0-1-0,0.0%,12.0,-0.5
