Away Team,Home Team,Cover Team,Closing Spread,Closing Total Line,Actual Total Score,Home Cover
LIU,Air Force,LIU,12.0,143.5.,117,False
Youngstown St.,Ohio St.,Ohio St.,-19.0,149.,128,True
Stetson,The Citadel,The Citadel,-3.0,145.5.,126,True
Coppin St.,Virginia,Coppin St.,25.0,122.5.,107,False
Winthrop,Virginia Tech,Winthrop,9.0,154.,110,False
Tenn-Martin,North Alabama,North Alabama,-9.0,150.,156,True
Buffalo,Notre Dame,Buffalo,23.5,147.5.,163,False
McNeese St.,Alabama,McNeese St.,17.5,168.5.,136,False
Southern Indiana,Marshall,Marshall,-9.5,154.,140,True
Stony Brook,George Mason,George Mason,-15.5,142.,150,True
Grambling State,Florida,Grambling State,26.0,150.5.,148,False
Florida A&M,Maryland,Florida A&M,32.0,141.,137,False
Saint Peter'S,Rutgers,Saint Peter's,17.0,133.,140,False
Eastern Washington,Missouri,Eastern Washington,18.5,152.,161,False
Western Michigan,Butler,Butler,-18.0,149.,150,True
Gardner-Webb,Pittsburgh,Gardner-Webb,20.0,149.,147,False
Alcorn St.,Tulane,Tulane,-21.5,153.5.,135,True
UNC Greensboro,Southern Methodist,UNC Greensboro,14.0,148.,149,False
Chattanooga,Austin Peay,Austin Peay,2.0,147.5.,128,True
Northwestern St.,Oklahoma,Northwestern St.,25.5,147.5.,130,False
Lamar,Texas A&M,Texas A&M,-25.0,145.5.,168,True
Kansas City,Iowa State,Kansas City,28.0,142.5.,138,False
Yale,Purdue,Yale,14.5,144.5.,176,False
Central Michigan,Marquette,Central Michigan,27.0,149.5.,132,False
Mercer,DePaul,DePaul,-9.0,157.5.,159,True
North Dakota State,CSU Bakersfield,CSU Bakersfield,-2.5,139.5.,167,True
Idaho,Washington St.,Washington St.,-15.5,156.5.,157,True
Boston U,UCLA,UCLA,-25.5,134.,111,True
