Away Team,Home Team,Cover Team,Closing Spread,Closing Total Line,Actual Total Score,Home Cover
Illinois-Chicago,La Salle,Illinois-Chicago,2.0,150.5.,179,False
CSU Bakersfield,Florida Gulf Coast,Florida Gulf Coast,-6.5,133.5.,128,True
Drake,Florida Atlantic,Drake,3.0,143.,138,False
Ohio,Portland,Ohio,-7.5,149.,158,False
Longwood,UAB,Longwood,7.5,147.5.,170,False
Northeastern,Florida International,Florida International,4.0,149.5.,118,True
East Carolina,Stetson,Stetson,13.0,143.5.,135,True
Middle Tennessee St.,South Florida,Middle Tennessee St.,1.5,145.,183,False
Miami-Florida,Oklahoma State,Oklahoma State,4.0,158.5.,154,True
Pittsburgh,Louisiana State,Pittsburgh,-7.5,144.5.,137,False
Illinois St.,McNeese St.,Illinois St.,11.0,136.,144,False
James Madison,UC San Diego,UC San Diego,2.5,141.5.,140,True
Presbyterian,Youngstown St.,Presbyterian,5.5,135.,109,False
Kansas City,American U.,American U.,4.0,132.5.,124,True
Bradley,Wright St.,Wright St.,6.5,146.5.,151,True
Seton Hall,Vanderbilt,Vanderbilt,-5.5,134.5.,136,True
Temple,Florida State,Florida State,-4.5,148.5.,147,True
IUPUI,Coastal Carolina,Coastal Carolina,-2.5,133.5.,128,True
St. Thomas (MN),Wofford,Wofford,-2.0,142.,154,True
Wisconsin,Central Florida,Wisconsin,-5.0,148.5.,156,False
Utah Tech,Utah,Utah,-25.0,155.,137,True
UL Lafayette,Liberty,Liberty,-10.5,133.,158,True
Jacksonville St.,Toledo,Jacksonville St.,4.0,154.,162,False
Tenn-Martin,Le Moyne,Le Moyne,3.0,144.,118,True
Campbell,Ohio St.,Ohio St.,-24.5,141.5.,164,True
Lamar,Akron,Lamar,10.0,148.,151,False
Syracuse,Texas Tech,Syracuse,11.5,151.,153,False
St. John'S,Virginia,St. John's,-10.5,128.,135,False
Army,Manhattan,Manhattan,1.0,139.,159,True
Chicago St.,Indiana St.,Indiana St.,-17.5,155.5.,158,True
Jackson State,Kentucky,Kentucky,-34.5,156.,167,True
Winthrop,Louisville,Winthrop,21.0,160.5.,137,False
Drexel,Fordham,Drexel,7.0,136.5.,144,False
Merrimack,Butler,Butler,-12.5,135.5.,117,True
Southern Illinois,Florida,Florida,-19.0,158.5.,161,True
Morgan St.,Buffalo,Buffalo,-3.5,157.5.,155,True
VMI,Davidson,Davidson,-19.5,147.,159,True
William & Mary,NC State,NC State,-16.0,164.,145,True
Colgate,Harvard,Harvard,1.5,142.,145,True
North Carolina Central,Georgia St.,Georgia St.,-5.0,143.5.,172,True
South Carolina Upstate,East Tennessee St.,East Tennessee St.,-10.5,154.,163,True
VCU,Nevada,Nevada,-1.5,139.,125,True
Texas State,Princeton,Texas State,6.5,138.,163,False
UNC Asheville,SE Missouri St.,SE Missouri St.,9.5,148.,136,True
New Orleans,Tulane,New Orleans,18.0,148.,180,False
Pacific,Missouri,Missouri,-20.5,151.,147,True
UL Monroe,Northwestern St.,UL Monroe,4.0,136.5.,128,False
Elon University,Notre Dame,Elon University,15.5,142.,161,False
Incarnate Word,Northern Arizona,Incarnate Word,4.5,143.,149,False
Iowa,Utah St.,Utah St.,3.0,168.5.,146,True
George Washington,Kansas State,Kansas State,-9.0,149.5.,154,True
South Carolina State,Alabama A&M,South Carolina State,-2.0,148.,152,False
Utah Valley,Murray St.,Utah Valley,7.0,143.,152,False
South Dakota,Southern Indiana,Southern Indiana,3.0,153.,175,True
Green Bay,Evansville,Evansville,1.0,151.5.,179,True
Hofstra,Houston,Houston,-29.0,132.,124,True
Nebraska,Creighton,Nebraska,10.0,151.5.,137,False
Rice,Houston Christian,Houston Christian,11.5,136.5.,119,True
Portland St.,Milwaukee,Milwaukee,-5.0,162.,165,True
Mississippi State,Southern Methodist,Mississippi State,-1.5,157.5.,163,False
Alabama St.,Nebraska Omaha,Alabama St.,-1.0,143.5.,152,False
Southeastern Louisiana,Wyoming,Southeastern Louisiana,11.0,141.5.,125,False
Texas,Saint Joseph'S,Texas,-7.5,149.5.,125,False
UC Riverside,Colorado St.,UC Riverside,11.0,143.5.,152,False
Little Rock,Arkansas,Little Rock,21.0,144.,146,False
UC Irvine,Weber St.,Weber St.,7.0,138.,180,True
Norfolk State,Grand Canyon,Norfolk State,18.5,145.,164,False
Baylor,Tennessee,Tennessee,-4.5,142.5.,139,True
Southern Utah,San Diego,Southern Utah,-1.5,151.,139,False
CSU Fullerton,UCLA,UCLA,-27.0,134.5.,127,True
North Dakota,Loyola Marymount,North Dakota,10.5,147.,150,False
Alcorn St.,Washington,Alcorn St.,26.5,142.5.,137,False
Saint Louis,Wichita St.,Wichita St.,-3.0,154.5.,151,True
Duke,Arizona,Duke,1.5,161.5.,124,False
