Away Team,Home Team,Cover Team,Closing Spread,Closing Total Line,Actual Total Score,Home Cover
Quinnipiac,Navy,Quinnipiac,-2.0,149.,137,False
Loyola (MD),Boston College,Boston College,-13.0,135.,143,True
Longwood,Binghamton,Binghamton,7.5,142.5.,126,True
Queens University Of Charlotte,Appalachian St.,Appalachian St.,-8.5,149.,118,True
Niagara,Bowling Green,Niagara,8.5,149.,144,False
Texas A&M Commerce,Connecticut,Texas A&M Commerce,37.5,146.5.,127,False
Alabama A&M,Georgia,Georgia,-26.5,152.,138,True
Hofstra,Florida State,Florida State,-8.5,143.5.,140,True
Cleveland St.,Minnesota,Cleveland St.,13.5,128.5.,105,False
Troy,West Georgia,Troy,-14.5,144.5.,149,False
Lipscomb,Kentucky,Kentucky,-21.0,158.5.,165,True
Delaware State,Providence,Providence,-24.0,136.5.,126,True
Eastern Kentucky,Chicago St.,Eastern Kentucky,-7.0,148.5.,152,False
Wagner,Boston U,Wagner,4.5,119.,118,False
SIU Edwardsville,Green Bay,Green Bay,-3.5,150.,139,True
Canisius,Maryland,Maryland,-31.0,139.,145,True
Evansville,Ohio St.,Ohio St.,-25.0,149.5.,110,True
Cincinnati,Northern Kentucky,Cincinnati,-14.0,138.,136,False
Drexel,Fairfield,Drexel,1.0,137.,128,False
Buffalo,Vermont,Buffalo,17.0,140.5.,145,False
North Dakota,Notre Dame,North Dakota,18.5,146.,133,False
Pennsylvania,Villanova,Villanova,-16.0,142.,142 pushed the pre-game total of 142.,True
Bellarmine,Louisville,Louisville,-30.5,146.5.,168,True
Western Carolina,Wake Forest,Western Carolina,22.5,144.5.,151,False
Dartmouth,Marist,Marist,-9.0,138.,137,True
Hampton,UMBC,Hampton,6.5,146.,146 pushed the pre-game total of 146.,False
Tennessee Tech,Central Florida,Tennessee Tech,23.5,143.,149,False
Florida A&M,Florida,Florida A&M,36.0,156.5.,144,False
Milwaukee,Duquesne,Milwaukee,7.0,151.,154,False
Gardner-Webb,Charlotte,Gardner-Webb,7.5,141.,114,False
Bethune-Cookman,Tulane,Tulane,-13.0,146.5.,129,True
Samford,Michigan St.,Samford,17.5,165.,158,False
Texas-Arlington,Missouri St.,Missouri St.,-1.0,152.5.,146,True
Rider,Iowa,Iowa,-20.0,157.,141,True
Mississippi Valley State,Kansas State,Mississippi Valley State,40.0,136.5.,130,False
Charleston Southern,Louisiana State,Charleston Southern,26.0,152.,145,False
Alcorn St.,Texas Christian,Alcorn St.,31.5,145.5.,119,False
Western Illinois,Northern Iowa,Northern Iowa,-15.0,135.,138,True
UNC Wilmington,Kansas,UNC Wilmington,24.5,160.5.,150,False
Rice,UL Lafayette,Rice,3.0,142.,144,False
Southern Utah,Loyola-Chicago,Southern Utah,15.0,148.5.,148,False
Montana St.,Northwestern,Montana St.,14.5,135.5.,141,False
Eastern Illinois,DePaul,Eastern Illinois,18.5,145.,147,False
Purdue,Marquette,Marquette,-5.5,153.,134,True
UC Riverside,Santa Clara,Santa Clara,-9.0,152.,150,True
