Rank,Hotness Score,Matchup,Time,Location
1,98.5,#17 Purdue  at  #20 Marquette,9:00 PM,Fiserv Forum
2,89.3,#114 Samford  at  #32 Michigan St,8:00 PM,Jack Breslin Student Events Center
3,87.0,#136 NC-Wilmgton  at  #8 Kansas,8:00 PM,Allen Fieldhouse
4,86.1,#138 Lipscomb  at  #15 Kentucky,7:00 PM,Rupp Arena at Central Bank Center
5,82.9,#128 Hofstra  at  #97 Florida St,7:00 PM,Donald L. Tucker Center
6,78.3,#10 Cincinnati  at  #199 N Kentucky,7:00 PM,Truist Arena
7,76.5,#146 UC Riverside  at  #129 Santa Clara,10:00 PM,Leavey Center
8,74.3,#212 Montana St  at  #48 Northwestern,9:00 PM,Welsh-Ryan Arena
9,69.5,#224 S Utah  at  #85 Loyola-Chi,8:30 PM,Joseph J. Gentile Arena
10,69.1,#244 Rider  at  #43 Iowa,8:00 PM,Carver-Hawkeye Arena
11,68.0,#200 Gard-Webb  at  #141 Charlotte,7:00 PM,Dale F. Halton Arena
12,66.2,#249 Cleveland St  at  #79 Minnesota,7:00 PM,Williams Arena
13,65.1,#184 TX-Arlington  at  #180 Missouri St,8:00 PM,Great Southern Bank Arena
14,63.7,#280 Evansville  at  #30 Ohio St,7:00 PM,Value City Arena
15,63.5,#276 North Dakota  at  #55 Notre Dame,7:00 PM,Purcell Pavilion at the Joyce Center
16,63.0,#267 U Penn  at  #78 Villanova,7:00 PM,William B. Finneran Pavilion
17,61.6,#220 WI-Milwkee  at  #163 Duquesne,7:00 PM,UPMC Cooper Fieldhouse
18,60.2,#285 W Carolina  at  #72 Wake Forest,7:00 PM,Lawrence Joel Veterans Memorial Coliseum
19,56.7,#243 Oral Roberts  at  #165 Belmont,7:30 PM,Curb Event Center
20,56.4,#260 Beth-Cook  at  #153 Tulane,7:30 PM,Avron B. Fogelman Arena in Devlin Fieldhouse
21,56.2,#209 Rice  at  #215 Louisiana,8:30 PM,Cajundome
22,55.1,#312 Alab A&M  at  #69 Georgia,7:00 PM,Stegeman Coliseum
23,54.9,#325 Charl South  at  #37 LSU,8:00 PM,Pete Maravich Assembly Center
24,53.9,#338 TX A&M-Com  at  #5 Connecticut,7:00 PM,Harry A. Gampel Pavilion
25,53.4,#157 Drexel  at  #273 Fairfield,7:00 PM,Leo D. Mahoney Arena
26,52.1,#331 Bellarmine  at  #63 Louisville,7:00 PM,KFC Yum! Center
27,50.7,#347 Canisius  at  #36 Maryland,7:00 PM,Xfinity Center
28,50.3,#344 TN Tech  at  #51 UCF,7:00 PM,Addition Financial Arena
29,50.0,#333 E Illinois  at  #93 DePaul,9:00 PM,Wintrust Arena
30,48.7,#360 Florida A&M  at  #27 Florida,7:00 PM,Exactech Arena at the Stephen C. O'Connell Center
31,48.0,#311 Loyola-MD  at  #143 Boston Col,6:00 PM,Conte Forum
32,47.9,#341 Delaware St  at  #88 Providence,7:00 PM,Amica Mutual Pavilion
33,46.7,#322 W Illinois  at  #134 N Iowa,8:00 PM,McLeod Center
34,46.3,#363 Alcorn St  at  #57 TX Christian,8:00 PM,Ed and Rae Schollmaier Arena
35,44.5,#364 Miss Val St  at  #73 Kansas St,8:00 PM,Bramlage Coliseum
36,42.8,#216 SIU Edward  at  #286 WI-Grn Bay,7:00 PM,Resch Center
37,41.6,#340 Buffalo  at  #148 Vermont,7:00 PM,Patrick Gymnasium
38,41.0,#133 Troy  at  #352 W Georgia,7:00 PM,The Coliseum
39,40.0,#306 Queens  at  #210 App State,6:30 PM,Holmes Convocation Center
40,36.9,#198 Longwood  at  #330 Binghamton,6:07 PM,Events Center
41,34.4,#289 Wagner  at  #265 Boston U,7:00 PM,Case Gym
42,33.8,#324 Niagara  at  #228 Bowling Grn,7:00 PM,Stroh Center
43,31.9,#261 Quinnipiac  at  #307 Navy,5:30 PM,Alumni Hall
44,28.9,#319 Hampton  at  #264 Maryland BC,7:00 PM,Chesapeake Employers Insurance Arena
45,26.9,#346 Dartmouth  at  #240 Marist,7:00 PM,McCann Arena
46,25.4,#238 E Kentucky  at  #357 Chicago St,7:00 PM,Emil and Patricia Jones Convocation Center
47,--,Evergreen State  at  #299 Idaho,9:00 PM,Idaho Central Credit Union Arena
47,--,Embry-Riddle (AZ)  at  #248 N Arizona,2:00 PM,Joseph C. Rolle Activity Center
47,--,John Melvin University  at  #301 NW State,7:30 PM,Prather Coliseum
47,--,Mt. Aloysius  at  #350 Mercyhurst,7:00 PM,Owen McCormick Court at the Mercyhurst Athletic
47,--,East-West University  at  #287 TN State,7:00 PM,Gentry Center
47,--,Southern Wesleyan  at  #320 SC Upstate,7:00 PM,G.B. Hodge Center
47,--,Randolph-Macon  at  #321 Old Dominion,7:00 PM,Chartway Arena at the Ted Constant Convocation Cen
47,--,Georgian Court  at  #178 Fordham,7:00 PM,Rose Hill Gymnasium
