Team,all_games_ATS Record,all_games_Cover %,all_games_MOV,all_games_ATS +/-,equal_rest_ATS Record,equal_rest_Cover %,equal_rest_MOV,equal_rest_ATS +/-,four_plus_days_off_ATS Record,four_plus_days_off_Cover %,four_plus_days_off_MOV,four_plus_days_off_ATS +/-,is_after_loss_ATS Record,is_after_loss_Cover %,is_after_loss_MOV,is_after_loss_ATS +/-,is_after_win_ATS Record,is_after_win_Cover %,is_after_win_MOV,is_after_win_ATS +/-,is_away_ATS Record,is_away_Cover %,is_away_MOV,is_away_ATS +/-,is_dog_ATS Record,is_dog_Cover %,is_dog_MOV,is_dog_ATS +/-,is_fav_ATS Record,is_fav_Cover %,is_fav_MOV,is_fav_ATS +/-,is_home_ATS Record,is_home_Cover %,is_home_MOV,is_home_ATS +/-,no_rest_ATS Record,no_rest_Cover %,no_rest_MOV,no_rest_ATS +/-,one_day_off_ATS Record,one_day_off_Cover %,one_day_off_MOV,one_day_off_ATS +/-,rest_advantage_ATS Record,rest_advantage_Cover %,rest_advantage_MOV,rest_advantage_ATS +/-,rest_disadvantage_ATS Record,rest_disadvantage_Cover %,rest_disadvantage_MOV,rest_disadvantage_ATS +/-,two_three_days_off_ATS Record,two_three_days_off_Cover %,two_three_days_off_MOV,two_three_days_off_ATS +/-
Brooklyn,9-2-0,81.8%,-0.8,5.4,4-2-0,66.7%,-2.8,3.0,1-0-0,100.0%,-4.0,2.5,5-1-0,83.3%,1.7,9.5,3-1-0,75.0%,-3.8,0.0,5-1-0,83.3%,-2.2,6.9,7-1-0,87.5%,-0.6,8.6,2-1-0,66.7%,-1.3,-3.2,4-1-0,80.0%,0.8,3.6,3-0-0,100.0%,3.3,12.8,4-2-0,66.7%,-1.8,1.5,2-0-0,100.0%,-4.5,5.0,3-0-0,100.0%,5.7,10.5,1-0-0,100.0%,-4.0,9.5
Golden State,8-2-0,80.0%,11.9,10.6,7-1-0,87.5%,15.1,13.9,1-0-0,100.0%,36.0,28.5,2-0-0,100.0%,14.5,18.5,5-2-0,71.4%,7.7,5.7,6-1-0,85.7%,13.4,13.0,4-1-0,80.0%,4.4,9.1,4-1-0,80.0%,19.4,12.0,2-1-0,66.7%,8.3,4.8,1-0-0,100.0%,15.0,12.0,5-2-0,71.4%,8.9,7.7,1-1-0,50.0%,-1.0,-3.0,,,,,1-0-0,100.0%,6.0,11.0
Cleveland,9-3-0,75.0%,12.0,6.0,6-3-0,66.7%,13.1,5.7,1-0-0,100.0%,30.0,23.5,,,,,8-3-0,72.7%,10.4,4.5,5-1-0,83.3%,11.8,7.5,2-0-0,100.0%,3.5,6.0,7-3-0,70.0%,13.7,6.1,4-2-0,66.7%,12.2,4.6,2-1-0,66.7%,8.3,1.7,6-2-0,75.0%,11.1,5.5,,,,,3-0-0,100.0%,8.7,7.2,,,,
Toronto,8-3-0,72.7%,-7.5,1.5,5-2-0,71.4%,-6.3,2.4,0-1-0,0.0%,-30.0,-23.5,6-2-0,75.0%,-4.9,3.4,2-0-0,100.0%,-6.5,6.5,4-2-0,66.7%,-9.2,0.9,8-3-0,72.7%,-7.5,1.5,,,,,4-1-0,80.0%,-5.4,2.3,2-1-0,66.7%,-9.3,2.3,5-1-0,83.3%,-3.7,4.9,1-0-0,100.0%,-2.0,4.0,2-1-0,66.7%,-12.0,-1.3,1-0-0,100.0%,-2.0,4.0
Okla City,7-4-0,63.6%,12.2,4.2,3-2-0,60.0%,8.8,2.8,1-0-0,100.0%,15.0,17.0,1-1-0,50.0%,12.5,5.5,5-3-0,62.5%,11.8,2.3,4-1-0,80.0%,13.6,7.3,1-0-0,100.0%,15.0,17.0,6-4-0,60.0%,11.9,3.0,3-3-0,50.0%,11.0,1.7,2-1-0,66.7%,14.3,6.8,4-2-0,66.7%,10.7,1.6,2-1-0,66.7%,15.7,4.0,2-1-0,66.7%,14.3,6.8,0-1-0,0.0%,12.0,-0.5
LA Clippers,7-4-0,63.6%,1.5,3.7,4-0-0,100.0%,6.8,8.3,1-0-0,100.0%,-3.0,2.0,2-2-0,50.0%,-1.3,2.0,4-2-0,66.7%,4.0,5.1,4-0-0,100.0%,4.0,11.4,5-2-0,71.4%,-0.9,5.4,2-2-0,50.0%,5.5,0.6,3-4-0,42.9%,0.0,-0.7,1-2-0,33.3%,1.3,3.7,4-1-0,80.0%,2.2,4.8,2-2-0,50.0%,-3.8,-0.9,1-2-0,33.3%,1.3,3.7,1-1-0,50.0%,2.0,1.8
LA Lakers,6-4-0,60.0%,-0.3,-2.6,3-3-0,50.0%,-3.7,-4.2,1-0-0,100.0%,7.0,8.0,1-3-0,25.0%,-6.3,-8.4,4-1-0,80.0%,3.0,-0.1,1-4-0,20.0%,-10.2,-10.9,2-2-0,50.0%,-9.5,-6.1,4-2-0,66.7%,5.8,-0.3,5-0-0,100.0%,9.6,5.7,1-0-0,100.0%,4.0,3.0,3-3-0,50.0%,-1.5,-3.9,2-1-0,66.7%,5.0,-1.3,1-0-0,100.0%,4.0,3.0,1-1-0,50.0%,-2.5,-6.8
Indiana,6-4-0,60.0%,-2.6,-3.2,4-3-0,57.1%,-0.6,-3.5,1-0-0,100.0%,6.0,0.5,4-1-0,80.0%,2.6,5.0,1-3-0,25.0%,-11.3,-14.4,3-3-0,50.0%,-7.2,-7.6,4-1-0,80.0%,-1.6,3.3,2-3-0,40.0%,-3.6,-9.7,3-1-0,75.0%,4.3,3.4,1-0-0,100.0%,-4.0,1.5,3-4-0,42.9%,-5.0,-6.5,1-0-0,100.0%,7.0,11.5,1-1-0,50.0%,-14.5,-9.5,1-0-0,100.0%,7.0,11.5
Charlotte,6-4-0,60.0%,-3.0,2.8,6-2-0,75.0%,-3.4,3.9,1-0-0,100.0%,5.0,13.0,2-3-0,40.0%,-6.6,-2.2,3-1-0,75.0%,-0.5,6.5,3-1-0,75.0%,-5.8,1.6,6-3-0,66.7%,-3.9,3.3,0-1-0,0.0%,5.0,-1.5,3-3-0,50.0%,-1.2,3.6,1-1-0,50.0%,-9.0,-0.8,4-2-0,66.7%,-3.7,3.0,0-1-0,0.0%,5.0,-1.5,0-1-0,0.0%,-8.0,-2.0,0-1-0,0.0%,5.0,-1.5
Detroit,6-5-0,54.6%,-2.5,2.8,3-5-0,37.5%,-5.5,-1.1,0-1-0,0.0%,-6.0,-0.5,4-2-0,66.7%,-0.2,5.9,2-2-0,50.0%,-5.3,-1.1,3-2-0,60.0%,0.6,5.6,6-3-0,66.7%,-3.1,3.7,0-2-0,0.0%,0.0,-1.5,3-3-0,50.0%,-5.2,0.4,2-0-0,100.0%,3.0,12.8,4-4-0,50.0%,-3.5,0.7,,,,,3-0-0,100.0%,5.3,13.2,,,,
Memphis,6-5-0,54.6%,9.4,7.0,3-3-0,50.0%,9.0,7.3,0-1-0,0.0%,2.0,-0.5,3-1-0,75.0%,10.0,7.4,3-3-0,50.0%,10.2,8.0,2-3-0,40.0%,8.4,7.8,2-1-0,66.7%,6.7,10.3,4-4-0,50.0%,10.4,5.8,4-2-0,66.7%,10.2,6.3,2-0-0,100.0%,18.0,20.8,4-4-0,50.0%,8.1,4.5,0-2-0,0.0%,-7.5,-15.5,3-0-0,100.0%,21.3,21.3,,,,
Boston,6-5-0,54.6%,10.5,1.0,3-3-0,50.0%,7.5,-0.2,1-0-0,100.0%,23.0,17.0,1-1-0,50.0%,9.5,-2.5,4-4-0,50.0%,9.3,-0.1,4-3-0,57.1%,12.0,2.1,,,,,6-5-0,54.6%,10.5,1.0,2-2-0,50.0%,8.0,-0.9,0-1-0,0.0%,10.0,-0.5,5-4-0,55.6%,9.2,-0.6,2-1-0,66.7%,15.7,5.2,1-1-0,50.0%,12.0,-1.8,,,,
Houston,6-5-0,54.6%,4.9,2.5,4-3-0,57.1%,6.4,2.3,0-1-0,0.0%,-5.0,-13.0,3-1-0,75.0%,9.8,7.8,3-3-0,50.0%,3.3,1.5,2-3-0,40.0%,-1.8,-0.6,2-1-0,66.7%,-0.3,5.0,4-4-0,50.0%,6.9,1.5,4-2-0,66.7%,10.5,5.0,1-1-0,50.0%,6.0,-0.8,4-3-0,57.1%,5.9,4.1,1-0-0,100.0%,6.0,12.5,1-2-0,33.3%,1.0,-0.5,1-0-0,100.0%,6.0,12.5
San Antonio,6-5-0,54.6%,-0.1,2.5,0-5-0,0.0%,-10.6,-7.6,0-1-0,0.0%,-11.0,-2.5,5-1-0,83.3%,2.5,5.3,1-3-0,25.0%,-1.3,-0.4,2-3-0,40.0%,-8.2,-2.3,4-4-0,50.0%,-3.9,1.3,2-1-0,66.7%,10.0,5.8,4-2-0,66.7%,6.7,6.6,2-0-0,100.0%,15.5,12.5,4-4-0,50.0%,-2.6,0.7,3-0-0,100.0%,11.0,13.5,3-0-0,100.0%,6.3,8.5,,,,
Sacramento,5-5-1,50.0%,2.3,-2.4,4-2-0,66.7%,5.0,-0.3,0-1-0,0.0%,-2.0,-1.0,2-1-1,66.7%,4.8,2.3,3-3-0,50.0%,1.3,-5.8,4-3-0,57.1%,1.1,-1.9,2-2-0,50.0%,1.0,2.0,3-3-1,50.0%,3.0,-4.9,1-2-1,33.3%,4.3,-3.3,1-2-0,33.3%,-2.0,-8.2,3-2-1,60.0%,4.2,-0.5,1-2-1,33.3%,3.8,-0.5,0-1-0,0.0%,-20.0,-22.5,1-0-0,100.0%,8.0,2.0
Portland,5-5-1,50.0%,-11.1,-3.5,2-4-0,33.3%,-18.2,-10.8,0-1-0,0.0%,-36.0,-28.5,5-2-0,71.4%,-5.3,1.5,0-2-1,0.0%,-16.3,-7.0,3-2-1,60.0%,-6.3,2.1,5-5-1,50.0%,-11.1,-3.5,,,,,2-3-0,40.0%,-16.8,-10.3,1-1-1,50.0%,-14.7,-2.2,4-2-0,66.7%,-4.8,0.8,1-1-0,50.0%,2.5,5.0,2-0-1,100.0%,-6.0,5.3,0-1-0,0.0%,-13.0,-9.0
Chicago,5-6-0,45.5%,-5.5,-0.2,4-3-0,57.1%,-4.1,2.2,0-1-0,0.0%,-12.0,-7.0,3-3-0,50.0%,-3.2,1.7,2-2-0,50.0%,-7.5,-1.3,3-3-0,50.0%,-2.3,3.2,5-5-0,50.0%,-5.2,1.5,0-1-0,0.0%,-9.0,-16.5,2-3-0,40.0%,-9.4,-4.2,0-2-0,0.0%,-17.5,-7.8,5-2-0,71.4%,-0.7,5.3,1-1-0,50.0%,1.5,-1.0,0-2-0,0.0%,-17.5,-7.8,0-1-0,0.0%,-9.0,-16.5
Utah,4-5-0,44.4%,-13.9,-6.8,2-3-0,40.0%,-16.4,-10.0,1-0-0,100.0%,-2.0,0.5,3-4-0,42.9%,-14.3,-6.9,0-1-0,0.0%,-23.0,-13.0,3-2-0,60.0%,-9.4,-0.1,4-5-0,44.4%,-13.9,-6.8,,,,,1-3-0,25.0%,-19.5,-15.1,0-1-0,0.0%,-17.0,-10.5,2-3-0,40.0%,-15.0,-8.3,1-2-0,33.3%,-17.3,-9.2,1-0-0,100.0%,9.0,16.5,1-1-0,50.0%,-15.5,-4.8
