Rank,Hotness Score,Matchup,Time,Location
1,83.4,#13 LA Clippers  at  #11 Minnesota,7:30 PM,Target Center
2,78.0,#10 Orlando  at  #21 Brooklyn,7:30 PM,Barclays Center
3,74.3,#1 Okla City  at  #17 LA Lakers,10:00 PM,Crypto.com Arena
4,69.1,#6 New York  at  #25 Charlotte,12:00 PM,Spectrum Center
5,66.1,#22 Toronto  at  #15 Miami,8:00 PM,Kaseya Center
6,64.2,#24 Detroit  at  #19 Indiana,8:00 PM,Gainbridge Fieldhouse
7,63.4,#16 Sacramento  at  #28 Portland,10:00 PM,Moda Center
8,63.1,#2 Boston  at  #26 Chicago,8:00 PM,United Center
9,62.8,#3 Cleveland  at  #23 Atlanta,2:30 PM,State Farm Arena
10,50.2,#27 New Orleans  at  #8 Memphis,5:00 PM,FedExForum
