Rank,Hotness Score,Time,Location,Away Team Rank,Away Team,Home Team Rank,Home Team,Away Team DraftKings,Away Team Covers,Home Team DraftKings,Home Team Covers,Away Team Spread,Away Team Odds,Away Team Underdog,Home Team Spread,Home Team Odds,Home Team Underdog,Away Team Team,Away Team all_games_ATS Record,Away Team all_games_Cover %,Away Team all_games_MOV,Away Team all_games_ATS +/-,Away Team is_away_ATS Record,Away Team is_away_Cover %,Away Team is_away_MOV,Away Team is_away_ATS +/-,Home Team Team,Home Team all_games_ATS Record,Home Team all_games_Cover %,Home Team all_games_MOV,Home Team all_games_ATS +/-,Home Team is_home_ATS Record,Home Team is_home_Cover %,Home Team is_home_MOV,Home Team is_home_ATS +/-,Underdog is_dog Team,Underdog is_dog Spread,Underdog is_dog Odds,Underdog is_dog ATS Record,Underdog is_dog Cover %,Underdog is_dog MOV,Underdog is_dog ATS +/-,Favorite is_fav Team,Favorite is_fav Spread,Favorite is_fav Odds,Favorite is_fav ATS Record,Favorite is_fav Cover %,Favorite is_fav MOV,Favorite is_fav ATS +/-
1,91.0,7:00 PM,Coleman Coliseum,105,Mcneese St,4,Alabama,McNeese,McNeese St.,Alabama,Alabama,N/A,N/A,False,N/A,N/A,False,Mcneese St,0-1-0,0.0%,23.5,-17.5,0,0,0.0,0.0,Alabama,1-1-0,50.0%,32.5,+6.0,1-1-0,50.0%,32.5,+6.0,Alabama,N/A,N/A,0,0,0.0,0.0,Mcneese St,N/A,N/A,0-1-0,0.0%,-7.0,-17.5
2,88.9,8:00 PM,Mackey Arena,118,Yale,13,Purdue,Yale,Yale,Purdue,Purdue,N/A,N/A,False,N/A,N/A,False,Yale,1-1-0,50.0%,7.0,0.0,0-1-0,0.0%,-12.0,-18.0,Purdue,1-1-0,50.0%,19.5,-3.3,1-1-0,50.0%,19.5,-3.3,Purdue,N/A,N/A,0,0,0.0,0.0,Yale,N/A,N/A,1-1-0,50.0%,7.0,0.0
3,84.0,6:00 PM,Value City Arena,155,Youngs St,32,Ohio St,Youngstown State,Youngstown St.,Ohio State,Ohio St.,N/A,N/A,False,N/A,N/A,False,Youngs St,1-0-0,100.0%,20.0,+14.5,1-0-0,100.0%,20.0,14.5,Ohio St,1-0-0,100.0%,8.0,+9.5,0,0,0.0,0,Ohio St,N/A,N/A,1-0-0,100.0%,8.0,9.5,Youngs St,N/A,N/A,1-0-0,100.0%,20.0,14.5
4,82.9,7:00 PM,Cassell Coliseum,134,Winthrop,81,Va Tech,,Winthrop,Virginia Tech,Virginia Tech,N/A,N/A,False,N/A,N/A,False,Winthrop,1-0-0,100.0%,37.5,+4.0,0,0,0.0,0.0,Va Tech,1-1-0,50.0%,21.0,0.0,1-1-0,50.0%,21.0,0.0,Va Tech,N/A,N/A,0,0,0.0,0.0,Winthrop,N/A,N/A,1-0-0,100.0%,15.0,4.0
4,82.9,8:00 PM,Moody Coliseum,157,Nc-Grnsboro,48,S Methodist,,UNC Greensboro,SMU,Southern Methodist,N/A,N/A,False,N/A,N/A,False,Nc-Grnsboro,1-0-0,100.0%,9.0,+3.5,0,0,0.0,0.0,S Methodist,1-1-0,50.0%,31.5,+8.0,1-1-0,50.0%,31.5,+8.0,S Methodist,N/A,N/A,0,0,0.0,0.0,Nc-Grnsboro,N/A,N/A,1-0-0,100.0%,9.0,3.5
6,80.6,8:00 PM,James H. Hilton Coliseum,183,Kansas City,10,Iowa St,,Kansas City,Iowa State,Iowa State,N/A,N/A,False,N/A,N/A,False,Kansas City,0-0-0,0.0%,55.5,--,0,0,0.0,0.0,Iowa St,0-1-0,0.0%,39.0,-5.5,0-1-0,0.0%,39.0,-5.5,Iowa St,N/A,N/A,0,0,0.0,0.0,Kansas City,N/A,N/A,0,0,0.0,0.0
7,77.9,7:00 PM,Jersey Mike's Arena,189,St Peters,50,Rutgers,Saint Peters,Saint Peter'S,Rutgers,Rutgers,N/A,N/A,False,N/A,N/A,False,St Peters,2-0-0,100.0%,-5.5,+6.5,2-0-0,100.0%,-5.5,6.5,Rutgers,1-0-0,100.0%,23.0,+6.0,1-0-0,100.0%,23.0,+6.0,Rutgers,N/A,N/A,0,0,0.0,0.0,St Peters,N/A,N/A,0,0,0.0,0.0
8,77.6,7:00 PM,Petersen Events Center,199,Gard-Webb,29,Pittsburgh,,Gardner-Webb,Pittsburgh,Pittsburgh,N/A,N/A,False,N/A,N/A,False,Gard-Webb,2-0-0,100.0%,-5.0,+9.5,2-0-0,100.0%,-5.0,9.5,Pittsburgh,2-0-0,100.0%,27.5,+10.5,2-0-0,100.0%,27.5,+10.5,Pittsburgh,N/A,N/A,0,0,0.0,0.0,Gard-Webb,N/A,N/A,0,0,0.0,0.0
9,76.0,7:00 PM,Exactech Arena at the Stephen C. O'Connell Center,209,Grambling St,27,Florida,Grambling,Grambling State,Florida,Florida,N/A,N/A,False,N/A,N/A,False,Grambling St,1-0-0,100.0%,24.0,+22.0,1-0-0,100.0%,-2.0,22.0,Florida,1-1-0,50.0%,18.0,+0.3,0-1-0,0.0%,21.0,-3.5,Florida,N/A,N/A,0,0,0.0,0.0,Grambling St,N/A,N/A,0,0,0.0,0.0
10,74.9,9:00 PM,Wintrust Arena,150,Mercer,142,Depaul,,Mercer,DePaul,DePaul,N/A,N/A,False,N/A,N/A,False,Mercer,0-0-0,0.0%,71.0,--,0,0,0.0,0.0,Depaul,1-1-0,50.0%,17.5,+1.5,1-1-0,50.0%,17.5,+1.5,Depaul,N/A,N/A,0,0,0.0,0.0,Mercer,N/A,N/A,0,0,0.0,0.0
11,71.2,8:00 PM,Reed Arena,241,Lamar,24,Texas A&M,Lamar,Lamar,Texas A&M,Texas A&M-CC,N/A,N/A,False,N/A,N/A,False,Lamar,0-0-0,0.0%,71.0,--,0,0,0.0,0.0,Texas A&M,1-1-0,50.0%,14.5,-4.3,1-0-0,100.0%,32.0,+1.0,Texas A&M,N/A,N/A,0,0,0.0,0.0,Lamar,N/A,N/A,0,0,0.0,0.0
12,67.5,9:00 PM,Fiserv Forum,265,Central Mich,12,Marquette,Central Michigan,Central Michigan,Marquette,Marquette,N/A,N/A,False,N/A,N/A,False,Central Mich,1-1-0,50.0%,1.5,+1.5,1-0-0,100.0%,4.0,9.5,Marquette,2-0-0,100.0%,29.5,+11.3,2-0-0,100.0%,29.5,+11.3,Marquette,N/A,N/A,0,0,0.0,0.0,Central Mich,N/A,N/A,0-1-0,0.0%,-1.0,-6.5
13,65.7,7:00 PM,Mizzou Arena,264,E Washingtn,66,Missouri,Eastern Washington,Eastern Washington,Missouri,Missouri,N/A,N/A,False,N/A,N/A,False,E Washingtn,1-1-0,50.0%,-6.5,+6.0,0-1-0,0.0%,-20.0,-3.0,Missouri,0-2-0,0.0%,3.5,-4.3,0-1-0,0.0%,15.0,-4.0,Missouri,N/A,N/A,0-1-0,0.0%,-8.0,-4.5,E Washingtn,N/A,N/A,0,0,0.0,0.0
14,62.2,10:00 PM,Pauley Pavilion presented by Wescom,291,Boston U,28,Ucla,Boston University,Boston U,UCLA,UCLA,N/A,N/A,False,N/A,N/A,False,Boston U,0-2-0,0.0%,-11.0,-11.0,0-1-0,0.0%,-14.0,-11.5,Ucla,1-1-0,50.0%,13.5,-0.3,1-0-0,100.0%,35.0,+12.0,Ucla,N/A,N/A,0,0,0.0,0.0,Boston U,N/A,N/A,0-1-0,0.0%,-8.0,-10.5
15,59.1,7:00 PM,Bon Secours Wellness Arena,253,Jacksonville,140,Furman,Jacksonville,Jacksonville,Furman,Furman,N/A,N/A,False,N/A,N/A,False,Jacksonville,1-0-0,100.0%,-4.0,+3.5,1-0-0,100.0%,-21.0,3.5,Furman,1-0-0,100.0%,30.0,+4.5,0-0-0,0.0%,58.0,--,Furman,N/A,N/A,1-0-0,100.0%,2.0,4.5,Jacksonville,N/A,N/A,0,0,0.0,0.0
16,58.7,7:00 PM,EagleBank Arena,286,Stony Brook,95,Geo Mason,Stony Brook,Stony Brook,George Mason,George Mason,N/A,N/A,False,N/A,N/A,False,Stony Brook,1-1-0,50.0%,-19.5,-5.3,1-1-0,50.0%,-19.5,-5.3,Geo Mason,1-1-0,50.0%,-1.0,-2.0,1-0-0,100.0%,17.0,+1.5,Geo Mason,N/A,N/A,0-1-0,0.0%,-19.0,-5.5,Stony Brook,N/A,N/A,0,0,0.0,0.0
17,57.1,9:30 PM,Friel Court at Beasley Coliseum,294,Idaho,85,Wash State,Idaho,Idaho,Washington State,Washington St.,N/A,N/A,False,N/A,N/A,False,Idaho,0-1-0,0.0%,15.0,-2.0,0,0,0.0,0.0,Wash State,1-1-0,50.0%,12.5,+4.5,1-1-0,50.0%,12.5,+4.5,Wash State,N/A,N/A,0,0,0.0,0.0,Idaho,N/A,N/A,0,0,0.0,0.0
