,Rank,Hotness Score,Time,Location,Away Team Rank,Away Team,Home Team Rank,Home Team,Away Team DraftKings,Home Team DraftKings,Away Team all_games_ATS Record,Away Team all_games_Cover %,Away Team all_games_MOV,Away Team all_games_ATS +/-,Away Team is_away_ATS Record,Away Team is_away_Cover %,Away Team is_away_MOV,Away Team is_away_ATS +/-,Away Team is_fav_ATS Record,Away Team is_fav_Cover %,Away Team is_fav_MOV,Away Team is_fav_ATS +/-,Home Team all_games_ATS Record,Home Team all_games_Cover %,Home Team all_games_MOV,Home Team all_games_ATS +/-,Home Team is_home_ATS Record,Home Team is_home_Cover %,Home Team is_home_MOV,Home Team is_home_ATS +/-,Home Team is_dog_ATS Record,Home Team is_dog_Cover %,Home Team is_dog_MOV,Home Team is_dog_ATS +/-
0,1,91.0,7:00 PM,Coleman Coliseum,105,Mcneese St,4,Alabama,,Alabama,0-1-0,0.0%,23.5,-17.5,,,,,0-1-0,0.0%,-7.0,-17.5,1-1-0,50.0%,32.5,+6.0,1-1-0,50.0%,32.5,+6.0,,,,
1,2,88.9,8:00 PM,Mackey Arena,118,Yale,13,Purdue,Yale,Purdue,1-1-0,50.0%,7.0,0.0,0-1-0,0.0%,-12.0,-18.0,1-1-0,50.0%,7.0,0.0,1-1-0,50.0%,19.5,-3.3,1-1-0,50.0%,19.5,-3.3,,,,
2,3,84.0,6:00 PM,Value City Arena,155,Youngs St,32,Ohio St,Youngstown State,Ohio State,1-0-0,100.0%,20.0,+14.5,1-0-0,100.0%,20.0,14.5,1-0-0,100.0%,20.0,14.5,1-0-0,100.0%,8.0,+9.5,,,,,1-0-0,100.0%,8.0,9.5
3,4,82.9,7:00 PM,Cassell Coliseum,134,Winthrop,81,Va Tech,,,1-0-0,100.0%,37.5,+4.0,,,,,1-0-0,100.0%,15.0,4.0,1-1-0,50.0%,21.0,0.0,1-1-0,50.0%,21.0,0.0,,,,
4,4,82.9,8:00 PM,Moody Coliseum,157,Nc-Grnsboro,48,S Methodist,,SMU,1-0-0,100.0%,9.0,+3.5,,,,,1-0-0,100.0%,9.0,3.5,1-1-0,50.0%,31.5,+8.0,1-1-0,50.0%,31.5,+8.0,,,,
5,6,80.6,8:00 PM,James H. Hilton Coliseum,183,Kansas City,10,Iowa St,,Iowa State,0-0-0,0.0%,55.5,--,,,,,,,,,0-1-0,0.0%,39.0,-5.5,0-1-0,0.0%,39.0,-5.5,,,,
6,7,77.9,7:00 PM,Jersey Mike's Arena,189,St Peters,50,Rutgers,Saint Peters,Rutgers,2-0-0,100.0%,-5.5,+6.5,2-0-0,100.0%,-5.5,6.5,,,,,1-0-0,100.0%,23.0,+6.0,1-0-0,100.0%,23.0,+6.0,,,,
7,8,77.6,7:00 PM,Petersen Events Center,199,Gard-Webb,29,Pittsburgh,,Pittsburgh,2-0-0,100.0%,-5.0,+9.5,2-0-0,100.0%,-5.0,9.5,,,,,2-0-0,100.0%,27.5,+10.5,2-0-0,100.0%,27.5,+10.5,,,,
8,9,76.0,7:00 PM,Exactech Arena at the Stephen C. O'Connell Center,209,Grambling St,27,Florida,Grambling,Florida,1-0-0,100.0%,24.0,+22.0,1-0-0,100.0%,-2.0,22.0,,,,,1-1-0,50.0%,18.0,+0.3,0-1-0,0.0%,21.0,-3.5,,,,
9,10,74.9,9:00 PM,Wintrust Arena,150,Mercer,142,Depaul,,,0-0-0,0.0%,71.0,--,,,,,,,,,1-1-0,50.0%,17.5,+1.5,1-1-0,50.0%,17.5,+1.5,,,,
