Team,all_games_Over Record,all_games_Over %,all_games_Under %,all_games_Total +/-,equal_rest_Over Record,equal_rest_Over %,equal_rest_Under %,equal_rest_Total +/-,four_plus_days_off_Over Record,four_plus_days_off_Over %,four_plus_days_off_Under %,four_plus_days_off_Total +/-,is_after_loss_Over Record,is_after_loss_Over %,is_after_loss_Under %,is_after_loss_Total +/-,is_after_win_Over Record,is_after_win_Over %,is_after_win_Under %,is_after_win_Total +/-,is_away_Over Record,is_away_Over %,is_away_Under %,is_away_Total +/-,is_dog_Over Record,is_dog_Over %,is_dog_Under %,is_dog_Total +/-,is_fav_Over Record,is_fav_Over %,is_fav_Under %,is_fav_Total +/-,is_home_Over Record,is_home_Over %,is_home_Under %,is_home_Total +/-,no_rest_Over Record,no_rest_Over %,no_rest_Under %,no_rest_Total +/-,one_day_off_Over Record,one_day_off_Over %,one_day_off_Under %,one_day_off_Total +/-,rest_advantage_Over Record,rest_advantage_Over %,rest_advantage_Under %,rest_advantage_Total +/-,rest_disadvantage_Over Record,rest_disadvantage_Over %,rest_disadvantage_Under %,rest_disadvantage_Total +/-,two_three_days_off_Over Record,two_three_days_off_Over %,two_three_days_off_Under %,two_three_days_off_Total +/-
Denver,15-7-0,68.2%,31.8%,7.8,11-2-0,84.6%,15.4%,8.0,0-2-0,0.0%,100.0%,-31.0,5-5-0,50.0%,50.0%,0.6,10-1-0,90.9%,9.1%,18.6,8-4-0,66.7%,33.3%,7.5,5-2-0,71.4%,28.6%,3.3,10-5-0,66.7%,33.3%,9.8,7-3-0,70.0%,30.0%,8.1,3-1-0,75.0%,25.0%,19.8,9-4-0,69.2%,30.8%,7.8,1-2-0,33.3%,66.7%,-1.5,3-3-0,50.0%,50.0%,11.9,3-0-0,100.0%,0.0%,17.5
Atlanta,17-8-0,68.0%,32.0%,3.1,8-3-0,72.7%,27.3%,6.4,1-0-0,100.0%,0.0%,12.5,9-2-0,81.8%,18.2%,6.8,7-6-0,53.9%,46.2%,-0.8,7-5-0,58.3%,41.7%,0.8,6-5-0,54.6%,45.5%,-3.9,11-3-0,78.6%,21.4%,8.5,10-3-0,76.9%,23.1%,5.1,1-4-0,20.0%,80.0%,-9.1,12-4-0,75.0%,25.0%,5.3,6-1-0,85.7%,14.3%,3.9,3-4-0,42.9%,57.1%,-3.0,3-0-0,100.0%,0.0%,8.0
Memphis,16-9-0,64.0%,36.0%,3.9,10-6-0,62.5%,37.5%,4.3,1-0-0,100.0%,0.0%,20.5,4-4-0,50.0%,50.0%,-3.9,11-5-0,68.8%,31.3%,6.8,8-3-0,72.7%,27.3%,8.3,6-2-0,75.0%,25.0%,4.4,10-7-0,58.8%,41.2%,3.7,8-6-0,57.1%,42.9%,0.5,3-1-0,75.0%,25.0%,5.6,10-8-0,55.6%,44.4%,0.5,2-2-0,50.0%,50.0%,6.0,4-1-0,80.0%,20.0%,1.0,2-0-0,100.0%,0.0%,23.3
Cleveland,16-9-0,64.0%,36.0%,4.7,11-5-0,68.8%,31.3%,6.3,1-0-0,100.0%,0.0%,17.0,1-2-0,33.3%,66.7%,-6.3,14-7-0,66.7%,33.3%,5.7,7-4-0,63.6%,36.4%,3.9,1-2-0,33.3%,66.7%,-3.0,15-7-0,68.2%,31.8%,5.7,9-5-0,64.3%,35.7%,5.3,3-2-0,60.0%,40.0%,5.4,11-6-0,64.7%,35.3%,3.5,3-1-0,75.0%,25.0%,7.6,2-3-0,40.0%,60.0%,-2.9,1-1-0,50.0%,50.0%,6.5
Indiana,16-9-0,64.0%,36.0%,0.0,11-4-0,73.3%,26.7%,2.1,0-1-0,0.0%,100.0%,-12.0,11-3-0,78.6%,21.4%,5.6,5-5-0,50.0%,50.0%,-6.6,8-6-0,57.1%,42.9%,-3.7,7-2-0,77.8%,22.2%,8.4,9-7-0,56.3%,43.8%,-4.7,8-3-0,72.7%,27.3%,4.8,2-2-0,50.0%,50.0%,-4.8,13-5-0,72.2%,27.8%,2.7,2-2-0,50.0%,50.0%,-2.4,3-3-0,50.0%,50.0%,-3.4,1-1-0,50.0%,50.0%,-8.0
New York,14-9-0,60.9%,39.1%,5.5,12-4-0,75.0%,25.0%,9.5,1-0-0,100.0%,0.0%,19.5,4-4-0,50.0%,50.0%,3.9,9-5-0,64.3%,35.7%,5.3,8-4-0,66.7%,33.3%,8.2,2-0-0,100.0%,0.0%,24.3,12-9-0,57.1%,42.9%,3.7,6-5-0,54.6%,45.5%,2.5,2-0-0,100.0%,0.0%,11.0,11-5-0,68.8%,31.3%,7.4,0-5-0,0.0%,100.0%,-9.6,2-0-0,100.0%,0.0%,10.8,0-4-0,0.0%,100.0%,-8.6
Phoenix,14-9-0,60.9%,39.1%,1.3,6-4-0,60.0%,40.0%,0.4,1-1-0,50.0%,50.0%,-1.5,5-5-0,50.0%,50.0%,-1.4,8-4-0,66.7%,33.3%,3.4,9-2-0,81.8%,18.2%,5.5,6-4-0,60.0%,40.0%,1.7,8-5-0,61.5%,38.5%,1.1,5-7-0,41.7%,58.3%,-2.4,3-2-0,60.0%,40.0%,4.2,9-4-0,69.2%,30.8%,2.8,1-3-0,25.0%,75.0%,-10.9,7-2-0,77.8%,22.2%,7.9,1-2-0,33.3%,66.7%,-8.0
Chicago,15-10-0,60.0%,40.0%,6.8,7-6-0,53.9%,46.2%,1.4,1-0-0,100.0%,0.0%,9.0,8-6-0,57.1%,42.9%,7.3,6-4-0,60.0%,40.0%,5.8,8-5-0,61.5%,38.5%,8.3,14-8-0,63.6%,36.4%,6.7,1-2-0,33.3%,66.7%,7.2,7-5-0,58.3%,41.7%,5.1,4-2-0,66.7%,33.3%,11.2,8-6-0,57.1%,42.9%,3.3,3-3-0,50.0%,50.0%,9.9,5-1-0,83.3%,16.7%,15.2,2-2-0,50.0%,50.0%,11.9
Miami,13-9-0,59.1%,40.9%,1.1,10-5-0,66.7%,33.3%,3.3,2-0-0,100.0%,0.0%,12.5,4-6-0,40.0%,60.0%,-5.3,8-3-0,72.7%,27.3%,6.5,6-5-0,54.6%,45.5%,0.0,6-2-0,75.0%,25.0%,1.7,7-7-0,50.0%,50.0%,0.8,7-4-0,63.6%,36.4%,2.2,1-3-0,25.0%,75.0%,-13.9,8-4-0,66.7%,33.3%,4.3,3-1-0,75.0%,25.0%,7.8,0-3-0,0.0%,100.0%,-19.0,2-2-0,50.0%,50.0%,0.8
Dallas,14-10-0,58.3%,41.7%,0.5,7-5-0,58.3%,41.7%,-1.0,1-0-0,100.0%,0.0%,2.5,3-5-0,37.5%,62.5%,-8.9,10-5-0,66.7%,33.3%,5.3,10-3-0,76.9%,23.1%,7.2,8-0-0,100.0%,0.0%,11.8,6-10-0,37.5%,62.5%,-5.2,4-7-0,36.4%,63.6%,-7.5,5-0-0,100.0%,0.0%,21.1,7-8-0,46.7%,53.3%,-3.6,0-3-0,0.0%,100.0%,-22.3,7-2-0,77.8%,22.2%,10.0,1-2-0,33.3%,66.7%,-14.2
