Away Team,Home Team,Cover Team,Closing Spread,Closing Total Line,Actual Total Score,Home Cover
Radford,Chicago St.,Radford,-14.0,143.,111,False
Hampton,Duquesne,Hampton,6.5,136.,123,False
Miami (OH),Siena,Miami (OH),-4.5,136.,128,False
Ball St.,Eastern Kentucky,Ball St.,3.0,148.,124,False
Howard,UMBC,UMBC,2.0,154.,172,True
UAB,UL Lafayette,UAB,-11.5,156.5.,184,False
Drexel,Purdue Fort Wayne,Purdue Fort Wayne,-5.5,145.,168,True
Boise St.,South Dakota State,South Dakota State,12.5,148.,165,True
Jacksonville,Mercer,Mercer,4.0,146.5.,179,True
Memphis,Connecticut,Memphis,8.5,149.5.,196,False
Illinois St.,George Washington,George Washington,-2.5,149.,136,True
Southern Illinois,Louisiana Tech,Louisiana Tech,-5.0,143.5.,164,True
IUPUI,Alabama A&M,IUPUI,5.5,143.,171,False
Penn St.,Fordham,Penn St.,-16.0,152.,151,False
CSU Northridge,Denver,CSU Northridge,-7.5,155.,149,False
High Point,Old Dominion,Old Dominion,14.5,144.5.,140,True
Colorado,Michigan St.,Michigan St.,-7.5,145.,128,True
Longwood,Kansas State,Kansas State,-10.5,142.5.,144,True
Michigan,Virginia Tech,Michigan,-10.0,146.5.,138,False
Clemson,San Francisco,Clemson,-3.0,144.5.,125,False
LIU,Winthrop,Winthrop,-13.0,153.,152,True
Green Bay,Ohio St.,Ohio St.,-25.0,155.,171,True
North Carolina A&T,Buffalo,North Carolina A&T,3.0,160.,163,False
New Hampshire,Columbia,Columbia,-17.0,146.5.,140,True
Cornell,Iona,Cornell,-1.0,158.5.,152,False
Texas A&M Commerce,Stonehill,Stonehill,-1.5,137.5.,132,True
Tennessee St.,Chattanooga,Tennessee St.,10.5,152.5.,163,False
Missouri St.,Boston College,Missouri St.,2.5,134.,150,False
Le Moyne,Texas Rio Grande Valley,Texas Rio Grande Valley,-13.0,152.5.,174,True
Utah Tech,Montana,Utah Tech,11.0,147.,135,False
McNeese St.,Liberty,Liberty,1.5,134.,120,True
Texas-San Antonio,Troy,Troy,-10.5,150.,158,True
Oregon St.,North Texas,Oregon St.,5.0,128.,113,False
Central Michigan,Minnesota,Central Michigan,13.5,128.5.,133,False
Maryland-Eastern Shore,Arkansas,Arkansas,-34.5,145.5.,144,True
Incarnate Word,South Alabama,South Alabama,-7.0,141.5.,147,True
Indiana St.,Southern Indiana,Southern Indiana,3.0,152.,164,True
Eastern Michigan,Houston Christian,Houston Christian,3.0,130.5.,147,True
Quinnipiac,Saint Louis,Saint Louis,-10.5,158.5.,148,True
South Carolina,Xavier,Xavier,-5.5,148.,141,True
San Jose St.,Texas-El Paso,San Jose St.,4.0,136.,136 pushed the pre-game total of 136.,False
Norfolk State,UC Davis,Norfolk State,6.5,146.,131,False
Little Rock,Illinois,Illinois,-23.5,153.,126,True
Auburn,Iowa State,Iowa State,3.5,144.5.,164,True
Abilene Christian,Southern Miss,Abilene Christian,-3.5,149.5.,156,False
Long Beach St.,UNC Greensboro,UNC Greensboro,-7.5,132.,119,True
Dayton,North Carolina,Dayton,9.0,156.5.,182,False
