Rank,Hotness Score,Matchup,Time,Location
1,98.7,#4 Auburn  vs.  #12 Iowa St,9:00 PM,Lahaina Civic Center
2,97.7,#38 Memphis  vs.  #6 Connecticut,2:30 PM,Lahaina Civic Center
3,95.3,#61 Dayton  vs.  #8 N Carolina,11:30 PM,Lahaina Civic Center
4,94.8,#43 Clemson  vs.  #56 San Francisco,6:30 PM,Ocean Center
5,93.8,#72 Colorado  vs.  #34 Michigan St,5:00 PM,Lahaina Civic Center
6,93.1,#47 Xavier  vs.  #71 S Carolina,8:30 PM,Suncoast Credit Union Arena
7,89.1,#30 Michigan  vs.  #116 VA Tech,6:00 PM,Suncoast Credit Union Arena
8,86.2,#44 Boise St  vs.  #133 S Dakota St,1:30 PM,John Gray Gymnasium
9,84.8,#105 Oregon St  at  #101 North Texas,8:00 PM,UNT Coliseum
10,79.5,#187 Fordham  vs.  #22 Penn St,4:00 PM,Ocean Center
11,78.5,#151 Drexel  vs.  #107 IPFW,12:30 PM,Ocean Center
12,76.1,#213 AR Lit Rock  at  #24 Illinois,9:00 PM,State Farm Center
13,76.0,#162 S Illinois  vs.  #111 LA Tech,3:00 PM,Germain Arena
14,74.4,#164 Illinois St  vs.  #132 Geo Wshgtn,3:00 PM,Sports and Fitness Center
15,72.4,#207 Central Mich  at  #94 Minnesota,8:00 PM,Williams Arena
16,66.2,#272 WI-Grn Bay  at  #13 Ohio St,8:00 PM,Value City Arena
17,65.8,#188 Norfolk St  at  #167 UC Davis,9:00 PM,University Credit Union Center
18,61.5,#231 Quinnipiac  at  #155 Saint Louis,8:00 PM,Chaifetz Arena
19,58.5,#110 UAB  vs.  #277 Louisiana,12:30 PM,Sports and Fitness Center
19,58.5,#212 Jacksonville  vs.  #189 Mercer,1:30 PM,Suncoast Credit Union Arena
21,58.1,#256 Merrimack  at  #141 Mass Lowell,6:00 PM,Costello Athletic Center
22,54.2,#285 UTSA  at  #125 Troy,8:00 PM,Trojan Arena
23,51.4,#134 NC-Grnsboro  vs.  #300 Lg Beach St,11:00 PM,Dollar Loan Center
24,51.2,#297 LIU  at  #147 Winthrop,6:30 PM,Winthrop Coliseum
25,51.0,#247 Incar Word  at  #206 S Alabama,8:00 PM,Mitchell Center
26,48.1,#358 Maryland ES  at  #42 Arkansas,8:00 PM,Bud Walton Arena
27,47.1,#179 Indiana St  at  #295 S Indiana,8:00 PM,Screaming Eagles Arena
28,46.4,#215 Cornell  at  #268 Iona,7:00 PM,Hynes Athletics Center
28,46.4,#273 TN State  at  #203 Chattanooga,7:00 PM,McKenzie Arena
30,44.9,#198 TX El Paso  vs.  #284 San Jose St,8:30 PM,Dollar Loan Center
31,44.5,#281 S Mississippi  vs.  #209 Abl Christian,9:00 PM,Brick Breeden Fieldhouse
32,43.8,#204 Duquesne  vs.  #294 Hampton,11:00 AM,John Gray Gymnasium
33,42.7,#276 Ball St  vs.  #221 E Kentucky,12:00 PM,Germain Arena
34,41.6,#312 Denver  vs.  #190 Cal St Nrdge,4:00 PM,Dahlberg Arena/Robin Selvig Court
35,40.2,#321 Le Moyne  at  #186 TX-Pan Am,7:30 PM,UTRGV Fieldhouse
36,38.0,#224 Miami (OH)  vs.  #307 Siena,11:00 AM,Suncoast Credit Union Arena
37,37.3,#233 Howard  at  #301 Maryland BC,12:00 PM,Chesapeake Employers Insurance Arena
38,36.0,#354 N Hampshire  at  #165 Columbia,7:00 PM,Schiller Court in Francis S. Levien Gymnasium
39,32.9,#331 Utah Tech  at  #218 Montana,7:45 PM,Dahlberg Arena/Robin Selvig Court
40,25.5,#270 NC A&T  at  #333 Buffalo,7:00 PM,Alumni Arena
41,23.6,#239 Radford  vs.  #361 Chicago St,10:30 AM,Ocean Center
42,15.9,#311 E Michigan  at  #344 Hsn Christian,8:00 PM,Sharp Gymnasium
43,11.1,#340 TX A&M-Com  at  #338 Stonehill,7:00 PM,Merkert Gymnasium
44,9.5,#351 IU Indy  at  #335 Alab A&M,3:00 PM,Alabama A&M Events Center
45,--,Randall University  at  #245 South Dakota,8:00 PM,Sanford Coyote Sports Center
45,--,Mississippi College  at  #196 Nicholls,7:30 PM,Stopher Gymnasium
45,--,Rogers State  at  #269 Oral Roberts,8:30 PM,Mabee Center
45,--,Justice College  at  #197 Weber St,9:00 PM,Dee Events Center
45,--,Piedmont International  at  #271 NC Central,7:00 PM,McDougald-McLendon Arena
45,--,#216 Richmond  vs.   Florida Tech,6:00 PM,Germain Arena
45,--,Embry-Riddle (AZ)  at  #229 Idaho St,9:00 PM,Holt Arena
45,--,Champion Baptist  at  #232 Southern,12:00 PM,F. G. Clark Activity Center
45,--,Washington College  at  #319 Navy,7:00 PM,Alumni Hall
