Away Team,Home Team,Cover Team,Closing Spread,Closing Total Line,Actual Total Score
Drexel,Howard,Drexel,-1.5,143.,133,[]
DePaul,St. John'S,St. John's,-11.5,151.,150,[]
North Florida,UNC Asheville,UNC Asheville,-3,162.,176,[]
Coastal Carolina,North Carolina A&T,Coastal Carolina,+4,146.,141,[]
Florida International,East Carolina,East Carolina,-8,143.,139,[]
Oakland,Michigan St.,Michigan St.,-16.5,133.5.,135,[]
George Mason,Duke,Duke,-19.5,136.,115,[]
St. Bonaventure,Siena,St. Bonaventure,-6.5,127.5.,113,[]
North Carolina,Florida,Florida,-3.5,168.5.,174,[]
UNLV,Dayton,UNLV,+11,140.,131,[]
Southern,Mississippi,Southern,+23,143.,135,[]
Holy Cross,Quinnipiac,Holy Cross,+10,143.5.,139,[]
Western Carolina,Tennessee,Tennessee,-36,143.,120,[]
Towson,Robert Morris,Robert Morris,+1.5,132.5.,135,[]
James Madison,Wake Forest,Wake Forest,-8,135.5.,133,[]
Winthrop,Florida State,Florida State,-11,159.5.,146,[]
West Georgia,Charlotte,West Georgia,+12.5,139.,145,[]
Clemson,South Carolina,South Carolina,+1.5,135.,179,[]
Gardner-Webb,Georgia Southern,Georgia Southern,-3.5,152.5.,167,[]
Jacksonville St.,Missouri,Jacksonville St.,+16.5,146.,155,[]
Seton Hall,Villanova,Villanova,-8,126.,146,[]
Central Michigan,Mississippi State,Mississippi State,-20,148.,142,[]
Kansas City,Wichita St.,Kansas City,+13.5,146.5.,138,[]
St. Francis (PA),Maryland,Maryland,-33,147.,168,[]
Valparaiso,Ohio St.,Ohio St.,-21.5,150.,168,[]
Georgia St.,Auburn,Auburn,-39.5,155.5.,159,[]
Lamar,Southern Miss,Lamar,-2,137.5.,134,[]
Drake,Kansas State,Drake,+1.5,133.,143,[]
Seattle,Western Kentucky,Western Kentucky,-6,149.5.,159,[]
Houston Christian,UL Monroe,Houston Christian,+4,137.5.,142,[]
Tennessee Tech,Western Illinois,Western Illinois,-2,139.5.,139,[]
Texas Southern,Boise St.,Boise St.,-24,148.5.,133,[]
UC San Diego,Utah St.,UC San Diego,+10,150.,148,[]
Radford,Colorado St.,Radford,+11.5,137.,146,[]
Florida A&M,Utah,Florida A&M,+31.5,152.5.,148,[]
Stetson,Louisiana State,Louisiana State,-23.5,151.,152,[]
Prairie View A&M,UCLA,UCLA,-34,146.5.,186,[]
Sacramento State,Oregon St.,Oregon St.,-20.5,132.,127,[]
Merrimack,Stanford,Merrimack,+15.5,135.5.,142,[]
Denver,Cal Poly SLO,Denver,+10.5,160.5.,189,[]
