Rank,Hotness Score,Matchup,Time,Location
1,97.9,#11 Florida  vs.  #19 N Carolina,7:00 PM,Spectrum Center
2,94.3,#32 Clemson  at  #66 S Carolina,7:00 PM,Colonial Life Arena
3,93.8,#74 Geo Mason  at  #2 Duke,7:00 PM,Cameron Indoor Stadium
4,92.9,#79 DePaul  at  #25 St Johns,6:30 PM,Carnesecca Arena
5,91.6,#86 UCSD  at  #39 Utah St,9:00 PM,Dee Glen Smith Spectrum
6,89.9,#83 Drake  vs.  #70 Kansas St,8:00 PM,T-Mobile Center
7,87.2,#116 UNLV  at  #47 Dayton,7:00 PM,University of Dayton Arena
8,86.8,#123 Seton Hall  at  #52 Villanova,7:30 PM,William B. Finneran Pavilion
9,84.0,#118 James Mad  at  #95 Wake Forest,7:00 PM,Lawrence Joel Veterans Memorial Coliseum
10,83.9,#138 Winthrop  at  #64 Florida St,7:00 PM,Donald L. Tucker Center
11,81.4,#166 Jksnville St  at  #43 Missouri,7:30 PM,Mizzou Arena
12,80.5,#134 Seattle  at  #108 W Kentucky,8:00 PM,E.A. Diddle Arena
13,76.7,#204 Southern  at  #26 Mississippi,7:00 PM,The Sandy and John Black Pavilion at Ole Miss
14,75.5,#212 Valparaiso  at  #31 Ohio St,8:00 PM,Value City Arena
15,75.2,#214 Central Mich  vs.  #33 Miss State,7:30 PM,Mississippi Coliseum
16,74.2,#224 Oakland  vs.  #18 Michigan St,7:00 PM,Little Caesars Arena
17,71.8,#206 Radford  at  #102 Colorado St,9:00 PM,Moby Arena
18,70.5,#219 Merrimack  at  #85 Stanford,10:00 PM,Maples Pavilion
19,69.8,#251 Georgia St  at  #1 Auburn,8:00 PM,Neville Arena
20,67.9,#173 N Florida  at  #172 NC-Asheville,6:30 PM,Kimmel Arena
21,64.2,#243 Kansas City  at  #103 Wichita St,7:30 PM,Charles Koch Arena
22,59.3,#310 W Carolina  at  #5 Tennessee,7:00 PM,Thompson-Boling Arena at Food City Center
23,58.7,#164 Drexel  at  #240 Howard,3:30 PM,Burr Gymnasium
24,57.9,#96 St Bonavent  at  #287 Siena,7:00 PM,MVP Arena
25,57.6,#318 St Fran (PA)  at  #16 Maryland,7:30 PM,Xfinity Center
26,56.6,#308 TX Southern  at  #59 Boise St,9:00 PM,ExtraMile Arena
27,55.9,#253 Florida Intl  at  #168 E Carolina,7:00 PM,Williams Arena at Minges Coliseum
28,52.3,#322 Sac State  at  #78 Oregon St,10:00 PM,Gill Coliseum
29,51.4,#341 Florida A&M  at  #50 Utah,9:00 PM,Jon M. Huntsman Center
30,50.7,#353 Prairie View  at  #15 UCLA,9:30 PM,Pauley Pavilion presented by Wescom
31,49.9,#191 Towson  at  #267 Rob Morris,7:00 PM,UPMC Events Center
32,49.8,#344 Stetson  at  #58 LSU,9:00 PM,Pete Maravich Assembly Center
33,47.2,#186 Lamar  at  #289 S Mississippi,8:00 PM,Reed Green Coliseum
34,46.7,#226 Gard-Webb  at  #256 GA Southern,7:00 PM,Hanner Fieldhouse
35,34.8,#349 W Georgia  at  #187 Charlotte,7:00 PM,Dale F. Halton Arena
36,32.4,#241 Marist  at  #323 Stony Brook,7:00 PM,Island Federal Credit Union Arena
37,30.1,#329 Holy Cross  at  #246 Quinnipiac,7:00 PM,M&T Bank Arena
38,29.8,#270 Coastal Car  at  #312 NC A&T,7:00 PM,Corbett Sports Center
39,25.9,#342 Denver  at  #252 Cal Poly,10:00 PM,Mott Athletics Center
40,13.2,#348 Hsn Christian  at  #321 UL Monroe,8:30 PM,Fant-Ewing Coliseum
41,12.5,#340 TN Tech  at  #334 W Illinois,8:30 PM,LeRoy A. Ufkes Court at Western Hall
42,--,Ecclesia College  at  #363 Ark Pine Bl,1:00 PM,H.O. Clemmons Arena (K. L. Johnson Complex)
42,--,Piedmont International  at  #127 High Point,7:00 PM,Nido and Mariana Qubein Arena
42,--,St. Andrews Presbyterian  at  #87 Liberty,7:00 PM,Liberty Arena
42,--,William Peace  at  #140 NC-Grnsboro,7:00 PM,Michael B. Fleming Gymnasium
42,--,La Grange  at  #129 Troy,7:00 PM,Trojan Arena
42,--,Mid-Atlantic Christian  at  #244 NC Central,7:00 PM,McDougald-McLendon Arena
42,--,Misericordia  at  #227 Delaware,11:00 AM,Bob Carpenter Center
