Away Team,Home Team,Cover Team,Closing Spread,Closing Total Line,Actual Total Score,Home Cover
Texas Rio Grande Valley,Charleston Southern,Texas Rio Grande Valley,-4.5,159.,162,False
VMI,Tennessee Tech,VMI,4.0,149.5.,143,False
New Orleans,Stonehill,Stonehill,4.0,141.5.,134,True
Sacred Heart,Holy Cross,Holy Cross,2.0,151.5.,157,True
SIU Edwardsville,Western Michigan,SIU Edwardsville,2.5,142.,139,False
William & Mary,Winthrop,William & Mary,7.0,160.,171,False
Virginia,Villanova,Virginia,4.0,128.,130,False
Florida,Florida State,Florida,-5.5,157.5.,161,False
Texas Christian,Michigan,Michigan,-6.5,152.5.,140,True
Monmouth-NJ,Rutgers,Monmouth-NJ,22.0,147.5.,179,False
Elon University,Gardner-Webb,Elon University,3.5,150.,159,False
UNC Wilmington,South Carolina Upstate,South Carolina Upstate,9.0,157.,174,True
Loyola-Chicago,Princeton,Loyola-Chicago,2.0,147.,141,False
Maryland-Eastern Shore,Old Dominion,Maryland-Eastern Shore,11.5,147.5.,144,False
Florida Atlantic,Charleston,Charleston,-2.0,164.5.,235,True
New Hampshire,Brown,Brown,-8.0,147.,134,True
Fordham,Manhattan,Manhattan,8.0,141.,154,True
West Georgia,South Florida,South Florida,-18.5,153.5.,129,True
Belmont,Air Force,Belmont,-3.0,140.,150,False
Southern Methodist,Butler,Butler,1.5,157.5.,151,True
Tulane,Furman,Furman,-5.0,153.5.,142,True
Nicholls State,Cincinnati,Cincinnati,-27.5,146.5.,135,True
Alabama,Purdue,Purdue,4.0,164.5.,165,True
Vermont,Iona,Iona,4.0,135.5.,121,True
Lindenwood,Robert Morris,Robert Morris,-6.5,141.5.,120,True
Maine,Quinnipiac,Maine,5.5,145.5.,113,False
Temple,Boston College,Boston College,1.5,144.,141,True
Army,Marist,Army,7.5,131.5.,179,False
Penn St.,Virginia Tech,Penn St.,-7.5,150.5.,150,False
Georgia Southern,North Carolina Central,North Carolina Central,5.5,151.,155,True
Ohio,Memphis,Memphis,-12.5,162.,164,True
Georgia,Georgia Tech,Georgia,-2.0,157.,146,False
Saint Joseph'S,Pennsylvania,Saint Joseph's,-7.0,148.5.,155,False
West Virginia,Pittsburgh,Pittsburgh,-7.5,148.,148 pushed the pre-game total of 148.,True
American U.,North Carolina,North Carolina,-24.5,148.5.,162,True
Marquette,Maryland,Marquette,2.5,147.,152,False
Eastern Illinois,Northwestern,Eastern Illinois,23.5,138.5.,125,False
Washington St.,Iowa,Iowa,-5.5,170.5.,142,True
Samford,North Alabama,North Alabama,1.5,162.,193,True
Arizona,Wisconsin,Wisconsin,4.5,151.,191,True
Duquesne,DePaul,DePaul,-5.5,144.,142,True
Massachusetts Lowell,Gonzaga,Gonzaga,-27.5,164.5.,167,True
Ohio St.,Texas A&M,Texas A&M,-5.5,147.,142,True
Lehigh,UCLA,UCLA,-23.0,136.5.,130,True
CSU Fullerton,Oregon St.,Oregon St.,-13.0,134.5.,121,True
LIU,California Baptist,LIU,15.5,148.5.,167,False
