Rank,Hotness Score,Matchup,Time,Location
1,98.3,#17 Purdue  at  #30 Penn St,6:30 PM,Bryce Jordan Center
2,91.6,#67 Xavier  at  #72 TX Christian,8:00 PM,Ed and Rae Schollmaier Arena
3,84.1,#103 UCSD  at  #113 UCSB,10:00 PM,The Thunderdome
4,81.6,#154 Saint Louis  at  #61 San Francisco,10:00 PM,War Memorial at the Sobrato Center
5,70.9,#225 CS Bakersfld  at  #63 UC Irvine,10:00 PM,Bren Events Center
6,68.8,#82 Drake  at  #228 Valparaiso,8:00 PM,Athletics-Recreation Center
7,67.9,#151 Wright St  at  #193 Oakland,7:00 PM,OU Credit Union O'rena
8,67.3,#190 UC Riverside  at  #152 Cal St Nrdge,10:00 PM,Premier America Credit Union Arena
9,64.4,#189 Ste F Austin  at  #171 TX-Pan Am,7:30 PM,UTRGV Fieldhouse
10,58.0,#112 Samford  at  #280 S Car State,7:00 PM,Smith-Hammond Middleton Memorial Center
11,57.4,#284 SE Missouri  at  #106 Lipscomb,12:00 PM,Allen Arena
12,55.5,#229 SE Louisiana  at  #200 Nicholls,7:30 PM,Stopher Gymnasium
13,53.8,#115 IPFW  at  #300 Detroit,1:00 PM,Calihan Hall
14,52.1,#204 Radford  at  #238 NC Central,7:00 PM,McDougald-McLendon Arena
15,51.5,#275 Cleveland St  at  #168 WI-Milwkee,8:00 PM,UW-Milwaukee Panther Arena
16,51.2,#286 Lamar  at  #153 TX A&M-CC,8:00 PM,Dugan Wellness Center
17,50.2,#230 Cal Poly  at  #231 UC Davis,9:00 PM,University Credit Union Center
18,44.8,#345 Jackson St  at  #114 Arkansas St,8:00 PM,First National Bank Arena
19,39.2,#251 Alabama St  at  #277 S Mississippi,3:30 PM,Reed Green Coliseum
20,37.9,#266 NW State  at  #271 Incar Word,8:00 PM,Alice P. McDermott Convocation Center
21,32.6,#361 Maryland ES  at  #183 Longwood,7:00 PM,Joan Perry Brock Center
22,19.3,#340 Lg Beach St  at  #292 CS Fullerton,10:00 PM,Titan Gym
23,8.6,#346 TX A&M-Com  at  #348 Hsn Christian,8:00 PM,Sharp Gymnasium
24,--,Florida Tech  at  #232 Jacksonville,7:00 PM,Swisher Gymnasium
24,--,Warner University  at  #181 N Florida,7:00 PM,UNF Arena
24,--,#185 Central Mich  at   Aquinas,7:00 PM,Sturrus Sports & Fitness Center
