Away Team,Home Team,Cover Team,Closing Spread,Closing Total Line,Actual Total Score,Home Cover
SE Missouri St.,Lipscomb,Lipscomb,-16.5,147.,138,True
Purdue Fort Wayne,Detroit Mercy,Detroit Mercy,7.5,145.5.,157,True
Purdue,Penn St.,Penn St.,-2.0,149.,151,True
Samford,South Carolina State,South Carolina State,10.0,157.,169,True
Maryland-Eastern Shore,Longwood,Maryland-Eastern Shore,20.0,145.,156,False
Wright St.,Oakland,Oakland,-1.0,139.,130,True
Stephen F. Austin,Texas Rio Grande Valley,Stephen F. Austin,5.5,143.,133,False
Texas A&M Commerce,Houston Christian,Houston Christian,-2.5,135.5.,162,True
Cleveland St.,Milwaukee,Milwaukee,-8.0,141.,146,True
Drake,Valparaiso,Valparaiso,9.5,136.,126,True
Jackson State,Arkansas St.,Jackson State,16.5,147.5.,130,False
Lamar,Texas A&M-CC,Lamar,8.5,151.,126,False
Northwestern St.,Incarnate Word,Northwestern St.,5.5,141.,142,False
Xavier,Texas Christian,Texas Christian,-1.0,148.,148 pushed the pre-game total of 148.,True
Cal Poly SLO,UC Davis,UC Davis,-2.0,159.,143,True
CSU Bakersfield,UC Irvine,UC Irvine,-15.0,134.5.,148,True
UC San Diego,UC Santa Barbara,UC San Diego,2.5,141.,160,False
Saint Louis,San Francisco,San Francisco,-9.0,151.5.,139,True
Long Beach St.,CSU Fullerton,Long Beach St.,4.5,126.5.,129,False
UC Riverside,CSU Northridge,UC Riverside,4.0,151.,132,False
