,Rank_current_season,Hotness Score_current_season,Time_current_season,Location_current_season,Away Team Rank_current_season,Away Team_current_season,Home Team Rank_current_season,Home Team_current_season,Away Team Covers_current_season,Home Team Covers_current_season,Away Team Spread_current_season,Away Team Implied Odds_current_season,Away Team Underdog_current_season,Home Team Spread_current_season,Home Team Implied Odds_current_season,Home Team Underdog_current_season,Away Team all_games_Sample Size_current_season,Away Team all_games_Cover %_current_season,Away Team all_games_MOV_current_season,Away Team all_games_ATS +/-_current_season,Away Team is_away_Sample Size_current_season,Away Team is_away_Cover %_current_season,Away Team is_away_MOV_current_season,Away Team is_away_ATS +/-_current_season,Home Team all_games_Sample Size_current_season,Home Team all_games_Cover %_current_season,Home Team all_games_MOV_current_season,Home Team all_games_ATS +/-_current_season,Home Team is_home_Sample Size_current_season,Home Team is_home_Cover %_current_season,Home Team is_home_MOV_current_season,Home Team is_home_ATS +/-_current_season,Underdog is_dog Team_current_season,Underdog is_dog Spread_current_season,Underdog is_dog Implied Odds_current_season,Underdog is_dog Sample Size_current_season,Underdog is_dog Cover %_current_season,Underdog is_dog MOV_current_season,Underdog is_dog ATS +/-_current_season,Favorite is_fav Team_current_season,Favorite is_fav Spread_current_season,Favorite is_fav Implied Odds_current_season,Favorite is_fav Sample Size_current_season,Favorite is_fav Cover %_current_season,Favorite is_fav MOV_current_season,Favorite is_fav ATS +/-_current_season,Away Team Covers_all_time,Home Team Covers_all_time,Away Team Spread_all_time,Home Team Spread_all_time,Away Team all_games_Sample Size_all_time,Away Team all_games_Cover %_all_time,Away Team all_games_MOV_all_time,Away Team all_games_ATS +/-_all_time,Away Team is_away_Sample Size_all_time,Away Team is_away_Cover %_all_time,Away Team is_away_MOV_all_time,Away Team is_away_ATS +/-_all_time,Home Team all_games_Sample Size_all_time,Home Team all_games_Cover %_all_time,Home Team all_games_MOV_all_time,Home Team all_games_ATS +/-_all_time,Home Team is_home_Sample Size_all_time,Home Team is_home_Cover %_all_time,Home Team is_home_MOV_all_time,Home Team is_home_ATS +/-_all_time,Underdog is_dog Spread_all_time,Underdog is_dog Sample Size_all_time,Underdog is_dog Cover %_all_time,Underdog is_dog MOV_all_time,Underdog is_dog ATS +/-_all_time,Favorite is_fav Spread_all_time,Favorite is_fav Sample Size_all_time,Favorite is_fav Cover %_all_time,Favorite is_fav MOV_all_time,Favorite is_fav ATS +/-_all_time,Away Team Covers_last_10_seasons,Home Team Covers_last_10_seasons,Away Team Spread_last_10_seasons,Home Team Spread_last_10_seasons,Away Team all_games_Sample Size_last_10_seasons,Away Team all_games_Cover %_last_10_seasons,Away Team all_games_MOV_last_10_seasons,Away Team all_games_ATS +/-_last_10_seasons,Away Team is_away_Sample Size_last_10_seasons,Away Team is_away_Cover %_last_10_seasons,Away Team is_away_MOV_last_10_seasons,Away Team is_away_ATS +/-_last_10_seasons,Home Team all_games_Sample Size_last_10_seasons,Home Team all_games_Cover %_last_10_seasons,Home Team all_games_MOV_last_10_seasons,Home Team all_games_ATS +/-_last_10_seasons,Home Team is_home_Sample Size_last_10_seasons,Home Team is_home_Cover %_last_10_seasons,Home Team is_home_MOV_last_10_seasons,Home Team is_home_ATS +/-_last_10_seasons,Underdog is_dog Spread_last_10_seasons,Underdog is_dog Sample Size_last_10_seasons,Underdog is_dog Cover %_last_10_seasons,Underdog is_dog MOV_last_10_seasons,Underdog is_dog ATS +/-_last_10_seasons,Favorite is_fav Spread_last_10_seasons,Favorite is_fav Sample Size_last_10_seasons,Favorite is_fav Cover %_last_10_seasons,Favorite is_fav MOV_last_10_seasons,Favorite is_fav ATS +/-_last_10_seasons,Away Team_current_season_map,Home Team_current_season_map,Favorite is_fav Team_current_season_map,Underdog is_dog Team_current_season_map,Away Team,Home Team,Home Cover
0,1,99.7,10:00 PM,Climate Pledge Arena,1,Gonzaga,8,Kentucky,Gonzaga,Kentucky,-6.0,0.5283,False,6.0,0.5192,True,0,0.75,24.3,6.3,0,1.0,13.0,2.0,0,0.5,24.5,5.1,0,0.5,32.5,+5.8,Kentucky,6.0,0.5192,0,1.0,5.0,10.5,Gonzaga,-6.0,0.5283,0,0.75,24.3,6.3,Gonzaga,Kentucky,-6.0,6.0,0,0.528,14.3,1.2,0,0.502,9.3,1.3,0,0.509,10.2,0.5,0,0.49,15.9,0.1,6.0,0,0.537,-2.4,2.1,-6.0,0,0.523,15.5,1.1,Gonzaga,Kentucky,-6.0,6.0,0,0.529,18.1,1.6,0,0.511,15.1,2.7,0,0.503,10.8,0.5,0,0.497,16.6,0.6,6.0,0,0.556,-1.7,2.4,-6.0,0,0.537,18.9,1.8,104.0,138.0,104.0,138.0,,,
1,2,97.4,1:30 PM,Fiserv Forum,36,Wisconsin,10,Marquette,Wisconsin,Marquette,6.5,0.5192,True,-6.5,0.5283,False,0,0.556,13.9,1.5,0,0.0,0.0,0.0,0,0.75,17.3,2.6,0,0.8,25.3,+2.8,Wisconsin,6.5,0.5192,0,1.0,10.5,14.0,Marquette,-6.5,0.5283,0,0.833,23.3,3.1,Wisconsin,Marquette,6.5,-6.5,0,0.522,7.0,0.6,0,0.515,0.1,0.4,0,0.526,5.5,0.4,0,0.503,11.3,0.2,6.5,0,0.543,-3.1,1.7,-6.5,0,0.51,9.6,0.2,Wisconsin,Marquette,6.5,-6.5,0,0.504,6.1,0.2,0,0.505,-0.1,0.2,0,0.518,4.8,0.4,0,0.506,10.3,0.4,6.5,0,0.553,-2.1,2.5,-6.5,0,0.525,10.9,0.5,354.0,160.0,160.0,354.0,Wisconsin,Marquette,True
2,3,96.5,12:00 PM,Jack Breslin Student Events Center,46,Nebraska,31,Michigan St,Nebraska,Michigan St.,7.0,0.5238,True,-7.0,0.5238,False,0,0.429,15.3,1.1,0,1.0,11.0,21.0,0,0.556,11.4,0.9,0,0.5,20.5,-2.4,Nebraska,7.0,0.5238,0,1.0,4.0,11.0,Michigan St,-7.0,0.5238,0,0.571,15.4,0.3,Nebraska,Michigan St.,7.0,-7.0,0,0.492,0.6,-0.1,0,0.419,-9.2,-1.3,0,0.531,8.7,0.5,0,0.559,15.5,1.1,7.0,0,0.469,-8.4,-0.4,-7.0,0,0.541,11.3,0.5,Nebraska,Michigan St.,7.0,-7.0,0,0.497,-0.1,0.0,0,0.431,-8.9,-0.4,0,0.536,8.0,0.4,0,0.604,15.2,1.3,7.0,0,0.476,-8.4,-0.2,-7.0,0,0.56,11.8,0.6,207.0,173.0,173.0,207.0,Nebraska,Michigan St.,True
3,3,96.5,2:00 PM,Crisler Center,47,Iowa,20,Michigan,Iowa,Michigan,9.5,0.5238,True,-9.5,0.5238,False,0,0.375,14.6,-2.7,0,0.0,0.0,0.0,0,0.75,18.5,6.9,0,0.75,27.5,+6.9,Iowa,9.5,0.5238,0,0.0,0.0,0.0,Michigan,-9.5,0.5238,0,0.714,20.7,7.0,Iowa,Michigan,9.5,-9.5,0,0.488,4.4,0.1,0,0.44,-4.0,-0.4,0,0.515,3.9,0.5,0,0.533,9.6,0.4,9.5,0,0.477,-6.0,0.3,-9.5,0,0.533,9.7,0.5,Iowa,Michigan,9.5,-9.5,0,0.505,6.3,0.6,0,0.439,-2.0,0.5,0,0.519,6.0,0.7,0,0.519,11.1,0.1,9.5,0,0.444,-4.7,0.5,-9.5,0,0.537,10.4,0.4,125.0,172.0,172.0,125.0,Iowa,Michigan,False
4,5,96.1,5:30 PM,Fertitta Center,62,Butler,5,Houston,Butler,Houston,17.5,0.5283,True,-17.5,0.5192,False,0,0.625,12.8,3.8,0,0.0,0.0,0.0,0,0.429,19.6,0.1,0,1.0,46.3,+14.0,Butler,17.5,0.5283,0,1.0,7.7,11.8,Houston,-17.5,0.5192,0,0.429,19.6,0.1,Butler,Houston,17.5,-17.5,0,0.521,5.8,0.7,0,0.472,-0.1,-0.3,0,0.526,4.8,1.1,0,0.566,11.0,2.1,17.5,0,0.529,-5.2,0.4,-17.5,0,0.554,11.9,1.5,Butler,Houston,17.5,-17.5,0,0.511,3.6,0.1,0,0.477,-4.3,-1.1,0,0.558,12.3,2.4,0,0.604,18.7,3.8,17.5,0,0.463,-7.4,-1.5,-17.5,0,0.56,14.6,2.2,34.0,113.0,113.0,34.0,Butler,Houston,True
5,6,95.2,7:00 PM,Jon M. Huntsman Center,55,St Marys,41,Utah,Saint Mary'S,Utah,3.5,0.5283,True,-3.5,0.5192,False,0,0.25,14.9,-0.8,0,0.0,0.0,0.0,0,0.857,26.7,4.1,0,0.833,32.0,+4.3,St Marys,3.5,0.5283,0,0.0,0.0,0.0,Utah,-3.5,0.5192,0,0.833,32.0,4.3,Saint Mary'S,Utah,3.5,-3.5,0,0.512,6.7,0.3,0,0.556,1.1,1.1,0,0.522,5.2,0.4,0,0.573,12.5,2.0,3.5,0,0.44,-8.8,-1.3,-3.5,0,0.54,10.9,0.9,Saint Mary'S,Utah,3.5,-3.5,0,0.534,10.2,1.0,0,0.59,6.6,1.9,0,0.513,5.7,0.4,0,0.579,14.2,3.0,3.5,0,0.429,-7.8,-1.6,-3.5,0,0.569,13.2,2.2,283.0,327.0,327.0,283.0,Saint Mary'S,Utah,False
6,7,94.6,12:00 PM,Value City Arena,67,Rutgers,24,Ohio St,Rutgers,Ohio St.,4.5,0.5192,True,-4.5,0.5283,False,0,0.429,6.4,-2.5,0,0.0,-2.0,-13.5,0,0.625,16.3,5.4,0,0.8,32.0,+12.1,Rutgers,4.5,0.5192,0,1.0,-4.5,4.0,Ohio St,-4.5,0.5283,0,0.8,32.0,12.1,Rutgers,Ohio St.,4.5,-4.5,0,0.485,-0.6,-0.6,0,0.478,-8.8,-0.8,0,0.514,7.4,0.6,0,0.532,14.0,1.0,4.5,0,0.494,-8.5,-0.3,-4.5,0,0.52,11.5,0.6,Rutgers,Ohio St.,4.5,-4.5,0,0.495,-0.4,-0.4,0,0.434,-9.6,-1.8,0,0.484,6.1,0.3,0,0.523,12.9,1.1,4.5,0,0.503,-8.8,-0.2,-4.5,0,0.505,11.8,0.6,249.0,223.0,223.0,249.0,Rutgers,Ohio St.,True
7,8,93.8,11:30 AM,Carnesecca Arena,70,Kansas St,29,St Johns,Kansas State,St. John'S,10.0,0.5192,True,-10.0,0.5283,False,0,0.375,14.6,-5.3,0,0.0,0.0,0.0,0,0.625,15.5,1.5,0,0.6,20.6,+1.0,Kansas St,10.0,0.5192,0,0.0,0.0,0.0,St Johns,-10.0,0.5283,0,0.571,17.9,1.5,Kansas State,St. John'S,10.0,-10.0,0,0.51,3.6,0.4,0,0.495,-5.6,-0.3,0,0.496,1.4,-0.1,0,0.477,5.9,-0.5,10.0,0,0.511,-6.3,0.7,-10.0,0,0.48,8.2,-0.6,Kansas State,St. John'S,10.0,-10.0,0,0.519,2.1,0.1,0,0.569,-5.3,0.5,0,0.492,1.8,0.0,0,0.497,7.3,0.2,10.0,0,0.562,-5.8,1.2,-10.0,0,0.506,10.1,-0.1,135.0,281.0,281.0,135.0,Kansas State,St. John'S,False
8,9,92.4,12:00 PM,Watsco Center,30,Clemson,78,Miami,Clemson,Miami-Florida,-4.5,0.5283,False,4.5,0.5192,True,0,0.556,15.1,1.0,0,0.0,-13.0,-9.5,0,0.25,8.0,-7.3,0,0.4,17.6,-5.0,Miami,4.5,0.5192,0,0.5,-5.0,-1.3,Clemson,-4.5,0.5283,0,0.571,20.7,1.9,Clemson,Miami-Florida,-4.5,4.5,0,0.503,4.1,0.3,0,0.48,-3.9,-0.5,0,0.523,4.1,0.3,0,0.491,8.8,-0.4,4.5,0,0.579,-4.3,1.8,-4.5,0,0.49,8.6,0.2,Clemson,Miami-Florida,-4.5,4.5,0,0.524,4.7,0.8,0,0.431,-3.6,-1.0,0,0.494,3.4,-0.6,0,0.474,8.3,-1.3,4.5,0,0.549,-5.2,0.8,-4.5,0,0.518,9.2,0.7,51.0,170.0,51.0,170.0,Clemson,Miami-Florida,False
9,10,92.1,4:00 PM,CenturyLink Arena Boise,58,Boise St,77,Wash State,Boise St.,Washington St.,-8.5,0.5238,False,8.5,0.5238,True,0,0.286,14.6,-1.4,0,0.0,-11.0,-13.0,0,0.556,8.0,2.8,0,0.75,15.5,+4.8,Wash State,8.5,0.5238,0,0.333,-5.3,1.8,Boise St,-8.5,0.5238,0,0.286,11.7,-1.4,Boise St.,Washington St.,-8.5,8.5,0,0.508,4.6,0.7,0,0.535,-1.4,1.2,0,0.48,-0.4,0.1,0,0.512,5.0,0.7,8.5,0,0.469,-8.6,-0.3,-8.5,0,0.492,8.6,0.3,Boise St.,Washington St.,-8.5,8.5,0,0.531,7.3,1.3,0,0.561,1.2,1.4,0,0.475,-0.5,0.3,0,0.512,5.0,1.3,8.5,0,0.475,-8.2,0.0,-8.5,0,0.51,10.0,1.0,25.0,347.0,25.0,347.0,,,
