Team,all_games_Over Record,all_games_Over %,all_games_Under %,all_games_Total +/-,equal_rest_Over Record,equal_rest_Over %,equal_rest_Under %,equal_rest_Total +/-,four_plus_days_off_Over Record,four_plus_days_off_Over %,four_plus_days_off_Under %,four_plus_days_off_Total +/-,is_after_loss_Over Record,is_after_loss_Over %,is_after_loss_Under %,is_after_loss_Total +/-,is_after_win_Over Record,is_after_win_Over %,is_after_win_Under %,is_after_win_Total +/-,is_away_Over Record,is_away_Over %,is_away_Under %,is_away_Total +/-,is_dog_Over Record,is_dog_Over %,is_dog_Under %,is_dog_Total +/-,is_fav_Over Record,is_fav_Over %,is_fav_Under %,is_fav_Total +/-,is_home_Over Record,is_home_Over %,is_home_Under %,is_home_Total +/-,no_rest_Over Record,no_rest_Over %,no_rest_Under %,no_rest_Total +/-,one_day_off_Over Record,one_day_off_Over %,one_day_off_Under %,one_day_off_Total +/-,rest_advantage_Over Record,rest_advantage_Over %,rest_advantage_Under %,rest_advantage_Total +/-,rest_disadvantage_Over Record,rest_disadvantage_Over %,rest_disadvantage_Under %,rest_disadvantage_Total +/-,two_three_days_off_Over Record,two_three_days_off_Over %,two_three_days_off_Under %,two_three_days_off_Total +/-
Milwaukee,931-863-21,51.9%,48.1%,0.8,475-452-17,51.2%,48.8%,0.7,28-27-0,50.9%,49.1%,-0.6,461-416-14,52.6%,47.4%,0.9,458-437-7,51.2%,48.8%,0.8,446-440-12,50.3%,49.7%,0.3,430-396-11,52.1%,47.9%,0.7,491-461-10,51.6%,48.4%,0.9,475-412-9,53.6%,46.5%,1.4,193-197-4,49.5%,50.5%,-0.2,503-461-11,52.2%,47.8%,1.0,249-213-3,53.9%,46.1%,1.5,207-198-1,51.1%,48.9%,0.4,207-178-6,53.8%,46.2%,1.7
Denver,941-885-21,51.5%,48.5%,0.9,473-444-15,51.6%,48.4%,0.8,28-40-0,41.2%,58.8%,-4.5,424-344-11,55.2%,44.8%,2.4,511-525-10,49.3%,50.7%,0.0,448-452-8,49.8%,50.2%,0.3,376-363-9,50.9%,49.1%,0.2,558-520-12,51.8%,48.2%,1.3,475-424-12,52.8%,47.2%,1.4,188-167-2,53.0%,47.0%,1.1,566-502-16,53.0%,47.0%,1.3,221-226-4,49.4%,50.6%,0.6,247-215-2,53.5%,46.5%,1.4,159-176-3,47.5%,52.5%,0.4
Washington,894-848-32,51.3%,48.7%,1.0,485-450-18,51.9%,48.1%,1.4,28-26-2,51.9%,48.2%,2.6,506-486-19,51.0%,49.0%,0.7,379-349-13,52.1%,47.9%,1.6,441-432-12,50.5%,49.5%,0.7,554-533-21,51.0%,49.0%,0.9,336-313-11,51.8%,48.2%,1.2,450-410-20,52.3%,47.7%,1.5,207-170-6,54.9%,45.1%,2.2,470-502-20,48.4%,51.7%,0.5,227-197-9,53.5%,46.5%,1.1,182-201-5,47.5%,52.5%,0.2,189-150-4,55.8%,44.3%,1.1
Phoenix,921-878-21,51.2%,48.8%,0.4,454-448-11,50.3%,49.7%,-0.1,31-34-2,47.7%,52.3%,-1.8,408-437-12,48.3%,51.7%,-0.4,505-427-9,54.2%,45.8%,1.3,453-436-12,51.0%,49.0%,0.8,404-412-11,49.5%,50.5%,0.2,513-462-10,52.6%,47.4%,0.6,460-439-9,51.2%,48.8%,0.1,178-172-7,50.9%,49.1%,0.1,540-526-9,50.7%,49.3%,0.5,255-224-3,53.2%,46.8%,1.0,212-206-7,50.7%,49.3%,1.0,172-146-3,54.1%,45.9%,0.9
Minnesota,883-842-22,51.2%,48.8%,0.5,470-445-11,51.4%,48.6%,0.2,26-29-1,47.3%,52.7%,0.3,517-474-19,52.2%,47.8%,1.1,357-355-3,50.1%,49.9%,-0.4,457-404-12,53.1%,46.9%,1.9,517-490-16,51.3%,48.7%,0.9,361-348-6,50.9%,49.1%,0.0,424-438-10,49.2%,50.8%,-0.9,192-168-6,53.3%,46.7%,1.1,504-484-12,51.0%,49.0%,0.3,200-217-6,48.0%,52.0%,0.0,213-180-5,54.2%,45.8%,1.8,161-161-3,50.0%,50.0%,0.7
Atlanta,924-883-17,51.1%,48.9%,1.0,516-475-10,52.1%,47.9%,0.9,29-25-2,53.7%,46.3%,2.6,493-454-10,52.1%,47.9%,1.3,418-420-7,49.9%,50.1%,0.5,450-454-9,49.8%,50.2%,0.2,513-492-9,51.0%,49.0%,0.7,406-387-8,51.2%,48.8%,1.2,472-429-8,52.4%,47.6%,1.7,200-194-3,50.8%,49.2%,-0.2,523-484-9,51.9%,48.1%,1.3,213-195-4,52.2%,47.8%,2.2,195-213-3,47.8%,52.2%,-0.2,172-180-3,48.9%,51.1%,0.9
Sacramento,871-834-31,51.1%,48.9%,0.8,434-412-15,51.3%,48.7%,0.9,35-25-0,58.3%,41.7%,3.1,508-464-16,52.3%,47.7%,1.6,354-357-15,49.8%,50.2%,-0.2,407-439-18,48.1%,51.9%,-0.3,532-525-22,50.3%,49.7%,0.6,333-307-9,52.0%,48.0%,1.1,459-391-13,54.0%,46.0%,1.9,175-190-6,48.0%,52.1%,-0.7,503-458-22,52.3%,47.7%,1.1,233-191-6,55.0%,45.1%,2.2,204-231-10,46.9%,53.1%,-0.8,158-161-3,49.5%,50.5%,1.1
Toronto,907-885-16,50.6%,49.4%,0.9,485-497-14,49.4%,50.6%,0.5,23-37-0,38.3%,61.7%,-3.1,445-440-6,50.3%,49.7%,0.6,452-433-10,51.1%,48.9%,1.2,453-430-9,51.3%,48.7%,0.6,456-442-7,50.8%,49.2%,1.4,446-436-9,50.6%,49.4%,0.4,447-442-7,50.3%,49.7%,1.2,189-167-2,53.1%,46.9%,1.2,523-541-11,49.2%,50.9%,0.9,197-188-1,51.2%,48.8%,0.5,225-200-1,52.9%,47.1%,2.0,172-140-3,55.1%,44.9%,1.4
Utah,897-880-24,50.5%,49.5%,0.7,466-437-15,51.6%,48.4%,0.4,29-28-1,50.9%,49.1%,0.8,421-409-10,50.7%,49.3%,0.6,466-460-13,50.3%,49.7%,0.7,471-412-13,53.3%,46.7%,1.6,422-383-14,52.4%,47.6%,1.2,469-492-10,48.8%,51.2%,0.1,416-462-11,47.4%,52.6%,-0.3,190-177-3,51.8%,48.2%,1.4,509-506-18,50.2%,49.9%,0.0,222-214-4,50.9%,49.1%,1.4,209-229-5,47.7%,52.3%,0.3,169-169-2,50.0%,50.0%,1.9
Portland,884-882-21,50.1%,49.9%,0.5,443-443-5,50.0%,50.0%,0.5,36-26-0,58.1%,41.9%,4.1,446-451-8,49.7%,50.3%,0.5,427-420-13,50.4%,49.6%,0.5,432-447-10,49.2%,50.9%,-0.6,481-470-9,50.6%,49.4%,0.1,400-403-12,49.8%,50.2%,1.1,441-431-11,50.6%,49.4%,1.5,169-191-5,46.9%,53.1%,-0.8,514-510-14,50.2%,49.8%,0.5,237-201-8,54.1%,45.9%,2.3,204-238-8,46.2%,53.9%,-1.1,165-155-2,51.6%,48.4%,1.6
Okla City,905-909-26,49.9%,50.1%,0.4,480-457-12,51.2%,48.8%,0.8,22-40-1,35.5%,64.5%,-4.4,415-414-13,50.1%,49.9%,0.6,481-482-13,50.0%,50.1%,0.3,440-459-9,48.9%,51.1%,0.2,393-438-8,47.3%,52.7%,-0.4,506-469-18,51.9%,48.1%,0.9,456-441-17,50.8%,49.2%,0.6,181-159-5,53.2%,46.8%,1.8,550-537-16,50.6%,49.4%,0.6,195-228-7,46.1%,53.9%,-1.1,230-224-7,50.7%,49.3%,0.8,152-173-4,46.8%,53.2%,-1.1
Boston,962-972-21,49.7%,50.3%,0.5,544-556-6,49.5%,50.6%,0.0,40-30-2,57.1%,42.9%,3.1,412-388-5,51.5%,48.5%,0.6,537-575-16,48.3%,51.7%,0.3,457-492-8,48.2%,51.8%,0.5,329-358-6,47.9%,52.1%,0.3,629-608-14,50.9%,49.2%,0.6,492-467-12,51.3%,48.7%,0.4,183-173-6,51.4%,48.6%,1.7,559-589-8,48.7%,51.3%,0.0,193-199-6,49.2%,50.8%,0.6,225-217-9,50.9%,49.1%,1.5,180-180-5,50.0%,50.0%,0.4
