Team,all_games_Over Record,all_games_Over %,all_games_Under %,all_games_Total +/-,equal_rest_Over Record,equal_rest_Over %,equal_rest_Under %,equal_rest_Total +/-,four_plus_days_off_Over Record,four_plus_days_off_Over %,four_plus_days_off_Under %,four_plus_days_off_Total +/-,is_after_loss_Over Record,is_after_loss_Over %,is_after_loss_Under %,is_after_loss_Total +/-,is_after_win_Over Record,is_after_win_Over %,is_after_win_Under %,is_after_win_Total +/-,is_away_Over Record,is_away_Over %,is_away_Under %,is_away_Total +/-,is_dog_Over Record,is_dog_Over %,is_dog_Under %,is_dog_Total +/-,is_fav_Over Record,is_fav_Over %,is_fav_Under %,is_fav_Total +/-,is_home_Over Record,is_home_Over %,is_home_Under %,is_home_Total +/-,no_rest_Over Record,no_rest_Over %,no_rest_Under %,no_rest_Total +/-,one_day_off_Over Record,one_day_off_Over %,one_day_off_Under %,one_day_off_Total +/-,rest_advantage_Over Record,rest_advantage_Over %,rest_advantage_Under %,rest_advantage_Total +/-,rest_disadvantage_Over Record,rest_disadvantage_Over %,rest_disadvantage_Under %,rest_disadvantage_Total +/-,two_three_days_off_Over Record,two_three_days_off_Over %,two_three_days_off_Under %,two_three_days_off_Total +/-
Atlanta,9-2-0,81.8%,18.2%,7.0,6-0-0,100.0%,0.0%,14.7,1-0-0,100.0%,0.0%,12.5,5-1-0,83.3%,16.7%,7.7,3-1-0,75.0%,25.0%,4.8,4-0-0,100.0%,0.0%,12.1,4-1-0,80.0%,20.0%,2.6,5-1-0,83.3%,16.7%,10.8,5-2-0,71.4%,28.6%,4.1,1-2-0,33.3%,66.7%,-4.8,7-0-0,100.0%,0.0%,11.4,1-0-0,100.0%,0.0%,1.5,2-2-0,50.0%,50.0%,-3.0,,,,
Denver,8-2-0,80.0%,20.0%,14.9,6-1-0,85.7%,14.3%,11.2,0-1-0,0.0%,100.0%,-39.5,2-1-0,66.7%,33.3%,11.3,6-0-0,100.0%,0.0%,25.7,3-0-0,100.0%,0.0%,36.0,2-0-0,100.0%,0.0%,18.8,6-2-0,75.0%,25.0%,13.9,5-2-0,71.4%,28.6%,5.8,2-0-0,100.0%,0.0%,37.5,5-1-0,83.3%,16.7%,16.2,,,,,2-1-0,66.7%,33.3%,23.3,1-0-0,100.0%,0.0%,16.0
Indiana,7-3-0,70.0%,30.0%,3.6,5-2-0,71.4%,28.6%,1.4,0-1-0,0.0%,100.0%,-12.0,5-0-0,100.0%,0.0%,18.4,2-2-0,50.0%,50.0%,-11.1,3-3-0,50.0%,50.0%,-4.2,4-1-0,80.0%,20.0%,16.1,3-2-0,60.0%,40.0%,-9.0,4-0-0,100.0%,0.0%,15.1,1-0-0,100.0%,0.0%,9.0,5-2-0,71.4%,28.6%,2.0,1-0-0,100.0%,0.0%,24.5,1-1-0,50.0%,50.0%,0.5,1-0-0,100.0%,0.0%,24.5
New Orleans,7-3-1,70.0%,30.0%,3.4,6-3-0,66.7%,33.3%,3.9,1-0-0,100.0%,0.0%,9.0,4-2-1,66.7%,33.3%,3.0,2-1-0,66.7%,33.3%,2.5,2-3-0,40.0%,60.0%,-5.0,4-2-0,66.7%,33.3%,3.4,3-1-1,75.0%,25.0%,3.4,5-0-1,100.0%,0.0%,10.4,0-1-1,0.0%,100.0%,-13.0,5-2-0,71.4%,28.6%,7.4,1-0-0,100.0%,0.0%,2.5,0-0-1,0.0%,0.0%,0.0,1-0-0,100.0%,0.0%,2.5
Golden State,7-3-0,70.0%,30.0%,5.8,6-2-0,75.0%,25.0%,3.9,1-0-0,100.0%,0.0%,22.0,2-0-0,100.0%,0.0%,14.0,4-3-0,57.1%,42.9%,1.1,6-1-0,85.7%,14.3%,11.0,5-0-0,100.0%,0.0%,17.1,2-3-0,40.0%,60.0%,-5.5,1-2-0,33.3%,66.7%,-6.3,0-1-0,0.0%,100.0%,-26.0,5-2-0,71.4%,28.6%,4.2,1-1-0,50.0%,50.0%,13.5,,,,,1-0-0,100.0%,0.0%,32.5
Toronto,7-4-0,63.6%,36.4%,9.7,6-1-0,85.7%,14.3%,13.4,1-0-0,100.0%,0.0%,17.0,5-3-0,62.5%,37.5%,10.9,1-1-0,50.0%,50.0%,1.0,2-4-0,33.3%,66.7%,2.1,7-4-0,63.6%,36.4%,9.7,,,,,5-0-0,100.0%,0.0%,18.8,1-2-0,33.3%,66.7%,2.7,5-1-0,83.3%,16.7%,16.5,0-1-0,0.0%,100.0%,-17.5,1-2-0,33.3%,66.7%,10.2,0-1-0,0.0%,100.0%,-17.5
Memphis,7-4-0,63.6%,36.4%,5.0,5-1-0,83.3%,16.7%,11.7,1-0-0,100.0%,0.0%,20.5,2-2-0,50.0%,50.0%,3.6,4-2-0,66.7%,33.3%,3.3,3-2-0,60.0%,40.0%,4.4,2-1-0,66.7%,33.3%,2.8,5-3-0,62.5%,37.5%,5.8,4-2-0,66.7%,33.3%,5.4,1-1-0,50.0%,50.0%,2.0,5-3-0,62.5%,37.5%,3.8,0-2-0,0.0%,100.0%,-7.3,2-1-0,66.7%,33.3%,-0.3,,,,
Minnesota,6-4-0,60.0%,40.0%,1.2,2-3-0,40.0%,60.0%,-6.8,0-1-0,0.0%,100.0%,-11.0,2-1-0,66.7%,33.3%,2.7,4-2-0,66.7%,33.3%,2.4,3-1-0,75.0%,25.0%,6.9,,,,,6-4-0,60.0%,40.0%,1.2,3-3-0,50.0%,50.0%,-2.7,2-0-0,100.0%,0.0%,5.0,1-3-0,25.0%,75.0%,-11.0,2-1-0,66.7%,33.3%,11.5,2-0-0,100.0%,0.0%,5.5,3-0-0,100.0%,0.0%,18.8
Phoenix,6-4-0,60.0%,40.0%,0.7,4-2-0,66.7%,33.3%,2.3,1-0-0,100.0%,0.0%,4.5,0-1-0,0.0%,100.0%,-14.0,5-3-0,62.5%,37.5%,2.1,3-1-0,75.0%,25.0%,8.5,1-2-0,33.3%,66.7%,-2.8,5-2-0,71.4%,28.6%,2.2,3-3-0,50.0%,50.0%,-4.5,0-1-0,0.0%,100.0%,-14.0,4-3-0,57.1%,42.9%,-1.1,1-1-0,50.0%,50.0%,-2.3,1-1-0,50.0%,50.0%,-1.3,1-0-0,100.0%,0.0%,24.0
Cleveland,7-5-0,58.3%,41.7%,6.8,6-3-0,66.7%,33.3%,7.7,1-0-0,100.0%,0.0%,17.0,,,,,6-5-0,54.6%,45.5%,5.9,3-3-0,50.0%,50.0%,8.8,0-2-0,0.0%,100.0%,-5.8,7-3-0,70.0%,30.0%,9.3,4-2-0,66.7%,33.3%,4.8,1-2-0,33.3%,66.7%,1.7,5-3-0,62.5%,37.5%,7.4,,,,,1-2-0,33.3%,66.7%,4.2,,,,
Washington,5-4-0,55.6%,44.4%,-0.3,2-3-0,40.0%,60.0%,-5.0,0-1-0,0.0%,100.0%,-7.0,4-2-0,66.7%,33.3%,-1.2,1-1-0,50.0%,50.0%,5.8,2-2-0,50.0%,50.0%,-8.6,5-4-0,55.6%,44.4%,-0.3,,,,,3-2-0,60.0%,40.0%,6.4,0-1-0,0.0%,100.0%,-32.0,4-1-0,80.0%,20.0%,8.8,3-1-0,75.0%,25.0%,5.6,,,,,1-1-0,50.0%,50.0%,-3.8
New York,5-4-0,55.6%,44.4%,3.1,5-0-0,100.0%,0.0%,13.8,1-0-0,100.0%,0.0%,19.5,2-2-0,50.0%,50.0%,-0.9,2-2-0,50.0%,50.0%,2.9,5-1-0,83.3%,16.7%,9.5,1-0-0,100.0%,0.0%,19.5,4-4-0,50.0%,50.0%,1.0,0-3-0,0.0%,100.0%,-9.8,,,,,4-1-0,80.0%,20.0%,7.2,0-4-0,0.0%,100.0%,-10.4,,,,,0-3-0,0.0%,100.0%,-9.3
Philadelphia,5-4-0,55.6%,44.4%,0.7,4-3-0,57.1%,42.9%,2.6,1-0-0,100.0%,0.0%,10.5,4-3-0,57.1%,42.9%,2.2,0-1-0,0.0%,100.0%,-19.5,3-2-0,60.0%,40.0%,1.7,3-2-0,60.0%,40.0%,3.4,2-2-0,50.0%,50.0%,-2.6,2-2-0,50.0%,50.0%,-0.5,,,,,3-3-0,50.0%,50.0%,1.3,1-1-0,50.0%,50.0%,-5.8,,,,,1-1-0,50.0%,50.0%,-5.8
Chicago,6-5-0,54.6%,45.5%,3.0,4-3-0,57.1%,42.9%,0.1,1-0-0,100.0%,0.0%,9.0,4-2-0,66.7%,33.3%,12.5,1-3-0,25.0%,75.0%,-12.6,4-2-0,66.7%,33.3%,4.8,5-5-0,50.0%,50.0%,0.2,1-0-0,100.0%,0.0%,31.5,2-3-0,40.0%,60.0%,1.0,1-1-0,50.0%,50.0%,2.3,3-4-0,42.9%,57.1%,-1.6,1-1-0,50.0%,50.0%,14.3,1-1-0,50.0%,50.0%,2.3,1-0-0,100.0%,0.0%,31.5
Okla City,6-5-0,54.6%,45.5%,-1.3,4-1-0,80.0%,20.0%,8.0,0-1-0,0.0%,100.0%,-39.5,2-0-0,100.0%,0.0%,27.5,4-4-0,50.0%,50.0%,-3.8,2-3-0,40.0%,60.0%,-6.8,0-1-0,0.0%,100.0%,-39.5,6-4-0,60.0%,40.0%,2.5,4-2-0,66.7%,33.3%,3.3,2-1-0,66.7%,33.3%,7.0,4-2-0,66.7%,33.3%,4.5,0-3-0,0.0%,100.0%,-25.2,2-1-0,66.7%,33.3%,7.0,0-1-0,0.0%,100.0%,-23.0
Orlando,6-5-0,54.6%,45.5%,-4.8,5-3-0,62.5%,37.5%,-0.7,1-0-0,100.0%,0.0%,5.0,3-3-0,50.0%,50.0%,-6.7,2-2-0,50.0%,50.0%,-4.5,4-3-0,57.1%,42.9%,-7.1,4-2-0,66.7%,33.3%,-3.9,2-3-0,40.0%,60.0%,-5.9,2-2-0,50.0%,50.0%,-0.9,1-1-0,50.0%,50.0%,-8.0,4-4-0,50.0%,50.0%,-5.3,1-0-0,100.0%,0.0%,9.0,0-2-0,0.0%,100.0%,-28.3,,,,
Portland,5-5-1,50.0%,50.0%,0.0,4-2-0,66.7%,33.3%,8.9,1-0-0,100.0%,0.0%,22.0,2-4-1,33.3%,66.7%,-5.1,2-1-0,66.7%,33.3%,4.7,2-3-1,40.0%,60.0%,-7.3,5-5-1,50.0%,50.0%,0.0,,,,,3-2-0,60.0%,40.0%,8.9,1-2-0,33.3%,66.7%,-13.8,2-3-1,40.0%,60.0%,2.4,1-0-1,100.0%,0.0%,2.8,0-3-0,0.0%,100.0%,-19.5,1-0-0,100.0%,0.0%,5.5
LA Lakers,5-5-0,50.0%,50.0%,4.6,3-3-0,50.0%,50.0%,4.2,0-1-0,0.0%,100.0%,-11.0,3-1-0,75.0%,25.0%,12.9,2-3-0,40.0%,60.0%,1.1,3-2-0,60.0%,40.0%,5.9,2-2-0,50.0%,50.0%,0.8,3-3-0,50.0%,50.0%,7.2,2-3-0,40.0%,60.0%,3.3,1-0-0,100.0%,0.0%,27.0,3-3-0,50.0%,50.0%,4.4,1-2-0,33.3%,66.7%,-2.0,1-0-0,100.0%,0.0%,27.0,1-1-0,50.0%,50.0%,1.8
Brooklyn,5-6-0,45.5%,54.6%,1.3,3-3-0,50.0%,50.0%,-4.8,1-0-0,100.0%,0.0%,12.5,2-4-0,33.3%,66.7%,-6.0,2-2-0,50.0%,50.0%,9.4,3-3-0,50.0%,50.0%,-1.4,3-5-0,37.5%,62.5%,3.6,2-1-0,66.7%,33.3%,-5.0,2-3-0,40.0%,60.0%,4.5,0-3-0,0.0%,100.0%,-10.0,4-2-0,66.7%,33.3%,6.8,1-1-0,50.0%,50.0%,27.5,1-2-0,33.3%,66.7%,-4.0,0-1-0,0.0%,100.0%,-9.0
Sacramento,5-6-0,45.5%,54.6%,-1.0,2-4-0,33.3%,66.7%,-3.1,1-0-0,100.0%,0.0%,10.0,2-2-0,50.0%,50.0%,4.0,2-4-0,33.3%,66.7%,-6.3,4-3-0,57.1%,42.9%,4.0,3-1-0,75.0%,25.0%,12.0,2-5-0,28.6%,71.4%,-8.5,1-3-0,25.0%,75.0%,-9.9,1-2-0,33.3%,66.7%,-4.2,2-4-0,33.3%,66.7%,-1.9,3-1-0,75.0%,25.0%,4.4,0-1-0,0.0%,100.0%,-10.5,1-0-0,100.0%,0.0%,2.5
San Antonio,5-6-0,45.5%,54.6%,-5.4,3-2-0,60.0%,40.0%,0.4,1-0-0,100.0%,0.0%,2.5,2-4-0,33.3%,66.7%,-8.4,2-2-0,50.0%,50.0%,-2.8,3-2-0,60.0%,40.0%,-6.8,4-4-0,50.0%,50.0%,-4.7,1-2-0,33.3%,66.7%,-7.2,2-4-0,33.3%,66.7%,-4.2,1-1-0,50.0%,50.0%,-10.5,3-5-0,37.5%,62.5%,-5.1,1-2-0,33.3%,66.7%,-5.7,1-2-0,33.3%,66.7%,-14.7,,,,
Miami,4-5-0,44.4%,55.6%,-0.9,4-4-0,50.0%,50.0%,-0.6,1-0-0,100.0%,0.0%,5.0,2-3-0,40.0%,60.0%,-0.3,1-2-0,33.3%,66.7%,-4.0,2-3-0,40.0%,60.0%,-0.3,3-1-0,75.0%,25.0%,4.5,1-4-0,20.0%,80.0%,-5.3,2-2-0,50.0%,50.0%,-1.8,,,,,3-3-0,50.0%,50.0%,-0.3,0-1-0,0.0%,100.0%,-3.5,,,,,0-2-0,0.0%,100.0%,-5.8
