Rank,Hotness Score,Time,Location,Away Team Rank,Away Team,Home Team Rank,Home Team,Away Team DraftKings,Away Team Covers,Home Team DraftKings,Home Team Covers,Away Team Spread,Away Team Odds,Away Team Underdog,Home Team Spread,Home Team Odds,Home Team Underdog,Away Team Team,Away Team all_games_ATS Record,Away Team all_games_Cover %,Away Team all_games_MOV,Away Team all_games_ATS +/-,Away Team is_away_ATS Record,Away Team is_away_Cover %,Away Team is_away_MOV,Away Team is_away_ATS +/-,Home Team Team,Home Team all_games_ATS Record,Home Team all_games_Cover %,Home Team all_games_MOV,Home Team all_games_ATS +/-,Home Team is_home_ATS Record,Home Team is_home_Cover %,Home Team is_home_MOV,Home Team is_home_ATS +/-,Underdog is_dog Team,Underdog is_dog Spread,Underdog is_dog Odds,Underdog is_dog ATS Record,Underdog is_dog Cover %,Underdog is_dog MOV,Underdog is_dog ATS +/-,Favorite is_fav Team,Favorite is_fav Spread,Favorite is_fav Odds,Favorite is_fav ATS Record,Favorite is_fav Cover %,Favorite is_fav MOV,Favorite is_fav ATS +/-
1,98.5,9:00 PM,Fiserv Forum,17,Purdue,20,Marquette,Purdue,Purdue,Marquette,Marquette,+4.5,−108,True,-4.5,−112,False,Purdue,418-417-21,50.1%,6.8,0.4,126-148-8,46.0%,-1.2,-0.5,Marquette,417-377-13,52.5%,5.5,0.4,193-193-4,50.0%,11.2,0.2,Purdue,+4.5,−108,116-133-6,46.6%,-6.0,0.0,Marquette,-4.5,−112,242-235-8,50.7%,9.5,0.2
2,89.3,8:00 PM,Jack Breslin Student Events Center,114,Samford,32,Michigan St,Samford,Samford,Michigan State,Michigan St.,+17,−105,True,-17,−115,False,Samford,275-289-10,48.8%,0.6,-0.5,147-142-7,50.9%,-5.7,-0.8,Michigan St,468-414-13,53.1%,8.7,0.5,218-171-4,56.0%,15.5,1.2,Samford,+17,−105,157-162-10,49.2%,-8.7,-0.4,Michigan St,-17,−115,365-309-10,54.2%,11.3,0.5
3,87.0,8:00 PM,Allen Fieldhouse,136,Nc-Wilmgton,8,Kansas,UNCW,UNC Wilmington,Kansas,Kansas,N/A,N/A,False,-23,−110,False,Nc-Wilmgton,380-353-24,51.8%,0.6,0.2,175-177-12,49.7%,-5.3,-0.4,Kansas,468-439-14,51.6%,11.8,0.7,209-195-8,51.7%,18.0,1.2,Kansas,-23,−110,51-50-2,50.5%,-3.8,-0.2,Nc-Wilmgton,N/A,N/A,178-158-6,53.0%,6.9,0.2
4,86.1,7:00 PM,Rupp Arena at Central Bank Center,138,Lipscomb,15,Kentucky,Lipscomb,Lipscomb,Kentucky,Kentucky,+22,−112,True,-22,−108,False,Lipscomb,147-125-3,54.0%,1.2,0.4,79-58-2,57.7%,-4.8,1.2,Kentucky,451-434-21,51.0%,10.1,0.5,196-204-10,49.0%,15.8,0.0,Lipscomb,+22,−112,80-46-2,63.5%,-6.1,2.8,Kentucky,-22,−108,368-363-19,50.3%,11.6,0.1
5,82.9,7:00 PM,Donald L. Tucker Center,128,Hofstra,97,Florida St,Hofstra,Hofstra,Florida State,Florida State,+7.5,−112,True,-7.5,−108,False,Hofstra,339-314-20,51.9%,2.9,0.5,171-131-11,56.6%,-0.6,1.5,Florida St,392-392-17,50.0%,2.9,-0.3,186-176-11,51.4%,8.7,0.2,Hofstra,+7.5,−112,155-133-16,53.8%,-6.0,1.1,Florida St,-7.5,−108,200-221-12,47.5%,7.7,-1.0
6,78.3,7:00 PM,Truist Arena,10,Cincinnati,199,N Kentucky,Cincinnati,Cincinnati,Northern Kentucky,Northern Kentucky,-14,−108,False,+14,−112,True,Cincinnati,386-424-20,47.7%,8.1,0.2,134-146-7,47.9%,0.6,-0.1,N Kentucky,146-142-2,50.7%,2.9,0.6,62-63-1,49.6%,9.5,0.8,N Kentucky,+14,−112,59-55-0,51.8%,-6.6,1.3,Cincinnati,-14,−108,280-311-16,47.4%,11.1,0.2
7,76.5,10:00 PM,Leavey Center,146,Uc Riverside,129,Santa Clara,UC Riverside,UC Riverside,Santa Clara,Santa Clara,+8,−112,True,-8,−108,False,Uc Riverside,302-302-15,50.0%,-3.1,-0.2,164-146-10,52.9%,-8.8,0.0,Santa Clara,382-370-19,50.8%,0.3,-0.4,176-194-8,47.6%,4.6,-1.2,Uc Riverside,+8,−112,222-212-13,51.2%,-8.4,0.3,Santa Clara,-8,−108,162-177-6,47.8%,6.6,-1.1
8,74.3,9:00 PM,Welsh-Ryan Arena,212,Montana St,48,Northwestern,Montana State,Montana St.,Northwestern,Northwestern,+15,−112,True,-15,−108,False,Montana St,313-327-16,48.9%,0.5,-0.5,167-156-9,51.7%,-6.4,-0.4,Northwestern,369-375-14,49.6%,-0.1,0.0,176-194-6,47.6%,5.4,-0.4,Montana St,+15,−112,178-181-8,49.6%,-7.4,0.1,Northwestern,-15,−108,143-142-4,50.2%,8.3,-0.2
9,69.5,8:30 PM,Joseph J. Gentile Arena,224,S Utah,85,Loyola-Chi,Southern Utah,Southern Utah,Loyola Chicago,Loyola-Chicago,+14,−110,True,-14,−110,False,S Utah,200-214-5,48.3%,-1.9,-0.4,107-99-1,51.9%,-8.9,0.3,Loyola-Chi,368-368-25,50.0%,1.3,0.0,162-164-15,49.7%,6.9,0.0,S Utah,+14,−110,134-140-3,48.9%,-9.9,-0.5,Loyola-Chi,-14,−110,181-176-9,50.7%,7.3,-0.3
10,69.1,8:00 PM,Carver-Hawkeye Arena,244,Rider,43,Iowa,Rider,Rider,Iowa,Iowa,+21,−108,True,-21,−112,False,Rider,318-337-11,48.6%,0.4,-0.1,171-152-7,52.9%,-3.0,1.0,Iowa,398-417-19,48.8%,4.4,0.1,207-188-9,52.4%,11.3,0.7,Rider,+21,−108,166-155-5,51.7%,-6.2,0.6,Iowa,-21,−112,228-228-13,50.0%,10.1,0.0
11,68.0,7:00 PM,Dale F. Halton Arena,200,Gard-Webb,141,Charlotte,,Gardner-Webb,Charlotte,Charlotte,N/A,N/A,False,-7,−110,False,Gard-Webb,134-116-2,53.6%,0.4,1.1,80-49-2,62.0%,-6.1,2.2,Charlotte,364-386-21,48.5%,0.7,-0.4,172-158-7,52.1%,6.3,0.5,Charlotte,-7,−110,180-190-15,48.7%,-7.0,-0.5,Gard-Webb,N/A,N/A,55-66-2,45.5%,5.7,-0.5
