,Rank,Hotness Score,Time,Location,Away Team Rank,Away Team,Home Team Rank,Home Team,Away Team DraftKings,Home Team DraftKings,Away Team all_games_ATS Record,Away Team all_games_Cover %,Away Team all_games_MOV,Away Team all_games_ATS +/-,Away Team is_away_ATS Record,Away Team is_away_Cover %,Away Team is_away_MOV,Away Team is_away_ATS +/-,Away Team is_fav_ATS Record,Away Team is_fav_Cover %,Away Team is_fav_MOV,Away Team is_fav_ATS +/-,Home Team all_games_ATS Record,Home Team all_games_Cover %,Home Team all_games_MOV,Home Team all_games_ATS +/-,Home Team is_home_ATS Record,Home Team is_home_Cover %,Home Team is_home_MOV,Home Team is_home_ATS +/-,Home Team is_dog_ATS Record,Home Team is_dog_Cover %,Home Team is_dog_MOV,Home Team is_dog_ATS +/-
0,1,98.5,9:00 PM,Fiserv Forum,17,Purdue,20,Marquette,Purdue,Marquette,2-2-0,50.0%,14.0,0.0,,,,,1-2-0,33.3%,15.7,-4.3,3-1-0,75.0%,17.8,2.6,2-1-0,66.7%,22.3,+1.3,1-0-0,100.0%,4.0,6.5
1,2,89.3,8:00 PM,Jack Breslin Student Events Center,114,Samford,32,Michigan St,Samford,Michigan State,1-2-0,33.3%,22.4,-0.7,0-2-0,0.0%,-0.5,-2.5,1-2-0,33.3%,4.7,-0.7,2-2-0,50.0%,16.5,-0.6,2-1-0,66.7%,24.7,-0.2,0-1-0,0.0%,-8.0,-2.0
2,3,87.0,8:00 PM,Allen Fieldhouse,136,Nc-Wilmgton,8,Kansas,,Kansas,1-1-0,50.0%,21.3,-1.3,0-1-0,0.0%,4.0,-5.0,1-1-0,50.0%,6.0,-1.3,2-2-0,50.0%,15.5,-1.8,1-2-0,33.3%,18.0,-3.0,,,,
3,4,86.1,7:00 PM,Rupp Arena at Central Bank Center,138,Lipscomb,15,Kentucky,Lipscomb,Kentucky,3-1-1,75.0%,-1.6,1.1,2-0-1,100.0%,-5.3,3.2,1-1-0,50.0%,4.0,-2.0,2-1-0,66.7%,24.7,9.8,1-1-0,50.0%,34.5,+9.5,1-0-0,100.0%,5.0,10.5
4,5,82.9,7:00 PM,Donald L. Tucker Center,128,Hofstra,97,Florida St,Hofstra,Florida State,3-0-0,100.0%,11.5,8.5,1-0-0,100.0%,4.0,10.0,1-0-0,100.0%,14.0,9.5,2-2-0,50.0%,6.8,-0.5,2-1-0,66.7%,6.3,0.0,0-1-0,0.0%,-13.0,-7.5
5,6,78.3,7:00 PM,Truist Arena,10,Cincinnati,199,N Kentucky,Cincinnati,Northern Kentucky,2-1-0,66.7%,39.7,9.0,,,,,2-1-0,66.7%,39.7,9.0,0-3-0,0.0%,-12.0,-4.8,0-1-0,0.0%,-2.0,-8.5,0-2-0,0.0%,-17.0,-3.0
6,7,76.5,10:00 PM,Leavey Center,146,Uc Riverside,129,Santa Clara,,Santa Clara,4-0-0,100.0%,2.0,7.4,3-0-0,100.0%,-6.7,7.3,1-0-0,100.0%,28.0,7.5,1-3-0,25.0%,-8.5,-12.4,0-1-0,0.0%,-8.0,-23.5,0-1-0,0.0%,-26.0,-18.5
7,8,74.3,9:00 PM,Welsh-Ryan Arena,212,Montana St,48,Northwestern,Montana State,Northwestern,1-2-0,33.3%,6.3,-3.5,1-2-0,33.3%,-11.0,-3.5,0-1-0,0.0%,-1.0,-5.5,1-3-0,25.0%,14.3,1.9,1-2-0,33.3%,20.7,+2.7,0-1-0,0.0%,-5.0,-0.5
8,9,69.5,8:30 PM,Joseph J. Gentile Arena,224,S Utah,85,Loyola-Chi,Southern Utah,Loyola Chicago,0-2-0,0.0%,23.0,-2.0,,,,,0-2-0,0.0%,5.5,-2.0,1-2-0,33.3%,21.5,-3.2,0-2-0,0.0%,27.0,-8.3,1-0-0,100.0%,5.0,7.0
9,10,69.1,8:00 PM,Carver-Hawkeye Arena,244,Rider,43,Iowa,Rider,Iowa,3-1-0,75.0%,-3.0,2.6,3-1-0,75.0%,-3.0,2.6,1-0-0,100.0%,11.0,2.0,1-3-0,25.0%,16.5,-3.9,0-3-0,0.0%,18.7,-6.7,,,,
10,11,68.0,7:00 PM,Dale F. Halton Arena,200,Gard-Webb,141,Charlotte,,Charlotte,3-1-0,75.0%,-7.0,4.4,3-0-0,100.0%,-9.7,6.7,0-1-0,0.0%,1.0,-2.5,1-2-0,33.3%,-1.0,-0.8,1-1-0,50.0%,13.0,+6.3,0-1-0,0.0%,-29.0,-15.0
11,12,66.2,7:00 PM,Williams Arena,249,Cleveland St,79,Minnesota,Cleveland State,Minnesota,3-1-0,75.0%,-1.4,-1.0,2-1-0,66.7%,-17.7,-1.7,1-0-0,100.0%,8.0,1.0,1-3-0,25.0%,6.8,-4.0,1-3-0,25.0%,6.8,-4.0,,,,
12,13,65.1,8:00 PM,Great Southern Bank Arena,184,Tx-Arlington,180,Missouri St,,Missouri State,1-1-0,50.0%,10.8,-1.8,1-0-0,100.0%,-3.0,13.0,0-1-0,0.0%,-15.0,-16.5,2-0-0,100.0%,9.0,9.3,1-0-0,100.0%,17.0,+8.5,2-0-0,100.0%,-1.0,9.3
13,14,63.7,7:00 PM,Value City Arena,280,Evansville,30,Ohio St,Evansville,Ohio State,0-3-0,0.0%,0.5,-8.0,0-2-0,0.0%,-17.0,-4.8,0-1-0,0.0%,-11.0,-14.5,2-1-0,66.7%,9.3,5.3,1-0-0,100.0%,34.0,+15.0,1-1-0,50.0%,-3.0,0.5
14,15,63.5,7:00 PM,Purcell Pavilion at the Joyce Center,276,North Dakota,55,Notre Dame,North Dakota,Notre Dame,1-1-0,50.0%,3.7,1.3,0-1-0,0.0%,-26.0,-9.0,,,,,2-1-0,66.7%,19.7,2.0,1-1-0,50.0%,19.0,-6.0,,,,
15,16,63.0,7:00 PM,William B. Finneran Pavilion,267,U Penn,78,Villanova,,Villanova,0-4-0,0.0%,-3.8,-9.4,0-2-0,0.0%,-0.5,-5.5,0-3-0,0.0%,0.7,-9.2,1-4-0,20.0%,4.4,-8.7,1-2-0,33.3%,13.0,-6.3,,,,
16,17,61.6,7:00 PM,UPMC Cooper Fieldhouse,220,Wi-Milwkee,163,Duquesne,,Duquesne,0-2-0,0.0%,7.7,-11.5,0-2-0,0.0%,-16.5,-11.5,,,,,0-3-0,0.0%,-12.7,-10.3,0-1-0,0.0%,-5.0,-9.0,0-2-0,0.0%,-16.5,-11.0
17,18,60.2,7:00 PM,Lawrence Joel Veterans Memorial Coliseum,285,W Carolina,72,Wake Forest,,Wake Forest,0-1-0,0.0%,20.3,-8.5,0-1-0,0.0%,-13.0,-8.5,,,,,1-4-0,20.0%,4.6,-11.6,0-3-0,0.0%,12.0,-18.2,1-1-0,50.0%,-6.5,-1.8
18,19,56.7,7:30 PM,Curb Event Center,243,Oral Roberts,165,Belmont,,Belmont,1-1-0,50.0%,14.8,-3.0,1-1-0,50.0%,-16.0,-3.0,,,,,2-1-0,66.7%,7.5,2.7,0-1-0,0.0%,10.5,-4.5,1-0-0,100.0%,1.0,7.5
19,20,56.4,7:30 PM,Avron B. Fogelman Arena in Devlin Fieldhouse,260,Beth-Cook,153,Tulane,Bethune-Cookman,Tulane,2-2-0,50.0%,-11.8,4.4,1-2-0,33.3%,-20.0,2.8,1-0-0,100.0%,13.0,9.0,2-1-0,66.7%,18.8,4.5,2-0-0,100.0%,27.7,+8.3,0-1-0,0.0%,-8.0,-3.0
20,21,56.2,8:30 PM,Cajundome,209,Rice,215,Louisiana,Rice,Louisiana-Lafayette,3-1-0,75.0%,4.3,0.4,,,,,2-1-0,66.7%,8.3,-0.2,0-2-0,0.0%,-11.0,-8.3,0-1-0,0.0%,6.5,-2.0,0-2-0,0.0%,-25.0,-8.3
21,22,55.1,7:00 PM,Stegeman Coliseum,312,Alab A&M,69,Georgia,Alabama A&M,Georgia,0-1-0,0.0%,28.3,-1.5,0-1-0,0.0%,-10.0,-1.5,,,,,2-2-0,50.0%,13.5,-1.5,1-2-0,33.3%,15.3,-4.0,,,,
