Rank,Hotness Score,Time,Location,Away Team Rank,Away Team,Home Team Rank,Home Team,Away Team DraftKings,Away Team Covers,Home Team DraftKings,Home Team Covers,Away Team Spread,Away Team Odds,Away Team Underdog,Home Team Spread,Home Team Odds,Home Team Underdog,Away Team Team,Away Team all_games_ATS Record,Away Team all_games_Cover %,Away Team all_games_MOV,Away Team all_games_ATS +/-,Away Team is_away_ATS Record,Away Team is_away_Cover %,Away Team is_away_MOV,Away Team is_away_ATS +/-,Home Team Team,Home Team all_games_ATS Record,Home Team all_games_Cover %,Home Team all_games_MOV,Home Team all_games_ATS +/-,Home Team is_home_ATS Record,Home Team is_home_Cover %,Home Team is_home_MOV,Home Team is_home_ATS +/-,Underdog is_dog Team,Underdog is_dog Spread,Underdog is_dog Odds,Underdog is_dog ATS Record,Underdog is_dog Cover %,Underdog is_dog MOV,Underdog is_dog ATS +/-,Favorite is_fav Team,Favorite is_fav Spread,Favorite is_fav Odds,Favorite is_fav ATS Record,Favorite is_fav Cover %,Favorite is_fav MOV,Favorite is_fav ATS +/-
1,88.2,9:00 PM,Intuit Dome,7,Houston,14,La Clippers,HOU Rockets,Houston,LA Clippers,L.A. Clippers,-3,−108,False,+3,−112,True,Houston,15-8-0,65.2%,6.9,3.8,6-5-0,54.6%,2.2,2.2,La Clippers,16-8-0,66.7%,1.8,3.6,9-5-0,64.3%,2.8,2.6,La Clippers,+3,−112,10-6-0,62.5%,-3.9,1.8,Houston,-3,−108,10-6-0,62.5%,10.0,4.0
2,86.7,8:30 PM,Chase Center,8,Minnesota,9,Golden State,MIN Timberwolves,Minnesota,GS Warriors,Golden State,+1,−112,True,-1,−108,False,Minnesota,9-13-0,40.9%,4.1,-1.4,6-5-0,54.6%,1.9,-1.8,Golden State,13-9-0,59.1%,4.8,2.7,6-4-0,60.0%,3.3,0.3,Minnesota,+1,−112,1-0-0,100.0%,-2.0,6.0,Golden State,-1,−108,6-6-0,50.0%,9.3,2.1
3,84.0,6:00 PM,Kaseya Center,3,Cleveland,12,Miami,CLE Cavaliers,Cleveland,MIA Heat,Miami,-3,−108,False,+3,−112,True,Cleveland,18-6-0,75.0%,10.7,3.6,7-3-0,70.0%,7.4,2.5,Miami,10-11-0,47.6%,2.7,1.2,5-5-0,50.0%,5.9,2.2,Miami,+3,−112,3-4-0,42.9%,-5.6,-0.6,Cleveland,-3,−108,15-6-0,71.4%,12.0,3.4
4,78.5,6:00 PM,State Farm Arena,11,Denver,21,Atlanta,DEN Nuggets,Denver,ATL Hawks,Atlanta,+3,−112,True,-3,−108,False,Denver,7-13-1,35.0%,0.6,-2.2,4-7-0,36.4%,1.2,-0.5,Atlanta,10-14-0,41.7%,-1.6,-1.0,4-8-0,33.3%,-0.5,-2.0,Denver,+3,−112,4-2-0,66.7%,1.5,6.5,Atlanta,-3,−108,3-10-0,23.1%,-0.2,-5.2
5,76.2,6:30 PM,Kia Center,16,Phoenix,10,Orlando,PHO Suns,Phoenix,ORL Magic,Orlando,+2.5,−112,True,-2.5,−108,False,Phoenix,8-14-0,36.4%,-0.7,-1.7,4-6-0,40.0%,-4.3,-2.7,Orlando,14-11-0,56.0%,4.3,1.7,8-1-0,88.9%,15.4,7.9,Phoenix,+2.5,−112,3-6-0,33.3%,-8.0,-3.0,Orlando,-2.5,−108,12-5-0,70.6%,10.2,3.8
6,72.7,3:30 PM,Barclays Center,13,Milwaukee,25,Brooklyn,MIL Bucks,Milwaukee,BKN Nets,Brooklyn,-5.5,−112,False,+5.5,−108,True,Milwaukee,9-12-1,42.9%,0.8,-2.3,5-5-0,50.0%,-3.9,-2.8,Brooklyn,14-8-1,63.6%,-3.7,3.1,5-5-0,50.0%,-4.2,-0.2,Brooklyn,+5.5,−108,12-6-1,66.7%,-4.3,4.3,Milwaukee,-5.5,−112,6-9-1,40.0%,3.8,-3.0
7,63.4,1:00 PM,United Center,18,Philadelphia,22,Chicago,PHI 76ers,Philadelphia,CHI Bulls,Chicago,-1,−105,False,+1,−115,True,Philadelphia,8-13-0,38.1%,-5.5,-3.9,4-6-0,40.0%,-4.2,-3.0,Chicago,12-12-0,50.0%,-3.7,1.1,5-6-0,45.5%,-6.5,-2.5,Chicago,+1,−115,10-11-0,47.6%,-6.0,0.5,Philadelphia,-1,−105,3-5-0,37.5%,-0.4,-4.1
8,58.8,5:00 PM,Gainbridge Fieldhouse,26,Charlotte,20,Indiana,CHA Hornets,Charlotte,IND Pacers,Indiana,+11,−105,True,-11,−115,False,Charlotte,13-10-0,56.5%,-5.9,0.7,5-4-0,55.6%,-10.3,-2.3,Indiana,8-15-1,34.8%,-4.2,-6.0,4-5-1,44.4%,1.2,-3.4,Charlotte,+11,−105,13-9-0,59.1%,-6.4,0.8,Indiana,-11,−115,4-10-1,28.6%,-3.0,-8.7
9,54.6,9:30 PM,Crypto.com Arena,29,Portland,17,La Lakers,POR Trail Blazers,Portland,LA Lakers,L.A. Lakers,+8.5,−110,True,-8.5,−110,False,Portland,12-10-1,54.6%,-9.6,-1.8,6-5-1,54.6%,-10.3,-0.7,La Lakers,9-14-0,39.1%,-4.2,-6.2,5-5-0,50.0%,2.5,-1.8,Portland,+8.5,−110,12-9-1,57.1%,-8.1,0.2,La Lakers,-8.5,−110,6-8-0,42.9%,3.5,-2.3
10,53.9,9:00 PM,Golden 1 Center,27,Utah,15,Sacramento,UTA Jazz,Utah,SAC Kings,Sacramento,+12,−110,True,-12,−110,False,Utah,10-12-0,45.5%,-8.0,-0.8,6-5-0,54.6%,-5.5,3.0,Sacramento,9-14-1,39.1%,1.5,-2.5,3-8-1,27.3%,1.7,-3.5,Utah,+12,−110,10-12-0,45.5%,-8.0,-0.8,Sacramento,-12,−110,6-9-1,40.0%,3.2,-3.8
11,46.4,7:00 PM,Frost Bank Center,28,New Orleans,19,San Antonio,NO Pelicans,New Orleans,SA Spurs,San Antonio,+5.5,−112,True,-5.5,−108,False,New Orleans,8-16-0,33.3%,-12.0,-7.2,2-10-0,16.7%,-18.9,-12.3,San Antonio,11-12-0,47.8%,-2.0,0.8,7-7-0,50.0%,0.6,1.3,New Orleans,+5.5,−112,7-11-0,38.9%,-12.1,-4.5,San Antonio,-5.5,−108,4-3-0,57.1%,6.4,2.3
12,46.1,7:00 PM,Capital One Arena,6,Memphis,30,Washington,MEM Grizzlies,Memphis,WAS Wizards,Washington,-11.5,−108,False,+11.5,−112,True,Memphis,16-8-0,66.7%,7.9,5.8,6-4-0,60.0%,4.4,6.3,Washington,6-14-1,30.0%,-15.6,-5.0,3-8-0,27.3%,-14.7,-4.8,Washington,+11.5,−112,6-14-1,30.0%,-15.6,-5.0,Memphis,-11.5,−108,10-6-0,62.5%,10.8,5.1
