Rank,Hotness Score,Time,Location,Away Team Rank,Away Team,Home Team Rank,Home Team,Away Team DraftKings,Away Team Covers,Home Team DraftKings,Home Team Covers,Away Team Spread,Away Team Odds,Away Team Underdog,Home Team Spread,Home Team Odds,Home Team Underdog,Away Team Team,Away Team all_games_ATS Record,Away Team all_games_Cover %,Away Team all_games_MOV,Away Team all_games_ATS +/-,Away Team is_away_ATS Record,Away Team is_away_Cover %,Away Team is_away_MOV,Away Team is_away_ATS +/-,Home Team Team,Home Team all_games_ATS Record,Home Team all_games_Cover %,Home Team all_games_MOV,Home Team all_games_ATS +/-,Home Team is_home_ATS Record,Home Team is_home_Cover %,Home Team is_home_MOV,Home Team is_home_ATS +/-,Underdog is_dog Team,Underdog is_dog Spread,Underdog is_dog Odds,Underdog is_dog ATS Record,Underdog is_dog Cover %,Underdog is_dog MOV,Underdog is_dog ATS +/-,Favorite is_fav Team,Favorite is_fav Spread,Favorite is_fav Odds,Favorite is_fav ATS Record,Favorite is_fav Cover %,Favorite is_fav MOV,Favorite is_fav ATS +/-
1,88.2,9:00 PM,Intuit Dome,7,Houston,14,La Clippers,HOU Rockets,Houston,LA Clippers,L.A. Clippers,-3,−108,False,+3,−112,True,Houston,434-448-14,49.2%,0.4,-0.2,212-217-5,49.4%,-2.1,-0.4,La Clippers,456-439-7,51.0%,2.9,0.2,215-226-2,48.8%,4.7,-0.4,La Clippers,+3,−112,151-155-1,49.4%,-4.7,0.5,Houston,-3,−108,240-238-7,50.2%,6.4,-0.3
2,86.7,8:30 PM,Chase Center,8,Minnesota,9,Golden State,MIN Timberwolves,Minnesota,GS Warriors,Golden State,+1,−112,True,-1,−108,False,Minnesota,393-442-14,47.1%,-1.1,-0.1,207-210-7,49.6%,-3.0,0.5,Golden State,476-461-21,50.8%,5.2,0.0,248-223-12,52.7%,8.0,0.5,Minnesota,+1,−112,230-242-7,48.7%,-5.8,0.4,Golden State,-1,−108,359-345-19,51.0%,8.6,0.0
3,84.0,6:00 PM,Kaseya Center,3,Cleveland,12,Miami,CLE Cavaliers,Cleveland,MIA Heat,Miami,-3,−108,False,+3,−112,True,Cleveland,427-469-21,47.7%,0.7,-0.4,204-237-13,46.3%,-1.8,-0.6,Miami,459-434-23,51.4%,0.9,0.2,203-224-15,47.5%,2.9,-0.6,Miami,+3,−112,212-186-6,53.3%,-3.8,1.6,Cleveland,-3,−108,248-266-15,48.3%,6.2,-0.5
4,78.5,6:00 PM,State Farm Arena,11,Denver,21,Atlanta,DEN Nuggets,Denver,ATL Hawks,Atlanta,+3,−112,True,-3,−108,False,Denver,437-445-20,49.6%,1.5,-0.1,209-217-9,49.1%,-1.7,-0.6,Atlanta,424-452-8,48.4%,-0.9,-0.5,219-219-2,50.0%,1.8,-0.4,Denver,+3,−112,181-166-8,52.2%,-4.3,1.1,Atlanta,-3,−108,202-217-5,48.2%,4.0,-1.5
5,76.2,6:30 PM,Kia Center,16,Phoenix,10,Orlando,PHO Suns,Phoenix,ORL Magic,Orlando,+2.5,−112,True,-2.5,−108,False,Phoenix,423-440-10,49.0%,-1.3,-0.6,208-213-7,49.4%,-3.7,-0.4,Orlando,421-409-13,50.7%,-3.4,-0.1,193-204-8,48.6%,-1.3,-0.3,Phoenix,+2.5,−112,215-233-5,48.0%,-7.3,-0.4,Orlando,-2.5,−108,123-104-3,54.2%,4.9,-0.2
6,72.7,3:30 PM,Barclays Center,13,Milwaukee,25,Brooklyn,MIL Bucks,Milwaukee,BKN Nets,Brooklyn,-5.5,−112,False,+5.5,−108,True,Milwaukee,443-450-20,49.6%,2.7,-0.5,221-218-7,50.3%,0.1,-0.6,Brooklyn,419-424-16,49.7%,-2.0,0.0,188-223-10,45.7%,-0.4,-0.7,Brooklyn,+5.5,−108,271-249-12,52.1%,-5.9,0.6,Milwaukee,-5.5,−112,307-291-17,51.3%,6.7,-0.4
7,63.4,1:00 PM,United Center,18,Philadelphia,22,Chicago,PHI 76ers,Philadelphia,CHI Bulls,Chicago,-1,−105,False,+1,−115,True,Philadelphia,456-417-17,52.2%,-0.1,0.4,211-217-11,49.3%,-2.9,0.0,Chicago,407-424-13,49.0%,-1.9,-0.4,199-217-5,47.8%,-0.7,-1.4,Chicago,+1,−115,245-262-9,48.3%,-5.8,-0.1,Philadelphia,-1,−105,235-198-9,54.3%,6.7,0.5
8,58.8,5:00 PM,Gainbridge Fieldhouse,26,Charlotte,20,Indiana,CHA Hornets,Charlotte,IND Pacers,Indiana,+11,−105,True,-11,−115,False,Charlotte,392-415-18,48.6%,-2.7,-0.3,196-204-13,49.0%,-4.9,-0.3,Indiana,435-417-19,51.1%,0.3,0.3,215-197-13,52.2%,3.2,0.8,Charlotte,+11,−105,242-268-16,47.5%,-7.0,-0.5,Indiana,-11,−115,211-206-10,50.6%,5.0,-0.3
9,54.6,9:30 PM,Crypto.com Arena,29,Portland,17,La Lakers,POR Trail Blazers,Portland,LA Lakers,L.A. Lakers,+8.5,−110,True,-8.5,−110,False,Portland,422-437-18,49.1%,-1.5,-0.4,208-219-6,48.7%,-4.4,-0.6,La Lakers,406-456-12,47.1%,-1.9,-0.5,197-217-6,47.6%,0.7,0.1,Portland,+8.5,−110,212-241-10,46.8%,-7.4,-0.8,La Lakers,-8.5,−110,167-198-6,45.8%,4.2,-1.5
10,53.9,9:00 PM,Golden 1 Center,27,Utah,15,Sacramento,UTA Jazz,Utah,SAC Kings,Sacramento,+12,−110,True,-12,−110,False,Utah,437-415-21,51.3%,2.1,0.5,216-206-8,51.2%,-1.0,0.1,Sacramento,405-404-24,50.1%,-2.3,-0.3,183-216-12,45.9%,-1.1,-1.3,Utah,+12,−110,182-172-7,51.4%,-5.0,0.8,Sacramento,-12,−110,142-160-8,47.0%,3.5,-1.6
11,46.4,7:00 PM,Frost Bank Center,28,New Orleans,19,San Antonio,NO Pelicans,New Orleans,SA Spurs,San Antonio,+5.5,−112,True,-5.5,−108,False,New Orleans,419-422-11,49.8%,-0.6,0.3,207-207-7,50.0%,-2.4,0.8,San Antonio,432-422-15,50.6%,0.9,0.2,218-204-3,51.7%,3.7,0.3,New Orleans,+5.5,−112,237-230-7,50.8%,-4.5,1.2,San Antonio,-5.5,−108,233-218-7,51.7%,7.6,0.5
12,46.1,7:00 PM,Capital One Arena,6,Memphis,30,Washington,MEM Grizzlies,Memphis,WAS Wizards,Washington,-11.5,−108,False,+11.5,−112,True,Memphis,439-420-13,51.1%,-0.5,0.4,206-217-6,48.7%,-3.2,-0.1,Washington,398-441-18,47.4%,-2.3,-0.6,204-212-7,49.0%,0.7,0.1,Washington,+11.5,−112,240-255-11,48.5%,-6.3,0.0,Memphis,-11.5,−108,204-192-8,51.5%,5.2,-0.1
