,Rank_current_season,Hotness Score_current_season,Time_current_season,Location_current_season,Away Team Rank_current_season,Away Team_current_season,Home Team Rank_current_season,Home Team_current_season,Away Team Covers_current_season,Home Team Covers_current_season,Away Team Spread_current_season,Away Team Implied Odds_current_season,Away Team Underdog_current_season,Home Team Spread_current_season,Home Team Implied Odds_current_season,Home Team Underdog_current_season,Away Team all_games_Sample Size_current_season,Away Team all_games_Cover %_current_season,Away Team all_games_MOV_current_season,Away Team all_games_ATS +/-_current_season,Away Team is_away_Sample Size_current_season,Away Team is_away_Cover %_current_season,Away Team is_away_MOV_current_season,Away Team is_away_ATS +/-_current_season,Home Team all_games_Sample Size_current_season,Home Team all_games_Cover %_current_season,Home Team all_games_MOV_current_season,Home Team all_games_ATS +/-_current_season,Home Team is_home_Sample Size_current_season,Home Team is_home_Cover %_current_season,Home Team is_home_MOV_current_season,Home Team is_home_ATS +/-_current_season,Underdog is_dog Team_current_season,Underdog is_dog Spread_current_season,Underdog is_dog Implied Odds_current_season,Underdog is_dog Sample Size_current_season,Underdog is_dog Cover %_current_season,Underdog is_dog MOV_current_season,Underdog is_dog ATS +/-_current_season,Favorite is_fav Team_current_season,Favorite is_fav Spread_current_season,Favorite is_fav Implied Odds_current_season,Favorite is_fav Sample Size_current_season,Favorite is_fav Cover %_current_season,Favorite is_fav MOV_current_season,Favorite is_fav ATS +/-_current_season,Away Team Covers_all_time,Home Team Covers_all_time,Away Team Spread_all_time,Home Team Spread_all_time,Away Team all_games_Sample Size_all_time,Away Team all_games_Cover %_all_time,Away Team all_games_MOV_all_time,Away Team all_games_ATS +/-_all_time,Away Team is_away_Sample Size_all_time,Away Team is_away_Cover %_all_time,Away Team is_away_MOV_all_time,Away Team is_away_ATS +/-_all_time,Home Team all_games_Sample Size_all_time,Home Team all_games_Cover %_all_time,Home Team all_games_MOV_all_time,Home Team all_games_ATS +/-_all_time,Home Team is_home_Sample Size_all_time,Home Team is_home_Cover %_all_time,Home Team is_home_MOV_all_time,Home Team is_home_ATS +/-_all_time,Underdog is_dog Spread_all_time,Underdog is_dog Sample Size_all_time,Underdog is_dog Cover %_all_time,Underdog is_dog MOV_all_time,Underdog is_dog ATS +/-_all_time,Favorite is_fav Spread_all_time,Favorite is_fav Sample Size_all_time,Favorite is_fav Cover %_all_time,Favorite is_fav MOV_all_time,Favorite is_fav ATS +/-_all_time,Away Team Covers_last_10_seasons,Home Team Covers_last_10_seasons,Away Team Spread_last_10_seasons,Home Team Spread_last_10_seasons,Away Team all_games_Sample Size_last_10_seasons,Away Team all_games_Cover %_last_10_seasons,Away Team all_games_MOV_last_10_seasons,Away Team all_games_ATS +/-_last_10_seasons,Away Team is_away_Sample Size_last_10_seasons,Away Team is_away_Cover %_last_10_seasons,Away Team is_away_MOV_last_10_seasons,Away Team is_away_ATS +/-_last_10_seasons,Home Team all_games_Sample Size_last_10_seasons,Home Team all_games_Cover %_last_10_seasons,Home Team all_games_MOV_last_10_seasons,Home Team all_games_ATS +/-_last_10_seasons,Home Team is_home_Sample Size_last_10_seasons,Home Team is_home_Cover %_last_10_seasons,Home Team is_home_MOV_last_10_seasons,Home Team is_home_ATS +/-_last_10_seasons,Underdog is_dog Spread_last_10_seasons,Underdog is_dog Sample Size_last_10_seasons,Underdog is_dog Cover %_last_10_seasons,Underdog is_dog MOV_last_10_seasons,Underdog is_dog ATS +/-_last_10_seasons,Favorite is_fav Spread_last_10_seasons,Favorite is_fav Sample Size_last_10_seasons,Favorite is_fav Cover %_last_10_seasons,Favorite is_fav MOV_last_10_seasons,Favorite is_fav ATS +/-_last_10_seasons,Away Team_current_season_map,Home Team_current_season_map,Favorite is_fav Team_current_season_map,Underdog is_dog Team_current_season_map,Away Team,Home Team,Home Cover
0,1,88.2,9:00 PM,Intuit Dome,7,Houston,14,La Clippers,Houston,L.A. Clippers,-3.0,0.5192,False,3.0,0.5283,True,23,0.652,6.9,3.8,11,0.546,2.2,2.2,24,0.667,1.8,3.6,14,0.643,2.8,2.6,La Clippers,3.0,0.5283,16,0.625,-3.9,1.8,Houston,-3.0,0.5192,16,0.625,10.0,4.0,Houston,L.A. Clippers,-3.0,3.0,1832,0.497,1.4,0.2,903,0.507,-1.4,0.4,1830,0.491,0.8,-0.1,906,0.486,3.3,-0.3,3.0,812,0.467,-6.0,-0.1,-3.0,1045,0.495,6.0,-0.3,Houston,L.A. Clippers,-3.0,3.0,896,0.492,0.4,-0.2,434,0.494,-2.1,-0.4,902,0.51,2.9,0.2,443,0.488,4.7,-0.4,3.0,307,0.494,-4.7,0.5,-3.0,485,0.502,6.4,-0.3,10,12,10,12,,,
1,2,86.7,8:30 PM,Chase Center,8,Minnesota,9,Golden State,Minnesota,Golden State,1.0,0.5283,True,-1.0,0.5192,False,22,0.409,4.1,-1.4,11,0.546,1.9,-1.8,22,0.591,4.8,2.7,10,0.6,3.3,0.3,Minnesota,1.0,0.5283,1,1.0,-2.0,6.0,Golden State,-1.0,0.5192,12,0.5,9.3,2.1,Minnesota,Golden State,1.0,-1.0,1753,0.468,-1.8,-0.3,875,0.497,-4.1,0.3,1874,0.517,2.3,0.3,940,0.536,5.7,0.7,1.0,1023,0.482,-6.4,0.1,-1.0,1098,0.511,7.6,0.1,Minnesota,Golden State,1.0,-1.0,849,0.471,-1.1,-0.1,424,0.496,-3.0,0.5,958,0.508,5.2,0.0,483,0.527,8.0,0.5,1.0,479,0.487,-5.8,0.4,-1.0,723,0.51,8.6,0.0,17,9,9,17,,,
2,3,84.0,6:00 PM,Kaseya Center,3,Cleveland,12,Miami,Cleveland,Miami,-3.0,0.5192,False,3.0,0.5283,True,24,0.75,10.7,3.6,10,0.7,7.4,2.5,21,0.476,2.7,1.2,10,0.5,5.9,2.2,Miami,3.0,0.5283,7,0.429,-5.6,-0.6,Cleveland,-3.0,0.5192,21,0.714,12.0,3.4,Cleveland,Miami,-3.0,3.0,1874,0.493,0.3,-0.3,933,0.488,-2.8,-0.5,1956,0.513,1.8,0.1,966,0.493,4.6,-0.1,3.0,744,0.517,-4.6,0.9,-3.0,999,0.497,6.3,-0.4,Cleveland,Miami,-3.0,3.0,917,0.477,0.7,-0.4,454,0.463,-1.8,-0.6,916,0.514,0.9,0.2,442,0.475,2.9,-0.6,3.0,404,0.533,-3.8,1.6,-3.0,529,0.483,6.2,-0.5,5,15,5,15,,,
3,4,78.5,6:00 PM,State Farm Arena,11,Denver,21,Atlanta,Denver,Atlanta,3.0,0.5283,True,-3.0,0.5192,False,21,0.35,0.6,-2.2,11,0.364,1.2,-0.5,24,0.417,-1.6,-1.0,12,0.333,-0.5,-2.0,Denver,3.0,0.5283,6,0.667,1.5,6.5,Atlanta,-3.0,0.5192,13,0.231,-0.2,-5.2,Denver,Atlanta,3.0,-3.0,1852,0.513,1.8,0.1,912,0.501,-2.0,-0.3,1830,0.483,-1.4,-0.4,912,0.496,1.5,-0.4,3.0,749,0.521,-4.4,0.8,-3.0,804,0.49,4.3,-1.1,Denver,Atlanta,3.0,-3.0,902,0.496,1.5,-0.1,435,0.491,-1.7,-0.6,884,0.484,-0.9,-0.5,440,0.5,1.8,-0.4,3.0,355,0.522,-4.3,1.1,-3.0,424,0.482,4.0,-1.5,7,0,0,7,,,
4,5,76.2,6:30 PM,Kia Center,16,Phoenix,10,Orlando,Phoenix,Orlando,2.5,0.5283,True,-2.5,0.5192,False,22,0.364,-0.7,-1.7,10,0.4,-4.3,-2.7,25,0.56,4.3,1.7,9,0.889,15.4,7.9,Phoenix,2.5,0.5283,9,0.333,-8.0,-3.0,Orlando,-2.5,0.5192,17,0.706,10.2,3.8,Phoenix,Orlando,2.5,-2.5,1826,0.501,0.5,-0.1,903,0.514,-2.2,0.1,1792,0.498,-1.4,-0.1,879,0.484,1.3,-0.3,2.5,828,0.488,-5.9,0.3,-2.5,748,0.5,5.2,-0.7,Phoenix,Orlando,2.5,-2.5,873,0.49,-1.3,-0.6,428,0.494,-3.7,-0.4,843,0.507,-3.4,-0.1,405,0.486,-1.3,-0.3,2.5,453,0.48,-7.3,-0.4,-2.5,230,0.542,4.9,-0.2,23,21,21,23,,,
5,6,72.7,3:30 PM,Barclays Center,13,Milwaukee,25,Brooklyn,Milwaukee,Brooklyn,-5.5,0.5283,False,5.5,0.5192,True,22,0.429,0.8,-2.3,10,0.5,-3.9,-2.8,23,0.636,-3.7,3.1,10,0.5,-4.2,-0.2,Brooklyn,5.5,0.5192,19,0.667,-4.3,4.3,Milwaukee,-5.5,0.5283,16,0.4,3.8,-3.0,Milwaukee,Brooklyn,-5.5,5.5,1820,0.491,0.2,-0.5,901,0.505,-2.6,-0.2,1802,0.491,-2.1,-0.4,891,0.47,0.0,-1.0,5.5,1084,0.495,-6.2,0.2,-5.5,965,0.5,5.5,-0.7,Milwaukee,Brooklyn,-5.5,5.5,913,0.496,2.7,-0.5,446,0.503,0.1,-0.6,859,0.497,-2.0,0.0,421,0.457,-0.4,-0.7,5.5,532,0.521,-5.9,0.6,-5.5,615,0.513,6.7,-0.4,16,2,16,2,,,
6,7,63.4,1:00 PM,United Center,18,Philadelphia,22,Chicago,Philadelphia,Chicago,-1.0,0.5122,False,1.0,0.5349,True,21,0.381,-5.5,-3.9,10,0.4,-4.2,-3.0,24,0.5,-3.7,1.1,11,0.455,-6.5,-2.5,Chicago,1.0,0.5349,21,0.476,-6.0,0.5,Philadelphia,-1.0,0.5122,8,0.375,-0.4,-4.1,Philadelphia,Chicago,-1.0,1.0,1811,0.504,-1.1,0.1,901,0.502,-3.7,0.2,1803,0.5,-0.4,0.1,900,0.483,1.6,-0.7,1.0,968,0.503,-5.0,0.6,-1.0,805,0.51,5.3,-0.3,Philadelphia,Chicago,-1.0,1.0,890,0.522,-0.1,0.4,439,0.493,-2.9,0.0,844,0.49,-1.9,-0.4,421,0.478,-0.7,-1.4,1.0,516,0.483,-5.8,-0.1,-1.0,442,0.543,6.7,0.5,22,4,22,4,,,
7,8,58.8,5:00 PM,Gainbridge Fieldhouse,26,Charlotte,20,Indiana,Charlotte,Indiana,11.0,0.5122,True,-11.0,0.5349,False,23,0.565,-5.9,0.7,9,0.556,-10.3,-2.3,24,0.348,-4.2,-6.0,10,0.444,1.2,-3.4,Charlotte,11.0,0.5122,22,0.591,-6.4,0.8,Indiana,-11.0,0.5349,15,0.286,-3.0,-8.7,Charlotte,Indiana,11.0,-11.0,1637,0.493,-3.5,-0.1,819,0.494,-6.4,-0.3,1845,0.508,0.6,0.3,912,0.521,4.0,0.8,11.0,1148,0.487,-6.9,-0.1,-11.0,942,0.508,5.3,-0.3,Charlotte,Indiana,11.0,-11.0,825,0.486,-2.7,-0.3,413,0.49,-4.9,-0.3,871,0.511,0.3,0.3,425,0.522,3.2,0.8,11.0,526,0.475,-7.0,-0.5,-11.0,427,0.506,5.0,-0.3,3,11,11,3,,,
8,9,54.6,9:30 PM,Crypto.com Arena,29,Portland,17,La Lakers,Portland,L.A. Lakers,8.5,0.5238,True,-8.5,0.5238,False,23,0.546,-9.6,-1.8,12,0.546,-10.3,-0.7,23,0.391,-4.2,-6.2,10,0.5,2.5,-1.8,Portland,8.5,0.5238,22,0.571,-8.1,0.2,La Lakers,-8.5,0.5238,14,0.429,3.5,-2.3,Portland,L.A. Lakers,8.5,-8.5,1792,0.493,-1.3,-0.3,891,0.487,-4.5,-0.5,1887,0.471,0.3,-0.5,927,0.469,3.5,0.0,8.5,964,0.481,-6.7,-0.3,-8.5,1029,0.459,5.4,-1.2,Portland,L.A. Lakers,8.5,-8.5,877,0.491,-1.5,-0.4,433,0.487,-4.4,-0.6,874,0.471,-1.9,-0.5,420,0.476,0.7,0.1,8.5,463,0.468,-7.4,-0.8,-8.5,371,0.458,4.2,-1.5,24,13,13,24,,,
9,10,53.9,9:00 PM,Golden 1 Center,27,Utah,15,Sacramento,Utah,Sacramento,12.0,0.5238,True,-12.0,0.5238,False,22,0.455,-8.0,-0.8,11,0.546,-5.5,3.0,24,0.391,1.5,-2.5,12,0.273,1.7,-3.5,Utah,12.0,0.5238,22,0.455,-8.0,-0.8,Sacramento,-12.0,0.5238,16,0.4,3.2,-3.8,Utah,Sacramento,12.0,-12.0,1807,0.505,1.0,0.1,898,0.488,-2.9,-0.4,1742,0.493,-2.4,-0.4,865,0.467,0.1,-0.8,12.0,825,0.49,-5.6,0.3,-12.0,653,0.47,3.9,-1.5,Utah,Sacramento,12.0,-12.0,873,0.513,2.1,0.5,430,0.512,-1.0,0.1,833,0.501,-2.3,-0.3,411,0.459,-1.1,-1.3,12.0,361,0.514,-5.0,0.8,-12.0,310,0.47,3.5,-1.6,28,25,25,28,,,
