Rank,Hotness Score,Matchup,Time,Location
1,94.9,#59 S Carolina  at  #31 Indiana,3:00 PM,Simon Skjodt Assembly Hall
2,93.7,#65 Wake Forest  at  #51 Xavier,12:00 PM,Cintas Center
3,92.5,#76 Colorado St  vs.  #53 Mississippi,4:00 PM,DeSoto Civic Center
4,87.7,#101 Yale  at  #77 Minnesota,4:00 PM,Williams Arena
5,87.6,#116 Santa Clara  at  #38 Nevada,10:00 PM,Lawlor Events Center
6,86.3,#140 Wofford  at  #4 Duke,12:00 PM,Cameron Indoor Stadium
7,85.6,#74 Fla Atlantic  vs.  #117 Liberty,6:00 PM,TD Arena
7,85.6,#71 Notre Dame  at  #125 Georgetown,1:00 PM,Capital One Arena
9,83.3,#92 Murray St  at  #123 Middle Tenn,4:00 PM,Murphy Center
10,79.8,#142 Hofstra  at  #108 U Mass,7:00 PM,William D. Mullins Memorial Center
11,79.3,#186 Kansas City  at  #34 Creighton,7:00 PM,CHI Health Center Omaha
12,78.6,#88 Geo Mason  at  #166 E Carolina,4:00 PM,Williams Arena at Minges Coliseum
13,76.5,#148 James Mad  at  #129 Towson,8:00 PM,TU Arena
14,75.8,#132 La Salle  at  #153 Drexel,2:00 PM,Daskalakis Athletic Center
15,75.7,#158 Loyola Mymt  at  #127 Saint Louis,8:00 PM,Chaifetz Arena
16,75.1,#177 Ste F Austin  at  #102 Arkansas St,3:00 PM,First National Bank Arena
17,74.7,#187 Youngs St  at  #98 Syracuse,1:00 PM,JMA Wireless Dome
18,73.8,#228 Oakland  at  #6 Kansas,6:00 PM,Allen Fieldhouse
19,72.0,#173 Seattle  at  #131 UCSD,10:00 PM,LionTree Arena
20,70.9,#240 Bowling Grn  at  #26 Michigan St,6:00 PM,Jack Breslin Student Events Center
21,69.0,#206 Fla Gulf Cst  at  #113 Drake,8:00 PM,Knapp Center
22,68.1,#157 Tulsa  at  #185 Missouri St,2:00 PM,Great Southern Bank Arena
23,67.7,#242 Pepperdine  at  #66 UC Irvine,10:00 PM,Bren Events Center
24,67.4,#215 E Tenn St  at  #122 Davidson,5:00 PM,McKillop Court at John M. Belk Arena
25,65.4,#220 GA Southern  vs.  #136 Winthrop,5:00 PM,Rock Hill Sports & Event Center
26,64.0,#208 Central Conn  vs.  #159 Northeastrn,6:00 PM,Avenir Centre
27,62.8,#145 Texas St  at  #225 Abl Christian,3:30 PM,Moody Coliseum
28,61.7,#167 Mercer  at  #212 S Alabama,4:00 PM,Mitchell Center
29,59.6,#305 Idaho  at  #27 BYU,3:00 PM,Marriott Center
30,59.4,#283 N Illinois  at  #85 Bradley,8:00 PM,Carver Arena
31,58.6,#292 WI-Grn Bay  at  #81 Providence,5:00 PM,Amica Mutual Pavilion
32,58.2,#276 Wagner  at  #111 Seton Hall,12:00 PM,Prudential Center
33,58.1,#306 Loyola-MD  at  #44 VCU,7:00 PM,Stuart C. Siegel Center
34,55.3,#195 Richmond  at  #227 Bucknell,12:00 PM,Sojka Pavilion
34,55.3,#181 St Peters  at  #247 Maryland BC,2:00 PM,Chesapeake Employers Insurance Arena
36,53.5,#297 S Indiana  at  #114 IPFW,7:00 PM,Allen County War Memorial Coliseum
37,52.3,#231 Indiana St  at  #219 Ball St,2:00 PM,Worthen Arena
38,52.1,#226 Presbyterian  at  #224 Kennesaw St,11:00 AM,KSU Convocation Center
39,51.6,#340 Stetson  at  #47 Oklahoma,2:00 PM,Lloyd Noble Center
40,48.2,#245 Fresno St  at  #230 CS Bakersfld,9:30 PM,Icardo Center
40,48.2,#364 Miss Val St  at  #21 Texas,5:00 PM,Moody Center
42,47.9,#338 Jackson St  at  #93 Vanderbilt,3:00 PM,Memorial Gymnasium
43,47.7,#332 Le Moyne  at  #107 St Bonavent,4:00 PM,Reilly Center
44,47.2,#355 Chicago St  at  #63 San Francisco,10:00 PM,War Memorial at the Sobrato Center
45,46.8,#207 Cal St Nrdge  at  #274 Sac State,8:00 PM,The Nest
46,46.5,#298 Lafayette  at  #168 Cornell,12:00 PM,Newman Arena at Bartels Hall
47,46.4,#275 NC Central  vs.  #204 Wm & Mary,7:30 PM,Rock Hill Sports & Event Center
48,45.0,#278 Neb Omaha  at  #214 S Utah,8:30 PM,America First Events Center
49,44.3,#307 TN Martin  at  #182 Longwood,1:00 PM,Joan Perry Brock Center
50,44.1,#144 Toledo  at  #331 Detroit,4:00 PM,Calihan Hall
51,42.1,#311 NW State  at  #188 Rice,3:00 PM,Tudor Fieldhouse
52,41.6,#196 Norfolk St  at  #310 Hampton,8:00 PM,Hampton Convocation Center
53,41.1,#267 Radford  at  #249 Evansville,2:00 PM,Ford Center
54,38.3,#322 Bellarmine  at  #198 Marshall,7:00 PM,Cam Henderson Center
55,37.5,#287 AR Lit Rock  at  #248 UTSA,4:00 PM,Convocation Center
56,37.2,#349 Mercyhurst  at  #171 Columbia,12:00 PM,Schiller Court in Francis S. Levien Gymnasium
57,35.7,#329 Holy Cross  at  #209 Brown,7:00 PM,Pizzitola Sports Center
