Away Team,Home Team,Cover Team,Closing Spread,Closing Total Line,Actual Total Score,Home Cover
Presbyterian,Kennesaw St.,Kennesaw St.,-4.5,159.,152,True
NJIT,Morgan St.,Morgan St.,-6.5,144.,150,True
Charleston Southern,VMI,VMI,3.0,152.5.,149,True
Richmond,Bucknell,Bucknell,4.0,140.,156,True
Wake Forest,Xavier,Xavier,-7.5,155.5.,135,True
Wofford,Duke,Duke,-25.0,148.,121,True
Wagner,Seton Hall,Seton Hall,-15.0,122.,82,True
Youngstown St.,Syracuse,Youngstown St.,12.0,152.,199,False
Tenn-Martin,Longwood,Tenn-Martin,12.5,148.,126,False
Notre Dame,Georgetown,Notre Dame,-2.5,144.,147,False
Dartmouth,Boston U,Boston U,-5.0,135.5.,128,True
Central Arkansas,Western Illinois,Central Arkansas,7.5,135.5.,124,False
Indiana St.,Ball St.,Indiana St.,6.0,150.,178,False
Tulsa,Missouri St.,Missouri St.,4.0,143.,217,True
La Salle,Drexel,Drexel,4.5,138.5.,139,True
South Carolina State,Bethune-Cookman,Bethune-Cookman,-4.0,149.5.,137,True
Stetson,Oklahoma,Stetson,27.0,148.,149,False
Radford,Evansville,Radford,4.0,144.,173,False
Saint Peter'S,UMBC,Saint Peter's,-1.5,144.5.,130,False
Texas Rio Grande Valley,Tennessee Tech,Texas Rio Grande Valley,-7.0,152.5.,141,False
Idaho,Brigham Young,Idaho,28.5,152.5.,166,False
South Carolina,Indiana,Indiana,-8.0,143.,158,True
Eastern Michigan,Cleveland St.,Cleveland St.,-7.0,139.,134,True
Canisius,SIU Edwardsville,SIU Edwardsville,-5.0,141.5.,134,True
Jackson State,Vanderbilt,Jackson State,27.5,152.,175,False
Idaho State,San Diego,Idaho State,3.5,138.,144,False
Northwestern St.,Rice,Northwestern St.,8.5,140.,152,False
Texas State,Abilene Christian,Abilene Christian,-2.0,138.,132,True
Yale,Minnesota,Yale,4.5,138.5.,115,False
Murray St.,Middle Tennessee St.,Murray St.,2.5,145.5.,155,False
Colorado St.,Mississippi,Mississippi,-4.5,141.5.,153,True
George Mason,East Carolina,East Carolina,3.5,137.,155,True
Arkansas-Pine Bluff,Incarnate Word,Incarnate Word,-14.5,160.,156,True
Toledo,Detroit Mercy,Toledo,-11.0,153.,149,False
Little Rock,Texas-San Antonio,Little Rock,10.5,154.,145,False
Le Moyne,St. Bonaventure,St. Bonaventure,-17.5,146.,123,True
Mercer,South Alabama,South Alabama,-5.5,151.,141,True
New Hampshire,Sacred Heart,Sacred Heart,-1.0,145.5.,143,True
Mississippi Valley State,Texas,Texas,-43.0,140.5.,132,True
Georgia Southern,Winthrop,Georgia Southern,4.5,150.5.,176,False
East Tennessee St.,Davidson,Davidson,-5.5,143.,146,True
Portland,Long Beach St.,Portland,4.5,141.,124,False
Green Bay,Providence,Green Bay,15.0,144.,144 pushed the pre-game total of 144.,False
Central Conn. St.,Northeastern,Northeastern,-2.5,138.,142,True
Bowling Green,Michigan St.,Bowling Green,24.5,152.,158,False
Oakland,Kansas,Oakland,27.5,146.,135,False
Liberty,Florida Atlantic,Florida Atlantic,2.0,147.,151,True
Bellarmine,Marshall,Marshall,-10.5,145.,145 pushed the pre-game total of 145.,True
Siena,Albany,Albany,-4.0,146.5.,130,True
Hofstra,Massachusetts,Hofstra,6.0,145.,146,False
St. Francis (PA),Mount St. Mary'S,Mount St. Mary's,-7.5,141.,124,False
Holy Cross,Brown,Holy Cross,7.5,146.5.,138,False
Southern Indiana,Purdue Fort Wayne,Purdue Fort Wayne,-15.0,149.,167,True
Kansas City,Creighton,Creighton,-21.0,147.,135,True
Loyola (MD),VCU,VCU,-24.5,139.,140,True
North Carolina Central,William & Mary,North Carolina Central,4.5,151.,154,False
Norfolk State,Hampton,Norfolk State,-5.0,139.,125,False
Florida Gulf Coast,Drake,Florida Gulf Coast,10.5,130.,124,False
CSU Northridge,Sacramento State,CSU Northridge,-4.0,144.,148,False
Northern Illinois,Bradley,Northern Illinois,19.0,144.5.,136,False
Loyola Marymount,Saint Louis,Loyola Marymount,6.5,155.5.,148,False
James Madison,Towson,Towson,-2.0,136.5.,130,True
Alabama A&M,Tennessee St.,Tennessee St.,-8.5,148.,152,True
Nebraska Omaha,Southern Utah,Nebraska Omaha,8.0,155.5.,152,False
Utah Tech,Wyoming,Wyoming,-10.5,145.5.,155,True
Fresno St.,CSU Bakersfield,CSU Bakersfield,-1.0,150.,130,True
Pepperdine,UC Irvine,UC Irvine,-16.5,144.,142,True
Seattle,UC San Diego,Seattle,7.0,140.5.,155,False
Santa Clara,Nevada,Nevada,-7.5,146.5.,144,True
Chicago St.,San Francisco,San Francisco,-29.0,149.5.,119,True
