Rank,Hotness Score,Matchup,Time,Location
1,86.7,#11 Denver  at  #6 Memphis,6:00 PM,FedExForum
2,85.2,#13 Phoenix  at  #10 Minnesota,3:30 PM,Target Center
3,78.2,#16 Miami  at  #17 Indiana,5:00 PM,Gainbridge Fieldhouse
4,75.3,#8 Dallas  at  #1 Okla City,7:00 PM,Paycom Center
5,68.7,#26 Brooklyn  at  #5 New York,7:00 PM,Madison Square Garden
6,64.9,#7 Houston  at  #25 Chicago,7:00 PM,United Center
7,54.3,#22 Atlanta  at  #28 Portland,6:00 PM,Moda Center
8,51.3,#24 Charlotte  at  #3 Cleveland,6:00 PM,Rocket Mortgage FieldHouse
9,45.6,#23 Detroit  at  #30 Washington,6:00 PM,Capital One Arena
10,44.4,#29 Utah  at  #18 LA Clippers,9:00 PM,Intuit Dome
