Team,ATS Record,Cover %,MOV,ATS +/-
St Fran (PA),19-17-1,52.8%,-6.2,-1.9
Dartmouth,38-34-3,52.8%,-5.6,+0.6
Tulsa,96-86-3,52.8%,4.4,+0.5
Colgate,29-26-0,52.7%,-2.3,+0.1
Montana St,68-61-6,52.7%,-3.2,-0.7
S Illinois,88-79-2,52.7%,2.8,+0.1
Princeton,61-55-0,52.6%,3.6,+0.8
Kansas St,92-83-1,52.6%,3.4,+0.8
UNLV,104-94-1,52.5%,4.2,+0.5
Ohio St,126-114-4,52.5%,8.5,+1.1
Vanderbilt,95-86-3,52.5%,4.5,+1.2
Maryland ES,32-29-0,52.5%,-12.1,-1.7
Alabama St,22-20-0,52.4%,-8.7,-1.1
Lafayette,22-20-1,52.4%,-4.0,-1.7
Nevada,78-71-3,52.4%,3.8,+1.8
Samford,56-51-3,52.3%,-2.2,+0.9
Wichita St,101-92-5,52.3%,5.9,+1.1
Lehigh,23-21-0,52.3%,-1.7,+1.3
UAB,81-74-3,52.3%,5.3,+0.7
Montana,70-64-0,52.2%,0.4,-0.2
Quinnipiac,47-43-4,52.2%,-0.6,+1.3
Nebraska,107-98-4,52.2%,0.8,+0.4
Citadel,60-55-1,52.2%,-10.5,-0.6
Akron,76-70-1,52.1%,4.0,+0.6
Wash State,76-70-2,52.1%,0.8,+0.5
S Carolina,102-94-4,52.0%,2.0,+0.6
Clemson,102-94-5,52.0%,4.6,+0.1
UC Riverside,65-60-6,52.0%,-5.9,0.0
Lamar,27-25-1,51.9%,-2.4,+0.4
Bowling Grn,82-76-2,51.9%,0.2,+0.7
N Dakota St,41-38-0,51.9%,-2.0,+1.0
Creighton,96-89-3,51.9%,7.2,+1.0
N Kentucky,28-26-0,51.9%,1.2,+1.9
IL-Chicago,86-80-4,51.8%,-2.6,-0.9
Kentucky,101-94-7,51.8%,11.4,+1.0
W Kentucky,89-83-2,51.7%,3.6,+0.8
North Texas,61-57-3,51.7%,0.3,+1.1
N Carolina,138-129-2,51.7%,11.0,+0.7
TX El Paso,62-58-3,51.7%,3.0,+0.3
Denver,95-89-6,51.6%,-3.6,-0.3
W Michigan,80-75-7,51.6%,-0.3,+0.6
Maryland,117-110-6,51.5%,8.2,0.0
