Rank,Hotness Score,Matchup,Time,Location
1,88.2,#7 Houston  at  #14 LA Clippers,9:00 PM,Intuit Dome
2,86.7,#8 Minnesota  at  #9 Golden State,8:30 PM,Chase Center
3,84.0,#3 Cleveland  at  #12 Miami,6:00 PM,Kaseya Center
4,78.5,#11 Denver  at  #21 Atlanta,6:00 PM,State Farm Arena
5,76.2,#16 Phoenix  at  #10 Orlando,6:30 PM,Kia Center
6,72.7,#13 Milwaukee  at  #25 Brooklyn,3:30 PM,Barclays Center
7,63.4,#18 Philadelphia  at  #22 Chicago,1:00 PM,United Center
8,58.8,#26 Charlotte  at  #20 Indiana,5:00 PM,Gainbridge Fieldhouse
9,54.6,#29 Portland  at  #17 LA Lakers,9:30 PM,Crypto.com Arena
10,53.9,#27 Utah  at  #15 Sacramento,9:00 PM,Golden 1 Center
11,46.4,#28 New Orleans  at  #19 San Antonio,7:00 PM,Frost Bank Center
12,46.1,#6 Memphis  at  #30 Washington,7:00 PM,Capital One Arena
