Team,all_games_ATS Record,all_games_Cover %,all_games_MOV,all_games_ATS +/-,equal_rest_ATS Record,equal_rest_Cover %,equal_rest_MOV,equal_rest_ATS +/-,four_plus_days_off_ATS Record,four_plus_days_off_Cover %,four_plus_days_off_MOV,four_plus_days_off_ATS +/-,is_after_loss_ATS Record,is_after_loss_Cover %,is_after_loss_MOV,is_after_loss_ATS +/-,is_after_win_ATS Record,is_after_win_Cover %,is_after_win_MOV,is_after_win_ATS +/-,is_away_ATS Record,is_away_Cover %,is_away_MOV,is_away_ATS +/-,is_dog_ATS Record,is_dog_Cover %,is_dog_MOV,is_dog_ATS +/-,is_fav_ATS Record,is_fav_Cover %,is_fav_MOV,is_fav_ATS +/-,is_home_ATS Record,is_home_Cover %,is_home_MOV,is_home_ATS +/-,no_rest_ATS Record,no_rest_Cover %,no_rest_MOV,no_rest_ATS +/-,one_day_off_ATS Record,one_day_off_Cover %,one_day_off_MOV,one_day_off_ATS +/-,rest_advantage_ATS Record,rest_advantage_Cover %,rest_advantage_MOV,rest_advantage_ATS +/-,rest_disadvantage_ATS Record,rest_disadvantage_Cover %,rest_disadvantage_MOV,rest_disadvantage_ATS +/-,two_three_days_off_ATS Record,two_three_days_off_Cover %,two_three_days_off_MOV,two_three_days_off_ATS +/-
Cleveland,14-4-0,77.8%,12.4,5.6,8-3-0,72.7%,14.9,6.6,1-0-0,100.0%,30.0,23.5,1-0-0,100.0%,28.0,14.0,12-4-0,75.0%,10.3,4.0,6-2-0,75.0%,9.5,5.7,3-0-0,100.0%,1.3,5.2,11-4-0,73.3%,14.6,5.7,8-2-0,80.0%,14.7,5.6,3-1-0,75.0%,13.3,4.8,9-3-0,75.0%,10.5,4.7,2-1-0,66.7%,12.0,1.2,4-0-0,100.0%,5.8,6.3,1-0-0,100.0%,14.0,2.5
Brooklyn,12-5-1,70.6%,-2.6,4.2,6-3-1,66.7%,-2.3,4.0,1-0-0,100.0%,-4.0,2.5,7-2-1,77.8%,0.4,7.9,4-3-0,57.1%,-6.7,-0.9,8-2-1,80.0%,-2.5,6.6,10-3-1,76.9%,-3.1,6.1,2-2-0,50.0%,-0.8,-2.5,4-3-0,57.1%,-2.9,0.4,4-0-0,100.0%,4.5,14.9,6-4-1,60.0%,-3.8,1.4,2-2-0,50.0%,-12.3,-4.3,4-0-0,100.0%,6.3,13.1,1-1-0,50.0%,-9.5,-1.3
Toronto,12-6-0,66.7%,-5.7,2.8,5-3-0,62.5%,-7.3,1.5,0-1-0,0.0%,-30.0,-23.5,9-4-0,69.2%,-3.9,3.9,3-1-0,75.0%,-5.5,5.6,6-4-0,60.0%,-8.8,1.4,12-6-0,66.7%,-5.7,2.8,,,,,6-2-0,75.0%,-1.9,4.5,4-1-0,80.0%,-6.6,4.5,6-2-0,75.0%,-3.1,4.8,2-1-0,66.7%,1.7,5.5,5-2-0,71.4%,-7.1,3.0,2-2-0,50.0%,-3.8,3.0
Memphis,12-6-0,66.7%,7.7,5.8,6-4-0,60.0%,7.7,5.2,0-1-0,0.0%,2.0,-0.5,6-1-0,85.7%,8.0,7.4,6-4-0,60.0%,8.0,5.4,5-3-0,62.5%,5.4,6.3,5-1-0,83.3%,2.7,7.7,7-5-0,58.3%,10.2,4.9,7-3-0,70.0%,9.5,5.5,3-0-0,100.0%,14.0,17.5,7-5-0,58.3%,7.3,3.6,1-2-0,33.3%,-1.3,-8.0,5-0-0,100.0%,13.0,15.4,2-0-0,100.0%,3.0,4.5
Houston,12-6-0,66.7%,8.7,5.0,9-4-0,69.2%,11.5,5.8,0-1-0,0.0%,-5.0,-13.0,4-1-0,80.0%,11.2,8.5,8-4-0,66.7%,8.8,5.0,4-3-0,57.1%,3.7,4.4,3-1-0,75.0%,-0.5,4.4,9-5-0,64.3%,11.4,5.1,8-3-0,72.7%,11.9,5.4,2-2-0,50.0%,1.3,-4.3,9-3-0,75.0%,12.6,8.9,1-0-0,100.0%,6.0,12.5,2-2-0,50.0%,0.5,0.3,1-0-0,100.0%,6.0,12.5
LA Clippers,12-7-0,63.2%,1.2,3.6,6-3-0,66.7%,0.3,3.4,1-0-0,100.0%,-3.0,2.0,3-4-0,42.9%,-3.3,-1.4,8-3-0,72.7%,4.4,6.9,5-3-0,62.5%,-2.4,3.7,8-5-0,61.5%,-2.8,3.1,4-2-0,66.7%,9.8,4.8,7-4-0,63.6%,3.7,3.5,2-3-0,40.0%,-5.0,-0.4,8-3-0,72.7%,4.2,5.9,3-2-0,60.0%,-0.8,-0.4,3-2-0,60.0%,4.6,7.9,1-1-0,50.0%,2.0,1.8
Okla City,10-7-0,58.8%,11.2,2.8,5-2-0,71.4%,11.1,3.7,2-0-0,100.0%,18.0,17.3,1-3-0,25.0%,7.3,-2.0,8-4-0,66.7%,12.3,3.2,5-2-0,71.4%,11.9,5.4,1-0-0,100.0%,15.0,17.0,9-7-0,56.3%,11.0,1.9,5-5-0,50.0%,10.8,1.0,2-2-0,50.0%,13.3,4.4,6-4-0,60.0%,9.0,-0.4,3-2-0,60.0%,13.2,4.0,2-3-0,40.0%,9.4,0.3,0-1-0,0.0%,12.0,-0.5
Golden State,10-7-0,58.8%,7.8,4.1,9-2-0,81.8%,13.7,11.0,1-0-0,100.0%,36.0,28.5,3-1-0,75.0%,11.0,8.0,6-6-0,50.0%,4.4,0.8,6-4-0,60.0%,8.5,6.3,4-1-0,80.0%,4.4,9.1,6-6-0,50.0%,9.3,2.1,4-3-0,57.1%,6.9,1.1,1-1-0,50.0%,2.5,-0.8,7-4-0,63.6%,7.6,3.9,1-4-0,20.0%,-1.6,-7.5,0-1-0,0.0%,-10.0,-13.5,1-2-0,33.3%,2.7,0.2
Charlotte,10-7-0,58.8%,-4.9,0.8,7-4-0,63.6%,-5.8,0.9,1-0-0,100.0%,5.0,13.0,5-5-0,50.0%,-6.7,-2.4,4-2-0,66.7%,-3.7,4.0,5-3-0,62.5%,-8.6,-1.4,10-6-0,62.5%,-5.6,0.9,0-1-0,0.0%,5.0,-1.5,5-4-0,55.6%,-1.7,2.7,1-2-0,33.3%,-10.7,-1.8,7-4-0,63.6%,-5.7,0.2,2-1-0,66.7%,0.0,1.8,1-2-0,33.3%,-6.7,-0.5,1-1-0,50.0%,3.0,1.8
Portland,10-7-1,58.8%,-8.5,0.0,5-6-0,45.5%,-12.2,-3.4,0-1-0,0.0%,-36.0,-28.5,7-3-0,70.0%,-4.5,3.5,3-3-1,50.0%,-10.3,-0.9,5-4-1,55.6%,-9.5,0.3,10-7-1,58.8%,-8.5,0.0,,,,,5-3-0,62.5%,-7.3,-0.3,3-1-1,75.0%,-6.0,5.9,5-4-0,55.6%,-7.6,-0.3,3-1-0,75.0%,-0.3,5.3,2-0-1,100.0%,-6.0,5.3,2-1-0,66.7%,-6.3,0.7
Orlando,11-8-0,57.9%,4.3,2.4,8-5-0,61.5%,7.8,4.0,1-0-0,100.0%,19.0,21.0,2-5-0,28.6%,-3.6,-0.4,8-3-0,72.7%,8.0,2.5,4-7-0,36.4%,-3.9,-1.9,2-5-0,28.6%,-7.1,-1.5,9-3-0,75.0%,11.0,4.7,7-1-0,87.5%,15.6,8.3,2-2-0,50.0%,-6.0,-1.6,7-6-0,53.9%,5.9,2.0,1-1-0,50.0%,7.0,2.0,2-2-0,50.0%,-8.5,-2.8,1-0-0,100.0%,10.0,5.5
Dallas,9-8-1,52.9%,5.7,2.3,3-3-1,50.0%,3.7,0.9,1-0-0,100.0%,11.0,2.5,4-3-1,57.1%,8.9,3.6,4-5-0,44.4%,2.3,1.1,4-4-1,50.0%,-0.3,1.3,4-2-1,66.7%,1.6,5.2,5-6-0,45.5%,8.4,0.4,5-4-0,55.6%,11.8,3.3,3-1-0,75.0%,2.8,5.1,3-7-1,30.0%,5.0,-0.5,2-1-0,66.7%,9.3,1.5,4-4-0,50.0%,6.1,3.8,2-0-0,100.0%,13.0,12.0
San Antonio,9-8-0,52.9%,0.6,3.3,1-7-0,12.5%,-5.1,-4.5,0-1-0,0.0%,-11.0,-2.5,6-2-0,75.0%,0.5,5.6,3-5-0,37.5%,2.1,1.8,2-4-0,33.3%,-9.7,-2.5,6-6-0,50.0%,-3.1,2.8,3-2-0,60.0%,9.4,4.4,7-4-0,63.6%,6.2,6.5,2-1-0,66.7%,4.7,7.2,6-6-0,50.0%,0.1,1.8,5-0-0,100.0%,9.8,14.0,3-1-0,75.0%,0.5,5.5,1-0-0,100.0%,6.0,16.0
New York,8-8-1,50.0%,6.4,1.4,6-4-1,60.0%,8.6,4.0,0-1-0,0.0%,-23.0,-17.0,5-2-0,71.4%,13.1,8.9,3-5-1,37.5%,4.3,-2.4,5-5-0,50.0%,2.8,-0.1,1-1-0,50.0%,2.0,6.0,7-7-1,50.0%,6.9,0.8,3-3-1,50.0%,11.4,3.5,1-1-0,50.0%,13.5,2.0,6-3-1,66.7%,11.2,6.3,2-3-0,40.0%,2.8,-2.1,0-1-0,0.0%,-1.0,-9.5,1-3-0,25.0%,-2.0,-6.5
Detroit,9-9-1,50.0%,-1.6,1.5,5-7-1,41.7%,-3.8,-0.5,0-1-0,0.0%,-6.0,-0.5,6-5-0,54.6%,-0.5,2.9,3-3-1,50.0%,-2.6,-0.5,5-4-1,55.6%,0.7,3.8,7-4-1,63.6%,-3.7,2.9,2-5-0,28.6%,2.0,-1.0,4-5-0,44.4%,-4.1,-1.1,2-1-1,66.7%,-2.8,2.9,7-6-0,53.9%,-0.8,1.7,0-2-0,0.0%,0.0,-3.3,4-0-0,100.0%,5.0,10.3,0-1-0,0.0%,-2.0,-4.5
Miami,7-7-0,50.0%,1.1,0.6,3-7-0,30.0%,-2.7,-2.9,1-1-0,50.0%,-7.0,-9.3,6-1-0,85.7%,6.1,6.4,1-5-0,16.7%,-1.3,-2.7,5-3-0,62.5%,1.9,2.7,3-3-0,50.0%,-3.3,0.9,4-4-0,50.0%,4.5,0.3,2-4-0,33.3%,0.2,-2.3,1-0-0,100.0%,17.0,14.5,2-6-0,25.0%,-3.5,-2.3,3-0-0,100.0%,8.7,7.3,1-0-0,100.0%,17.0,14.5,3-0-0,100.0%,13.7,10.0
Utah,8-8-0,50.0%,-9.1,-1.8,3-4-0,42.9%,-12.6,-6.5,1-0-0,100.0%,-2.0,0.5,6-6-0,50.0%,-9.0,-1.5,1-2-0,33.3%,-11.7,-4.2,5-4-0,55.6%,-8.4,0.1,8-8-0,50.0%,-9.1,-1.8,,,,,3-4-0,42.9%,-9.9,-4.3,0-2-0,0.0%,-14.0,-6.0,6-4-0,60.0%,-7.6,-0.6,2-3-0,40.0%,-12.8,-5.4,3-1-0,75.0%,1.8,10.8,1-2-0,33.3%,-13.0,-4.0
Boston,8-10-0,44.4%,10.7,0.2,4-3-0,57.1%,11.0,2.9,1-0-0,100.0%,23.0,17.0,2-1-0,66.7%,14.7,3.3,5-9-0,35.7%,8.9,-1.6,5-4-0,55.6%,13.4,2.9,,,,,8-10-0,44.4%,10.7,0.2,3-6-0,33.3%,7.9,-2.4,2-1-0,66.7%,22.3,12.0,5-6-0,45.5%,7.6,-2.6,2-3-0,40.0%,10.6,-0.3,2-4-0,33.3%,10.3,-2.5,0-3-0,0.0%,6.0,-6.8
Chicago,8-10-0,44.4%,-6.5,-0.9,6-6-0,50.0%,-6.3,0.0,0-1-0,0.0%,-12.0,-7.0,6-4-0,60.0%,-3.0,1.9,2-5-0,28.6%,-10.7,-3.9,5-5-0,50.0%,-3.7,2.8,8-9-0,47.1%,-6.4,0.1,0-1-0,0.0%,-9.0,-16.5,3-5-0,37.5%,-10.0,-5.4,1-3-0,25.0%,-9.0,-2.1,7-5-0,58.3%,-5.0,1.4,2-1-0,66.7%,1.3,2.5,0-3-0,0.0%,-15.3,-7.5,0-1-0,0.0%,-9.0,-16.5
LA Lakers,7-9-0,43.8%,-0.5,-4.3,4-5-0,44.4%,-0.8,-3.1,1-0-0,100.0%,7.0,8.0,1-4-0,20.0%,-10.0,-12.5,5-5-0,50.0%,3.5,-1.4,2-5-0,28.6%,-5.9,-7.9,2-2-0,50.0%,-9.5,-6.1,5-7-0,41.7%,2.5,-3.6,5-4-0,55.6%,3.7,-1.4,1-1-0,50.0%,4.5,0.0,4-5-0,44.4%,-3.3,-6.2,2-4-0,33.3%,-0.8,-7.3,1-0-0,100.0%,4.0,3.0,1-3-0,25.0%,1.5,-5.0
Indiana,7-10-1,41.2%,-3.2,-4.6,5-5-1,50.0%,-1.1,-3.3,1-0-0,100.0%,6.0,0.5,5-4-1,55.6%,-0.8,-0.5,1-6-0,14.3%,-8.0,-11.2,3-7-0,30.0%,-8.7,-8.0,4-4-0,50.0%,-5.1,-0.5,3-6-1,33.3%,-1.7,-7.9,4-3-1,57.1%,3.6,-0.3,1-2-0,33.3%,-3.7,-5.5,4-7-1,36.4%,-4.7,-6.3,1-1-0,50.0%,1.5,4.3,1-4-0,20.0%,-9.8,-10.9,1-1-0,50.0%,1.5,4.3
Denver,6-9-1,40.0%,0.9,-1.2,4-6-1,40.0%,-2.7,-3.7,0-2-0,0.0%,-11.0,-13.0,3-3-0,50.0%,7.5,5.7,3-5-1,37.5%,-1.8,-3.9,3-4-0,42.9%,2.7,3.2,4-1-0,80.0%,4.2,9.5,2-8-1,20.0%,-0.6,-6.0,3-5-1,37.5%,-0.6,-4.6,2-1-0,66.7%,18.7,14.5,3-5-1,37.5%,-1.6,-3.2,0-1-0,0.0%,-7.0,-9.0,2-2-0,50.0%,12.8,7.8,1-1-0,50.0%,-3.0,-3.5
Minnesota,6-10-0,37.5%,2.0,-3.9,3-6-0,33.3%,2.9,-4.1,0-1-0,0.0%,-7.0,-8.0,4-3-0,57.1%,0.9,-3.1,2-6-0,25.0%,4.1,-4.1,4-5-0,44.4%,-2.7,-6.5,1-0-0,100.0%,-2.0,6.0,5-10-0,33.3%,2.3,-4.6,2-5-0,28.6%,8.0,-0.6,1-2-0,33.3%,2.3,-6.0,3-4-0,42.9%,3.7,-3.8,2-3-0,40.0%,2.8,-2.7,1-1-0,50.0%,-4.0,-6.3,2-3-0,40.0%,1.2,-2.0
Milwaukee,6-10-1,37.5%,0.2,-3.2,6-3-1,66.7%,5.5,0.5,1-0-0,100.0%,15.0,11.0,3-6-0,33.3%,-2.0,-3.9,2-4-1,33.3%,1.0,-4.3,2-5-0,28.6%,-8.1,-8.1,1-3-0,25.0%,-10.3,-3.1,5-7-1,41.7%,3.5,-3.2,4-5-1,44.4%,6.1,0.2,0-3-1,0.0%,-5.0,-4.9,4-5-0,44.4%,1.1,-2.7,0-3-0,0.0%,-7.7,-11.7,0-4-0,0.0%,-7.0,-6.1,1-2-0,33.3%,-0.3,-7.2
Sacramento,6-11-1,35.3%,0.3,-4.2,4-4-0,50.0%,2.6,-2.5,0-1-0,0.0%,-2.0,-1.0,3-5-1,37.5%,0.4,-3.6,3-5-0,37.5%,0.4,-5.3,4-4-0,50.0%,-1.0,-4.2,2-4-0,33.3%,-3.5,-2.0,4-7-1,36.4%,2.2,-5.3,2-7-1,22.2%,1.3,-4.2,1-4-0,20.0%,-4.6,-9.0,4-5-1,44.4%,3.8,-1.1,2-4-1,33.3%,3.0,-1.7,0-3-0,0.0%,-12.3,-14.3,1-1-0,50.0%,-4.0,-9.0
New Orleans,6-12-0,33.3%,-11.0,-6.8,4-9-0,30.8%,-10.8,-6.8,1-0-0,100.0%,12.0,7.0,4-9-0,30.8%,-13.1,-6.7,1-3-0,25.0%,-10.0,-10.9,1-8-0,11.1%,-19.0,-13.8,5-8-0,38.5%,-11.8,-4.5,1-4-0,20.0%,-8.8,-12.9,5-4-0,55.6%,-3.0,0.2,1-3-0,25.0%,-16.5,-10.5,3-7-0,30.0%,-9.7,-6.4,1-2-0,33.3%,-15.7,-8.2,1-1-0,50.0%,-5.5,-5.0,1-2-0,33.3%,-15.7,-8.2
Atlanta,6-12-0,33.3%,-5.4,-4.6,3-5-0,37.5%,-2.8,-3.3,0-1-0,0.0%,4.0,-2.5,4-6-0,40.0%,-3.7,-2.5,2-5-0,28.6%,-9.3,-7.8,4-5-0,44.4%,-6.9,-3.9,4-4-0,50.0%,-9.9,-2.1,2-8-0,20.0%,-1.9,-6.6,2-7-0,22.2%,-4.0,-5.2,1-3-0,25.0%,-10.8,-9.8,3-7-0,30.0%,-6.2,-4.8,2-2-0,50.0%,-5.3,-1.6,1-5-0,16.7%,-9.2,-8.2,2-1-0,66.7%,1.0,2.3
Phoenix,5-11-0,31.3%,-2.4,-2.8,2-7-0,22.2%,-3.4,-3.6,0-1-0,0.0%,3.0,-2.0,3-3-0,50.0%,-4.2,-0.5,2-7-0,22.2%,-1.9,-4.4,4-4-0,50.0%,-3.9,-2.3,3-5-0,37.5%,-7.8,-2.8,2-6-0,25.0%,2.9,-2.8,1-7-0,12.5%,-1.0,-3.3,1-2-0,33.3%,-7.0,-1.7,3-8-0,27.3%,-2.5,-3.6,1-1-0,50.0%,6.0,-2.5,2-3-0,40.0%,-4.0,-1.6,1-0-0,100.0%,6.0,2.0
Washington,4-10-1,28.6%,-14.4,-4.2,2-6-1,25.0%,-14.6,-4.6,0-1-0,0.0%,-20.0,-6.0,3-8-1,27.3%,-15.8,-5.3,1-1-0,50.0%,-3.5,3.8,2-5-1,28.6%,-15.6,-5.1,4-10-1,28.6%,-14.4,-4.2,,,,,2-5-0,28.6%,-13.0,-3.1,0-2-0,0.0%,-21.5,-8.3,3-5-1,37.5%,-10.8,-1.8,2-3-0,40.0%,-14.6,-3.8,0-1-0,0.0%,-12.0,-2.5,1-2-0,33.3%,-18.7,-7.8
Philadelphia,4-12-0,25.0%,-8.4,-6.7,2-8-0,20.0%,-9.1,-6.5,0-1-0,0.0%,-15.0,-11.0,4-8-0,33.3%,-5.9,-4.1,0-3-0,0.0%,-16.0,-15.7,2-6-0,25.0%,-7.9,-5.4,3-7-0,30.0%,-11.0,-6.1,1-5-0,16.7%,-4.0,-7.8,2-6-0,25.0%,-8.9,-8.0,1-0-0,100.0%,-8.0,3.0,3-8-0,27.3%,-6.1,-4.8,0-4-0,0.0%,-12.5,-14.4,2-0-0,100.0%,3.5,7.5,0-3-0,0.0%,-14.7,-15.5
