Away Team,Home Team,Cover Team,Closing Spread,Closing Total Line,Actual Total Score
Le Moyne,Dartmouth,Le Moyne,+5.5,148.5.,156,[]
Albany,Sacred Heart,Albany,+3.5,154.5.,140,[]
Mercyhurst,Binghamton,Mercyhurst,+6.5,132.5.,122,[]
South Carolina State,South Carolina Upstate,South Carolina State,-2,153.5.,155,[]
Stonehill,Massachusetts Lowell,Stonehill,+14,148.,145,[]
Fairleigh Dickinson,La Salle,Fairleigh Dickinson,+14,160.5.,149,[]
Creighton,Georgetown,Georgetown,+4.5,144.5.,138,[]
Mercer,Queens University Of Charlotte,Queens University of Charlotte,-1,160.,139,[]
Richmond,William & Mary,William & Mary,-2.5,155.,180,[]
Austin Peay,Ohio,Ohio,-14,142.,136,[]
Memphis,Virginia,Virginia,+3.5,130.,126,[]
Lafayette,George Washington,George Washington,-13,141.,144,[]
Detroit Mercy,Northern Kentucky,Detroit Mercy,+13.5,135.,133,[]
Elon University,East Tennessee St.,East Tennessee St.,-3,144.,142,[]
Murray St.,Indiana St.,Indiana St.,+3,152.5.,158,[]
American U.,Saint Joseph'S,Saint Joseph's,-12,140.5.,141,[]
Florida Gulf Coast,UNC Wilmington,UNC Wilmington,-6.5,138.5.,145,[]
Central Conn. St.,Fairfield,Fairfield,+2,138.5.,127,[]
Longwood,Campbell,Longwood,-3,142.5.,132,[]
Youngstown St.,Wright St.,Youngstown St.,+7,143.5.,150,[]
Northeastern,Massachusetts,Massachusetts,-3.5,146.5.,149,[]
Xavier,Connecticut,Xavier,+13.5,146.5.,183,[]
Manhattan,Wagner,Manhattan,+2,127.5.,146,[]
Davidson,Temple,Davidson,+1.5,148.5.,123,[]
Mount St. Mary'S,LIU,Mount St. Mary's,+2,140.,152,[]
Bethune-Cookman,South Florida,Bethune-Cookman,+11.5,148.,146,[]
Miami (OH),Vermont,Vermont,-5,130.,142,[]
UMBC,Georgia Tech,UMBC,+15.5,160.,173,[]
Alabama A&M,UAB,UAB,-22.5,159.,163,[]
Southern Utah,Texas Rio Grande Valley,Texas Rio Grande Valley,-1.5,156.,151,[]
Toledo,Houston,Toledo,+30,141.,127,[]
Mississippi Valley State,North Texas,North Texas,-36.5,123.,125,[]
Canisius,Loyola-Chicago,Canisius,+24,140.,132,[]
Wofford,Saint Louis,Wofford,+7.5,151.,145,[]
Northern Illinois,Illinois St.,Illinois St.,-14,140.5.,141,[]
Appalachian St.,UL Lafayette,UL Lafayette,+2,136.,130,[]
Tarleton State,Oklahoma State,Tarleton State,+21,139.,127,[]
The Citadel,Vanderbilt,Vanderbilt,-28.5,149.,158,[]
Evansville,Texas-Arlington,Texas-Arlington,-9.5,150.,134,[]
Alabama,North Dakota,North Dakota,+25,167.,187,[]
Idaho,UC Davis,UC Davis,-6.5,141.5.,140,[]
Utah Valley,Idaho State,Utah Valley,-2,136.5.,126,[]
Samford,Arizona,Arizona,-19,168.,160,[]
Nicholls State,Gonzaga,Nicholls State,+34.5,155.5.,174,[]
Butler,Marquette,Butler,+14,148.5.,150,[]
Michigan,Oklahoma,Michigan,+4,149.,173,[]
VCU,New Mexico,New Mexico,-4,151.5.,149,[]
CSU Northridge,Southern California,Southern California,-12.5,151.5.,159,[]
UC Santa Barbara,Loyola Marymount,UC Santa Barbara,+2.5,141.5.,118,[]
CSU Bakersfield,Portland,CSU Bakersfield,+1,141.,145,[]
Montana St.,UC Riverside,UC Riverside,-2.5,143.5.,163,[]
Kennesaw St.,Santa Clara,Santa Clara,-15,158.,168,[]
Portland St.,Pacific,Portland St.,+4,148.5.,156,[]
Washington St.,Washington,Washington,-2.5,149.,162,[]
