Rank,Hotness Score,Time,Location,Away Team Rank,Away Team,Home Team Rank,Home Team,Away Team DraftKings,Away Team Covers,Home Team DraftKings,Home Team Covers,Away Team Spread,Away Team Odds,Away Team Underdog,Home Team Spread,Home Team Odds,Home Team Underdog,Away Team Team,Away Team all_games_ATS Record,Away Team all_games_Cover %,Away Team all_games_MOV,Away Team all_games_ATS +/-,Away Team is_away_ATS Record,Away Team is_away_Cover %,Away Team is_away_MOV,Away Team is_away_ATS +/-,Home Team Team,Home Team all_games_ATS Record,Home Team all_games_Cover %,Home Team all_games_MOV,Home Team all_games_ATS +/-,Home Team is_home_ATS Record,Home Team is_home_Cover %,Home Team is_home_MOV,Home Team is_home_ATS +/-,Underdog is_dog Team,Underdog is_dog Spread,Underdog is_dog Odds,Underdog is_dog ATS Record,Underdog is_dog Cover %,Underdog is_dog MOV,Underdog is_dog ATS +/-,Favorite is_fav Team,Favorite is_fav Spread,Favorite is_fav Odds,Favorite is_fav ATS Record,Favorite is_fav Cover %,Favorite is_fav MOV,Favorite is_fav ATS +/-
12,78.5,11:00 AM,Ocean Center,139,James Mad,122,Il-Chicago,James Madison,James Madison,UIC,Illinois-Chicago,-3.5,−112,False,N/A,N/A,False,James Mad,349-363-16,49.0%,-0.5,-0.6,178-153-8,53.8%,-4.9,0.4,Il-Chicago,407-361-17,53.0%,-1.2,-0.1,189-152-8,55.4%,4.2,0.2,Il-Chicago,N/A,N/A,247-231-9,51.7%,-7.7,0.0,James Mad,-3.5,−112,136-149-6,47.7%,5.6,-1.0
13,78.4,5:30 PM,HTC Center,92,Bradley,162,Texas St,Bradley,Bradley,Texas State,Texas State,-7,−108,False,+7,−112,True,Bradley,388-399-22,49.3%,0.5,0.3,142-189-5,42.9%,-6.6,-1.2,Texas St,168-174-10,49.1%,1.0,0.2,54-80-2,40.3%,7.4,-1.7,Texas St,+7,−112,81-89-5,47.7%,-6.5,0.5,Bradley,-7,−108,188-168-13,52.8%,7.2,0.8
14,75.6,7:00 PM,Colonial Life Arena,191,Mercer,69,S Carolina,,Mercer,South Carolina,South Carolina,N/A,N/A,False,-18.5,−108,False,Mercer,172-171-5,50.2%,0.5,-0.1,83-75-2,52.5%,-5.4,0.2,S Carolina,384-394-10,49.4%,1.4,-0.4,169-198-6,46.1%,6.6,-0.9,S Carolina,-18.5,−108,206-200-4,50.7%,-7.1,0.2,Mercer,N/A,N/A,84-88-3,48.8%,6.0,-0.6
15,75.3,1:00 PM,Ocean Center,127,La Salle,157,Ucsd,La Salle,La Salle,,San Diego,-2,−108,False,N/A,N/A,False,La Salle,342-378-20,47.5%,-1.6,-0.2,147-159-6,48.0%,-6.0,-0.3,Ucsd,52-51-2,50.5%,-3.4,-0.2,26-19-2,57.8%,7.0,0.2,Ucsd,N/A,N/A,29-31-2,48.3%,-6.5,0.8,La Salle,-2,−108,130-140-9,48.2%,5.1,-0.8
16,72.3,9:00 PM,The Pit,225,Grambling St,58,New Mexico,Grambling,Grambling State,New Mexico,New Mexico,+19,−110,True,-19,−110,False,Grambling St,102-102-2,50.0%,-6.8,0.8,58-56-1,50.9%,-13.6,1.0,New Mexico,406-363-19,52.8%,5.0,0.1,204-168-10,54.8%,11.6,1.0,Grambling St,+19,−110,61-60-1,50.4%,-10.9,1.7,New Mexico,-19,−110,264-219-11,54.7%,9.4,0.4
17,71.8,7:00 PM,Littlejohn Coliseum,232,Radford,46,Clemson,,Radford,Clemson,Clemson,N/A,N/A,False,-19,−112,False,Radford,116-126-5,47.9%,0.1,-0.2,65-58-3,52.9%,-6.1,1.0,Clemson,380-378-14,50.1%,4.0,0.2,191-172-5,52.6%,9.3,0.8,Clemson,-19,−112,159-148-10,51.8%,-6.7,0.3,Radford,N/A,N/A,57-74-1,43.5%,3.9,-2.1
18,71.0,8:00 PM,HTC Center,109,Princeton,205,Wright St,Princeton,Princeton,Wright State,Wright St.,N/A,N/A,False,N/A,N/A,False,Princeton,329-300-9,52.3%,4.6,0.3,176-133-6,57.0%,0.7,0.9,Wright St,378-364-20,50.9%,2.5,0.3,175-163-7,51.8%,8.5,0.8,Wright St,N/A,N/A,171-154-8,52.6%,-6.4,0.6,Princeton,N/A,N/A,205-203-4,50.3%,7.9,-0.2
19,69.8,3:30 PM,Ocean Center,164,Jksnville St,166,E Carolina,Jacksonville State,Jacksonville St.,East Carolina,East Carolina,+3,−112,True,-3,−108,False,Jksnville St,278-256-15,52.1%,-0.3,0.1,160-114-10,58.4%,-5.5,1.1,E Carolina,302-353-19,46.1%,-1.9,-0.8,144-167-8,46.3%,3.6,-1.1,Jksnville St,+3,−112,174-133-10,56.7%,-7.1,1.3,E Carolina,-3,−108,87-107-6,44.9%,3.8,-1.8
20,69.6,12:00 PM,HTC Center,171,Ohio,160,Middle Tenn,Ohio,Ohio,Middle Tennessee,Middle Tennessee St.,-1.5,−110,False,+1.5,−110,True,Ohio,396-376-11,51.3%,2.7,0.1,160-180-5,47.1%,-3.8,-1.0,Middle Tenn,357-338-12,51.4%,2.6,0.3,166-132-5,55.7%,9.1,1.0,Middle Tenn,+1.5,−110,163-164-4,49.9%,-7.0,0.1,Ohio,-1.5,−110,231-216-4,51.7%,7.2,0.2
21,68.1,8:00 PM,The Sandy and John Black Pavilion at Ole Miss,248,Oral Roberts,47,Mississippi,,Oral Roberts,Ole Miss,Mississippi,N/A,N/A,False,-20.5,−112,False,Oral Roberts,189-218-9,46.4%,3.6,0.1,93-108-4,46.3%,-2.9,0.0,Mississippi,388-387-14,50.1%,3.3,-0.6,188-179-9,51.2%,9.6,-0.2,Mississippi,-20.5,−112,174-174-4,50.0%,-6.4,-0.3,Oral Roberts,N/A,N/A,97-108-4,47.3%,8.0,0.2
