,Rank,Hotness Score,Time,Location,Away Team Rank,Away Team,Home Team Rank,Home Team,Away Team DraftKings,Home Team DraftKings,Away Team all_games_ATS Record,Away Team all_games_Cover %,Away Team all_games_MOV,Away Team all_games_ATS +/-,Away Team is_away_ATS Record,Away Team is_away_Cover %,Away Team is_away_MOV,Away Team is_away_ATS +/-,Away Team is_fav_ATS Record,Away Team is_fav_Cover %,Away Team is_fav_MOV,Away Team is_fav_ATS +/-,Home Team all_games_ATS Record,Home Team all_games_Cover %,Home Team all_games_MOV,Home Team all_games_ATS +/-,Home Team is_home_ATS Record,Home Team is_home_Cover %,Home Team is_home_MOV,Home Team is_home_ATS +/-,Home Team is_dog_ATS Record,Home Team is_dog_Cover %,Home Team is_dog_MOV,Home Team is_dog_ATS +/-
0,1,98.7,7:00 PM,Baha Mar Convention Center,11,Baylor,23,St Johns,Baylor,Saint Johns,3-1-0,75.0%,16.8,5.4,0-1-0,0.0%,-38.0,-31.5,3-0-0,100.0%,35.0,17.7,3-1-0,75.0%,22.5,4.5,3-1-0,75.0%,22.5,+4.5,,,,
1,2,95.3,10:00 PM,Chase Center,41,Memphis,51,San Francisco,Memphis,San Francisco,3-0-0,100.0%,12.7,7.8,1-0-0,100.0%,6.0,7.5,2-0-0,100.0%,16.0,8.0,3-1-0,75.0%,23.5,7.9,3-1-0,75.0%,23.5,+7.9,1-0-0,100.0%,11.0,13.0
2,3,92.9,9:30 PM,Baha Mar Convention Center,82,Virginia,6,Tennessee,Virginia,Tennessee,1-2-0,33.3%,12.0,-0.2,,,,,0-2-0,0.0%,13.0,-7.3,3-1-0,75.0%,27.0,7.0,2-1-0,66.7%,28.7,+1.2,1-0-0,100.0%,22.0,24.5
3,4,91.6,7:00 PM,Barclays Center,19,Texas,98,Syracuse,Texas,Syracuse,2-2-0,50.0%,29.0,1.8,,,,,2-2-0,50.0%,29.0,1.8,0-3-0,0.0%,5.0,-10.3,0-3-0,0.0%,5.0,-10.3,,,,
4,5,91.4,7:30 PM,TD Arena,96,Vanderbilt,33,Nevada,Vanderbilt,Nevada,2-2-0,50.0%,19.3,-3.6,,,,,2-2-0,50.0%,19.3,-3.6,4-0-0,100.0%,20.5,10.1,4-0-0,100.0%,20.5,+10.1,,,,
5,6,90.4,2:30 PM,TD Arena,80,Oklahoma St,73,Fla Atlantic,Oklahoma State,Florida Atlantic,0-3-0,0.0%,9.7,-4.3,,,,,0-3-0,0.0%,9.7,-4.3,2-2-0,50.0%,15.4,7.3,0-0-0,0.0%,50.0,--,1-2-0,33.3%,-2.0,1.0
6,7,90.3,10:00 PM,Gill Coliseum,37,Oregon,105,Oregon St,Oregon,Oregon State,2-2-0,50.0%,19.3,0.6,,,,,2-2-0,50.0%,19.3,0.6,3-0-0,100.0%,26.5,14.2,3-0-0,100.0%,26.5,+14.2,,,,
7,8,89.7,5:00 PM,TD Arena,45,Vcu,97,Seton Hall,,Seton Hall,3-1-0,75.0%,22.8,4.9,,,,,3-1-0,75.0%,22.8,4.9,1-3-0,25.0%,7.0,-4.0,1-2-0,33.3%,9.7,-3.3,,,,
8,9,89.3,9:00 PM,Barclays Center,112,St Josephs,14,Texas Tech,Saint Josephs,Texas Tech,2-2-0,50.0%,6.3,-2.9,1-0-0,100.0%,17.0,10.0,1-2-0,33.3%,6.0,-7.3,2-2-0,50.0%,33.8,2.3,2-2-0,50.0%,33.8,+2.3,,,,
9,10,87.8,12:00 PM,TD Arena,44,Miami,120,Drake,Miami FL,Drake,1-2-0,33.3%,31.7,0.8,,,,,1-2-0,33.3%,31.7,0.8,1-1-0,50.0%,23.0,1.3,1-1-0,50.0%,23.0,+1.3,,,,
10,11,84.1,6:30 PM,Simon Skjodt Assembly Hall,151,Nc-Grnsboro,26,Indiana,,Indiana,2-0-0,100.0%,13.7,2.3,1-0-0,100.0%,-13.0,1.0,1-0-0,100.0%,9.0,3.5,2-1-0,66.7%,23.3,2.7,2-1-0,66.7%,23.3,+2.7,,,,
