Team,all_games_Over Record,all_games_Over %,all_games_Under %,all_games_Total +/-,equal_rest_Over Record,equal_rest_Over %,equal_rest_Under %,equal_rest_Total +/-,four_plus_days_off_Over Record,four_plus_days_off_Over %,four_plus_days_off_Under %,four_plus_days_off_Total +/-,is_after_loss_Over Record,is_after_loss_Over %,is_after_loss_Under %,is_after_loss_Total +/-,is_after_win_Over Record,is_after_win_Over %,is_after_win_Under %,is_after_win_Total +/-,is_away_Over Record,is_away_Over %,is_away_Under %,is_away_Total +/-,is_dog_Over Record,is_dog_Over %,is_dog_Under %,is_dog_Total +/-,is_fav_Over Record,is_fav_Over %,is_fav_Under %,is_fav_Total +/-,is_home_Over Record,is_home_Over %,is_home_Under %,is_home_Total +/-,no_rest_Over Record,no_rest_Over %,no_rest_Under %,no_rest_Total +/-,one_day_off_Over Record,one_day_off_Over %,one_day_off_Under %,one_day_off_Total +/-,rest_advantage_Over Record,rest_advantage_Over %,rest_advantage_Under %,rest_advantage_Total +/-,rest_disadvantage_Over Record,rest_disadvantage_Over %,rest_disadvantage_Under %,rest_disadvantage_Total +/-,two_three_days_off_Over Record,two_three_days_off_Over %,two_three_days_off_Under %,two_three_days_off_Total +/-
Milwaukee,928-861-21,51.9%,48.1%,0.8,474-451-17,51.2%,48.8%,0.7,28-27-0,50.9%,49.1%,-0.6,461-415-14,52.6%,47.4%,0.9,455-436-7,51.1%,48.9%,0.8,445-440-12,50.3%,49.7%,0.3,430-396-11,52.1%,47.9%,0.7,488-459-10,51.5%,48.5%,0.9,473-410-9,53.6%,46.4%,1.4,192-197-4,49.4%,50.6%,-0.3,502-459-11,52.2%,47.8%,1.0,249-212-3,54.0%,46.0%,1.6,205-198-1,50.9%,49.1%,0.3,206-178-6,53.7%,46.4%,1.7
Denver,938-882-21,51.5%,48.5%,0.9,470-443-15,51.5%,48.5%,0.8,28-39-0,41.8%,58.2%,-4.2,423-342-11,55.3%,44.7%,2.5,509-524-10,49.3%,50.7%,0.0,447-449-8,49.9%,50.1%,0.3,375-361-9,51.0%,49.1%,0.2,556-519-12,51.7%,48.3%,1.3,473-424-12,52.7%,47.3%,1.3,188-166-2,53.1%,46.9%,1.2,564-501-16,53.0%,47.0%,1.3,221-225-4,49.6%,50.5%,0.6,247-214-2,53.6%,46.4%,1.4,158-176-3,47.3%,52.7%,0.3
Washington,892-845-32,51.4%,48.7%,1.1,484-448-18,51.9%,48.1%,1.4,28-26-2,51.9%,48.2%,2.6,504-483-19,51.1%,48.9%,0.8,379-349-13,52.1%,47.9%,1.6,439-431-12,50.5%,49.5%,0.7,552-530-21,51.0%,49.0%,1.0,336-313-11,51.8%,48.2%,1.2,450-408-20,52.5%,47.6%,1.6,206-170-6,54.8%,45.2%,2.1,469-500-20,48.4%,51.6%,0.5,227-196-9,53.7%,46.3%,1.2,181-201-5,47.4%,52.6%,0.2,189-149-4,55.9%,44.1%,1.2
Phoenix,919-876-21,51.2%,48.8%,0.4,452-447-11,50.3%,49.7%,-0.1,31-34-2,47.7%,52.3%,-1.8,406-435-12,48.3%,51.7%,-0.4,505-427-9,54.2%,45.8%,1.3,452-435-12,51.0%,49.0%,0.8,402-410-11,49.5%,50.5%,0.2,513-462-10,52.6%,47.4%,0.6,459-438-9,51.2%,48.8%,0.0,178-171-7,51.0%,49.0%,0.1,538-525-9,50.6%,49.4%,0.5,255-224-3,53.2%,46.8%,1.0,212-205-7,50.8%,49.2%,1.0,172-146-3,54.1%,45.9%,0.9
Minnesota,881-840-22,51.2%,48.8%,0.5,468-445-11,51.3%,48.7%,0.1,26-29-1,47.3%,52.7%,0.3,516-473-19,52.2%,47.8%,1.1,356-354-3,50.1%,49.9%,-0.4,456-402-12,53.2%,46.9%,1.9,517-489-16,51.4%,48.6%,0.9,359-347-6,50.9%,49.2%,-0.1,423-438-10,49.1%,50.9%,-1.0,192-168-6,53.3%,46.7%,1.1,502-484-12,50.9%,49.1%,0.2,200-215-6,48.2%,51.8%,0.1,213-180-5,54.2%,45.8%,1.8,161-159-3,50.3%,49.7%,0.7
Atlanta,921-880-17,51.1%,48.9%,1.0,515-474-10,52.1%,47.9%,1.0,29-25-2,53.7%,46.3%,2.6,491-453-10,52.0%,48.0%,1.3,417-418-7,49.9%,50.1%,0.6,449-451-9,49.9%,50.1%,0.3,513-490-9,51.2%,48.9%,0.7,403-386-8,51.1%,48.9%,1.2,470-429-8,52.3%,47.7%,1.6,200-193-3,50.9%,49.1%,-0.2,522-482-9,52.0%,48.0%,1.4,211-195-4,52.0%,48.0%,2.2,195-211-3,48.0%,52.0%,-0.2,170-180-3,48.6%,51.4%,0.9
Sacramento,868-831-31,51.1%,48.9%,0.8,433-411-15,51.3%,48.7%,0.9,35-25-0,58.3%,41.7%,3.1,506-462-16,52.3%,47.7%,1.6,353-356-15,49.8%,50.2%,-0.2,407-438-18,48.2%,51.8%,-0.3,530-525-22,50.2%,49.8%,0.6,332-304-9,52.2%,47.8%,1.1,456-389-13,54.0%,46.0%,1.9,173-190-6,47.7%,52.3%,-0.8,502-456-22,52.4%,47.6%,1.1,233-189-6,55.2%,44.8%,2.4,202-231-10,46.7%,53.4%,-0.8,158-160-3,49.7%,50.3%,1.2
Toronto,905-881-16,50.7%,49.3%,0.9,485-497-14,49.4%,50.6%,0.5,23-37-0,38.3%,61.7%,-3.1,443-438-6,50.3%,49.7%,0.6,452-431-10,51.2%,48.8%,1.3,452-428-9,51.4%,48.6%,0.6,454-438-7,50.9%,49.1%,1.4,446-436-9,50.6%,49.4%,0.4,446-440-7,50.3%,49.7%,1.3,188-166-2,53.1%,46.9%,1.2,522-541-11,49.1%,50.9%,0.8,196-187-1,51.2%,48.8%,0.6,224-197-1,53.2%,46.8%,2.1,172-137-3,55.7%,44.3%,1.6
Utah,894-878-24,50.5%,49.6%,0.6,465-437-15,51.6%,48.5%,0.4,29-28-1,50.9%,49.1%,0.8,419-407-10,50.7%,49.3%,0.6,465-460-13,50.3%,49.7%,0.7,468-411-13,53.2%,46.8%,1.5,419-381-14,52.4%,47.6%,1.2,469-492-10,48.8%,51.2%,0.1,416-461-11,47.4%,52.6%,-0.3,190-176-3,51.9%,48.1%,1.4,506-505-18,50.1%,50.0%,0.0,221-214-4,50.8%,49.2%,1.4,208-227-5,47.8%,52.2%,0.3,169-169-2,50.0%,50.0%,1.9
Portland,884-877-21,50.2%,49.8%,0.6,443-440-5,50.2%,49.8%,0.6,36-26-0,58.1%,41.9%,4.1,446-449-8,49.8%,50.2%,0.5,427-417-13,50.6%,49.4%,0.6,432-443-10,49.4%,50.6%,-0.5,481-465-9,50.9%,49.2%,0.2,400-403-12,49.8%,50.2%,1.1,441-430-11,50.6%,49.4%,1.5,169-190-5,47.1%,52.9%,-0.7,514-508-14,50.3%,49.7%,0.5,237-199-8,54.4%,45.6%,2.4,204-238-8,46.2%,53.9%,-1.1,165-153-2,51.9%,48.1%,1.6
