,Rank,Hotness Score,Time,Location,Away Team Rank,Away Team,Home Team Rank,Home Team,Away Team DraftKings,Home Team DraftKings,Away Team all_games_ATS Record,Away Team all_games_Cover %,Away Team all_games_MOV,Away Team all_games_ATS +/-,Away Team is_away_ATS Record,Away Team is_away_Cover %,Away Team is_away_MOV,Away Team is_away_ATS +/-,Away Team is_fav_ATS Record,Away Team is_fav_Cover %,Away Team is_fav_MOV,Away Team is_fav_ATS +/-,Home Team all_games_ATS Record,Home Team all_games_Cover %,Home Team all_games_MOV,Home Team all_games_ATS +/-,Home Team is_home_ATS Record,Home Team is_home_Cover %,Home Team is_home_MOV,Home Team is_home_ATS +/-,Home Team is_dog_ATS Record,Home Team is_dog_Cover %,Home Team is_dog_MOV,Home Team is_dog_ATS +/-
0,1,94.9,3:00 PM,Simon Skjodt Assembly Hall,59,S Carolina,31,Indiana,South Carolina,Indiana,2-1-0,66.7%,15.0,-0.2,,,,,2-1-0,66.7%,15.0,-0.2,1-1-0,50.0%,27.0,0.0,1-1-0,50.0%,27.0,0.0,,,,
1,2,93.7,12:00 PM,Cintas Center,65,Wake Forest,51,Xavier,Wake Forest,Xavier,1-3-0,25.0%,9.5,-12.6,,,,,0-3-0,0.0%,12.0,-18.2,1-2-0,33.3%,20.0,-7.5,1-2-0,33.3%,20.0,-7.5,,,,
2,3,92.5,4:00 PM,DeSoto Civic Center,76,Colorado St,53,Mississippi,Colorado State,Ole Miss,1-2-0,33.3%,14.3,-6.3,,,,,1-2-0,33.3%,14.3,-6.3,0-2-1,0.0%,14.0,-9.8,0-2-1,0.0%,14.0,-9.8,,,,
3,4,87.7,4:00 PM,Williams Arena,101,Yale,77,Minnesota,Yale,Minnesota,2-1-0,66.7%,15.0,+2.2,1-1-0,50.0%,-10.0,-5.8,1-1-0,50.0%,7.0,0.0,1-2-0,33.3%,8.0,-4.8,1-2-0,33.3%,8.0,-4.8,,,,
4,5,87.6,10:00 PM,Lawlor Events Center,116,Santa Clara,38,Nevada,Santa Clara,Nevada,1-2-0,33.3%,-2.7,-10.3,,,,,1-2-0,33.3%,-2.7,-10.3,3-0-0,100.0%,18.7,+7.3,3-0-0,100.0%,18.7,+7.3,,,,
5,6,86.3,12:00 PM,Cameron Indoor Stadium,140,Wofford,4,Duke,,Duke,0-2-0,0.0%,14.0,-5.8,0-2-0,0.0%,-6.0,-5.8,0-1-0,0.0%,-3.0,-8.0,2-1-0,66.7%,23.7,-0.3,2-0-0,100.0%,38.0,+4.8,,,,
6,7,85.6,6:00 PM,TD Arena,74,Fla Atlantic,117,Liberty,Florida Atlantic,Liberty,1-2-0,33.3%,18.5,+7.8,0-2-0,0.0%,-4.5,-1.3,1-0-0,100.0%,33.0,26.0,2-0-0,100.0%,19.3,+6.3,0-0-0,0.0%,36.0,--,1-0-0,100.0%,2.0,3.0
7,7,85.6,1:00 PM,Capital One Arena,71,Notre Dame,125,Georgetown,Notre Dame,Georgetown,1-1-0,50.0%,19.0,-6.0,,,,,1-1-0,50.0%,19.0,-6.0,0-2-0,0.0%,10.0,-5.0,0-2-0,0.0%,10.0,-5.0,,,,
8,9,83.3,4:00 PM,Murphy Center,92,Murray St,123,Middle Tenn,Murray State,Middle Tennessee,0-1-0,0.0%,30.5,-2.0,0-1-0,0.0%,-15.0,-2.0,,,,,2-0-0,100.0%,28.7,+16.5,1-0-0,100.0%,31.5,+6.0,1-0-0,100.0%,23.0,27.0
9,10,79.8,7:00 PM,William D. Mullins Memorial Center,142,Hofstra,108,U Mass,Hofstra,Massachusetts,2-0-0,100.0%,14.0,+7.8,,,,,1-0-0,100.0%,14.0,9.5,2-1-0,66.7%,4.3,+2.3,1-0-0,100.0%,29.0,+12.5,1-1-0,50.0%,-8.0,-2.8
10,11,79.3,7:00 PM,CHI Health Center Omaha,186,Kansas City,34,Creighton,,Creighton,1-0-0,100.0%,28.3,+2.5,1-0-0,100.0%,-26.0,2.5,,,,,0-3-0,0.0%,24.7,-8.8,0-3-0,0.0%,24.7,-8.8,,,,
11,12,78.6,4:00 PM,Williams Arena at Minges Coliseum,88,Geo Mason,166,E Carolina,George Mason,East Carolina,2-2-0,50.0%,8.8,+0.8,0-1-0,0.0%,-19.0,-5.5,2-1-0,66.7%,18.0,2.8,0-1-0,0.0%,22.7,-8.5,0-1-0,0.0%,22.7,-8.5,,,,
12,13,76.5,8:00 PM,TU Arena,148,James Mad,129,Towson,James Madison,Towson,1-1-0,50.0%,14.7,-5.8,0-1-0,0.0%,-14.0,-18.5,1-1-0,50.0%,-2.0,-5.8,1-1-0,50.0%,7.3,-7.5,0-0-0,0.0%,55.0,--,1-1-0,50.0%,-16.5,-7.5
13,14,75.8,2:00 PM,Daskalakis Athletic Center,132,La Salle,153,Drexel,La Salle,Drexel,3-0-0,100.0%,16.7,+12.0,,,,,3-0-0,100.0%,16.7,12.0,2-0-0,100.0%,20.3,+11.8,1-0-0,100.0%,34.5,+20.5,2-0-0,100.0%,4.5,11.8
14,15,75.7,8:00 PM,Chaifetz Arena,158,Loyola Mymt,127,Saint Louis,Loyola Maryland,Saint Louis,0-1-0,0.0%,14.0,-14.0,,,,,,,,,0-1-0,0.0%,22.0,-5.0,0-0-0,0.0%,51.0,--,0-1-0,0.0%,-7.0,-5.0
15,16,75.1,3:00 PM,First National Bank Arena,177,Ste F Austin,102,Arkansas St,SFA,Arkansas State,0-1-0,0.0%,12.7,-11.0,0-1-0,0.0%,-15.0,-11.0,,,,,2-1-0,66.7%,4.3,+6.0,1-1-0,50.0%,11.0,+0.8,1-0-0,100.0%,-9.0,16.5
16,17,74.7,1:00 PM,JMA Wireless Dome,187,Youngs St,98,Syracuse,Youngstown State,Syracuse,1-1-0,50.0%,-7.0,-0.3,1-1-0,50.0%,-7.0,-0.3,1-0-0,100.0%,20.0,14.5,0-2-0,0.0%,3.0,-14.0,0-2-0,0.0%,3.0,-14.0,,,,
