Rank,Hotness Score,Time,Location,Away Team Rank,Away Team,Home Team Rank,Home Team,Away Team DraftKings,Away Team Covers,Home Team DraftKings,Home Team Covers,Away Team Spread,Away Team Odds,Away Team Underdog,Home Team Spread,Home Team Odds,Home Team Underdog,Away Team Team,Away Team all_games_ATS Record,Away Team all_games_Cover %,Away Team all_games_MOV,Away Team all_games_ATS +/-,Away Team is_away_ATS Record,Away Team is_away_Cover %,Away Team is_away_MOV,Away Team is_away_ATS +/-,Home Team Team,Home Team all_games_ATS Record,Home Team all_games_Cover %,Home Team all_games_MOV,Home Team all_games_ATS +/-,Home Team is_home_ATS Record,Home Team is_home_Cover %,Home Team is_home_MOV,Home Team is_home_ATS +/-,Underdog is_dog Team,Underdog is_dog Spread,Underdog is_dog Odds,Underdog is_dog ATS Record,Underdog is_dog Cover %,Underdog is_dog MOV,Underdog is_dog ATS +/-,Favorite is_fav Team,Favorite is_fav Spread,Favorite is_fav Odds,Favorite is_fav ATS Record,Favorite is_fav Cover %,Favorite is_fav MOV,Favorite is_fav ATS +/-
1,94.9,3:00 PM,Simon Skjodt Assembly Hall,59,S Carolina,31,Indiana,South Carolina,South Carolina,Indiana,Indiana,N/A,N/A,False,N/A,N/A,False,S Carolina,384-393-10,49.4%,1.4,-0.3,153-139-1,52.4%,-5.6,0.2,Indiana,412-421-16,49.5%,4.6,-0.1,232-187-4,55.4%,11.6,1.2,Indiana,N/A,N/A,149-169-6,46.9%,-6.8,-0.2,S Carolina,N/A,N/A,174-192-6,47.5%,6.9,-1.0
2,93.7,12:00 PM,Cintas Center,65,Wake Forest,51,Xavier,Wake Forest,Wake Forest,Xavier,Xavier,N/A,N/A,False,N/A,N/A,False,Wake Forest,371-404-16,47.9%,1.9,-0.1,137-164-3,45.5%,-5.4,-0.4,Xavier,439-399-25,52.4%,7.1,0.6,209-187-10,52.8%,12.9,1.2,Xavier,N/A,N/A,123-102-9,54.7%,-2.8,1.7,Wake Forest,N/A,N/A,188-191-12,49.6%,8.9,0.2
3,92.5,4:00 PM,DeSoto Civic Center,76,Colorado St,53,Mississippi,Colorado State,Colorado St.,Ole Miss,Mississippi,N/A,N/A,False,N/A,N/A,False,Colorado St,353-376-18,48.4%,2.7,0.2,148-155-7,48.8%,-4.7,-0.3,Mississippi,387-387-14,50.0%,3.3,-0.6,188-179-9,51.2%,9.6,-0.2,Mississippi,N/A,N/A,174-174-4,50.0%,-6.4,-0.3,Colorado St,N/A,N/A,188-168-9,52.8%,8.6,0.9
4,87.7,4:00 PM,Williams Arena,101,Yale,77,Minnesota,Yale,Yale,Minnesota,Minnesota,N/A,N/A,False,N/A,N/A,False,Yale,309-248-16,55.5%,2.2,1.1,174-129-12,57.4%,-2.8,1.7,Minnesota,383-410-16,48.3%,2.0,-0.4,210-190-10,52.5%,8.3,0.2,Minnesota,N/A,N/A,187-217-7,46.3%,-7.0,-0.2,Yale,N/A,N/A,163-127-6,56.2%,7.8,0.8
5,87.6,10:00 PM,Lawlor Events Center,116,Santa Clara,38,Nevada,Santa Clara,Santa Clara,Nevada,Nevada,N/A,N/A,False,N/A,N/A,False,Santa Clara,382-369-19,50.9%,0.3,-0.4,161-142-6,53.1%,-5.0,0.2,Nevada,391-325-16,54.6%,3.7,0.9,180-147-7,55.1%,9.0,0.8,Nevada,N/A,N/A,132-117-6,53.0%,-5.5,1.1,Santa Clara,N/A,N/A,162-177-6,47.8%,6.6,-1.1
6,86.3,12:00 PM,Cameron Indoor Stadium,140,Wofford,4,Duke,,Wofford,Duke,Duke,N/A,N/A,False,N/A,N/A,False,Wofford,338-309-9,52.2%,2.4,0.4,184-157-7,54.0%,-5.2,0.8,Duke,480-435-19,52.5%,13.9,0.5,225-184-13,55.0%,20.4,1.2,Duke,N/A,N/A,34-31-2,52.3%,-1.1,2.9,Wofford,N/A,N/A,159-153-6,51.0%,7.1,-0.3
7,85.6,6:00 PM,TD Arena,74,Fla Atlantic,117,Liberty,Florida Atlantic,Florida Atlantic,Liberty,Liberty,N/A,N/A,False,N/A,N/A,False,Fla Atlantic,241-256-10,48.5%,-1.7,0.3,110-127-8,46.4%,-7.8,-0.4,Liberty,136-138-5,49.6%,1.8,-0.5,64-55-3,53.8%,9.3,-0.1,Liberty,N/A,N/A,38-44-2,46.3%,-9.9,-1.2,Fla Atlantic,N/A,N/A,98-113-4,46.5%,6.5,0.0
7,85.6,1:00 PM,Capital One Arena,71,Notre Dame,125,Georgetown,Notre Dame,Notre Dame,Georgetown,Georgetown,N/A,N/A,False,N/A,N/A,False,Notre Dame,386-397-17,49.3%,5.1,0.1,144-133-6,52.0%,-2.6,0.9,Georgetown,370-401-16,48.0%,3.9,-0.3,155-211-8,42.4%,8.6,-1.6,Georgetown,N/A,N/A,168-165-7,50.5%,-6.2,0.6,Notre Dame,N/A,N/A,200-241-13,45.4%,8.1,-1.1
9,83.3,4:00 PM,Murphy Center,92,Murray St,123,Middle Tenn,Murray State,Murray St.,Middle Tennessee,Middle Tennessee St.,N/A,N/A,False,N/A,N/A,False,Murray St,330-339-19,49.3%,7.9,0.4,148-150-10,49.7%,2.3,0.5,Middle Tenn,357-337-12,51.4%,2.6,0.3,166-131-5,55.9%,9.2,1.1,Middle Tenn,N/A,N/A,163-164-4,49.9%,-7.0,0.1,Murray St,N/A,N/A,241-235-15,50.6%,10.0,0.5
10,79.8,7:00 PM,William D. Mullins Memorial Center,142,Hofstra,108,U Mass,Hofstra,Hofstra,Massachusetts,Massachusetts,N/A,N/A,False,N/A,N/A,False,Hofstra,338-314-20,51.8%,2.9,0.5,170-131-11,56.5%,-0.7,1.5,U Mass,371-389-12,48.8%,0.4,-0.3,165-183-6,47.4%,4.7,-0.7,U Mass,N/A,N/A,192-186-4,50.8%,-6.3,0.3,Hofstra,N/A,N/A,180-181-4,49.9%,6.6,-0.1
