Rank,Hotness Score,Time,Location,Away Team Rank,Away Team,Home Team Rank,Home Team,Away Team DraftKings,Away Team Covers,Home Team DraftKings,Home Team Covers,Away Team Spread,Away Team Odds,Away Team Underdog,Home Team Spread,Home Team Odds,Home Team Underdog,Away Team Team,Away Team all_games_ATS Record,Away Team all_games_Cover %,Away Team all_games_MOV,Away Team all_games_ATS +/-,Away Team is_away_ATS Record,Away Team is_away_Cover %,Away Team is_away_MOV,Away Team is_away_ATS +/-,Home Team Team,Home Team all_games_ATS Record,Home Team all_games_Cover %,Home Team all_games_MOV,Home Team all_games_ATS +/-,Home Team is_home_ATS Record,Home Team is_home_Cover %,Home Team is_home_MOV,Home Team is_home_ATS +/-,Underdog is_dog Team,Underdog is_dog Spread,Underdog is_dog Odds,Underdog is_dog ATS Record,Underdog is_dog Cover %,Underdog is_dog MOV,Underdog is_dog ATS +/-,Favorite is_fav Team,Favorite is_fav Spread,Favorite is_fav Odds,Favorite is_fav ATS Record,Favorite is_fav Cover %,Favorite is_fav MOV,Favorite is_fav ATS +/-
1,94.9,3:00 PM,Simon Skjodt Assembly Hall,59,S Carolina,31,Indiana,South Carolina,South Carolina,Indiana,Indiana,N/A,N/A,False,N/A,N/A,False,S Carolina,2-1-0,66.7%,15.0,-0.2,0,0,0.0,0.0,Indiana,1-1-0,50.0%,27.0,0.0,1-1-0,50.0%,27.0,0.0,Indiana,N/A,N/A,0,0,0.0,0.0,S Carolina,N/A,N/A,2-1-0,66.7%,15.0,-0.2
2,93.7,12:00 PM,Cintas Center,65,Wake Forest,51,Xavier,Wake Forest,Wake Forest,Xavier,Xavier,N/A,N/A,False,N/A,N/A,False,Wake Forest,1-3-0,25.0%,9.5,-12.6,0,0,0.0,0.0,Xavier,1-2-0,33.3%,20.0,-7.5,1-2-0,33.3%,20.0,-7.5,Xavier,N/A,N/A,0,0,0.0,0.0,Wake Forest,N/A,N/A,0-3-0,0.0%,12.0,-18.2
3,92.5,4:00 PM,DeSoto Civic Center,76,Colorado St,53,Mississippi,Colorado State,Colorado St.,Ole Miss,Mississippi,N/A,N/A,False,N/A,N/A,False,Colorado St,1-2-0,33.3%,14.3,-6.3,0,0,0.0,0.0,Mississippi,0-2-1,0.0%,14.0,-9.8,0-2-1,0.0%,14.0,-9.8,Mississippi,N/A,N/A,0,0,0.0,0.0,Colorado St,N/A,N/A,1-2-0,33.3%,14.3,-6.3
4,87.7,4:00 PM,Williams Arena,101,Yale,77,Minnesota,Yale,Yale,Minnesota,Minnesota,N/A,N/A,False,N/A,N/A,False,Yale,2-1-0,66.7%,15.0,+2.2,1-1-0,50.0%,-10.0,-5.8,Minnesota,1-2-0,33.3%,8.0,-4.8,1-2-0,33.3%,8.0,-4.8,Minnesota,N/A,N/A,0,0,0.0,0.0,Yale,N/A,N/A,1-1-0,50.0%,7.0,0.0
5,87.6,10:00 PM,Lawlor Events Center,116,Santa Clara,38,Nevada,Santa Clara,Santa Clara,Nevada,Nevada,N/A,N/A,False,N/A,N/A,False,Santa Clara,1-2-0,33.3%,-2.7,-10.3,0,0,0.0,0.0,Nevada,3-0-0,100.0%,18.7,+7.3,3-0-0,100.0%,18.7,+7.3,Nevada,N/A,N/A,0,0,0.0,0.0,Santa Clara,N/A,N/A,1-2-0,33.3%,-2.7,-10.3
6,86.3,12:00 PM,Cameron Indoor Stadium,140,Wofford,4,Duke,,Wofford,Duke,Duke,N/A,N/A,False,N/A,N/A,False,Wofford,0-2-0,0.0%,14.0,-5.8,0-2-0,0.0%,-6.0,-5.8,Duke,2-1-0,66.7%,23.7,-0.3,2-0-0,100.0%,38.0,+4.8,Duke,N/A,N/A,0,0,0.0,0.0,Wofford,N/A,N/A,0-1-0,0.0%,-3.0,-8.0
7,85.6,6:00 PM,TD Arena,74,Fla Atlantic,117,Liberty,Florida Atlantic,Florida Atlantic,Liberty,Liberty,N/A,N/A,False,N/A,N/A,False,Fla Atlantic,1-2-0,33.3%,18.5,+7.8,0-2-0,0.0%,-4.5,-1.3,Liberty,2-0-0,100.0%,19.3,+6.3,0-0-0,0.0%,36.0,--,Liberty,N/A,N/A,1-0-0,100.0%,2.0,3.0,Fla Atlantic,N/A,N/A,1-0-0,100.0%,33.0,26.0
7,85.6,1:00 PM,Capital One Arena,71,Notre Dame,125,Georgetown,Notre Dame,Notre Dame,Georgetown,Georgetown,N/A,N/A,False,N/A,N/A,False,Notre Dame,1-1-0,50.0%,19.0,-6.0,0,0,0.0,0.0,Georgetown,0-2-0,0.0%,10.0,-5.0,0-2-0,0.0%,10.0,-5.0,Georgetown,N/A,N/A,0,0,0.0,0.0,Notre Dame,N/A,N/A,1-1-0,50.0%,19.0,-6.0
9,83.3,4:00 PM,Murphy Center,92,Murray St,123,Middle Tenn,Murray State,Murray St.,Middle Tennessee,Middle Tennessee St.,N/A,N/A,False,N/A,N/A,False,Murray St,0-1-0,0.0%,30.5,-2.0,0-1-0,0.0%,-15.0,-2.0,Middle Tenn,2-0-0,100.0%,28.7,+16.5,1-0-0,100.0%,31.5,+6.0,Middle Tenn,N/A,N/A,1-0-0,100.0%,23.0,27.0,Murray St,N/A,N/A,0,0,0.0,0.0
10,79.8,7:00 PM,William D. Mullins Memorial Center,142,Hofstra,108,U Mass,Hofstra,Hofstra,Massachusetts,Massachusetts,N/A,N/A,False,N/A,N/A,False,Hofstra,2-0-0,100.0%,14.0,+7.8,0,0,0.0,0.0,U Mass,2-1-0,66.7%,4.3,+2.3,1-0-0,100.0%,29.0,+12.5,U Mass,N/A,N/A,1-1-0,50.0%,-8.0,-2.8,Hofstra,N/A,N/A,1-0-0,100.0%,14.0,9.5
