Away Team Rank_current_season,Home Team Rank_current_season,Away Team Spread_current_season,Away Team Implied Odds_current_season,Home Team Spread_current_season,Home Team Implied Odds_current_season,Away Team all_games_Sample Size_current_season,Away Team all_games_Cover %_current_season,Away Team all_games_MOV_current_season,Away Team all_games_ATS +/-_current_season,Away Team is_away_Sample Size_current_season,Away Team is_away_Cover %_current_season,Away Team is_away_MOV_current_season,Away Team is_away_ATS +/-_current_season,Home Team all_games_Sample Size_current_season,Home Team all_games_Cover %_current_season,Home Team all_games_MOV_current_season,Home Team all_games_ATS +/-_current_season,Home Team is_home_Sample Size_current_season,Home Team is_home_Cover %_current_season,Home Team is_home_MOV_current_season,Home Team is_home_ATS +/-_current_season,Away Team Spread_all_time,Home Team Spread_all_time,Away Team all_games_Sample Size_all_time,Away Team all_games_Cover %_all_time,Away Team all_games_MOV_all_time,Away Team all_games_ATS +/-_all_time,Away Team is_away_Sample Size_all_time,Away Team is_away_Cover %_all_time,Away Team is_away_MOV_all_time,Away Team is_away_ATS +/-_all_time,Home Team all_games_Sample Size_all_time,Home Team all_games_Cover %_all_time,Home Team all_games_MOV_all_time,Home Team all_games_ATS +/-_all_time,Home Team is_home_Sample Size_all_time,Home Team is_home_Cover %_all_time,Home Team is_home_MOV_all_time,Home Team is_home_ATS +/-_all_time,Away Team Spread_last_10_seasons,Home Team Spread_last_10_seasons,Away Team all_games_Sample Size_last_10_seasons,Away Team all_games_Cover %_last_10_seasons,Away Team all_games_MOV_last_10_seasons,Away Team all_games_ATS +/-_last_10_seasons,Away Team is_away_Sample Size_last_10_seasons,Away Team is_away_Cover %_last_10_seasons,Away Team is_away_MOV_last_10_seasons,Away Team is_away_ATS +/-_last_10_seasons,Home Team all_games_Sample Size_last_10_seasons,Home Team all_games_Cover %_last_10_seasons,Home Team all_games_MOV_last_10_seasons,Home Team all_games_ATS +/-_last_10_seasons,Home Team is_home_Sample Size_last_10_seasons,Home Team is_home_Cover %_last_10_seasons,Home Team is_home_MOV_last_10_seasons,Home Team is_home_ATS +/-_last_10_seasons,Away Team_current_season_map,Home Team_current_season_map,Home Cover
12,20,-1.0,0.5192,1.0,0.5283,10,0.556,4.5,-0.4,6,0.667,4.7,1.5,10,0.5,-2.1,0.6,5,0.6,4.0,3.4,-1.0,1.0,1728,0.494,-2.4,-0.4,862,0.52,-4.9,0.0,1904,0.522,3.7,0.5,943,0.54,7.0,0.8,-1.0,1.0,819,0.504,-2.4,-0.3,407,0.547,-3.6,0.7,856,0.507,1.0,0.2,416,0.518,3.8,0.4,25,26,True
17,1,7.0,0.5349,-7.0,0.5122,10,0.6,2.2,4.0,3,1.0,7.3,15.0,10,0.7,12.8,4.7,5,0.6,12.0,2.1,7.0,-7.0,1816,0.489,0.8,-0.1,894,0.496,-1.9,0.2,1833,0.525,0.9,0.3,909,0.523,4.1,0.4,7.0,-7.0,888,0.506,2.9,0.2,431,0.528,1.0,0.9,863,0.523,1.1,0.3,423,0.528,4.1,1.0,12,20,False
3,26,-8.0,0.5283,8.0,0.5192,11,0.818,12.5,6.8,5,1.0,13.0,9.5,10,0.4,-5.5,-0.5,4,0.25,-10.3,-5.9,-8.0,8.0,1861,0.492,0.2,-0.3,928,0.489,-2.8,-0.5,1789,0.499,-0.4,0.1,893,0.482,1.6,-0.7,-8.0,8.0,904,0.473,0.6,-0.4,449,0.463,-1.9,-0.5,830,0.488,-1.9,-0.4,414,0.477,-0.6,-1.4,5,4,True
27,21,-1.5,0.5238,1.5,0.5238,10,0.8,-1.1,5.9,5,0.8,-3.0,8.2,10,0.2,-10.3,-10.0,5,0.4,-4.6,-3.3,-1.5,1.5,1789,0.491,-2.1,-0.4,887,0.509,-4.2,0.2,1754,0.501,-1.0,0.3,873,0.502,1.4,-0.1,-1.5,1.5,846,0.497,-2.0,0.0,415,0.532,-3.5,0.6,838,0.499,-0.4,0.4,415,0.501,1.5,0.1,2,18,False
30,10,13.0,0.5192,-13.0,0.5283,8,0.25,-13.5,-4.1,3,0.333,-16.3,-7.5,10,0.5,3.9,2.4,5,0.6,9.6,5.4,13.0,-13.0,1767,0.475,-2.4,-0.3,880,0.484,-5.5,-0.6,1819,0.495,1.3,0.2,901,0.485,4.1,0.0,13.0,-13.0,844,0.476,-2.1,-0.5,418,0.466,-5.0,-1.2,883,0.488,0.3,-0.3,434,0.487,2.8,-0.1,29,10,True
8,4,3.0,0.5283,-3.0,0.5192,10,0.444,4.0,-0.8,3,0.5,-2.7,-1.8,10,0.8,11.9,10.6,3,0.667,8.3,4.8,3.0,-3.0,1862,0.515,2.1,0.1,925,0.546,-0.6,0.4,1862,0.518,2.3,0.3,933,0.536,5.7,0.7,3.0,-3.0,876,0.513,0.6,0.4,430,0.543,-1.5,0.9,946,0.509,5.3,0.1,476,0.526,8.1,0.5,6,9,True
5,20,-1.5,0.5192,1.5,0.5283,9,0.444,3.2,0.1,6,0.333,-2.0,-4.4,9,0.222,-7.6,-6.1,4,0.0,-10.0,-11.5,-1.5,1.5,1743,0.507,-2.1,0.1,871,0.523,-4.3,0.7,1799,0.504,-1.0,0.1,890,0.509,1.6,-0.1,-1.5,1.5,832,0.504,-2.4,0.4,415,0.526,-4.1,0.9,878,0.523,0.0,0.4,431,0.558,2.9,0.8,19,22,False
18,23,-1.5,0.5283,1.5,0.5192,9,0.444,-0.9,-1.9,5,0.8,2.6,2.6,11,0.546,-2.5,2.8,6,0.5,-5.2,0.4,-1.5,1.5,1944,0.513,1.8,0.1,953,0.53,-0.9,0.3,1802,0.492,-1.1,-0.2,901,0.492,1.6,-0.2,-1.5,1.5,904,0.514,0.8,0.2,437,0.546,-1.3,0.8,813,0.49,-3.6,-0.1,404,0.501,-1.0,0.2,15,8,True
21,12,7.0,0.5283,-7.0,0.5192,10,0.6,-3.0,2.8,4,0.75,-5.8,1.6,11,0.364,1.7,1.0,4,0.75,18.3,9.0,7.0,-7.0,1624,0.493,-3.5,-0.1,814,0.494,-6.4,-0.2,1778,0.496,-1.5,-0.1,874,0.481,1.2,-0.4,7.0,-7.0,812,0.485,-2.6,-0.3,408,0.491,-4.8,-0.2,829,0.504,-3.6,-0.1,400,0.48,-1.4,-0.4,3,21,True
27,15,7.5,0.5192,-7.5,0.5283,11,0.727,-7.5,1.5,6,0.667,-9.2,0.9,10,0.3,-5.1,-6.3,4,0.25,1.3,-2.9,7.5,-7.5,1801,0.505,0.4,0.2,888,0.518,-2.3,0.5,1808,0.49,0.2,-0.5,890,0.478,2.9,-0.5,7.5,-7.5,897,0.502,2.3,0.2,436,0.506,0.0,0.4,901,0.496,2.7,-0.5,438,0.493,5.4,-0.1,27,16,True
