Rank,Hotness Score,Time,Location,Away Team Rank,Away Team,Home Team Rank,Home Team,Away Team DraftKings,Away Team Covers,Home Team DraftKings,Home Team Covers,Away Team Spread,Away Team Odds,Away Team Underdog,Home Team Spread,Home Team Odds,Home Team Underdog,Away Team Team,Away Team all_games_ATS Record,Away Team all_games_Cover %,Away Team all_games_MOV,Away Team all_games_ATS +/-,Away Team is_away_ATS Record,Away Team is_away_Cover %,Away Team is_away_MOV,Away Team is_away_ATS +/-,Home Team Team,Home Team all_games_ATS Record,Home Team all_games_Cover %,Home Team all_games_MOV,Home Team all_games_ATS +/-,Home Team is_home_ATS Record,Home Team is_home_Cover %,Home Team is_home_MOV,Home Team is_home_ATS +/-,Underdog is_dog Team,Underdog is_dog Spread,Underdog is_dog Odds,Underdog is_dog ATS Record,Underdog is_dog Cover %,Underdog is_dog MOV,Underdog is_dog ATS +/-,Favorite is_fav Team,Favorite is_fav Spread,Favorite is_fav Odds,Favorite is_fav ATS Record,Favorite is_fav Cover %,Favorite is_fav MOV,Favorite is_fav ATS +/-
1,79.3,10:00 PM,Chase Center,8,Dallas,4,Golden State,DAL Mavericks,Dallas,GS Warriors,Golden State,+3,−112,True,-3,−108,False,Dallas,938-885-39,51.5%,2.1,0.1,497-414-14,54.6%,-0.6,0.4,Golden State,944-880-38,51.8%,2.3,0.3,490-424-19,53.6%,5.7,0.7,Dallas,+3,−112,383-317-10,54.7%,-3.8,1.3,Golden State,-3,−108,548-521-22,51.3%,7.6,0.1
2,70.9,7:30 PM,Wells Fargo Center,5,New York,20,Philadelphia,NY Knicks,New York,PHI 76ers,Philadelphia,-1.5,−108,False,+1.5,−112,True,New York,872-848-23,50.7%,-2.1,0.1,448-409-14,52.3%,-4.3,0.7,Philadelphia,892-877-30,50.4%,-1.0,0.1,444-429-17,50.9%,1.6,-0.1,Philadelphia,+1.5,−112,486-487-14,50.0%,-6.3,0.4,New York,-1.5,−108,320-300-5,51.6%,4.4,-0.5
3,69.2,7:00 PM,Little Caesars Arena,18,Miami,23,Detroit,MIA Heat,Miami,DET Pistons,Detroit,-1.5,−112,False,+1.5,−108,True,Miami,975-926-43,51.3%,1.8,0.1,494-439-20,53.0%,-0.9,0.3,Detroit,867-895-40,49.2%,-1.1,-0.2,435-450-16,49.2%,1.6,-0.2,Detroit,+1.5,−108,473-496-24,48.8%,-6.1,0.3,Miami,-1.5,−112,597-574-26,51.0%,5.8,-0.4
4,67.8,7:00 PM,Kia Center,21,Charlotte,12,Orlando,CHA Hornets,Charlotte,ORL Magic,Orlando,+7,−112,True,-7,−108,False,Charlotte,784-807-33,49.3%,-3.5,-0.1,393-402-19,49.4%,-6.4,-0.2,Orlando,864-877-37,49.6%,-1.5,-0.1,412-444-18,48.1%,1.2,-0.4,Charlotte,+7,−112,538-569-28,48.6%,-6.9,-0.1,Orlando,-7,−108,358-364-14,49.6%,5.1,-0.7
5,62.3,8:00 PM,Fiserv Forum,27,Toronto,15,Milwaukee,TOR Raptors,Toronto,MIL Bucks,Milwaukee,+7.5,−108,True,-7.5,−112,False,Toronto,893-874-34,50.5%,0.4,0.2,452-420-16,51.8%,-2.3,0.5,Milwaukee,870-904-34,49.0%,0.2,-0.5,417-455-18,47.8%,2.9,-0.5,Toronto,+7.5,−108,442-434-22,50.5%,-4.9,0.6,Milwaukee,-7.5,−112,466-465-24,50.1%,5.5,-0.7
6,60.0,10:00 PM,Moda Center,6,Minnesota,29,Portland,MIN Timberwolves,Minnesota,POR Trail Blazers,Portland,-8.5,−112,False,+8.5,−108,True,Minnesota,803-911-27,46.9%,-1.9,-0.3,422-429-17,49.6%,-4.1,0.3,Portland,863-890-27,49.2%,-1.2,-0.3,431-436-13,49.7%,2.1,-0.2,Portland,+8.5,−108,449-489-15,47.9%,-6.7,-0.3,Minnesota,-8.5,−112,316-383-11,45.2%,4.7,-0.9
7,55.4,9:00 PM,Delta Center,11,Phoenix,28,Utah,PHO Suns,Phoenix,UTA Jazz,Utah,-3.5,−112,False,+3.5,−108,True,Phoenix,895-891-28,50.1%,0.5,-0.1,454-427-16,51.5%,-2.2,0.1,Utah,887-870-37,50.5%,1.0,0.1,453-411-22,52.4%,5.0,0.7,Utah,+3.5,−108,390-406-16,49.0%,-5.6,0.2,Phoenix,-3.5,−112,493-476-15,50.9%,5.9,-0.6
8,53.1,7:00 PM,TD Garden,24,Atlanta,2,Boston,ATL Hawks,Atlanta,BOS Celtics,Boston,+15,−108,True,-15,−112,False,Atlanta,867-931-19,48.2%,-1.4,-0.4,422-475-11,47.1%,-4.4,-0.4,Boston,992-918-38,51.9%,3.0,0.6,468-476-22,49.6%,5.2,0.1,Atlanta,+15,−108,479-523-9,47.8%,-6.0,0.1,Boston,-15,−112,616-605-23,50.5%,6.4,-0.1
