Rank,Hotness Score,Matchup,Time,Location
1,94.2,#43 LSU  at  #61 Kansas St,9:00 PM,Bramlage Coliseum
2,90.9,#73 Grd Canyon  vs.  #74 Arizona St,9:00 PM,Footprint Center
3,82.3,#137 N Iowa  at  #82 Wichita St,7:30 PM,Charles Koch Arena
4,76.1,#181 S Illinois  at  #85 Oklahoma St,8:00 PM,Gallagher-Iba Arena
5,70.4,#169 N Colorado  vs.  #158 S Dakota St,9:00 PM,Summit Arena
6,67.0,#165 Nicholls  at  #183 N Kentucky,7:00 PM,Truist Arena
7,65.8,#193 TX A&M-CC  at  #162 N Mex State,9:30 PM,Pan American Center
8,57.9,#284 Neb Omaha  at  #105 UNLV,10:00 PM,Thomas & Mack Center
9,54.6,#118 Utah Valley  at  #296 North Dakota,1:00 PM,Betty Engelstad Sioux Center
10,46.4,#291 Morehead St  at  #187 Chattanooga,8:00 PM,McKenzie Arena
11,44.1,#364 Miss Val St  at  #77 Missouri,7:30 PM,Mizzou Arena
12,42.9,#157 Seattle  at  #334 Cal Poly,10:00 PM,Mott Athletics Center
13,41.4,#174 Bryant  at  #329 Buffalo,7:00 PM,Alumni Arena
14,40.5,#254 N Arizona  at  #267 Pacific,10:00 PM,Alex G. Spanos Center
15,38.9,#269 S Car State  at  #257 Jacksonville,7:00 PM,Swisher Gymnasium
16,19.3,#361 Coppin St  at  #270 Maryland BC,7:00 PM,Chesapeake Employers Insurance Arena
17,13.0,#331 E Michigan  at  #341 IU Indy,6:30 PM,Indiana Farmers Coliseum
18,12.3,#358 Stonehill  at  #311 Rob Morris,7:00 PM,UPMC Events Center
19,9.0,#337 Lindenwood  vs.  #355 New Orleans,4:00 PM,UPMC Events Center
20,--,La Sierra University  at  #143 UC Riverside,10:00 PM,SRC Arena
20,--,Florida National  at  #287 Florida Intl,7:00 PM,Ocean Bank Convocation Center (FIU)
20,--,Dakota Wesleyan  at  #233 South Dakota,7:00 PM,Sanford Coyote Sports Center
20,--,Colorado Christian  at  #306 Denver,9:00 PM,Hamilton Gymnasium
20,--,North Greenville  at  #297 Citadel,7:00 PM,McAlister Field House
20,--,Tabor College  at  #318 Tarleton St,8:00 PM,Wisdom Gym
20,--,Ecclesia College  at  #323 UL Monroe,7:30 PM,Fant-Ewing Coliseum
