Away Team,Home Team,Cover Team,Closing Spread,Closing Total Line,Actual Total Score,Home Cover
Utah Valley,North Dakota,North Dakota,5.5,144.5.,148,True
Lindenwood,New Orleans,New Orleans,-2.5,146.5.,156,True
Eastern Michigan,IUPUI,Eastern Michigan,3.5,137.5.,145,False
Bryant,Buffalo,Bryant,-6.5,163.,151,False
Coppin St.,UMBC,UMBC,-13.0,146.,159,True
Stonehill,Robert Morris,Robert Morris,-9.0,143.5.,114,True
South Carolina State,Jacksonville,Jacksonville,-6.5,145.5.,133,True
Nicholls State,Northern Kentucky,Nicholls State,6.5,142.5.,120,False
Northern Iowa,Wichita St.,Northern Iowa,7.5,152.,152 pushed the pre-game total of 152.,False
Mississippi Valley State,Missouri,Missouri,-33.5,138.5.,150,True
Morehead St.,Chattanooga,Chattanooga,-11.5,143.,138,True
Southern Illinois,Oklahoma State,Southern Illinois,12.0,161.5.,163,False
Grand Canyon,Arizona State,Arizona State,5.5,147.5.,163,True
Northern Colorado,South Dakota State,Northern Colorado,3.5,152.5.,147,False
Louisiana State,Kansas State,Louisiana State,9.0,148.5.,141,False
Texas A&M-CC,New Mexico St.,Texas A&M-CC,4.5,147.5.,165,False
Nebraska Omaha,UNLV,Nebraska Omaha,16.5,146.5.,149,False
Seattle,Cal Poly SLO,Cal Poly SLO,4.5,151.5.,146,True
Northern Arizona,Pacific,Northern Arizona,5.5,153.,117,False
