Rank,Hotness Score,Time,Location,Away Team Rank,Away Team,Home Team Rank,Home Team,Away Team DraftKings,Away Team Covers,Home Team DraftKings,Home Team Covers,Away Team Spread,Away Team Odds,Away Team Underdog,Home Team Spread,Home Team Odds,Home Team Underdog,Away Team Team,Away Team all_games_ATS Record,Away Team all_games_Cover %,Away Team all_games_MOV,Away Team all_games_ATS +/-,Away Team is_away_ATS Record,Away Team is_away_Cover %,Away Team is_away_MOV,Away Team is_away_ATS +/-,Home Team Team,Home Team all_games_ATS Record,Home Team all_games_Cover %,Home Team all_games_MOV,Home Team all_games_ATS +/-,Home Team is_home_ATS Record,Home Team is_home_Cover %,Home Team is_home_MOV,Home Team is_home_ATS +/-,Underdog is_dog Team,Underdog is_dog Spread,Underdog is_dog Odds,Underdog is_dog ATS Record,Underdog is_dog Cover %,Underdog is_dog MOV,Underdog is_dog ATS +/-,Favorite is_fav Team,Favorite is_fav Spread,Favorite is_fav Odds,Favorite is_fav ATS Record,Favorite is_fav Cover %,Favorite is_fav MOV,Favorite is_fav ATS +/-
1,83.4,7:30 PM,Target Center,13,La Clippers,11,Minnesota,LA Clippers,L.A. Clippers,MIN Timberwolves,Minnesota,+6,−112,True,-6,−108,False,La Clippers,886-920-20,49.1%,0.8,-0.1,440-448-12,49.6%,-1.9,0.2,Minnesota,805-917-27,46.8%,-1.9,-0.4,380-484-10,44.0%,0.3,-1.0,La Clippers,+6,−112,374-428-7,46.6%,-6.0,-0.1,Minnesota,-6,−108,317-389-11,44.9%,4.6,-1.0
2,78.0,7:30 PM,Barclays Center,10,Orlando,21,Brooklyn,ORL Magic,Orlando,BKN Nets,Brooklyn,-7,−115,False,+7,−105,True,Orlando,872-878-37,49.8%,-1.4,-0.1,446-426-19,51.2%,-4.0,0.1,Brooklyn,867-896-35,49.2%,-2.1,-0.3,409-460-19,47.1%,0.0,-1.0,Brooklyn,+7,−105,525-534-21,49.6%,-6.2,0.2,Orlando,-7,−115,365-365-14,50.0%,5.2,-0.7
3,74.3,10:00 PM,Crypto.com Arena,1,Okla City,17,La Lakers,OKC Thunder,Oklahoma City,LA Lakers,L.A. Lakers,-3,−108,False,+3,−112,True,Okla City,949-861-31,52.4%,1.0,0.3,469-423-17,52.6%,-2.1,0.2,La Lakers,872-978-32,47.1%,0.3,-0.5,426-482-18,46.9%,3.5,0.0,La Lakers,+3,−112,401-428-13,48.4%,-5.9,0.4,Okla City,-3,−108,510-474-10,51.8%,6.6,0.0
4,69.1,12:00 PM,Spectrum Center,6,New York,25,Charlotte,NY Knicks,New York,CHA Hornets,Charlotte,-12.5,−112,False,+12.5,−108,True,New York,876-852-24,50.7%,-2.1,0.1,451-411-14,52.3%,-4.2,0.7,Charlotte,789-810-33,49.3%,-3.5,-0.1,393-406-14,49.2%,-0.6,0.0,Charlotte,+12.5,−108,543-572-28,48.7%,-6.9,-0.1,New York,-12.5,−112,323-304-6,51.5%,4.4,-0.5
5,66.1,8:00 PM,Kaseya Center,22,Toronto,15,Miami,TOR Raptors,Toronto,MIA Heat,Miami,+8,−110,True,-8,−110,False,Toronto,898-877-34,50.6%,0.4,0.3,455-422-16,51.9%,-2.3,0.6,Miami,978-930-43,51.3%,1.8,0.1,462-478-23,49.2%,4.5,-0.2,Toronto,+8,−110,447-437-22,50.6%,-4.8,0.7,Miami,-8,−110,599-577-26,50.9%,5.8,-0.4
6,64.2,8:00 PM,Gainbridge Fieldhouse,24,Detroit,19,Indiana,DET Pistons,Detroit,IND Pacers,Indiana,+5.5,−110,True,-5.5,−110,False,Detroit,870-900-41,49.2%,-1.1,-0.2,434-446-25,49.3%,-3.7,-0.1,Indiana,915-882-43,50.9%,0.6,0.3,462-423-26,52.2%,4.1,0.8,Detroit,+5.5,−110,474-498-25,48.8%,-6.2,0.3,Indiana,-5.5,−110,468-451-19,50.9%,5.4,-0.3
7,63.4,10:00 PM,Moda Center,16,Sacramento,28,Portland,SAC Kings,Sacramento,POR Trail Blazers,Portland,-7,−112,False,+7,−108,True,Sacramento,836-860-41,49.3%,-2.4,-0.4,439-406-20,52.0%,-4.9,0.0,Portland,869-892-27,49.4%,-1.2,-0.3,434-436-13,49.9%,2.1,-0.1,Portland,+7,−108,455-491-15,48.1%,-6.7,-0.3,Sacramento,-7,−112,297-335-17,47.0%,3.8,-1.5
8,63.1,8:00 PM,United Center,2,Boston,26,Chicago,BOS Celtics,Boston,CHI Bulls,Chicago,-11.5,−108,False,+11.5,−112,True,Boston,994-923-38,51.9%,3.0,0.6,510-432-15,54.1%,0.6,1.1,Chicago,886-889-24,49.9%,-0.5,0.1,428-459-10,48.3%,1.6,-0.7,Chicago,+11.5,−112,479-474-12,50.3%,-5.1,0.6,Boston,-11.5,−108,618-610-23,50.3%,6.4,-0.1
9,62.8,2:30 PM,State Farm Arena,3,Cleveland,23,Atlanta,CLE Cavaliers,Cleveland,ATL Hawks,Atlanta,-6,−108,False,+6,−112,True,Cleveland,902-931-36,49.2%,0.2,-0.3,443-464-24,48.8%,-2.8,-0.5,Atlanta,871-935-19,48.2%,-1.5,-0.4,446-455-8,49.5%,1.5,-0.4,Atlanta,+6,−112,482-524-9,47.9%,-6.0,0.1,Cleveland,-6,−108,482-490-22,49.6%,6.2,-0.4
10,50.2,5:00 PM,FedExForum,27,New Orleans,8,Memphis,NO Pelicans,New Orleans,MEM Grizzlies,Memphis,+11,−105,True,-11,−115,False,New Orleans,868-865-30,50.1%,-1.1,0.2,431-428-17,50.2%,-3.4,0.6,Memphis,912-864-31,51.4%,-0.4,0.3,464-421-15,52.4%,2.4,0.2,New Orleans,+11,−105,511-481-17,51.5%,-4.8,1.3,Memphis,-11,−115,428-404-16,51.4%,5.0,-0.4
