,Rank_current_season,Hotness Score_current_season,Time_current_season,Location_current_season,Away Team Rank_current_season,Away Team_current_season,Home Team Rank_current_season,Home Team_current_season,Away Team Covers_current_season,Home Team Covers_current_season,Away Team Spread_current_season,Away Team Implied Odds_current_season,Away Team Underdog_current_season,Home Team Spread_current_season,Home Team Implied Odds_current_season,Home Team Underdog_current_season,Away Team all_games_Sample Size_current_season,Away Team all_games_Cover %_current_season,Away Team all_games_MOV_current_season,Away Team all_games_ATS +/-_current_season,Away Team is_away_Sample Size_current_season,Away Team is_away_Cover %_current_season,Away Team is_away_MOV_current_season,Away Team is_away_ATS +/-_current_season,Home Team all_games_Sample Size_current_season,Home Team all_games_Cover %_current_season,Home Team all_games_MOV_current_season,Home Team all_games_ATS +/-_current_season,Home Team is_home_Sample Size_current_season,Home Team is_home_Cover %_current_season,Home Team is_home_MOV_current_season,Home Team is_home_ATS +/-_current_season,Underdog is_dog Team_current_season,Underdog is_dog Spread_current_season,Underdog is_dog Implied Odds_current_season,Underdog is_dog Sample Size_current_season,Underdog is_dog Cover %_current_season,Underdog is_dog MOV_current_season,Underdog is_dog ATS +/-_current_season,Favorite is_fav Team_current_season,Favorite is_fav Spread_current_season,Favorite is_fav Implied Odds_current_season,Favorite is_fav Sample Size_current_season,Favorite is_fav Cover %_current_season,Favorite is_fav MOV_current_season,Favorite is_fav ATS +/-_current_season,Away Team Covers_all_time,Home Team Covers_all_time,Away Team Spread_all_time,Home Team Spread_all_time,Away Team all_games_Sample Size_all_time,Away Team all_games_Cover %_all_time,Away Team all_games_MOV_all_time,Away Team all_games_ATS +/-_all_time,Away Team is_away_Sample Size_all_time,Away Team is_away_Cover %_all_time,Away Team is_away_MOV_all_time,Away Team is_away_ATS +/-_all_time,Home Team all_games_Sample Size_all_time,Home Team all_games_Cover %_all_time,Home Team all_games_MOV_all_time,Home Team all_games_ATS +/-_all_time,Home Team is_home_Sample Size_all_time,Home Team is_home_Cover %_all_time,Home Team is_home_MOV_all_time,Home Team is_home_ATS +/-_all_time,Underdog is_dog Spread_all_time,Underdog is_dog Sample Size_all_time,Underdog is_dog Cover %_all_time,Underdog is_dog MOV_all_time,Underdog is_dog ATS +/-_all_time,Favorite is_fav Spread_all_time,Favorite is_fav Sample Size_all_time,Favorite is_fav Cover %_all_time,Favorite is_fav MOV_all_time,Favorite is_fav ATS +/-_all_time,Away Team Covers_last_10_seasons,Home Team Covers_last_10_seasons,Away Team Spread_last_10_seasons,Home Team Spread_last_10_seasons,Away Team all_games_Sample Size_last_10_seasons,Away Team all_games_Cover %_last_10_seasons,Away Team all_games_MOV_last_10_seasons,Away Team all_games_ATS +/-_last_10_seasons,Away Team is_away_Sample Size_last_10_seasons,Away Team is_away_Cover %_last_10_seasons,Away Team is_away_MOV_last_10_seasons,Away Team is_away_ATS +/-_last_10_seasons,Home Team all_games_Sample Size_last_10_seasons,Home Team all_games_Cover %_last_10_seasons,Home Team all_games_MOV_last_10_seasons,Home Team all_games_ATS +/-_last_10_seasons,Home Team is_home_Sample Size_last_10_seasons,Home Team is_home_Cover %_last_10_seasons,Home Team is_home_MOV_last_10_seasons,Home Team is_home_ATS +/-_last_10_seasons,Underdog is_dog Spread_last_10_seasons,Underdog is_dog Sample Size_last_10_seasons,Underdog is_dog Cover %_last_10_seasons,Underdog is_dog MOV_last_10_seasons,Underdog is_dog ATS +/-_last_10_seasons,Favorite is_fav Spread_last_10_seasons,Favorite is_fav Sample Size_last_10_seasons,Favorite is_fav Cover %_last_10_seasons,Favorite is_fav MOV_last_10_seasons,Favorite is_fav ATS +/-_last_10_seasons,Away Team_current_season_map,Home Team_current_season_map,Favorite is_fav Team_current_season_map,Underdog is_dog Team_current_season_map,Away Team,Home Team,Home Cover
0,1,83.4,7:30 PM,Target Center,13,La Clippers,11,Minnesota,L.A. Clippers,Minnesota,6.0,0.5283,True,-6.0,0.5192,False,20,0.65,2.4,4.2,9,0.667,0.7,5.1,18,0.333,0.8,-4.8,9,0.222,4.3,-3.0,La Clippers,6.0,0.5283,13,0.615,-2.8,3.1,Minnesota,-6.0,0.5192,17,0.294,1.0,-5.4,L.A. Clippers,Minnesota,6.0,-6.0,1826,0.491,0.8,-0.1,900,0.496,-1.9,0.2,1749,0.468,-1.9,-0.4,874,0.44,0.3,-1.0,6.0,809,0.466,-6.0,-0.1,-6.0,717,0.449,4.6,-1.0,L.A. Clippers,Minnesota,6.0,-6.0,898,0.508,2.9,0.2,437,0.528,0.9,0.9,845,0.469,-1.2,-0.1,421,0.444,0.7,-0.7,6.0,304,0.492,-4.7,0.5,-6.0,358,0.447,5.0,-0.9,12,17,17,12,L.A. Clippers,Minnesota,False
1,2,78.0,7:30 PM,Barclays Center,10,Orlando,21,Brooklyn,Orlando,Brooklyn,-7.0,0.5349,False,7.0,0.5122,True,20,0.6,4.8,2.5,11,0.364,-3.9,-1.9,19,0.722,-1.9,5.0,7,0.571,-2.9,0.4,Brooklyn,7.0,0.5122,15,0.786,-2.3,7.0,Orlando,-7.0,0.5349,13,0.769,11.2,4.7,Orlando,Brooklyn,-7.0,7.0,1787,0.498,-1.4,-0.1,891,0.512,-4.0,0.1,1798,0.492,-2.1,-0.3,888,0.471,0.0,-1.0,7.0,1080,0.496,-6.2,0.2,-7.0,744,0.5,5.2,-0.7,Orlando,Brooklyn,-7.0,7.0,838,0.508,-3.5,-0.1,416,0.528,-5.7,0.1,855,0.498,-2.0,0.0,418,0.458,-0.3,-0.7,7.0,528,0.523,-5.9,0.7,-7.0,226,0.543,4.9,-0.2,21,2,21,2,Orlando,Brooklyn,False
2,3,74.3,10:00 PM,Crypto.com Arena,1,Okla City,17,La Lakers,Oklahoma City,L.A. Lakers,-3.0,0.5192,False,3.0,0.5283,True,18,0.556,10.8,2.6,8,0.625,10.9,4.7,18,0.444,-0.9,-4.3,9,0.556,3.7,-1.4,La Lakers,3.0,0.5283,5,0.4,-13.0,-9.8,Okla City,-3.0,0.5192,17,0.529,10.6,1.8,Oklahoma City,L.A. Lakers,-3.0,3.0,1841,0.524,1.0,0.3,909,0.526,-2.1,0.2,1882,0.471,0.3,-0.5,926,0.469,3.5,0.0,3.0,842,0.484,-5.9,0.4,-3.0,994,0.518,6.6,0.0,Oklahoma City,L.A. Lakers,-3.0,3.0,871,0.522,1.1,0.3,427,0.518,-1.7,-0.2,869,0.473,-1.8,-0.4,419,0.477,0.7,0.2,3.0,492,0.479,-6.5,0.4,-3.0,471,0.505,6.9,0.3,20,13,20,13,Oklahoma City,L.A. Lakers,False
3,4,69.1,12:00 PM,Spectrum Center,6,New York,25,Charlotte,New York,Charlotte,-12.5,0.5283,False,12.5,0.5192,True,18,0.471,5.2,0.3,11,0.455,1.2,-1.8,18,0.611,-4.9,0.8,10,0.6,-1.9,2.5,Charlotte,12.5,0.5192,17,0.647,-5.5,0.9,New York,-12.5,0.5283,16,0.467,5.6,-0.5,New York,Charlotte,-12.5,12.5,1752,0.507,-2.1,0.1,876,0.523,-4.2,0.7,1632,0.493,-3.5,-0.1,813,0.492,-0.6,0.0,12.5,1143,0.487,-6.9,-0.1,-12.5,633,0.515,4.4,-0.5,New York,Charlotte,-12.5,12.5,841,0.504,-2.3,0.4,420,0.527,-4.0,0.9,820,0.486,-2.7,-0.3,407,0.48,-0.4,-0.4,12.5,521,0.475,-6.9,-0.5,-12.5,280,0.544,5.5,0.7,19,3,19,3,New York,Charlotte,True
4,5,66.1,8:00 PM,Kaseya Center,22,Toronto,15,Miami,Toronto,Miami,8.0,0.5238,True,-8.0,0.5238,False,19,0.684,-4.1,4.0,11,0.636,-5.6,3.7,16,0.438,1.1,-0.1,7,0.286,-0.3,-3.1,Toronto,8.0,0.5238,19,0.684,-4.1,4.0,Miami,-8.0,0.5238,10,0.4,3.7,-0.7,Toronto,Miami,8.0,-8.0,1809,0.506,0.4,0.3,893,0.519,-2.3,0.6,1951,0.513,1.8,0.1,963,0.492,4.5,-0.2,8.0,906,0.506,-4.8,0.7,-8.0,1202,0.509,5.8,-0.4,Toronto,Miami,8.0,-8.0,905,0.503,2.3,0.3,441,0.507,-0.1,0.4,911,0.514,0.8,0.2,439,0.472,2.8,-0.7,8.0,345,0.512,-4.1,0.8,-8.0,505,0.496,4.4,-0.9,27,15,15,27,Toronto,Miami,True
5,6,64.2,8:00 PM,Gainbridge Fieldhouse,24,Detroit,19,Indiana,Detroit,Indiana,5.5,0.5238,True,-5.5,0.5238,False,20,0.474,-2.5,0.8,11,0.5,-1.2,2.4,19,0.389,-2.7,-4.5,9,0.5,4.0,-0.6,Detroit,5.5,0.5238,13,0.583,-4.9,1.8,Indiana,-5.5,0.5238,11,0.3,-0.9,-7.4,Detroit,Indiana,5.5,-5.5,1811,0.492,-1.1,-0.2,905,0.493,-3.7,-0.1,1840,0.509,0.6,0.3,911,0.522,4.1,0.8,5.5,997,0.488,-6.2,0.3,-5.5,938,0.509,5.4,-0.3,Detroit,Indiana,5.5,-5.5,822,0.489,-3.6,-0.1,413,0.48,-6.1,-0.3,866,0.512,0.3,0.4,424,0.523,3.2,0.8,5.5,577,0.489,-6.7,0.3,-5.5,423,0.509,5.1,-0.2,8,11,11,8,Detroit,Indiana,False
6,7,63.4,10:00 PM,Moda Center,16,Sacramento,28,Portland,Sacramento,Portland,-7.0,0.5283,False,7.0,0.5192,True,19,0.389,0.8,-3.2,9,0.556,0.3,-2.2,19,0.611,-8.4,0.1,8,0.625,-7.3,-0.3,Portland,7.0,0.5192,19,0.611,-8.4,0.1,Sacramento,-7.0,0.5283,12,0.364,2.2,-5.3,Sacramento,Portland,-7.0,7.0,1737,0.493,-2.4,-0.4,865,0.52,-4.9,0.0,1788,0.494,-1.2,-0.3,883,0.499,2.1,-0.1,7.0,961,0.481,-6.7,-0.3,-7.0,649,0.47,3.8,-1.5,Sacramento,Portland,-7.0,7.0,828,0.501,-2.4,-0.3,410,0.545,-3.6,0.6,873,0.492,-1.4,-0.4,426,0.495,1.6,-0.2,7.0,460,0.469,-7.5,-0.8,-7.0,306,0.47,3.4,-1.6,25,24,25,24,Sacramento,Portland,True
7,8,63.1,8:00 PM,United Center,2,Boston,26,Chicago,Boston,Chicago,-11.5,0.5192,False,11.5,0.5283,True,18,0.444,10.7,0.2,9,0.556,13.4,2.9,20,0.45,-5.6,-0.3,8,0.375,-10.0,-5.4,Chicago,11.5,0.5283,18,0.444,-6.8,-0.2,Boston,-11.5,0.5192,18,0.444,10.7,0.2,Boston,Chicago,-11.5,11.5,1955,0.519,3.0,0.6,957,0.541,0.6,1.1,1799,0.499,-0.5,0.1,897,0.483,1.6,-0.7,11.5,965,0.503,-5.1,0.6,-11.5,1251,0.503,6.4,-0.1,Boston,Chicago,-11.5,11.5,960,0.544,4.4,1.0,461,0.559,2.3,1.2,840,0.489,-1.9,-0.4,418,0.477,-0.7,-1.4,11.5,513,0.482,-5.9,-0.1,-11.5,689,0.527,6.8,0.2,1,4,1,4,Boston,Chicago,True
8,9,62.8,2:30 PM,State Farm Arena,3,Cleveland,23,Atlanta,Cleveland,Atlanta,-6.0,0.5192,False,6.0,0.5283,True,19,0.737,11.2,4.3,8,0.75,9.5,5.7,19,0.368,-4.6,-3.3,9,0.222,-4.0,-5.2,Atlanta,6.0,0.5283,9,0.556,-7.6,0.4,Cleveland,-6.0,0.5192,16,0.688,13.0,4.1,Cleveland,Atlanta,-6.0,6.0,1869,0.492,0.2,-0.3,931,0.488,-2.8,-0.5,1825,0.482,-1.5,-0.4,909,0.495,1.5,-0.4,6.0,1015,0.479,-6.0,0.1,-6.0,994,0.496,6.2,-0.4,Cleveland,Atlanta,-6.0,6.0,912,0.475,0.6,-0.4,452,0.462,-1.8,-0.5,879,0.483,-1.0,-0.6,437,0.499,1.8,-0.4,6.0,456,0.486,-5.6,0.3,-6.0,524,0.479,6.2,-0.5,5,0,5,0,Cleveland,Atlanta,True
9,10,50.2,5:00 PM,FedExForum,27,New Orleans,8,Memphis,New Orleans,Memphis,11.0,0.5122,True,-11.0,0.5349,False,19,0.316,-11.8,-7.9,9,0.111,-19.0,-13.8,19,0.684,8.3,6.1,11,0.727,10.5,6.0,New Orleans,11.0,0.5122,13,0.385,-11.8,-4.5,Memphis,-11.0,0.5349,13,0.615,10.9,5.4,New Orleans,Memphis,11.0,-11.0,1763,0.501,-1.1,0.2,876,0.502,-3.4,0.6,1807,0.514,-0.4,0.3,900,0.524,2.4,0.2,11.0,1009,0.515,-4.8,1.3,-11.0,848,0.514,5.0,-0.4,New Orleans,Memphis,11.0,-11.0,847,0.499,-0.5,0.3,418,0.501,-2.3,0.8,867,0.511,-0.5,0.3,431,0.538,2.2,0.8,11.0,469,0.509,-4.4,1.3,-11.0,401,0.514,5.1,-0.2,18,14,14,18,New Orleans,Memphis,False
