Team,all_games_ATS Record,all_games_Cover %,all_games_MOV,all_games_ATS +/-,equal_rest_ATS Record,equal_rest_Cover %,equal_rest_MOV,equal_rest_ATS +/-,four_plus_days_off_ATS Record,four_plus_days_off_Cover %,four_plus_days_off_MOV,four_plus_days_off_ATS +/-,is_after_loss_ATS Record,is_after_loss_Cover %,is_after_loss_MOV,is_after_loss_ATS +/-,is_after_win_ATS Record,is_after_win_Cover %,is_after_win_MOV,is_after_win_ATS +/-,is_away_ATS Record,is_away_Cover %,is_away_MOV,is_away_ATS +/-,is_dog_ATS Record,is_dog_Cover %,is_dog_MOV,is_dog_ATS +/-,is_fav_ATS Record,is_fav_Cover %,is_fav_MOV,is_fav_ATS +/-,is_home_ATS Record,is_home_Cover %,is_home_MOV,is_home_ATS +/-,no_rest_ATS Record,no_rest_Cover %,no_rest_MOV,no_rest_ATS +/-,one_day_off_ATS Record,one_day_off_Cover %,one_day_off_MOV,one_day_off_ATS +/-,rest_advantage_ATS Record,rest_advantage_Cover %,rest_advantage_MOV,rest_advantage_ATS +/-,rest_disadvantage_ATS Record,rest_disadvantage_Cover %,rest_disadvantage_MOV,rest_disadvantage_ATS +/-,two_three_days_off_ATS Record,two_three_days_off_Cover %,two_three_days_off_MOV,two_three_days_off_ATS +/-
Missouri St,3-0-0,100.0%,9.3,9.2,1-0-0,100.0%,-7.0,10.0,2-0-0,100.0%,9.0,+9.3,0-0-0,0.0%,29.0,--,2-0-0,100.0%,7.5,+8.8,1-0-0,100.0%,-7.0,10.0,2-0-0,100.0%,-1.0,9.3,1-0-0,100.0%,10.0,9.0,2-0-0,100.0%,14.7,+8.8,,,,,,,,,1-0-0,100.0%,17.0,+8.5,1-0-0,100.0%,10.0,9.0,1-0-0,100.0%,10.0,+9.0
E Kentucky,3-0-0,100.0%,10.0,12.7,2-0-0,100.0%,-4.5,12.5,1-0-0,100.0%,24.5,+13.0,1-0-0,100.0%,20.0,+13.0,2-0-0,100.0%,-4.5,+12.5,3-0-0,100.0%,3.7,12.7,2-0-0,100.0%,-4.5,12.5,1-0-0,100.0%,20.0,13.0,0-0-0,0.0%,29.0,--,,,,,,,,,1-0-0,100.0%,24.5,+13.0,,,,,2-0-0,100.0%,-4.5,+12.5
Nevada,4-0-0,100.0%,20.5,10.1,2-0-0,100.0%,21.0,12.0,2-0-0,100.0%,13.0,+4.5,,,,,3-0-0,100.0%,22.0,+11.7,,,,,,,,,4-0-0,100.0%,20.5,10.1,4-0-0,100.0%,20.5,+10.1,,,,,,,,,1-0-0,100.0%,10.0,+3.5,1-0-0,100.0%,30.0,13.0,2-0-0,100.0%,28.0,+15.8
Portland St,2-0-0,100.0%,16.0,6.8,1-0-0,100.0%,-8.0,6.5,2-0-0,100.0%,0.5,+6.8,0-0-0,0.0%,47.0,--,1-0-0,100.0%,9.0,+7.0,2-0-0,100.0%,0.5,6.8,1-0-0,100.0%,-8.0,6.5,1-0-0,100.0%,9.0,7.0,0-0-0,0.0%,47.0,--,,,,,,,,,1-0-0,100.0%,28.0,+7.0,,,,,0-0-0,0.0%,47.0,--
IL-Chicago,2-0-0,100.0%,27.3,12.0,1-0-0,100.0%,12.0,18.0,0-0-0,0.0%,48.0,--,0-0-0,0.0%,58.0,--,2-0-0,100.0%,1.5,+12.0,1-0-0,100.0%,-9.0,6.0,2-0-0,100.0%,1.5,12.0,,,,,1-0-0,100.0%,39.3,+18.0,,,,,,,,,1-0-0,100.0%,32.3,+6.0,,,,,2-0-0,100.0%,20.3,+12.0
Kent St,1-0-1,100.0%,8.7,1.0,1-0-0,100.0%,4.0,2.0,1-0-1,100.0%,-9.5,+1.0,,,,,0-0-1,0.0%,11.0,0.0,1-0-1,100.0%,-9.5,1.0,0-0-1,0.0%,-23.0,0.0,1-0-0,100.0%,4.0,2.0,0-0-0,0.0%,45.0,--,,,,,,,,,0-0-1,0.0%,11.0,0.0,,,,,0-0-0,0.0%,45.0,--
Elon,3-0-0,100.0%,12.3,14.0,1-0-0,100.0%,-14.0,14.0,3-0-0,100.0%,12.3,+14.0,1-0-0,100.0%,32.0,+25.5,1-0-0,100.0%,-1.0,+2.5,3-0-0,100.0%,4.0,14.0,2-0-0,100.0%,-7.5,8.3,1-0-0,100.0%,27.0,25.5,0-0-0,0.0%,37.0,--,,,,,,,,,2-0-0,100.0%,21.0,+14.0,,,,,,,,
Drexel,4-0-0,100.0%,12.8,8.0,1-0-0,100.0%,-3.0,1.5,1-0-0,100.0%,34.5,+20.5,2-0-0,100.0%,1.5,+4.3,2-0-0,100.0%,4.5,+11.8,2-0-0,100.0%,-1.0,5.0,4-0-0,100.0%,3.0,8.0,,,,,2-0-0,100.0%,22.0,+11.0,,,,,,,,,1-0-0,100.0%,34.5,+20.5,2-0-0,100.0%,-1.0,5.0,3-0-0,100.0%,-1.7,+3.8
Furman,3-0-0,100.0%,30.6,2.8,2-0-0,100.0%,5.0,3.8,0-0-0,0.0%,67.0,--,,,,,3-0-0,100.0%,23.8,+2.8,1-0-0,100.0%,2.0,4.5,1-0-0,100.0%,2.0,4.5,2-0-0,100.0%,8.5,2.0,2-0-0,100.0%,37.8,+2.0,,,,,,,,,0-0-0,0.0%,67.0,--,1-0-0,100.0%,9.0,1.0,3-0-0,100.0%,6.3,+2.8
Oregon St,3-0-0,100.0%,26.5,14.2,2-0-0,100.0%,25.5,18.3,1-0-0,100.0%,23.0,+13.5,,,,,2-0-0,100.0%,27.7,+14.5,,,,,,,,,3-0-0,100.0%,23.3,14.2,3-0-0,100.0%,26.5,+14.2,,,,,,,,,1-0-0,100.0%,27.5,+6.0,,,,,2-0-0,100.0%,27.7,+14.5
TX-Pan Am,5-0-0,100.0%,8.2,12.1,2-0-0,100.0%,2.5,10.5,2-0-0,100.0%,-5.0,+4.3,1-0-0,100.0%,18.5,+16.0,3-0-0,100.0%,10.7,+13.8,3-0-0,100.0%,-12.0,12.3,3-0-0,100.0%,-12.0,12.3,2-0-0,100.0%,17.5,11.8,0-0-0,0.0%,50.0,--,1-0-0,100.0%,25.0,+18.0,2-0-0,100.0%,-8.0,+17.0,1-0-0,100.0%,30.0,+5.5,2-0-0,100.0%,-8.0,17.0,0-0-0,0.0%,50.0,--
Northeastrn,4-0-0,100.0%,11.3,12.5,2-0-0,100.0%,15.0,15.3,2-0-0,100.0%,2.5,+7.5,1-0-0,100.0%,22.0,+20.0,2-0-0,100.0%,7.5,+9.8,1-0-0,100.0%,8.0,10.5,2-0-0,100.0%,2.5,7.5,2-0-0,100.0%,20.0,17.5,2-0-0,100.0%,9.5,+12.3,,,,,,,,,1-0-0,100.0%,-3.0,+4.5,1-0-0,100.0%,18.0,15.0,2-0-0,100.0%,20.0,+17.5
Auburn,3-0-1,100.0%,28.0,12.1,,,,,2-0-0,100.0%,42.0,+19.0,,,,,2-0-1,100.0%,20.3,+5.0,,,,,1-0-0,100.0%,5.0,10.5,2-0-1,100.0%,35.7,12.7,2-0-1,100.0%,35.7,+12.7,,,,,,,,,2-0-0,100.0%,42.0,+19.0,1-0-1,100.0%,14.0,5.3,1-0-1,100.0%,14.0,+5.3
LA Tech,2-0-0,100.0%,22.5,12.5,1-0-0,100.0%,15.0,16.5,1-0-0,100.0%,26.7,+16.5,,,,,2-0-0,100.0%,21.0,+12.5,1-0-0,100.0%,15.0,16.5,1-0-0,100.0%,15.0,16.5,1-0-0,100.0%,10.0,8.5,0-0-0,0.0%,32.5,--,,,,,,,,,0-0-0,0.0%,32.5,--,1-0-0,100.0%,10.0,8.5,1-0-0,100.0%,10.0,+8.5
St Peters,4-0-0,100.0%,10.4,6.4,2-0-0,100.0%,-5.5,6.5,2-0-0,100.0%,2.0,+7.8,3-0-0,100.0%,-3.0,+5.3,0-0-0,0.0%,65.0,--,4-0-0,100.0%,-3.3,6.4,3-0-0,100.0%,-7.0,6.5,1-0-0,100.0%,8.0,6.0,0-0-0,0.0%,65.0,--,,,,,,,,,1-0-0,100.0%,36.5,+6.0,1-0-0,100.0%,-10.0,6.5,2-0-0,100.0%,16.0,+5.0
CS Bakersfld,2-0-1,100.0%,19.8,6.5,1-0-1,100.0%,-4.0,1.3,1-0-1,100.0%,2.5,+8.5,0-0-0,0.0%,69.0,--,2-0-0,100.0%,11.5,+9.8,0-0-1,0.0%,-13.0,0.0,0-0-1,0.0%,-13.0,0.0,2-0-0,100.0%,11.5,9.8,2-0-0,100.0%,30.7,+9.8,,,,,,,,,1-0-0,100.0%,43.5,+17.0,,,,,1-0-0,100.0%,37.0,+2.5
Davidson,2-0-0,100.0%,17.7,0.5,1-0-0,100.0%,6.0,0.5,1-0-0,100.0%,23.5,+0.5,,,,,2-0-0,100.0%,6.0,+0.5,1-0-0,100.0%,6.0,0.5,,,,,2-0-0,100.0%,6.0,0.5,1-0-0,100.0%,23.5,+0.5,,,,,,,,,1-0-0,100.0%,23.5,+0.5,,,,,1-0-0,100.0%,6.0,+0.5
Utah,4-0-0,100.0%,25.5,8.3,2-0-0,100.0%,18.0,10.0,3-0-0,100.0%,22.3,+9.2,,,,,3-0-0,100.0%,20.3,+5.2,,,,,1-0-0,100.0%,-5.0,2.5,3-0-0,100.0%,35.7,10.2,3-0-0,100.0%,35.7,+10.2,,,,,,,,,2-0-0,100.0%,33.0,+6.5,,,,,1-0-0,100.0%,35.0,+5.5
Kennesaw St,3-0-0,100.0%,20.8,7.2,2-0-0,100.0%,12.0,7.5,0-0-0,0.0%,49.0,--,0-0-0,0.0%,35.0,--,3-0-0,100.0%,6.7,+7.2,1-0-0,100.0%,-4.0,6.5,1-0-0,100.0%,-4.0,6.5,2-0-0,100.0%,12.0,7.5,2-0-0,100.0%,27.0,+7.5,,,,,,,,,0-0-0,0.0%,42.0,--,1-0-0,100.0%,-4.0,6.5,3-0-0,100.0%,13.8,+7.2
UC Irvine,3-0-0,100.0%,20.8,13.0,1-0-0,100.0%,15.0,14.0,1-0-0,100.0%,24.0,+1.5,,,,,3-0-0,100.0%,17.7,+13.0,2-0-0,100.0%,17.5,18.8,1-0-0,100.0%,20.0,23.5,2-0-0,100.0%,16.5,7.8,1-0-0,100.0%,24.0,+1.5,,,,,1-0-0,100.0%,20.0,+23.5,0-0-0,0.0%,30.0,--,2-0-0,100.0%,19.0,12.5,1-0-0,100.0%,15.0,+14.0
NW State,3-0-0,100.0%,14.8,9.7,,,,,1-0-0,100.0%,19.5,+6.5,2-0-0,100.0%,18.0,+8.0,1-0-0,100.0%,-21.0,+13.0,3-0-0,100.0%,-13.0,9.7,3-0-0,100.0%,-13.0,9.7,,,,,0-0-0,0.0%,56.5,--,,,,,,,,,2-0-0,100.0%,22.5,+9.8,1-0-0,100.0%,-16.0,9.5,2-0-0,100.0%,11.7,+11.3
Idaho St,5-0-0,100.0%,1.3,11.2,1-0-0,100.0%,-7.0,11.0,2-0-0,100.0%,2.5,+13.3,2-0-0,100.0%,1.3,+14.0,2-0-0,100.0%,5.5,+8.5,5-0-0,100.0%,-3.2,11.2,5-0-0,100.0%,-3.2,11.2,,,,,0-0-0,0.0%,24.0,--,,,,,3-0-0,100.0%,-7.0,+9.8,1-0-0,100.0%,18.0,+15.5,3-0-0,100.0%,-7.0,9.8,0-0-0,0.0%,24.0,--
St Bonavent,4-0-0,100.0%,14.6,3.8,3-0-0,100.0%,14.0,3.0,2-0-0,100.0%,11.5,+3.8,,,,,3-0-0,100.0%,14.8,+3.0,2-0-0,100.0%,9.0,3.8,,,,,4-0-0,100.0%,12.8,3.8,2-0-0,100.0%,18.3,+3.8,,,,,,,,,0-0-0,0.0%,22.0,--,1-0-0,100.0%,9.0,6.0,2-0-0,100.0%,16.7,+3.8
