Rank,Hotness Score,Time,Location,Away Team Rank,Away Team,Home Team Rank,Home Team,Away Team DraftKings,Away Team Covers,Home Team DraftKings,Home Team Covers,Away Team Spread,Away Team Odds,Away Team Underdog,Home Team Spread,Home Team Odds,Home Team Underdog,Away Team Team,Away Team all_games_ATS Record,Away Team all_games_Cover %,Away Team all_games_MOV,Away Team all_games_ATS +/-,Away Team is_away_ATS Record,Away Team is_away_Cover %,Away Team is_away_MOV,Away Team is_away_ATS +/-,Home Team Team,Home Team all_games_ATS Record,Home Team all_games_Cover %,Home Team all_games_MOV,Home Team all_games_ATS +/-,Home Team is_home_ATS Record,Home Team is_home_Cover %,Home Team is_home_MOV,Home Team is_home_ATS +/-,Underdog is_dog Team,Underdog is_dog Spread,Underdog is_dog Odds,Underdog is_dog ATS Record,Underdog is_dog Cover %,Underdog is_dog MOV,Underdog is_dog ATS +/-,Favorite is_fav Team,Favorite is_fav Spread,Favorite is_fav Odds,Favorite is_fav ATS Record,Favorite is_fav Cover %,Favorite is_fav MOV,Favorite is_fav ATS +/-
1,94.2,9:00 PM,Bramlage Coliseum,43,Lsu,61,Kansas St,LSU,Louisiana State,Kansas State,Kansas State,N/A,N/A,False,N/A,N/A,False,Lsu,147-170-6,46.4%,3.3,-0.3,49-53-3,48.0%,-4.2,-0.1,Kansas St,165-153-5,51.9%,1.9,0.1,72-79-4,47.7%,6.9,-0.2,Kansas St,N/A,N/A,86-67-1,56.2%,-5.8,1.2,Lsu,N/A,N/A,88-93-4,48.6%,10.2,0.2
2,90.9,9:00 PM,Footprint Center,73,Grd Canyon,74,Arizona St,Grand Canyon,Grand Canyon,Arizona State,Arizona State,N/A,N/A,False,N/A,N/A,False,Grd Canyon,118-108-3,52.2%,6.9,0.8,36-40-0,47.4%,-1.0,-0.5,Arizona St,144-167-10,46.3%,0.9,-0.5,74-79-4,48.4%,7.1,0.5,Arizona St,N/A,N/A,72-72-6,50.0%,-6.8,-0.2,Grd Canyon,N/A,N/A,81-71-3,53.3%,11.4,1.3
3,82.3,7:30 PM,Charles Koch Arena,137,N Iowa,82,Wichita St,,Northern Iowa,Wichita State,Wichita St.,N/A,N/A,False,N/A,N/A,False,N Iowa,144-151-11,48.8%,3.2,-0.6,51-66-4,43.6%,-1.7,-0.7,Wichita St,159-147-9,52.0%,7.8,0.3,74-69-5,51.8%,12.7,0.5,Wichita St,N/A,N/A,41-32-4,56.2%,-5.0,0.5,N Iowa,N/A,N/A,88-85-9,50.9%,6.2,-0.8
4,76.1,8:00 PM,Gallagher-Iba Arena,181,S Illinois,85,Oklahoma St,Southern Illinois,Southern Illinois,Oklahoma State,Oklahoma State,N/A,N/A,False,N/A,N/A,False,S Illinois,146-142-11,50.7%,1.3,-0.1,62-62-3,50.0%,-4.0,-0.3,Oklahoma St,149-163-6,47.8%,2.1,0.1,71-84-3,45.8%,6.7,-0.7,Oklahoma St,N/A,N/A,75-79-2,48.7%,-5.4,1.1,S Illinois,N/A,N/A,81-69-6,54.0%,6.9,0.5
5,70.4,9:00 PM,Summit Arena,169,N Colorado,158,S Dakota St,Northern Colorado,Northern Colorado,South Dakota State,South Dakota State,N/A,N/A,False,N/A,N/A,False,N Colorado,142-141-7,50.2%,2.3,0.0,79-60-4,56.8%,-2.9,1.8,S Dakota St,167-135-4,55.3%,7.1,1.3,68-45-1,60.2%,16.2,3.2,S Dakota St,N/A,N/A,49-36-2,57.7%,-5.3,1.6,N Colorado,N/A,N/A,76-78-3,49.4%,5.7,-0.5
6,67.0,7:00 PM,Truist Arena,165,Nicholls,183,N Kentucky,Nicholls State,Nicholls State,Northern Kentucky,Northern Kentucky,N/A,N/A,False,N/A,N/A,False,Nicholls,86-91-1,48.6%,0.8,0.1,49-50-1,49.5%,-8.5,0.0,N Kentucky,140-133-2,51.3%,4.2,0.6,59-60-1,49.6%,10.9,0.5,N Kentucky,N/A,N/A,55-49-0,52.9%,-6.3,1.3,Nicholls,N/A,N/A,41-50-1,45.1%,6.8,-0.4
7,65.8,9:30 PM,Pan American Center,193,Tx A&M-Cc,162,N Mex State,A&M-Corpus Christi,Texas A&M CC,New Mexico State,New Mexico St.,N/A,N/A,False,N/A,N/A,False,Tx A&M-Cc,112-94-1,54.4%,2.3,0.9,58-44-1,56.9%,-3.6,1.8,N Mex State,113-108-4,51.1%,8.0,0.0,41-37-2,52.6%,15.4,1.0,N Mex State,N/A,N/A,37-39-0,48.7%,-7.0,-0.5,Tx A&M-Cc,N/A,N/A,49-42-1,53.9%,6.2,-0.1
8,57.9,10:00 PM,Thomas & Mack Center,284,Neb Omaha,105,Unlv,Omaha,Nebraska Omaha,UNLV,UNLV,N/A,N/A,False,N/A,N/A,False,Neb Omaha,146-143-2,50.5%,-3.3,-0.6,78-79-2,49.7%,-10.1,-1.2,Unlv,150-156-7,49.0%,2.6,-0.3,81-87-3,48.2%,7.4,-0.3,Unlv,N/A,N/A,65-67-4,49.2%,-7.2,-0.3,Neb Omaha,N/A,N/A,45-53-0,45.9%,4.0,-0.8
9,54.6,1:00 PM,Betty Engelstad Sioux Center,118,Utah Valley,296,North Dakota,Utah Valley,Utah Valley,North Dakota,North Dakota,N/A,N/A,False,N/A,N/A,False,Utah Valley,125-101-2,55.3%,3.2,1.8,63-48-2,56.8%,-3.5,1.7,North Dakota,136-149-4,47.7%,-1.2,-0.1,50-54-3,48.1%,6.2,-0.6,North Dakota,N/A,N/A,97-101-3,49.0%,-8.3,-0.1,Utah Valley,N/A,N/A,65-48-1,57.5%,8.6,1.8
10,46.4,8:00 PM,McKenzie Arena,291,Morehead St,187,Chattanooga,Morehead State,Morehead St.,Chattanooga,Chattanooga,N/A,N/A,False,N/A,N/A,False,Morehead St,156-135-9,53.6%,2.8,0.4,82-72-5,53.3%,-4.7,0.5,Chattanooga,145-145-6,50.0%,4.1,0.1,53-62-4,46.1%,10.4,-0.8,Chattanooga,N/A,N/A,67-59-0,53.2%,-6.7,0.8,Morehead St,N/A,N/A,77-68-4,53.1%,6.8,0.1
