Rank,Hotness Score,Time,Location,Away Team Rank,Away Team,Home Team Rank,Home Team,Away Team DraftKings,Away Team Covers,Home Team DraftKings,Home Team Covers,Away Team Spread,Away Team Odds,Away Team Underdog,Home Team Spread,Home Team Odds,Home Team Underdog,Away Team Team,Away Team all_games_ATS Record,Away Team all_games_Cover %,Away Team all_games_MOV,Away Team all_games_ATS +/-,Away Team is_away_ATS Record,Away Team is_away_Cover %,Away Team is_away_MOV,Away Team is_away_ATS +/-,Home Team Team,Home Team all_games_ATS Record,Home Team all_games_Cover %,Home Team all_games_MOV,Home Team all_games_ATS +/-,Home Team is_home_ATS Record,Home Team is_home_Cover %,Home Team is_home_MOV,Home Team is_home_ATS +/-,Underdog is_dog Team,Underdog is_dog Spread,Underdog is_dog Odds,Underdog is_dog ATS Record,Underdog is_dog Cover %,Underdog is_dog MOV,Underdog is_dog ATS +/-,Favorite is_fav Team,Favorite is_fav Spread,Favorite is_fav Odds,Favorite is_fav ATS Record,Favorite is_fav Cover %,Favorite is_fav MOV,Favorite is_fav ATS +/-
1,94.2,9:00 PM,Bramlage Coliseum,43,Lsu,61,Kansas St,LSU,Louisiana State,Kansas State,Kansas State,N/A,N/A,False,N/A,N/A,False,Lsu,1-1-0,50.0%,24.0,+3.3,0,0,0.0,0.0,Kansas St,0-2-0,0.0%,18.5,-8.3,0-2-0,0.0%,18.5,-8.3,Kansas St,N/A,N/A,0,0,0.0,0.0,Lsu,N/A,N/A,1-1-0,50.0%,24.0,3.3
2,90.9,9:00 PM,Footprint Center,73,Grd Canyon,74,Arizona St,Grand Canyon,Grand Canyon,Arizona State,Arizona State,N/A,N/A,False,N/A,N/A,False,Grd Canyon,0-2-0,0.0%,6.0,-9.5,0,0,0.0,0.0,Arizona St,2-1-0,66.7%,2.0,+5.0,0-1-0,0.0%,7.0,-11.0,Arizona St,N/A,N/A,2-0-0,100.0%,-0.5,13.0,Grd Canyon,N/A,N/A,0-2-0,0.0%,6.0,-9.5
3,82.3,7:30 PM,Charles Koch Arena,137,N Iowa,82,Wichita St,,Northern Iowa,Wichita State,Wichita St.,N/A,N/A,False,N/A,N/A,False,N Iowa,1-1-0,50.0%,13.7,-5.5,0,0,0.0,0.0,Wichita St,2-0-0,100.0%,13.5,+8.0,1-0-0,100.0%,20.0,+10.0,Wichita St,N/A,N/A,0,0,0.0,0.0,N Iowa,N/A,N/A,1-1-0,50.0%,-0.5,-5.5
4,76.1,8:00 PM,Gallagher-Iba Arena,181,S Illinois,85,Oklahoma St,Southern Illinois,Southern Illinois,Oklahoma State,Oklahoma State,N/A,N/A,False,N/A,N/A,False,S Illinois,0-1-0,0.0%,6.0,-6.0,0,0,0.0,0.0,Oklahoma St,0-2-0,0.0%,11.0,-4.0,0-2-0,0.0%,11.0,-4.0,Oklahoma St,N/A,N/A,0,0,0.0,0.0,S Illinois,N/A,N/A,0,0,0.0,0.0
5,70.4,9:00 PM,Summit Arena,169,N Colorado,158,S Dakota St,Northern Colorado,Northern Colorado,South Dakota State,South Dakota State,N/A,N/A,False,N/A,N/A,False,N Colorado,1-0-0,100.0%,25.0,+11.0,1-0-0,100.0%,-2.0,11.0,S Dakota St,1-1-0,50.0%,4.0,+4.5,0-1-0,0.0%,1.0,-8.5,S Dakota St,N/A,N/A,1-0-0,100.0%,7.0,17.5,N Colorado,N/A,N/A,0,0,0.0,0.0
6,67.0,7:00 PM,Truist Arena,165,Nicholls,183,N Kentucky,Nicholls State,Nicholls State,Northern Kentucky,Northern Kentucky,N/A,N/A,False,N/A,N/A,False,Nicholls,1-1-0,50.0%,12.0,-0.5,1-0-0,100.0%,-7.0,10.5,N Kentucky,0-2-0,0.0%,-17.0,-3.0,0,0,0.0,0,N Kentucky,N/A,N/A,0-2-0,0.0%,-17.0,-3.0,Nicholls,N/A,N/A,0-1-0,0.0%,-6.0,-11.5
7,65.8,9:30 PM,Pan American Center,193,Tx A&M-Cc,162,N Mex State,A&M-Corpus Christi,Texas A&M CC,New Mexico State,New Mexico St.,N/A,N/A,False,N/A,N/A,False,Tx A&M-Cc,1-1-0,50.0%,5.0,+2.5,1-0-0,100.0%,-17.0,8.0,N Mex State,1-0-0,100.0%,24.0,+8.5,0-0-0,0.0%,36.0,--,N Mex State,N/A,N/A,0,0,0.0,0.0,Tx A&M-Cc,N/A,N/A,0,0,0.0,0.0
8,57.9,10:00 PM,Thomas & Mack Center,284,Neb Omaha,105,Unlv,Omaha,Nebraska Omaha,UNLV,UNLV,N/A,N/A,False,N/A,N/A,False,Neb Omaha,2-0-0,100.0%,5.0,+12.0,2-0-0,100.0%,-0.5,12.0,Unlv,0-1-1,0.0%,4.0,-3.8,0-1-1,0.0%,4.0,-3.8,Unlv,N/A,N/A,0,0,0.0,0.0,Neb Omaha,N/A,N/A,0,0,0.0,0.0
9,54.6,1:00 PM,Betty Engelstad Sioux Center,118,Utah Valley,296,North Dakota,Utah Valley,Utah Valley,North Dakota,North Dakota,N/A,N/A,False,N/A,N/A,False,Utah Valley,1-0-0,100.0%,32.0,+28.0,0,0,0.0,0.0,North Dakota,0-1-0,0.0%,2.5,-9.0,0-0-0,0.0%,31.0,--,North Dakota,N/A,N/A,0-1-0,0.0%,-26.0,-9.0,Utah Valley,N/A,N/A,1-0-0,100.0%,29.0,28.0
10,46.4,8:00 PM,McKenzie Arena,291,Morehead St,187,Chattanooga,Morehead State,Morehead St.,Chattanooga,Chattanooga,N/A,N/A,False,N/A,N/A,False,Morehead St,1-1-0,50.0%,-11.3,-12.5,1-1-0,50.0%,-37.5,-12.5,Chattanooga,1-2-0,33.3%,-14.7,-5.0,0,0,0.0,0,Chattanooga,N/A,N/A,1-1-0,50.0%,-19.0,-3.3,Morehead St,N/A,N/A,0,0,0.0,0.0
11,44.1,7:30 PM,Mizzou Arena,364,Miss Val St,77,Missouri,Mississippi Valley,Mississippi Valley State,Missouri,Missouri,N/A,N/A,False,N/A,N/A,False,Miss Val St,1-0-0,100.0%,-11.0,+5.5,1-0-0,100.0%,-39.0,5.5,Missouri,0-3-0,0.0%,4.7,-6.7,0-2-0,0.0%,11.0,-7.8,Missouri,N/A,N/A,0-1-0,0.0%,-8.0,-4.5,Miss Val St,N/A,N/A,0,0,0.0,0.0
12,42.9,10:00 PM,Mott Athletics Center,157,Seattle,334,Cal Poly,Seattle,Seattle,Cal Poly,Cal Poly SLO,N/A,N/A,False,N/A,N/A,False,Seattle,0-2-0,0.0%,-4.5,-9.0,0-1-0,0.0%,-7.0,-15.0,Cal Poly,1-1-0,50.0%,2.3,+4.5,0-0-0,0.0%,33.0,--,Cal Poly,N/A,N/A,1-1-0,50.0%,-13.0,4.5,Seattle,N/A,N/A,0-2-0,0.0%,-4.5,-9.0
13,41.4,7:00 PM,Alumni Arena,174,Bryant,329,Buffalo,Bryant,Bryant,Buffalo,Buffalo,N/A,N/A,False,N/A,N/A,False,Bryant,0-1-0,0.0%,20.0,-13.0,0,0,0.0,0.0,Buffalo,2-0-0,100.0%,0.3,+13.0,0-0-0,0.0%,9.0,--,Buffalo,N/A,N/A,2-0-0,100.0%,-4.0,13.0,Bryant,N/A,N/A,0-1-0,0.0%,-2.0,-13.0
14,40.5,10:00 PM,Alex G. Spanos Center,254,N Arizona,267,Pacific,Northern Arizona,Northern Arizona,Pacific,Pacific,N/A,N/A,False,N/A,N/A,False,N Arizona,0-1-0,0.0%,24.3,-8.0,0-1-0,0.0%,-26.0,-8.0,Pacific,1-1-0,50.0%,20.8,+4.0,0-0-0,0.0%,27.0,--,Pacific,N/A,N/A,1-1-0,50.0%,1.5,4.0,N Arizona,N/A,N/A,0,0,0.0,0.0
15,38.9,7:00 PM,Swisher Gymnasium,269,S Car State,257,Jacksonville,South Carolina State,South Carolina State,Jacksonville,Jacksonville,N/A,N/A,False,N/A,N/A,False,S Car State,2-1-0,66.7%,35.3,+33.2,0-1-0,0.0%,-22.0,-2.5,Jacksonville,1-1-0,50.0%,-5.7,+1.3,0-0-0,0.0%,13.0,--,Jacksonville,N/A,N/A,1-1-0,50.0%,-15.0,1.3,S Car State,N/A,N/A,2-0-0,100.0%,64.0,51.0
16,19.3,7:00 PM,Chesapeake Employers Insurance Arena,361,Coppin St,270,Maryland Bc,Coppin State,Coppin St.,UMBC,UMBC,N/A,N/A,False,N/A,N/A,False,Coppin St,2-2-0,50.0%,-21.3,+2.1,2-1-0,66.7%,-24.7,3.5,Maryland Bc,0-1-0,0.0%,13.0,-26.5,0-0-0,0.0%,44.0,--,Maryland Bc,N/A,N/A,0-1-0,0.0%,-49.0,-26.5,Coppin St,N/A,N/A,0,0,0.0,0.0
17,13.0,6:30 PM,Indiana Farmers Coliseum,331,E Michigan,341,Iu Indy,Eastern Michigan,Eastern Michigan,0,0,N/A,N/A,False,N/A,N/A,False,E Michigan,0-1-0,0.0%,2.5,-11.5,0-1-0,0.0%,-20.0,-11.5,Iu Indy,1-0-0,100.0%,28.0,+16.5,0-0-0,0.0%,49.0,--,Iu Indy,N/A,N/A,1-0-0,100.0%,-14.0,16.5,E Michigan,N/A,N/A,0,0,0.0,0.0
18,12.3,7:00 PM,UPMC Events Center,358,Stonehill,311,Rob Morris,,Stonehill,Robert Morris,Robert Morris,N/A,N/A,False,N/A,N/A,False,Stonehill,0-2-0,0.0%,-12.3,-2.5,0-2-0,0.0%,-28.0,-2.5,Rob Morris,1-1-0,50.0%,-1.3,-3.3,0-0-0,0.0%,28.0,--,Rob Morris,N/A,N/A,1-1-0,50.0%,-16.0,-3.3,Stonehill,N/A,N/A,0,0,0.0,0.0
19,9.0,4:00 PM,UPMC Events Center,337,Lindenwood,355,New Orleans,,Lindenwood,New Orleans,New Orleans,N/A,N/A,False,N/A,N/A,False,Lindenwood,0-1-0,0.0%,17.5,-6.0,0-1-0,0.0%,-33.0,-6.0,New Orleans,1-1-0,50.0%,-20.5,+1.0,0-1-0,0.0%,-17.0,-4.5,New Orleans,N/A,N/A,1-1-0,50.0%,-20.5,1.0,Lindenwood,N/A,N/A,0,0,0.0,0.0
