,Rank,Hotness Score,Time,Location,Away Team Rank,Away Team,Home Team Rank,Home Team,Away Team DraftKings,Home Team DraftKings,Away Team all_games_ATS Record,Away Team all_games_Cover %,Away Team all_games_MOV,Away Team all_games_ATS +/-,Away Team is_away_ATS Record,Away Team is_away_Cover %,Away Team is_away_MOV,Away Team is_away_ATS +/-,Away Team is_fav_ATS Record,Away Team is_fav_Cover %,Away Team is_fav_MOV,Away Team is_fav_ATS +/-,Home Team all_games_ATS Record,Home Team all_games_Cover %,Home Team all_games_MOV,Home Team all_games_ATS +/-,Home Team is_home_ATS Record,Home Team is_home_Cover %,Home Team is_home_MOV,Home Team is_home_ATS +/-,Home Team is_dog_ATS Record,Home Team is_dog_Cover %,Home Team is_dog_MOV,Home Team is_dog_ATS +/-
0,1,94.2,9:00 PM,Bramlage Coliseum,43,Lsu,61,Kansas St,,Kansas State,1-1-0,50.0%,24.0,+3.3,,,,,1-1-0,50.0%,24.0,3.3,0-2-0,0.0%,18.5,-8.3,0-2-0,0.0%,18.5,-8.3,,,,
1,2,90.9,9:00 PM,Footprint Center,73,Grd Canyon,74,Arizona St,Grand Canyon,Arizona State,0-2-0,0.0%,6.0,-9.5,,,,,0-2-0,0.0%,6.0,-9.5,2-1-0,66.7%,2.0,+5.0,0-1-0,0.0%,7.0,-11.0,2-0-0,100.0%,-0.5,13.0
2,3,82.3,7:30 PM,Charles Koch Arena,137,N Iowa,82,Wichita St,,Wichita State,1-1-0,50.0%,13.7,-5.5,,,,,1-1-0,50.0%,-0.5,-5.5,2-0-0,100.0%,13.5,+8.0,1-0-0,100.0%,20.0,+10.0,,,,
3,4,76.1,8:00 PM,Gallagher-Iba Arena,181,S Illinois,85,Oklahoma St,Southern Illinois,Oklahoma State,0-1-0,0.0%,6.0,-6.0,,,,,,,,,0-2-0,0.0%,11.0,-4.0,0-2-0,0.0%,11.0,-4.0,,,,
4,5,70.4,9:00 PM,Summit Arena,169,N Colorado,158,S Dakota St,Northern Colorado,South Dakota State,1-0-0,100.0%,25.0,+11.0,1-0-0,100.0%,-2.0,11.0,,,,,1-1-0,50.0%,4.0,+4.5,0-1-0,0.0%,1.0,-8.5,1-0-0,100.0%,7.0,17.5
5,6,67.0,7:00 PM,Truist Arena,165,Nicholls,183,N Kentucky,Nicholls State,Northern Kentucky,1-1-0,50.0%,12.0,-0.5,1-0-0,100.0%,-7.0,10.5,0-1-0,0.0%,-6.0,-11.5,0-2-0,0.0%,-17.0,-3.0,,,,,0-2-0,0.0%,-17.0,-3.0
6,7,65.8,9:30 PM,Pan American Center,193,Tx A&M-Cc,162,N Mex State,,New Mexico State,1-1-0,50.0%,5.0,+2.5,1-0-0,100.0%,-17.0,8.0,,,,,1-0-0,100.0%,24.0,+8.5,0-0-0,0.0%,36.0,--,,,,
7,8,57.9,10:00 PM,Thomas & Mack Center,284,Neb Omaha,105,Unlv,Omaha,,2-0-0,100.0%,5.0,+12.0,2-0-0,100.0%,-0.5,12.0,,,,,0-1-1,0.0%,4.0,-3.8,0-1-1,0.0%,4.0,-3.8,,,,
8,9,54.6,1:00 PM,Betty Engelstad Sioux Center,118,Utah Valley,296,North Dakota,Utah Valley,North Dakota,1-0-0,100.0%,32.0,+28.0,,,,,1-0-0,100.0%,29.0,28.0,0-1-0,0.0%,2.5,-9.0,0-0-0,0.0%,31.0,--,0-1-0,0.0%,-26.0,-9.0
9,10,46.4,8:00 PM,McKenzie Arena,291,Morehead St,187,Chattanooga,Morehead State,Chattanooga,1-1-0,50.0%,-11.3,-12.5,1-1-0,50.0%,-37.5,-12.5,,,,,1-2-0,33.3%,-14.7,-5.0,,,,,1-1-0,50.0%,-19.0,-3.3
10,11,44.1,7:30 PM,Mizzou Arena,364,Miss Val St,77,Missouri,Mississippi Valley,Missouri,1-0-0,100.0%,-11.0,+5.5,1-0-0,100.0%,-39.0,5.5,,,,,0-3-0,0.0%,4.7,-6.7,0-2-0,0.0%,11.0,-7.8,0-1-0,0.0%,-8.0,-4.5
11,12,42.9,10:00 PM,Mott Athletics Center,157,Seattle,334,Cal Poly,Seattle,Cal Poly,0-2-0,0.0%,-4.5,-9.0,0-1-0,0.0%,-7.0,-15.0,0-2-0,0.0%,-4.5,-9.0,1-1-0,50.0%,2.3,+4.5,0-0-0,0.0%,33.0,--,1-1-0,50.0%,-13.0,4.5
12,13,41.4,7:00 PM,Alumni Arena,174,Bryant,329,Buffalo,Bryant,Buffalo,0-1-0,0.0%,20.0,-13.0,,,,,0-1-0,0.0%,-2.0,-13.0,2-0-0,100.0%,0.3,+13.0,0-0-0,0.0%,9.0,--,2-0-0,100.0%,-4.0,13.0
13,14,40.5,10:00 PM,Alex G. Spanos Center,254,N Arizona,267,Pacific,Northern Arizona,Pacific,0-1-0,0.0%,24.3,-8.0,0-1-0,0.0%,-26.0,-8.0,,,,,1-1-0,50.0%,20.8,+4.0,0-0-0,0.0%,27.0,--,1-1-0,50.0%,1.5,4.0
14,15,38.9,7:00 PM,Swisher Gymnasium,269,S Car State,257,Jacksonville,South Carolina State,Jacksonville,2-1-0,66.7%,35.3,+33.2,0-1-0,0.0%,-22.0,-2.5,2-0-0,100.0%,64.0,51.0,1-1-0,50.0%,-5.7,+1.3,0-0-0,0.0%,13.0,--,1-1-0,50.0%,-15.0,1.3
15,16,19.3,7:00 PM,Chesapeake Employers Insurance Arena,361,Coppin St,270,Maryland Bc,Coppin State,,2-2-0,50.0%,-21.3,+2.1,2-1-0,66.7%,-24.7,3.5,,,,,0-1-0,0.0%,13.0,-26.5,0-0-0,0.0%,44.0,--,0-1-0,0.0%,-49.0,-26.5
16,17,13.0,6:30 PM,Indiana Farmers Coliseum,331,E Michigan,341,Iu Indy,Eastern Michigan,,0-1-0,0.0%,2.5,-11.5,0-1-0,0.0%,-20.0,-11.5,,,,,1-0-0,100.0%,28.0,+16.5,0-0-0,0.0%,49.0,--,1-0-0,100.0%,-14.0,16.5
17,18,12.3,7:00 PM,UPMC Events Center,358,Stonehill,311,Rob Morris,,Robert Morris,0-2-0,0.0%,-12.3,-2.5,0-2-0,0.0%,-28.0,-2.5,,,,,1-1-0,50.0%,-1.3,-3.3,0-0-0,0.0%,28.0,--,1-1-0,50.0%,-16.0,-3.3
18,19,9.0,4:00 PM,UPMC Events Center,337,Lindenwood,355,New Orleans,,New Orleans,0-1-0,0.0%,17.5,-6.0,0-1-0,0.0%,-33.0,-6.0,,,,,1-1-0,50.0%,-20.5,+1.0,0-1-0,0.0%,-17.0,-4.5,1-1-0,50.0%,-20.5,1.0
19,20,--,10:00 PM,SRC Arena,0,La Sierra University,143,Uc Riverside,,,,,,,,,,,,,,,3-0-0,100.0%,-6.7,+7.3,,,,,3-0-0,100.0%,-6.7,7.3
20,20,--,7:00 PM,Ocean Bank Convocation Center (FIU),0,Florida National,287,Florida Intl,,FIU,,,,,,,,,,,,,1-1-0,50.0%,-6.0,+0.8,,,,,1-1-0,50.0%,-6.0,0.8
21,20,--,7:00 PM,Sanford Coyote Sports Center,0,Dakota Wesleyan,233,South Dakota,,,,,,,,,,,,,,,2-1-0,66.7%,8.3,+3.2,1-1-0,50.0%,17.3,+4.5,1-0-0,100.0%,-19.0,0.5
22,20,--,9:00 PM,Hamilton Gymnasium,0,Colorado Christian,306,Denver,,Denver,,,,,,,,,,,,,2-1-0,66.7%,-5.0,+4.3,1-0-0,100.0%,17.0,+6.5,1-1-0,50.0%,-16.0,3.3
23,20,--,7:00 PM,McAlister Field House,0,North Greenville,297,Citadel,,,,,,,,,,,,,,,2-0-0,100.0%,14.3,+13.3,1-0-0,100.0%,26.0,+19.0,1-0-0,100.0%,-9.0,7.5
24,20,--,8:00 PM,Wisdom Gym,0,Tabor College,318,Tarleton St,,Tarleton State,,,,,,,,,,,,,0-3-0,0.0%,-27.7,-15.0,0-1-0,0.0%,-29.0,-23.5,0-3-0,0.0%,-27.7,-15.0
25,20,--,7:30 PM,Fant-Ewing Coliseum,0,Ecclesia College,323,Ul Monroe,,,,,,,,,,,,,,,0-3-0,0.0%,-4.3,-7.7,0-0-0,0.0%,50.0,--,0-3-0,0.0%,-22.3,-7.7
